證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅
9919,2015年第3季,,              1065868,,                958484,                107384,                107384,,,                 74798,,                 53724,,                  7923,                136445,                -29061,,,                  6819,,                 24377,,                 15269,,                     56,                 15983,                -13078,,                 -1312,                -11766,                -11766,,,                 73808,                 10541,                 63267,                 63267,                 51501,,                  5901,                -17667,,                 57367,                 -5866,,                              0.03,                              0.03,,                              0.03,                              0.03,,,
9919,2015年第2季,,              1160592,,                979918,                180674,                180674,,,                 88157,,                 55483,,                 11988,                155628,                 25046,,,                  6597,,                -10856,,                 13967,,                   -173,                -18399,                  6647,,                  3972,                  2675,                  2675,,,                -30244,                 -4315,                -25929,                -25929,                -23254,,                 13779,                -11104,,                 -7291,                -15963,,                              0.07,                              0.07,,                              0.07,                              0.07,,,
9919,2015年01月01日至2015年09月30日,,              3279999,,              2843492,                436507,                436507,,,                250029,,                165497,,                 31905,                447431,                -10924,,,                 30981,,                  4624,,                 43005,,                   -232,                 -7632,                -18556,,                 -1226,                -17330,                -17330,,,                 16908,                  6300,                 10608,                 10608,                 -6722,,                 25187,                -42517,,                 35423,                -42145,,                              0.13,                              0.13,,                              0.13,                              0.13,,,
9919,2015年01月01日至2015年06月30日,,              2214131,,              1885008,                329123,                329123,,,                175231,,                111773,,                 23982,                310986,                 18137,,,                 24162,,                -19753,,                 27736,,                   -288,                -23615,                 -5478,,                     86,                 -5564,                 -5564,,,                -56900,                 -4241,                -52659,                -52659,                -58223,,                 19286,                -24850,,                -21944,                -36279,,                              0.10,                              0.10,,                              0.10,                              0.10,,,
9919,2015年01月01日至2015年03月31日,,              1053539,,                905090,                148449,                148449,,,                 87074,,                 56290,,                 11994,                155358,                 -6909,,,                 17565,,                 -8897,,                 13769,,                   -115,                 -5216,                -12125,,                 -3886,                 -8239,                 -8239,,,                -26656,                     74,                -26730,                -26730,                -34969,,                  5507,                -13746,,                -14653,                -20316,,                              0.03,                              0.03,,                              0.03,                              0.03,,,
9919,2014年第3季,,              1088036,,                944598,                143438,                143438,,,                 85108,,                 60394,,                 15719,                161221,                -17783,,,                  6250,,                 11404,,                 13124,,                   -138,                  4392,                -13391,,                -10333,                 -3058,                 -3058,,,                 56541,                  5437,                 51104,                 51104,                 48046,,                 14511,                -17569,,                 54173,                 -6127,,                              0.07,                              0.07,,                              0.07,                              0.07,,,
9919,2014年第2季,,              1095649,,                932567,                163082,                163082,,,                 83887,,                 57180,,                 15452,                156519,                  6563,,,                 10719,,                -12447,,                 13402,,                   -464,                -15594,                 -9031,,                    623,                 -9654,                 -9654,,,                -37456,                 -2870,                -34586,                -34586,                -44240,,                  3763,                -13417,,                -23362,                -20878,,                              0.02,                              0.02,,                              0.02,                              0.02,,,
9919,2014年度,,              4360950,,              3776106,                584844,                584844,,,                345473,,                226602,,                 49094,                621169,                -36325,,,                 28104,,                 27424,,                 52792,,                 -2381,                    355,                -35970,,                -31175,                 -4795,                 -4795,,,,,,                 52944,                 48149,,                 59574,                -64369,,                 99458,                -51309,,                              0.30,                              0.30,,                              0.30,                              0.30,                 59753,                  1360,                  8169
9919,2014年01月01日至2014年09月30日,,              3356846,,              2898832,                458014,                458014,,,                255313,,                173764,,                 41052,                470129,                -12115,,,                 21446,,                   -178,,                 40135,,                 -1566,                -20433,                -32548,,                -21569,                -10979,                -10979,,,                 11750,                  1632,                 10118,                 10118,                   -861,,                 34312,                -45291,,                 42283,                -43144,,                              0.17,                              0.17,,                              0.17,                              0.17,,,
9919,2014年01月01日至2014年06月30日,,              2268810,,              1954234,                314576,                314576,,,                170205,,                113370,,                 25333,                308908,                  5668,,,                 15196,,                -11582,,                 27011,,                 -1428,                -24825,                -19157,,                -11236,                 -7921,                 -7921,,,                -44791,                 -3805,                -40986,                -40986,                -48907,,                 19801,                -27722,,                -11890,                -37017,,                              0.10,                              0.10,,                              0.10,                              0.10,,,
9919,2014年01月01日至2014年03月31日,,              1173161,,              1021667,                151494,                151494,,,                 86318,,                 56190,,                  9881,                152389,                   -895,,,                  4477,,                    865,,                 13609,,                   -964,                 -9231,                -10126,,                -11859,                  1733,                  1733,,,                 -7335,                   -935,                 -6400,                 -6400,                 -4667,,                 16038,                -14305,,                 11472,                -16139,,                              0.08,                              0.08,,                              0.08,                              0.08,,,
9919,2013年第3季,,              1139587,,              1009408,                130179,                130179,,,                 84920,,                 60797,,                 16016,                161733,                -31554,,,                 13631,,                 -1539,,                 13071,,                              0,                   -979,                -32533,,                 -5816,                -26717,                -26717,,,,,,                -19190,                -45907,,                 -6981,                -19736,,                -20673,                -25234,,                             -0.03,                             -0.03,,                             -0.03,                             -0.03,                -21995,,                 -2805
9919,2013年第2季,,              1034400,,                878883,                155517,                155517,,,                 77822,,                 58129,,                 16510,                152461,                  3056,,,                  8000,,                    934,,                 15111,,                              0,                 -6177,                 -3121,,                 14516,                -17637,                -17637,,,,,,                 28936,                 11299,,                 -5299,                -12338,,                 15346,                 -4047,,                             -0.03,                             -0.03,,                             -0.03,                             -0.03,                 33165,,                  4229
9919,2013年度,,              4433243,,              3826469,                606774,                606774,,,                332121,,                225246,,                 55801,                613168,                 -6394,,,                 40960,,                 14658,,                 49678,,                              0,                  5940,                   -454,,                 18006,                -18460,                -18460,,,,,,                 87432,                 68972,,                 31847,                -50307,,                 94382,                -25410,,                              0.16,                              0.16,,                              0.16,                              0.16,                 99589,                    623,                 12780
9919,2013年07月01日至2013年09月30日,,              1139587,,              1009408,                130179,                130179,,,                 84920,,                 60797,,                 16016,                161733,                -31554,,,                 13631,,                 -1539,,                 13071,,,                   -979,                -32533,,                 -5816,                -26717,                -26717,,,,,,                -19190,                -45907,,                 -6981,                -19736,,                -20673,                -25234,,                             -0.03,                             -0.03,,                             -0.03,                             -0.03,                -21995,,                 -2805
9919,2013年04月01日至2013年06月30日,,              1034400,,                878883,                155517,                155517,,,                 77822,,                 58129,,                 16510,                152461,                  3056,,,                  8000,,                    934,,                 15111,,,                 -6177,                 -3121,,                 14516,                -17637,                -17637,,,,,,                 28936,                 11299,,                 -5299,                -12338,,                 15346,                 -4047,,                             -0.03,                             -0.03,,                             -0.03,                             -0.03,                 33165,,                  4229
9919,2013年01月01日至2013年12月31日,,              4433243,,              3826469,                606774,                606774,,,                332121,,                225246,,                 55801,                613168,                 -6394,,,                 40960,,                 14658,,                 49678,,,                  5940,                   -454,,                 18006,                -18460,                -18460,,,,,,                 87432,                 68972,,                 31847,                -50307,,                 94382,                -25410,,                              0.16,                              0.16,,                              0.16,                              0.16,                 99589,                    623,                 12780
9919,2013年01月01日至2013年09月30日,,              3241321,,              2789864,                451457,                451457,,,                235148,,                171134,,                 46645,                452927,                 -1470,,,                 27997,,                  8788,,                 41121,,                              0,                 -4336,                 -5806,,                 15248,                -21054,                -21054,,,,,,                 57908,                 36854,,                 13349,                -34403,,                 54671,                -17817,,                              0.07,                              0.07,,                              0.07,                              0.07,                 66343,,                  8435
9919,2013年01月01日至2013年06月30日,,              2101734,,              1780456,                321278,                321278,,,                150228,,                110337,,                 30629,                291194,                 30084,,,                 14366,,                 10327,,                 28050,,                              0,                 -3357,                 26727,,                 21064,                  5663,                  5663,,,,,,                 77098,                 82761,,                 20330,                -14667,,                 75344,                  7417,,                              0.10,                              0.10,,                              0.10,                              0.10,                 88338,,                 11240
9919,2013年01月01日至2013年03月31日,,              1067334,,                901573,                165761,                165761,,,                 72406,,                 52208,,                 14119,                138733,                 27028,,,                  6366,,                  9393,,                 12939,,                              0,                  2820,                 29848,,                  6548,                 23300,                 23300,,,,,,                 48162,                 71462,,                 25629,                 -2329,,                 59998,                 11464,,                              0.13,                              0.13,,                              0.13,                              0.13,                 55173,,                  7011
9919,2012年07月01日至2012年09月30日,,              1172917,,                958516,                214401,                214401,,,                 99406,,                 53225,,                 16630,                169261,                 45140,,,                  8742,,                  2692,,                 12151,,,                   -717,                 44423,,                  9224,                 35199,                 35199,,,,,,                -24112,                 11087,,                 39546,                 -4347,,                 22342,                -11255,,                              0.20,                              0.20,,                              0.20,                              0.20,                -27634,,                 -3522
9919,2012年04月01日至2012年06月30日,,              1255311,,              1061253,                194058,                194058,,,                 89673,,                 67312,,                 15832,                172817,                 21241,,,                  4500,,                 -6972,,                 18966,,,                -21438,                   -197,,                   -540,                    343,                    343,,,,,,                 15523,                 15866,,                 10539,                -10196,,                 21615,                 -5749,,                              0.05,                              0.05,,                              0.05,                              0.05,                 17790,,                  2267
9919,2012年01月01日至2012年12月31日,,              4616723,,              3887634,                729089,                729089,,,                367324,,                236366,,                 68023,                671713,                 57376,,,                 63778,,                -11823,,                 67375,,,                -15420,                 41956,,                 -2853,                 44809,                 44809,,,,,,                -54527,                 -9718,,                 71254,                -26445,,                 32229,                -41947,,                              0.36,                              0.36,,                              0.36,                              0.36,                -62006,                   -521,                 -8000
9919,2012年01月01日至2012年09月30日,,              3727892,,              3110600,                617292,                617292,,,                273427,,                182820,,                 44615,                500862,                116430,,,                 35184,,                 -5481,,                 51147,,,                -21444,                 94986,,                 27922,                 67064,                 67064,,,,,,                -54145,                 12919,,                 81168,                -14104,,                 42539,                -29620,,                              0.41,                              0.41,,                              0.41,                              0.41,                -62063,,                 -7918
9919,2012年01月01日至2012年06月30日,,              2554975,,              2152084,                402891,                402891,,,                174021,,                129595,,                 27985,                331601,                 71290,,,                 26442,,                 -8173,,                 38996,,,                -20727,                 50563,,                 18698,                 31865,                 31865,,,,,,                -30033,                  1832,,                 41622,                 -9757,,                 20197,                -18365,,                              0.21,                              0.21,,                              0.21,                              0.21,                -34429,,                 -4396
9919,2012年01月01日至2012年03月31日,,              1299664,,              1090831,                208833,                208833,,,                 84348,,                 62283,,                 12153,                158784,                 50049,,,                 21942,,                 -1201,,                 20030,,,                    711,                 50760,,                 19238,                 31522,                 31522,,,,,,                -45556,                -14034,,                 31083,                    439,,                 -1418,                -12616,,                              0.16,                              0.16,,                              0.16,                              0.16,                -52219,,                 -6663
