證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 共同控制下前手權益（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 停業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　 管理費用,　　　 管理費用合計,　　　 利息收入,　　　　 銀行存款利息,　　　　 利息收入合計,　　　 其他收入－其他,　　　 處分投資利益,　　　 外幣兌換利益,　　　 什項支出,　　　 透過損益按公允價值衡量之金融資產（負債）損失,　　　 利息費用,　　 國外營運機構財務報表換算之兌換差額,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅,　　　 外幣兌換損失
3018,2015年第3季,,                282864,,                259819,                 23045,                 23045,,                 21442,                  1603,,,                    623,,                    314,,                  1475,                   -538,                  1065,,                  3404,                 -2339,                 -2339,,,                   -423,                   -423,                   -423,                 -2762,,                 -2339,,                 -2762,                              0,                              0,,                             -0.05,                             -0.05,,                             -0.05,                              0.00,                             -0.05,,,,,,,,,,,,,,,
3018,2015年第2季,,                273806,,                252864,                 20942,                 20942,,                 13994,                  6948,,,                  1578,,                 -1812,,                  1323,                 -1557,                  5391,,                  1629,                  3762,                  3762,,,                    152,                    152,                    152,                  3914,,                  3762,,                  3914,,,,                              0.07,                              0.07,,                              0.07,                              0.00,                              0.07,,,,,,,,,,,,,,,
3018,2015年01月01日至2015年09月30日,,                836766,,                772251,                 64515,                 64515,,                 59395,                  5120,,,                  2717,,                 -1962,,                  4261,                 -3506,                  1614,,                  5215,                 -3601,                 -3601,,,                   -166,                   -166,                   -166,                 -3767,,                 -3601,,                 -3767,                              0,                              0,,                             -0.07,                             -0.07,,                             -0.07,                              0.00,                             -0.07,,,,,,,,,,,,,,,
3018,2015年01月01日至2015年06月30日,,                553902,,                512432,                 41470,                 41470,,                 37953,                  3517,,,                  2094,,                 -2276,,                  2786,                 -2968,                    549,,                  1811,                 -1262,                 -1262,,,                    257,                    257,                    257,                 -1005,,                 -1262,,                 -1005,,,,                             -0.02,                             -0.02,,                             -0.02,                              0.00,                             -0.02,,,,,,,,,,,,,,,
3018,2015年01月01日至2015年03月31日,,                280096,,                259568,                 20528,                 20528,,                 23959,                 -3431,,,                    516,,                   -464,,                  1463,                 -1411,                 -4842,,                    182,                 -5024,                 -5024,,,                    105,                    105,                    105,                 -4919,,                 -5024,,                 -4919,,,,                             -0.10,                             -0.10,,                             -0.10,,                             -0.10,,                 23959,,                    351,                    351,                    165,                    657,                   -268,                    499,                    354,                  1463,,,,
3018,2014年第3季,,                352085,,                310326,                 41759,                 41759,,                 27919,                 13840,,,                    673,,                   -117,,                    982,                   -426,                 13414,,                  2221,                 11193,                 11193,,,                   -255,                   -255,                   -255,                 10938,,                 11193,,                 10938,                              0,                              0,,                              0.25,                              0.25,,                              0.25,                              0.00,                              0.25,,,,,,,,,,,,,,,
3018,2014年第2季,,                404062,,                368731,                 35331,                 35331,,                 25795,                  9536,,,                    383,,                 -1760,,                    716,                 -2093,                  7443,,                    487,                  6956,                  6956,,,                    184,                    184,                    184,                  7140,,                  6956,,                  7140,,,,                              0.15,                              0.15,,                              0.15,                              0.00,                              0.15,,,,,,,,,,,,,,,
3018,2014年度,,              1451900,,              1304736,                147164,                147164,,                105090,                 42074,,,                  2018,,                 -1317,,                  3877,                 -3176,                 38898,,                  5705,                 33193,                 33193,,,,,                   -468,                 32725,,                 33193,,                 32725,,,,                              0.72,                              0.72,,                              0.71,                              0.00,                              0.71,,,,,,,,,,,,                   -364,                 -1631,                 -1527,
3018,2014年01月01日至2014年09月30日,,              1020403,,                918648,                101755,                101755,,                 73125,                 28630,,,                  1510,,                 -2285,,                  2618,                 -3393,                 25237,,                  3274,                 21963,                 21963,,,                    -31,                    -31,                    -31,                 21932,,                 21963,,                 21932,                              0,                              0,,                              0.48,                              0.48,,                              0.48,                              0.00,                              0.48,,,,,,,,,,,,,,,
3018,2014年01月01日至2014年06月30日,,                668318,,                608322,                 59996,                 59996,,                 45206,                 14790,,,                    837,,                 -2168,,                  1636,                 -2967,                 11823,,                  1053,                 10770,                 10770,,,                    224,                    224,                    224,                 10994,,                 10770,,                 10994,,,,                              0.24,                              0.24,,                              0.24,                              0.00,                              0.24,,,,,,,,,,,,,,,
