證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入淨額,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 利息收入,　　　　 利息收入合計,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 共同控制下前手權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　 非控制權益（淨利／損）,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅
3026,2015年第3季,,,              3511201,              3511201,,              2993069,                518132,                518132,,,                270852,,                 72254,                343106,                175026,,,,                  5954,                  5954,,                 19072,,                  3999,                 21027,                196053,,                 35890,                160163,                160163,,,                 81997,               -145309,                  8622,                -71934,                -71934,                 88229,,                182783,                -22620,,                167902,                -79673,,                              0.82,,                              0.80,,,,,
3026,2015年第2季,,,              3549466,              3549466,,              3033310,                516156,                516156,,,                281232,,                 55014,                336246,                179910,,,,                  6369,                  6369,,                  7087,,                  3714,                  9742,                189652,,                 42656,                146996,                146996,,,                -22928,                 26962,                 -5239,                  9273,                  9273,                156269,,                186402,                -39406,,                179794,                -23525,,                              0.83,,                              0.82,,,,,
3026,2015年01月01日至2015年09月30日,,,             10298038,             10298038,,              8780498,              1517540,              1517540,,,                810245,,                173983,                984228,                533312,,,,                 19195,                 19195,,                 43653,,                 11822,                 51026,                584338,,                115295,                469043,                469043,,,                 42607,                -77162,                  1744,                -36299,                -36299,                432744,,                562112,                -93069,,                552557,               -119813,,                              2.51,,                              2.44,,,,,
3026,2015年01月01日至2015年06月30日,,,              6786837,              6786837,,              5787429,                999408,                999408,,,                539393,,                101729,                641122,                358286,,,,                 13241,                 13241,,                 24581,,                  7823,                 29999,                388285,,                 79405,                308880,                308880,,,                -39390,                 68147,                 -6878,                 35635,                 35635,                344515,,                379329,                -70449,,                384655,                -40140,,                              1.69,,                              1.65,,,,,
3026,2015年01月01日至2015年03月31日,,,              3237371,              3237371,,              2754119,                483252,                483252,,,                258161,,                 46715,                304876,                178376,,,,                  6872,                  6872,,                 17494,,                  4109,                 20257,                198633,,                 36749,                161884,                161884,,,                -16462,                 41185,                 -1639,                 26362,                 26362,                188246,,                192927,,,                204861,                -16615,,                              0.86,,                              0.84,                -31043,,,,
3026,2014年第3季,,,              4067562,              4067562,,              3488167,                579395,                579395,,,                273717,,                 78038,                351755,                227640,,,,                  9831,                  9831,,                 28456,,                  4882,                 33405,                261045,,                 47649,                213396,                213396,,,                -20430,               -115358,                   -747,               -135041,               -135041,                 78355,,                246186,                -32790,,                190773,               -112418,,                              1.10,,                              1.08,,,,,
3026,2014年第2季,,,              4457123,              4457123,,              3939376,                517747,                517747,,,                327737,,                 46551,                374288,                143459,,,,                 11915,                 11915,,                238606,,                  7599,                242922,                386381,,                 29412,                356969,                356969,,,                -25713,                -79925,                 -6112,                -99526,                -99526,                257443,,                392496,                -35527,,                323884,                -66441,,                              1.76,,                              1.71,,,,,
3026,2014年度,,,             16024893,             16024893,,             13980574,              2044319,              2044319,,,              1131675,,                209959,              1341634,                702685,,,,                 41675,                 41675,,                236492,,                 27842,                250325,                953010,,                157806,                795204,                795204,,,,,,,               -144412,                650792,,                904408,,,                828511,               -177719,,                              4.05,,                              3.93,               -109204,                 58202,               -188097,                  1764,                 16281
3026,2014年01月01日至2014年09月30日,,,             12373115,             12373115,,             10786303,              1586812,              1586812,,,                850096,,                169464,              1019560,                567252,,,,                 32572,                 32572,,                269242,,                 20363,                281451,                848703,,                107967,                740736,                740736,,,                -22712,               -196484,                  9324,               -228520,               -228520,                512216,,                815167,                -74431,,                697753,               -185537,,                              3.65,,                              3.54,,,,,
3026,2014年01月01日至2014年06月30日,,,              8305553,              8305553,,              7298136,              1007417,              1007417,,,                576379,,                 91426,                667805,                339612,,,,                 22741,                 22741,,                240786,,                 15481,                248046,                587658,,                 60318,                527340,                527340,,,                 -2282,                -81126,                 10071,                -93479,                -93479,                433861,,                568981,                -41641,,                506980,                -73119,,                              2.55,,                              2.49,,,,,
