證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入淨額,　　 租賃收入,　　　 租賃收入合計,　　 營業收入合計,　 營業成本,　　 銷貨成本,　　　 銷貨成本合計,　　 租賃成本,　　　 租賃成本合計,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 利息收入,　　　　 利息收入合計,　　　 股利收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 備供出售金融資產未實現評價損益,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　　 銷貨收入,　　　　 銷貨收入,　　　　 銷貨收入合計,　　　 租賃收入,　　　 銷貨成本,　　　 租賃成本,　　 不重分類至損益之項目,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之權益工具投資利益(損失),　　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　　 不重分類至損益之項目總額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅
1414,2013年07月01日至2013年09月30日,,,                377500,,                 24914,                402414,,,                354800,,                  4996,                359796,                 42618,                 42618,,,                  7925,,                  9831,                 17756,                 24862,,,,,,                  4590,,                 -1621,,                    226,                  2743,                 27605,,                              0,                 27605,                 27605,,,,,                  2682,                 30287,,                              0.13,,                              0.13,,,,,,,,,,,,                  2682,,                              0
1414,2013年04月01日至2013年06月30日,,,                322660,,                 24739,                347399,,,                293328,,                  3731,                297059,                 50340,                 50340,,,                  5869,,                 11190,                 17059,                 33281,,,,,,                  5131,,                 13046,,                    376,                 17801,                 51082,,                 -3517,                 54599,                 54599,,,,,                 -9418,                 45181,,                              0.25,,                              0.25,,                322660,                322660,                 24739,                293328,                  3731,,,,,,                 -9418,,                              0
1414,2013年01月01日至2013年12月31日,,,              1241711,,                 98880,              1340591,,,              1156392,,                 17181,              1173573,                167018,                167018,,,                 25424,,                 43451,                 68875,                 98143,,,,,,                 10310,,                 22100,,                  1439,                 30971,                129114,,                 -7158,                136272,                136272,,,,,                  3966,                140238,,                              0.62,,                              0.62,,,,,,,,,,,,                 -4389,                 10066,                  1711
1414,2013年01月01日至2013年09月30日,,,                984427,,                 73920,              1058347,,,                912741,,                 12565,                925306,                133041,                133041,,,                 19293,,                 30643,                 49936,                 83105,,,,                    217,                  9549,                  9766,,                 19553,,                  1375,                 27944,                111049,,                 -3517,                114566,                114566,,,,,                 -3566,                111000,,                              0.52,,                              0.52,,,,,,,,,,,,                 -3566,,
1414,2013年01月01日至2013年06月30日,,,                606927,,                 49006,                655933,,,                557941,,                  7569,                565510,                 90423,                 90423,,,                 11368,,                 20812,                 32180,                 58243,,,,                    123,                  5053,                  5176,,                 21174,,                  1149,                 25201,                 83444,,                 -3517,                 86961,                 86961,,,,,                 -6248,                 80713,,                              0.40,,                              0.39,,                606927,                606927,                 49006,                557941,                  7569,,,,,,                 -6248,,
1414,2013年01月01日至2013年03月31日,,,                284267,,                 24143,                308410,,,                264613,,                  3606,                268219,                 40191,                 40191,,,                  5499,,                  9622,                 15121,                 25070,,,,                     45,,                     45,,                  8020,,                    773,                  7292,                 32362,,                              0,                 32362,                 32362,,,,,                  3170,                 35532,,                              0.15,,                              0.15,,,,,,,,,,,,                  3170,,
1414,2012年07月01日至2012年09月30日,,,                345570,,                 24239,                369809,,,                327296,,                  3901,                331197,                 38612,                 38612,,,                  5926,,                 10315,                 16241,                 22371,,,,,,                  2513,,                  5350,,                    834,                  7029,                 29400,,                              0,                 29400,                 29400,,,,,                  8221,                 37621,,                              0.13,,                              0.13,,,,,,,,,,,,                  8221,,                              0
1414,2012年04月01日至2012年06月30日,,,                348020,,                 23233,                371253,,,                337042,,                  3840,                340882,                 30371,                 30371,,,                  7892,,                 11128,                 19020,                 11351,,,,,,                  2594,,                   -154,,                    796,                  1644,                 12995,,                    -38,                 13033,                 13033,,,,,                 -6062,                  6971,,                              0.06,,                              0.06,,                348020,                348020,                 23233,                337042,                  3840,,,,,,                 -6062,,                              0
1414,2012年01月01日至2012年12月31日,,,              1328888,,                 95243,              1424131,,,              1268518,,                 15444,              1283962,                140169,                140169,,,                 25985,,                 43851,                 69836,                 70333,,,,,,                  5386,,                 13765,,                  2745,                 16406,                 86739,,                 -5161,                 91900,                 91900,,,,,                 17302,                109202,,                              0.42,,                              0.42,,,,,,,,,,,,                 17666,                   -438,                    -74
1414,2012年01月01日至2012年09月30日,,,              1038219,,                 71247,              1109466,,,                989939,,                 11542,              1001481,                107985,                107985,,,                 20676,,                 33453,                 54129,                 53856,,,,,,                  5109,,                 10734,,                  2054,                 13789,                 67645,,                              0,                 67645,                 67645,,,,,                 12428,                 80073,,                              0.31,,                              0.31,,,,,,,,,,,,                 12428,,                              0
1414,2012年01月01日至2012年06月30日,,,                692649,,                 47008,                739657,,,                662643,,                  7641,                670284,                 69373,                 69373,,,                 14750,,                 23138,                 37888,                 31485,,,,,,                  2596,,                  5384,,                  1220,                  6760,                 38245,,                              0,                 38245,                 38245,,,,,                  4207,                 42452,,                              0.17,,                              0.17,,                692649,                692649,                 47008,                662643,                  7641,,,,,,                  4207,,                              0
1414,2012年01月01日至2012年03月31日,,,                344629,,                 23775,                368404,,,                325601,,                  3698,                329299,                 39105,                 39105,,,                  6858,,                 12010,                 18868,                 20237,,,,,,                      2,,                  5435,,                    424,                  5013,                 25250,,                     38,                 25212,                 25212,,,,,                 10269,                 35481,,                              0.11,,                              0.11,,,,,,,,,,,,                 10269,,
