證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入淨額,　　 租賃收入,　　　 租賃收入合計,　　 營業收入合計,　 營業成本,　　 銷貨成本,　　　 銷貨成本合計,　　 租賃成本,　　　 租賃成本合計,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 與其他綜合損益組成部分相關之所得稅,　　　 銷貨收入,　　　　 銷貨收入合計,　　　 租賃收入,　　　 銷貨成本,　　　 租賃成本,　　 當期所得稅費用（利益）,　　　 採用權益法認列之關聯企業及合資利益之份額,　　 共同控制下前手權益（淨利／損）,　　 共同控制下前手權益（綜合損益）,　　　 利息收入,　　　　 利息收入合計,　　　 壞帳轉回利益,　　　 其他收入－其他,　　　 處分投資利益,　　　 外幣兌換利益,　　　 透過損益按公允價值衡量之金融資產（負債）利益,　　　 什項支出,　　　 處分不動產、廠房及設備損失,　　　 外幣兌換損失,　　　 利息費用,　　 其他綜合損益
1229,2015年第3季,,,              1283581,,                 82180,              1365761,,,              1125853,,                 27691,              1153544,                212217,                212217,,,                 83345,,                 38081,,                  6846,                128272,                 83945,,,                143138,,                  2024,,                 10469,,                111953,                246646,                330591,,                  7336,                323255,                323255,,,                 70229,               -992701,,             -1411605,                              0,             -2334077,             -2334077,             -2010822,,                327242,                 -3987,,             -2009174,                 -1648,,                              0.37,                              0.37,,                              0.37,                              0.37,,,,,,,,,,,,,,,,,,,,,,,,,,,
1229,2015年第2季,,,              1223854,,                 84606,              1308460,,,              1120262,,                 27140,              1147402,                161058,                161058,,,                 72168,,                 38411,,                  6360,                116939,                 44119,,,                  3119,,                 -4220,,                 10544,,                700154,                688509,                732628,,                 17403,                715225,                715225,,,                -20845,                397417,,                565553,,                942125,                942125,              1657350,,                714942,                    283,,              1657881,                   -531,,                              0.84,                              0.84,,                              0.84,                              0.84,,,,,,,,,,,,,,,,,,,,,,,,,,,
1229,2015年01月01日至2015年09月30日,,,              3682155,,                245855,              3928010,,,              3315795,,                 82836,              3398631,                529379,                529379,,,                213182,,                115741,,                 20041,                348964,                180415,,,                148672,,                 -4493,,                 31085,,              1058540,              1171634,              1352049,,                 31091,              1320958,              1320958,,,                 34398,               -700117,,             -1186399,                              0,             -1852118,             -1852118,               -531160,,              1323690,                 -2732,,               -529420,                 -1740,,                              1.49,                              1.49,,                              1.49,                              1.49,,,,,,,,,,,,,,,,,,,,,,,,,,,
1229,2015年01月01日至2015年06月30日,,,              2398574,,                163675,              2562249,,,              2189942,,                 55145,              2245087,                317162,                317162,,,                129837,,                 77660,,                 13195,                220692,                 96470,,,                  5534,,                 -6517,,                 20616,,                946587,                924988,              1021458,,                 23755,                997703,                997703,,,                -35831,                292584,,                225206,,                481959,                481959,              1479662,,                996448,                  1255,,              1479754,                    -92,,                              1.17,                              1.17,,                              1.16,                              1.16,,,,,,,,,,,,,,,,,,,,,,,,,,,
1229,2015年01月01日至2015年03月31日,,,              1174720,,                 79069,              1253789,,,              1069680,,                 28005,              1097685,                156104,                156104,,,                 57669,,                 39249,,                  6835,                103753,                 52351,,,                  2415,,                 -2297,,                 10072,,                246433,                236479,                288830,,                  6352,                282478,                282478,,,                -14986,               -104833,,               -340347,,               -460166,               -460166,               -177688,,                281506,                    972,,               -178127,                    439,,,                              0.33,,,                              0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,
1229,2014年第3季,,,              1263665,,                 72144,              1335809,,,              1144770,,                 23792,              1168562,                167247,                167247,,,                 51741,,                 68003,,                  5851,                125595,                 41652,,,                121772,,                  5869,,                 12068,,                270829,                386402,                428054,,                 10486,                417568,                417568,,,                 33220,               -225052,,               -707416,                              0,               -899248,               -899248,               -481680,,                429926,                -12358,,               -471011,                -10669,,                              0.48,                              0.48,,                              0.48,                              0.48,,,,,,,,,,,,,,,,,,,,,,,,,,,
1229,2014年第2季,,,              1257826,,                 75090,              1332916,,,              1157655,,                 22973,              1180628,                152288,                152288,,,                 54745,,                 40986,,                  6721,                102452,                 49836,,,                  2907,,                  7061,,                 11708,,                459741,                458001,                507837,,                 50737,                457100,                457100,,,                -28425,                 56448,,                -14106,,                 13917,                 13917,                471017,,                462665,                 -5565,,                477955,                 -6938,,                              0.54,                              0.54,,                              0.54,                              0.54,,,,,,,,,,,,,,,,,,,,,,,,,,,
1229,2014年度,,,              5014097,,                288325,              5302422,,,              4537005,,                 94243,              4631248,                671174,                671174,,,                213776,,                177336,,                 25478,                416590,                254584,,,                134615,,                 16702,,                 46854,,              1409172,              1513635,              1768219,,                 79740,              1688479,              1688479,,,,,,,,,                -57109,              1631370,,              1718864,                -30385,,              1659861,                -28491,,                              2.01,                              2.01,,                              2.01,                              2.01,                 61645,               -138435,                   -481,,                 20162,                              0,,,,,,,,,,,,,,,,,,,,,
1229,2014年01月01日至2014年09月30日,,,              3698242,,                215511,              3913753,,,              3369157,,                 70929,              3440086,                473667,                473667,,,                157701,,                153260,,                 19415,                330376,                143291,,,                126677,,                 19857,,                 35801,,              1358965,              1469698,              1612989,,                 77489,              1535500,              1535500,,,                 10642,                -81755,,               -571899,                              0,               -643012,               -643012,                892488,,              1559458,                -23958,,                916418,                -23930,,                              1.76,                              1.76,,                              1.75,                              1.75,,,,,,,,,,,,,,,,,,,,,,,,,,,
1229,2014年01月01日至2014年06月30日,,,              2434577,,                143367,              2577944,,,              2224387,,                 47137,              2271524,                306420,                306420,,,                105960,,                 85257,,                 13564,                204781,                101639,,,                  4905,,                 13988,,                 23733,,              1088136,              1083296,              1184935,,                 67003,              1117932,              1117932,,,                -22578,                143297,,                135517,,                256236,                256236,              1374168,,              1129532,                -11600,,              1387429,                -13261,,                              1.32,                              1.32,,                              1.32,                              1.32,,,,,,,,,,,,,,,,,,,,,,,,,,,
