證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 其他收益及費損淨額,　　 其他收益及費損淨額,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 與其他綜合損益組成部分相關之所得稅
3005,2015年第3季,,              4615949,,              3486520,              1129429,              1129429,,,                359650,,                251585,,                178098,                789333,,                  8855,                348951,,,                 73088,,                -25283,,                  7287,,                 -3721,                 36797,                385748,,                 81812,                303936,                303936,,,                392593,               -125764,,                -21209,                    579,                245041,                245041,                548977,,                255868,                 48068,,                485895,                 63082,,                              0.44,                              0.44,,                              0.44,                              0.44,,,,,,
3005,2015年第2季,,              4408078,,              3307240,              1100838,              1100838,,,                370574,,                221277,,                183661,                775512,,                  8418,                333744,,,                 55541,,                 -3656,,                  7789,,                  6975,                 51071,                384815,,                 81108,                303707,                303707,,,                -79808,                100977,,                 -7333,                   -132,                 13968,                 13968,                317675,,                272585,                 31122,,                289684,                 27991,,                              0.47,                              0.47,,                              0.46,                              0.46,,,,,,
3005,2015年01月01日至2015年09月30日,,             13236446,,             10053062,              3183384,              3183384,,,              1085125,,                660428,,                527242,              2272795,,                 25524,                936113,,,                176193,,                190954,,                 24298,,                 16596,                359445,              1295558,,                278330,              1017228,              1017228,,,                169658,                -12999,,                -36256,                    229,                120174,                120174,              1137402,,                909157,                108071,,              1025361,                112041,,                              1.56,                              1.56,,                              1.55,                              1.55,,,,,,
3005,2015年01月01日至2015年06月30日,,              8620497,,              6566542,              2053955,              2053955,,,                725475,,                408843,,                349144,              1483462,,                 16669,                587162,,,                103105,,                216237,,                 17011,,                 20317,                322648,                909810,,                196518,                713292,                713292,,,               -222935,                112765,,                -15047,                   -350,               -124867,               -124867,                588425,,                653289,                 60003,,                539466,                 48959,,                              1.12,                              1.12,,                              1.11,                              1.11,,,,,,
3005,2015年01月01日至2015年03月31日,,              4212419,,              3259302,                953117,                953117,,,                354901,,                187566,,                165483,                707950,,                  8251,                253418,,,                 47564,,                219893,,                  9222,,                 13342,                271577,                524995,,                115410,                409585,                409585,,,               -143127,                 11788,,                 -7714,                   -218,               -138835,               -138835,                270750,,                380704,                 28881,,                249782,                 20968,,                              0.65,                              0.65,,                              0.65,                              0.65,,,,,,
3005,2014年第3季,,              4082500,,              3219742,                862758,                862758,,,                315560,,                223983,,                159537,                699080,,                  3424,                167102,,,                 43336,,               -204590,,                 11558,,                 46430,               -126382,                 40720,,                 52426,                -11706,                -11706,,,                173831,                -16195,,                -93505,                    170,                 63961,                 63961,                 52255,,                 82399,                -94105,,                137293,                -85038,,                              0.14,                              0.14,,                              0.14,                              0.14,,,,,,
3005,2014年第2季,,              3930279,,              3036886,                893393,                893393,,,                291283,,                215155,,                144194,                650632,,                  5872,                248633,,,                 28528,,                   -661,,                 12425,,                 10089,                 25531,                274164,,                 55502,                218662,                218662,,,               -197583,                 -8829,,                 80540,                   -203,               -125669,               -125669,                 92993,,                196252,                 22410,,                 83291,                  9702,,                              0.34,                              0.34,,                              0.33,                              0.33,,,,,,
3005,2014年度,,             16291585,,             12708071,              3583514,              3583514,,,              1242006,,                933737,,                651781,              2827524,,                 18019,                774009,,,                141051,,                287493,,                 47884,,                 48270,                428930,              1202939,,                351289,                851650,                851650,,,,,,,,,                495398,              1347048,,                879336,                -27686,,              1354666,                 -7618,,                              1.51,                              1.51,,                              1.50,                              1.50,                583146,                -58358,                -27341,,                 -6191,                 -4142
3005,2014年01月01日至2014年09月30日,,             11437184,,              9008838,              2428346,              2428346,,,                855094,,                667037,,                426670,              1948801,,                 15293,                494838,,,                101308,,               -210256,,                 37480,,                 56483,                -89945,                404893,,                151738,                253155,                253155,,,                 98458,                -33100,,                 -7849,                     71,                 57438,                 57438,                310593,,                289045,                -35890,,                345166,                -34573,,                              0.50,                              0.50,,                              0.49,                              0.49,,,,,,
3005,2014年01月01日至2014年06月30日,,              7354684,,              5789096,              1565588,              1565588,,,                539534,,                443054,,                267133,              1249721,,                 11869,                327736,,,                 57972,,                 -5666,,                 25922,,                 10053,                 36437,                364173,,                 99312,                264861,                264861,,,                -75373,                -16905,,                 85656,                    -99,                 -6523,                 -6523,                258338,,                206646,                 58215,,                207873,                 50465,,                              0.36,                              0.36,,                              0.35,                              0.35,,,,,,
3005,2014年01月01日至2014年03月31日,,              3424405,,              2752210,                672195,                672195,,,                248251,,                227899,,                122939,                599089,,                  5997,                 79103,,,                 29444,,                 -5005,,                 13497,,                    -36,                 10906,                 90009,,                 43810,                 46199,                 46199,,,                122210,                 -8076,,                  5116,                    104,                119146,                119146,                165345,,                 10394,                 35805,,                124582,                 40763,,                              0.02,                              0.02,,                              0.02,                              0.02,,,,,,
3005,2013年第3季,,              3579080,,              2866820,                712260,                712260,,,                254217,,                175109,,                135642,                564968,,                  7083,                154375,,,                 44619,,                -58659,,                 11549,,                -22989,                -48578,                105797,,                 23025,                 82772,                 82772,,,,,,,,,                -96879,                -14107,,                 67845,                 14927,,                -22617,                  8510,,                              0.12,                              0.12,,                              0.12,                              0.12,               -128946,                 32319,,,                   -339,                    -87
3005,2013年第2季,,              3716228,,              3008423,                707805,                707805,,,                261253,,                175970,,                144000,                581223,,                  6915,                133497,,,                 31957,,                -23248,,                 11704,,                  8449,                  5454,                138951,,                 38759,                100192,                100192,,,,,,,,,                144297,                244489,,                 75627,                 24565,,                210749,                 33740,,                              0.13,                              0.13,,                              0.13,                              0.13,                166493,                -18496,,,                 -3465,                    235
3005,2013年度,,             15217618,,             12273755,              2943863,              2943863,,,              1002179,,                789324,,                579133,              2370636,,                 28675,                601902,,,                140248,,               -122975,,                 45962,,                 35196,                  6507,                608409,,                109179,                499230,                499230,,,,,,,,,                587207,              1086437,,                402387,                 96843,,                964416,                122021,,                              0.69,                              0.69,,                              0.69,                              0.69,                489200,                 73795,                 11246,,                 15226,                  2260
3005,2013年07月01日至2013年09月30日,,              3579080,,              2866820,                712260,                712260,,,                254217,,                175109,,                135642,                564968,,                  7083,                154375,,,                 44619,,                -58659,,                 11549,,                -22989,                -48578,                105797,,                 23025,                 82772,                 82772,,,,,,,,,                -96879,                -14107,,                 67845,                 14927,,                -22617,                  8510,,                              0.12,                              0.12,,                              0.12,                              0.12,               -128946,                 32319,,,                   -339,                    -87
3005,2013年04月01日至2013年06月30日,,              3716228,,              3008423,                707805,                707805,,,                261253,,                175970,,                144000,                581223,,                  6915,                133497,,,                 31957,,                -23248,,                 11704,,                  8449,                  5454,                138951,,                 38759,                100192,                100192,,,,,,,,,                144297,                244489,,                 75627,                 24565,,                210749,                 33740,,                              0.13,                              0.13,,                              0.13,                              0.13,                166493,                -18496,,,                 -3465,                    235
3005,2013年01月01日至2013年12月31日,,             15217618,,             12273755,              2943863,              2943863,,,              1002179,,                789324,,                579133,              2370636,,                 28675,                601902,,,                140248,,               -122975,,                 45962,,                 35196,                  6507,                608409,,                109179,                499230,                499230,,,,,,,,,                587207,              1086437,,                402387,                 96843,,                964416,                122021,,                              0.69,                              0.69,,                              0.69,                              0.69,                489200,                 73795,                 11246,,                 15226,                  2260
3005,2013年01月01日至2013年09月30日,,             10964069,,              8933199,              2030870,              2030870,,,                733511,,                528500,,                407076,              1669087,,                 20138,                381921,,,                101081,,                -80508,,                 34728,,                 19039,                  4884,                386805,,                104577,                282228,                282228,,,,,,,,,                398136,                680364,,                210098,                 72130,,                590447,                 89917,,                              0.36,                              0.36,,                              0.36,                              0.36,                370110,                 35278,,,                 -7049,                    203
3005,2013年01月01日至2013年06月30日,,              7384989,,              6066379,              1318610,              1318610,,,                479294,,                353391,,                271434,              1104119,,                 13055,                227546,,,                 56462,,                -21849,,                 23179,,                 42028,                 53462,                281008,,                 81552,                199456,                199456,,,,,,,,,                495015,                694471,,                142253,                 57203,,                613064,                 81407,,                              0.24,                              0.24,,                              0.24,                              0.24,                499056,                  2959,,,                 -6710,                    290
3005,2013年01月01日至2013年03月31日,,              3668761,,              3057956,                610805,                610805,,,                218041,,                177421,,                127434,                522896,,                  6140,                 94049,,,                 24505,,                  1399,,                 11475,,                 33579,                 48008,                142057,,                 42793,                 99264,                 99264,,,,,,,,,                350718,                449982,,                 66626,                 32638,,                402315,                 47667,,                              0.11,                              0.11,,                              0.11,                              0.11,                332508,                 21455,,,                 -3245,                              0
3005,2012年07月01日至2012年09月30日,,              4117117,,              3477539,                639578,                639578,,,                219066,,                188285,,                150212,                557563,,                    675,                 82690,,,                 33381,,                 -8885,,                 12445,,                 -5963,                  6088,                 88778,,                 36024,                 52754,                 52754,,,,,,,,,               -164492,               -111738,,                 33615,                 19139,,               -121744,                 10006,,                              0.06,                              0.06,,                              0.06,                              0.06,               -193329,                 29317,,,                   -536,                    -56
3005,2012年04月01日至2012年06月30日,,              4244327,,              3469566,                774761,                774761,,,                260121,,                185023,,                134844,                579988,,                  3392,                198165,,,                 25275,,                -11521,,                 10916,,                 -2205,                    633,                198798,,                 39741,                159057,                159057,,,,,,,,,                 22522,                181579,,                135203,                 23854,,                154491,                 27088,,                              0.23,                              0.23,,                              0.23,                              0.23,                 84978,                -47192,,,                -15193,                     71
3005,2012年01月01日至2012年12月31日,,             16542166,,             13671925,              2870241,              2870241,,,                913740,,                738235,,                590227,              2242202,,                 12393,                640432,,,                122315,,                -84595,,                 50355,,                -29406,                -42041,                598391,,                142394,                455997,                455997,,,,,,,,,               -333462,                122535,,                355975,                100022,,                 37350,                 85185,,                              0.62,                              0.62,,                              0.61,                              0.61,               -358960,                 65313,                -51281,,                  2733,                 -8733
3005,2012年01月01日至2012年09月30日,,             12031168,,             10007406,              2023762,              2023762,,,                719734,,                543371,,                403835,              1666940,,                  6811,                363633,,,                 92081,,                -25072,,                 37830,,                 -1428,                 27751,                391384,,                110315,                281069,                281069,,,,,,,,,               -299380,                -18311,,                219903,                 61166,,                -63512,                 45201,,                              0.38,                              0.38,,                              0.37,                              0.37,               -346006,                 38982,,,                  7630,                    -14
3005,2012年01月01日至2012年06月30日,,              7914051,,              6529867,              1384184,              1384184,,,                500668,,                355086,,                253623,              1109377,,                  6136,                280943,,,                 58700,,                -16187,,                 25385,,                  4535,                 21663,                302606,,                 74291,                228315,                228315,,,,,,,,,               -134888,                 93427,,                186288,                 42027,,                 58232,                 35195,,                              0.32,                              0.32,,                              0.32,                              0.32,               -152677,                  9665,,,                  8166,                     42
3005,2012年01月01日至2012年03月31日,,              3669724,,              3060301,                609423,                609423,,,                240547,,                170063,,                118779,                529389,,                  2744,                 82778,,,                 33425,,                 -4666,,                 14469,,                  6740,                 21030,                103808,,                 34550,                 69258,                 69258,,,,,,,,,               -157410,                -88152,,                 51085,                 18173,,                -96259,                  8107,,                              0.09,                              0.09,,                              0.09,                              0.09,               -237626,                 56857,,,                 23359,
