證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 與其他綜合損益組成部分相關之所得稅
3702,2014年01月01日至2014年03月31日,,            102341579,,             97534464,              4807115,              4807115,,,              1928453,,                969924,              2898377,              1908738,,,                 33239,,                 69342,,                281226,,                  2092,               -176553,              1732185,,                336642,              1395543,              1395543,,,,,,,,,                969865,              2365408,,              1396047,                   -504,,              2364602,                    806,,                              0.84,                              0.84,,                              0.84,                              0.84,              1040501,                -63486,,,                  2177,                  9327
3702,2013年第3季,,            107756563,,            102749168,              5007395,              5007395,,,              2048015,,              1180807,              3228822,              1778573,,,                 32702,,                 18303,,                237615,,                  9050,               -177560,              1601013,,                266155,              1334858,              1334858,,,,,,,,,               -523433,                811425,,              1333663,                  1195,,                811023,                    402,,                              0.81,                              0.81,,                              0.80,                              0.80,               -603987,                 79237,,,                 -5306,                 -6623
3702,2013年第2季,,            100651207,,             95841038,              4810169,              4810169,,,              2134367,,                987155,              3121522,              1688647,,,                 72571,,                141271,,                199480,,                   -221,                 14141,              1702788,,                324715,              1378073,              1378073,,,,,,,,,                222662,              1600735,,              1377398,                    675,,              1598982,                  1753,,                              0.83,                              0.83,,                              0.83,                              0.83,                207711,                 21624,,,                 -5325,                  1348
3702,2013年度,,            406256031,,            387717718,             18538313,             18538313,,,              8091641,,              4157264,             12248905,              6289408,,,                161390,,                217550,,                900220,,                 38257,               -483023,              5806385,,              1046653,              4759732,              4759732,,,,,,,,,              1057428,              5817160,,              4756306,                  3426,,              5812296,                  4864,,                              2.87,                              2.87,,                              2.87,                              2.87,                960699,                 53277,                 54815,,                 13203,                 24566
3702,2013年07月01日至2013年09月30日,,            107756563,,            102749168,              5007395,              5007395,,,              2048015,,              1180807,              3228822,              1778573,,,                 32702,,                 18303,,                237615,,                  9050,               -177560,              1601013,,                266155,              1334858,              1334858,,,,,,,,,               -523433,                811425,,              1333663,                  1195,,                811023,                    402,,                              0.81,                              0.81,,                              0.81,                              0.81,               -605907,                 79237,,,                 -3386,                 -6623
3702,2013年04月01日至2013年06月30日,,            100651207,,             95841038,              4810169,              4810169,,,              2134367,,                987155,              3121522,              1688647,,,                 72571,,                141271,,                199480,,                   -221,                 14141,              1702788,,                324715,              1378073,              1378073,,,,,,,,,                222662,              1600735,,              1377398,                    675,,              1598248,                  2487,,                              0.83,                              0.83,,                              0.83,                              0.83,                209631,                 21624,,,                 -7245,                  1348
3702,2013年01月01日至2013年12月31日,,            406256031,,            387717718,             18538313,             18538313,,,              8091641,,              4157264,             12248905,              6289408,,,                161390,,                217550,,                900220,,                 38257,               -483023,              5806385,,              1046653,              4759732,              4759732,,,,,,,,,              1057428,              5817160,,              4756306,                  3426,,              5812296,                  4864,,                              2.87,                              2.87,,                              2.87,                              2.87,                960699,                 53277,                 54815,,                 13203,                 24566
3702,2013年01月01日至2013年09月30日,,            294971152,,            280937848,             14033304,             14033304,,,              6076226,,              3109619,              9185845,              4847459,,,                144342,,                196336,,                636728,,                 27260,               -268790,              4578669,,                825478,              3753191,              3753191,,,,,,,,,                722852,              4476043,,              3751044,                  2147,,              4472893,                  3150,,                              2.27,                              2.27,,                              2.26,                              2.26,                606371,                114466,,,                 11071,                  9056
3702,2013年01月01日至2013年06月30日,,            187214589,,            178188680,              9025909,              9025909,,,              4028211,,              1928812,              5957023,              3068886,,,                111640,,                178033,,                399113,,                 18210,                -91230,              2977656,,                559323,              2418333,              2418333,,,,,,,,,              1246285,              3664618,,              2417381,                    952,,              3661870,                  2748,,                              1.46,                              1.46,,                              1.46,                              1.46,              1210358,                 35229,,,                 16377,                 15679
3702,2013年01月01日至2013年03月31日,,             86563382,,             82347642,              4215740,              4215740,,,              1893844,,                941657,              2835501,              1380239,,,                 39069,,                 36762,,                199633,,                 18431,               -105371,              1274868,,                234608,              1040260,              1040260,,,,,,,,,              1023623,              2063883,,              1039983,                    277,,              2062888,                    995,,                              0.63,                              0.63,,                              0.63,                              0.63,              1002647,                 13605,,,                 21702,                 14331
3702,2012年07月01日至2012年09月30日,,             98339607,,             93423542,              4916065,              4916065,,,              2109013,,                933024,              3042037,              1874028,,,                 49089,,                -47771,,                221493,,                  6261,               -213914,              1660114,,                264762,              1395352,              1395352,,,,,,,,,               -682510,                712842,,              1393623,                  1729,,                712014,                    828,,                              0.84,                              0.84,,                              0.84,                              0.84,               -692131,                    -19,,,                  5122,                 -4518
3702,2012年04月01日至2012年06月30日,,             90960739,,             86177350,              4783389,              4783389,,,              2068938,,                972358,              3041296,              1742093,,,                137314,,                 42346,,                218577,,                 16403,                -22514,              1719579,,                450579,              1269000,              1269000,,,,,,,,,                387272,              1656272,,              1267691,                  1309,,              1655271,                  1001,,                              0.78,                              0.78,,                              0.78,                              0.78,                384218,                 -7691,,,                  3350,                 -7395
3702,2012年01月01日至2012年12月31日,,            360614159,,            342519548,             18094611,             18094611,,,              8225459,,              3632063,             11857522,              6237089,,,                287017,,                -18500,,                894542,,                 29582,               -596443,              5640646,,              1092115,              4548531,              4548531,,,,,,,,,             -1466327,              3082204,,              4556020,                 -7489,,              3063118,                 19086,,                              2.77,                              2.77,,                              2.77,                              2.77,             -1438683,                -14234,                 -8903,,                -13812,                 -9305
3702,2012年01月01日至2012年09月30日,,            270154150,,            256294619,             13859531,             13859531,,,              6174071,,              2794326,              8968397,              4891134,,,                235440,,                 10106,,                670269,,                 27033,               -397690,              4493444,,                888052,              3605392,              3605392,,,,,,,,,             -1119357,              2486035,,              3612350,                 -6958,,              2467227,                 18808,,                              2.20,                              2.20,,                              2.20,                              2.20,             -1112266,                -12702,,,                    -27,                 -5638
3702,2012年01月01日至2012年06月30日,,            171814543,,            162871077,              8943466,              8943466,,,              4065058,,              1861302,              5926360,              3017106,,,                186351,,                 57877,,                448776,,                 20772,               -183776,              2833330,,                623290,              2210040,              2210040,,,,,,,,,               -436847,              1773193,,              2218727,                 -8687,,              1755213,                 17980,,                              1.36,                              1.36,,                              1.36,                              1.36,               -420135,                -12683,,,                 -5149,                 -1120
3702,2012年01月01日至2012年03月31日,,             80853804,,             76693727,              4160077,              4160077,,,              1996120,,                888944,              2885064,              1275013,,,                 49037,,                 15531,,                230199,,                  4369,               -161262,              1113751,,                172711,                941040,                941040,,,,,,,,,               -824119,                116921,,                951036,                 -9996,,                 99942,                 16979,,                              0.59,                              0.59,,                              0.59,                              0.59,               -804353,                 -4992,,,                 -8499,                  6275
