證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額
1213,2015年第3季,,                255608,,                216951,                 38657,                 38657,,,                 13514,,                  6985,                 20499,                 18158,,,                  2176,,                  1714,,                      1,                  3889,                 22047,,                  3788,                 18259,                 18259,,,                     -4,                     -4,                     -4,                 18255,,                 18259,,                 18255,,                              0.35,                              0.35,
1213,2015年第2季,,                163780,,                141112,                 22668,                 22668,,,                 16868,,                  5451,                 22319,                    349,,,                  1817,,                   -613,,                      1,                  1203,                  1552,,                  1305,                    247,                    247,,,                     -3,                     -3,                     -3,                    244,,                    247,,                    244,,                              0.00,                              0.00,
1213,2015年01月01日至2015年09月30日,,                602085,,                506687,                 95398,                 95398,,,                 47031,,                 17376,                 64407,                 30991,,,                  5585,,                    621,,                      3,                  6203,                 37194,,                  7619,                 29575,                 29575,,,                    -10,                    -10,                    -10,                 29565,,                 29575,,                 29565,,                              0.57,                              0.57,
1213,2015年01月01日至2015年06月30日,,                346477,,                289736,                 56741,                 56741,,,                 33517,,                 10391,                 43908,                 12833,,,                  3409,,                 -1093,,                      2,                  2314,                 15147,,                  3831,                 11316,                 11316,,,                     -6,                     -6,                     -6,                 11310,,                 11316,,                 11310,,                              0.22,                              0.22,
1213,2015年01月01日至2015年03月31日,,                182697,,                148624,                 34073,                 34073,,,                 16649,,                  4940,                 21589,                 12484,,,                  1592,,                   -480,,                      1,                  1111,                 13595,,                  2526,                 11069,                 11069,,,                     -3,                     -3,                     -3,                 11066,,                 11069,,                 11066,,                              0.22,                              0.22,
1213,2014年第3季,,                243540,,                204257,                 39283,                 39283,,,                 18939,,                  6521,                 25460,                 13823,,,                  2192,,                  1831,,                     20,                  4003,                 17826,,                  3026,                 14800,                 14800,,,                  1019,                  1019,                  1019,                 15819,,                 14800,,                 15819,,                              0.29,                              0.29,
1213,2014年第2季,,                158177,,                136538,                 21639,                 21639,,,                 16805,,                  5139,                 21944,                   -305,,,                  1495,,                 -1321,,                     23,                    151,                   -154,,                    109,                   -263,                   -263,,,                     -6,                     -6,                     -6,                   -269,,                   -263,,                   -269,,                             -0.01,                             -0.01,
1213,2014年度,,                702122,,                603479,                 98643,                 98643,,,                 65396,,                 20862,                 86258,                 12385,,,                  6494,,                 -2246,,                    107,                  4141,                 16526,,                  5017,                 11509,                 11509,,,,,                     11,                 11520,,                 11509,,                 11520,,                              0.22,                              0.22,                     11
1213,2014年01月01日至2014年09月30日,,                567749,,                482508,                 85241,                 85241,,,                 50222,,                 15772,                 65994,                 19247,,,                  5197,,                    -20,,                     89,                  5088,                 24335,,                  6018,                 18317,                 18317,,,                  1016,                  1016,                  1016,                 19333,,                 18317,,                 19333,,                              0.36,                              0.36,
1213,2014年01月01日至2014年06月30日,,                324209,,                278251,                 45958,                 45958,,,                 31283,,                  9251,                 40534,                  5424,,,                  3005,,                 -1851,,                     69,                  1085,                  6509,,                  2992,                  3517,                  3517,,,                     -3,                     -3,                     -3,                  3514,,                  3517,,                  3514,,                              0.07,                              0.07,
