證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入淨額,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益
4144,2015年第3季,,,                766275,                766275,,                356426,                409849,                409849,,,                185413,,                 63336,,                  6076,                254825,                155024,,,                  5433,,                 -8301,,                  4655,,                 -2072,                 -9595,                145429,,                 43329,                102100,                102100,,,                128306,                -54572,                 73734,                 73734,                175834,,                 66167,                 35933,,                121919,                 53915,,                              0.86,,                              0.85,,
4144,2015年第2季,,,                618289,                618289,,                305692,                312597,                312597,,,                136855,,                 61354,,                  2521,                200730,                111867,,,                 28015,,                 25082,,                  5463,,                 -1067,                 46567,                158434,,                 56307,                102127,                102127,,,                -47797,                -45255,                -93052,                -93052,                  9075,,                 79847,                 22280,,                 -7319,                 16394,,                              1.03,,                              1.01,,
4144,2015年01月01日至2015年09月30日,,,              2015135,              2015135,,                978429,              1036706,              1036706,,,                460402,,                188285,,                  8803,                657490,                379216,,,                 72763,,                 37882,,                 14133,,                 -5515,                 90997,                470213,,                129431,                340782,                340782,,,                 42428,               -113240,                -70812,                -70812,                269970,,                260855,                 79927,,                182590,                 87380,,                              3.36,,                              3.31,,
4144,2015年01月01日至2015年06月30日,,,              1248860,              1248860,,                622003,                626857,                626857,,,                274989,,                124949,,                  2727,                402665,                224192,,,                 67330,,                 46183,,                  9478,,                 -3443,                100592,                324784,,                 86102,                238682,                238682,,,                -85878,                -58668,               -144546,               -144546,                 94136,,                194688,                 43994,,                 60671,                 33465,,                              2.50,,                              2.46,,
4144,2015年01月01日至2015年03月31日,,,                630571,                630571,,                316311,                314260,                314260,,,                138134,,                 63595,,                    206,                201935,                112325,,,                 39315,,                 21101,,                  4015,,                 -2376,                 54025,                166350,,                 29795,                136555,                136555,,,                -38081,                -13413,                -51494,                -51494,                 85061,,                114841,                 21714,,                 67990,                 17071,,                              1.47,,                              1.45,,
4144,2014年第3季,,,                545817,                545817,,                254611,                291206,                291206,,,                135262,,                 51054,,                  3391,                189707,                101499,,,                 16213,,                 16054,,                  5280,,                 -1872,                 25115,                126614,,                 31692,                 94922,                 94922,,,                 65896,               -149214,                -83318,                -83318,                 11604,,                 77918,                 17004,,                -11803,                 23407,,                              1.00,,                              0.98,,
4144,2014年第2季,,,                529666,                529666,,                261829,                267837,                267837,,,                122101,,                 60074,,                  1016,                183191,                 84646,,,                 28790,,                 70364,,                  5044,,                 -3176,                 90934,                175580,,                 35822,                139758,                139758,,,                -54802,                 31490,                -23312,                -23312,                116446,,                126008,                 13750,,                117724,                 -1278,,                              1.62,,                              1.61,,
4144,2014年度,,,              2204967,              2204967,,              1082332,              1122635,              1122635,,,                525391,,                243690,,                 21898,                790979,                331656,,,                 59295,,                237496,,                 19864,,                -11676,                265251,                596907,,                114554,                482353,                482353,,,,,,               -133280,                349073,,                416641,                 65712,,                296518,                 52555,,                              5.35,,                              5.28,                 82174,               -215454
4144,2014年01月01日至2014年09月30日,,,              1581658,              1581658,,                769854,                811804,                811804,,,                381144,,                162094,,                  5493,                548731,                263073,,,                 49605,,                187235,,                 15511,,                -11538,                209791,                472864,,                 90514,                382350,                382350,,,                  3920,               -250111,               -246191,               -246191,                136159,,                338164,                 44186,,                 95406,                 40753,,                              4.34,,                              4.27,,
4144,2014年01月01日至2014年06月30日,,,              1035841,              1035841,,                515243,                520598,                520598,,,                245882,,                111040,,                  2102,                359024,                161574,,,                 33392,,                171181,,                 10231,,                 -9666,                184676,                346250,,                 58822,                287428,                287428,,,                -61976,               -100897,               -162873,               -162873,                124555,,                260246,                 27182,,                107209,                 17346,,                              3.34,,                              3.33,,
