證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入淨額,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 利息收入,　　　　 利息收入合計,　　　 租金收入,　　　 其他收入－其他,　　　 其他收入合計,　　 其他利益及損失,　　　 透過損益按公允價值衡量之金融資產（負債）利益,　　　 透過損益按公允價值衡量之金融資產（負債）損失,　　　 減損損失,　　　　 金融資產減損損失,　　　　 不動產、廠房及設備減損損失,　　　　 減損損失合計,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　　 股利收入,　　　 處分不動產、廠房及設備利益,　　　 外幣兌換利益,　　　 什項支出,　　　 處分不動產、廠房及設備損失,　　　 外幣兌換損失,　　　　 其他減損損失,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 與其他綜合損益組成部分相關之所得稅
2327,2015年第3季,,,              7113651,              7113651,,              5487225,              1626426,              1626426,,,                373166,,                309524,,                 93426,                776116,                850310,,,,                109498,                  5235,                242866,                357599,,                265124,                  3207,,                              0,                              0,                              0,                261917,,                 56522,,                 60327,                623321,              1473631,,                233871,              1239760,              1239760,,,              1366584,               -319628,,                 89135,                246232,                889859,                889859,              2129619,,              1227952,                 11808,,              2111259,                 18360,,                              1.86,,                              1.85,,,,,,,,,,,,,
2327,2015年第2季,,,              6932693,              6932693,,              5277794,              1654899,              1654899,,,                348281,,                266062,,                 92167,                706510,                948389,,,,                116365,                  4762,                 -2762,                135453,,                 80482,                130940,,                              0,                              0,                              0,                -11622,,                 53071,,                 59795,                130555,              1078944,,                344509,                734435,                734435,,,               -134546,                 21178,,                -31599,                -28908,               -116059,               -116059,                618376,,                723900,                 10535,,                608876,                  9500,,                              1.07,,                              1.07,                 17088,                    -29,                 38865,                              0,                              0,                              0,                              0,,,,,,
2327,2015年01月01日至2015年09月30日,,,             20977615,             20977615,,             15940906,              5036709,              5036709,,,              1067936,,                890142,,                270048,              2228126,              2808583,,,,                351156,                 15028,                335275,                701459,,                403202,                248527,,                              0,                              0,                              0,                154675,,                167469,,                170348,                859013,              3667596,,                749394,              2918202,              2918202,,,                465441,               -241619,,                 37332,                 84589,                176565,                176565,              3094767,,              2884574,                 33628,,              3060120,                 34647,,                              4.32,,                              4.30,,,,,,,,,,,,,
2327,2015年01月01日至2015年06月30日,,,             13863964,             13863964,,             10453681,              3410283,              3410283,,,                694770,,                580618,,                176622,              1452010,              1958273,,,,                241658,                  9793,                 -2305,                266234,,                138078,                245320,,                              0,                              0,                              0,                -29616,,                110947,,                110021,                235692,              2193965,,                515523,              1678442,              1678442,,,               -901143,                 78009,,                -51803,               -161643,               -713294,               -713294,                965148,,              1656622,                 21820,,                948861,                 16287,,                              2.47,,                              2.46,                 17088,                    999,                 76627,                              0,                              0,                              0,                              0,,,,,,
2327,2015年01月01日至2015年03月31日,,,              6931271,              6931271,,              5175887,              1755384,              1755384,,,                346489,,                314556,,                 84455,                745500,              1009884,,,,                115071,                  5031,                 49469,                169571,,                 57596,                114380,,,                              0,                              0,                -56784,,                 57876,,                 50226,                105137,              1115021,,                171014,                944007,                944007,,,               -766597,                 56831,,                -20204,               -132735,               -597235,               -597235,                346772,,                932722,                 11285,,                339985,                  6787,,                              1.40,,                              1.39,,,,,,,                              0,,,,,,
2327,2014年第3季,,,              7166217,              7166217,,              5238545,              1927672,              1927672,,,                377651,,                293891,,                 89725,                761267,              1166405,,,,                142582,                  5438,                 99594,                247614,,                 31283,                 34057,,                              0,                              0,                              0,                 -2774,,                 52048,,                 56544,                249336,              1415741,,                226950,              1188791,              1188791,,,                102454,                  5987,,                 46060,                 25754,                128747,                128747,              1317538,,              1179457,                  9334,,              1305976,                 11562,,                              0.69,,                              0.69,,,,,,,,,,,,,
2327,2014年第2季,,,              7096328,              7096328,,              5153190,              1943138,              1943138,,,                362016,,                293776,,                 86754,                742546,              1200592,,,,                139431,                  5214,                 29034,                190873,,                 33815,                 18191,,                              0,                              0,                              0,                -38146,,                 44158,,                 51120,                159689,              1360281,,                407147,                953134,                953134,,,               -524472,                -79241,,                -41671,                -95404,               -549980,               -549980,                403154,,                943473,                  9661,,                395069,                  8085,,                              0.43,,                              0.43,                 17194,                  1387,                -55157,                              0,                              0,                              0,                              0,,,,,,
2327,2014年度,,,             27026984,             27026984,,             19979522,              7047462,              7047462,,,              1485346,,              1182107,,                352957,              3020410,              4027052,,,,                556377,                 21745,                160809,                738931,,                256943,                170637,,                              0,                              0,                              0,                 86306,,                203590,,                181985,                803632,              4830684,,                938121,              3892563,              3892563,,,,,,,,,                714240,              4606803,,              3863046,                 29517,,              4575287,                 31516,,                              2.30,,                              2.30,,,,,,,,                705556,                 53359,                 -7755,,                 98264,                135184
2327,2014年01月01日至2014年09月30日,,,             20807638,             20807638,,             15315269,              5492369,              5492369,,,              1102644,,                868308,,                266324,              2237276,              3255093,,,,                419317,                 16076,                222221,                657614,,                128362,                135526,,                              0,                              0,                              0,                 -7164,,                133336,,                137223,                654337,              3909430,,                807750,              3101680,              3101680,,,                 47088,                178178,,                 15590,                 11343,                229513,                229513,              3331193,,              3075628,                 26052,,              3306767,                 24426,,                              1.52,,                              1.51,,,,,,,,,,,,,
2327,2014年01月01日至2014年06月30日,,,             13641421,             13641421,,             10076724,              3564697,              3564697,,,                724993,,                574417,,                176599,              1476009,              2088688,,,,                276735,                 10638,                114034,                418601,,                 97079,                101469,,                              0,                              0,                              0,                -12991,,                 81288,,                 80679,                405001,              2493689,,                580800,              1912889,              1912889,,,                -55366,                172191,,                -30470,                -14411,                100766,                100766,              2013655,,              1896171,                 16718,,              2000791,                 12864,,                              0.87,,                              0.86,                 17194,                  2237,                -10838,                              0,                              0,                              0,                              0,,,,,,
