證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益
9802,2015年第3季,,              2323311,,              2026637,                296674,                296674,,,                 45862,,                172796,,                 30894,                249552,                 47122,,,                  5691,,                109505,,                  4752,                110444,                157566,,                103689,                 53877,                 53877,,,                239792,                 -2089,                237703,                237703,                291580,,                 55677,                 -1800,,                291493,                     87,,                              0.43,                              0.43,,                              0.42,                              0.42,,
9802,2015年第2季,,              2177478,,              2050755,                126723,                126723,,,                 42332,,                165124,,                 31242,                238698,               -111975,,,                 20710,,                -14391,,                  3969,                  2350,               -109625,,                    620,               -110245,               -110245,,,                -79490,                 -1156,                -80646,                -80646,               -190891,,               -109093,                 -1152,,               -189242,                 -1649,,                             -0.84,                             -0.84,,                             -0.84,                             -0.84,,
9802,2015年01月01日至2015年09月30日,,              7016842,,              6171500,                845342,                845342,,,                128137,,                520547,,                 83711,                732395,                112947,,,                 40565,,                 86582,,                 13272,                113875,                226822,,                143235,                 83587,                 83587,,,                109940,                 -4564,                105376,                105376,                188963,,                 88103,                 -4516,,                185528,                  3435,,                              0.67,                              0.67,,                              0.67,                              0.67,,
9802,2015年01月01日至2015年06月30日,,              4693531,,              4144863,                548668,                548668,,,                 82275,,                347751,,                 52817,                482843,                 65825,,,                 34874,,                -22923,,                  8520,                  3431,                 69256,,                 39546,                 29710,                 29710,,,               -129852,                 -2475,               -132327,               -132327,               -102617,,                 32426,                 -2716,,               -105965,                  3348,,                              0.25,                              0.25,,                              0.25,                              0.25,,
9802,2015年01月01日至2015年03月31日,,              2516053,,              2094108,                421945,                421945,,,                 39943,,                182627,,                 21575,                244145,                177800,,,                 14164,,                 -8532,,                  4551,                  1081,                178881,,                 38926,                139955,                139955,,,                -50362,                 -1319,                -51681,                -51681,                 88274,,                141519,                 -1564,,                 83277,                  4997,,                              1.10,                              1.10,,                              1.07,                              1.07,,
9802,2014年第3季,,              2018689,,              1712867,                305822,                305822,,,                 39039,,                155238,,                 23582,                217859,                 87963,,,                  7931,,                 -1478,,                  6055,                    398,                 88361,,                 13511,                 74850,                 74850,,,                127473,                 -1366,                126107,                126107,                200957,,                 74388,                    462,,                199618,                  1339,,                              0.61,                              0.61,,                              0.59,                              0.59,,
9802,2014年第2季,,              2268334,,              1886713,                381621,                381621,,,                 36074,,                149120,,                 22826,                208020,                173601,,,                 12401,,                 -2514,,                  5781,                  4106,                177707,,                 46030,                131677,                131677,,,               -102655,                   -793,               -103448,               -103448,                 28229,,                132975,                 -1298,,                 29892,                 -1663,,                              1.12,                              1.12,,                              1.02,                              1.02,,
9802,2014年度,,              8524597,,              7160868,              1363729,              1363729,,,                163961,,                631397,,                 92373,                887731,                475998,,,                 67247,,                 -9091,,                 22010,                 36146,                512144,,                123501,                388643,                388643,,,,,,                223139,                611782,,                387291,                  1352,,                607985,                  3797,,                              3.19,                              3.19,,                              3.11,                              3.11,                226419,                 -3280
9802,2014年01月01日至2014年09月30日,,              6306724,,              5306635,              1000089,              1000089,,,                108606,,                452668,,                 68669,                629943,                370146,,,                 32458,,                -17613,,                 17351,                 -2506,                367640,,                 82228,                285412,                285412,,,                 37616,                 -1809,                 35807,                 35807,                321219,,                287575,                 -2163,,                322938,                 -1719,,                              2.41,                              2.41,,                              2.32,                              2.32,,
9802,2014年01月01日至2014年06月30日,,              4288035,,              3593768,                694267,                694267,,,                 69567,,                297430,,                 45087,                412084,                282183,,,                 24527,,                -16135,,                 11296,                 -2904,                279279,,                 68717,                210562,                210562,,,                -89857,                   -443,                -90300,                -90300,                120262,,                213187,                 -2625,,                123320,                 -3058,,                              1.80,                              1.80,,                              1.64,                              1.64,,
