證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入淨額,　　 營業收入合計,　 營業成本,　　 銷貨成本,　　　 銷貨成本,　　　 銷貨成本合計,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入－其他,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 除列按攤銷後成本衡量金融資產淨損益,　　　 除列按攤銷後成本衡量金融資產淨損益,　　 金融資產重分類淨損益,　　　 金融資產重分類淨損益,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 停業單位損益,　　 停業單位損益合計,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 不重分類至損益之項目,　　　 確定福利計畫之再衡量數,　　　 重估增值,　　　 指定按公允價值衡量之金融負債信用風險變動影響數,　　　 與待出售非流動資產直接相關之權益,　　　 權益工具投資之利益（損失）,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　　 不重分類至損益之其他項目,　　　 與不重分類之項目相關之所得稅,　　　 不重分類至損益之項目總額,　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 共同控制下前手權益（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　 共同控制下前手權益（淨利／損）,　　　 銷貨收入,　　　　 銷貨收入合計,　　　 廉價購買利益,　　 國外營運機構財務報表換算之兌換差額,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計
2417,2015年第3季,,,                621675,                621675,,,                356653,                356653,                356653,                265022,                265022,,,                190009,,                 33461,,                108778,                332248,                -67226,,,                 10879,                 10879,,                 20273,,                              0,,                              0,,                              0,,                              0,                 31152,                -36074,,                  5485,                -41559,,                              0,                -41559,,,                              0,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,                              0,,                 15983,                 15983,                 15983,                -25576,,                -52183,                 10624,,                -45126,                              0,                 19550,,                             -0.27,                             -0.27,,                             -0.27,                             -0.27,,,,,,,
2417,2015年第2季,,,                548186,                548186,,,                298241,                298241,                298241,                249945,                249945,,,                183962,,                 35935,,                111513,                331410,                -81465,,,                  9617,                  9617,,                    363,,                              0,,                              0,,                     20,,                              0,                  9960,                -71505,,                 -2450,                -69055,,                              0,                -69055,,,,,,,,,,,,,,                 -5952,                 -5952,                 -5952,                -75007,,                -69656,                    601,,                -72726,,                 -2281,,                             -0.35,                             -0.35,,                             -0.35,                             -0.35,                              0,,,,,,
2417,2015年第1季,,,                508736,                508736,,,,                273868,                273868,                234868,                234868,,,                185888,,                 37111,,                109868,                332867,                -97999,,,                  9397,                  9397,,                -17944,,,,,,                      1,,,                 -8548,               -106547,,                 -1797,               -104750,,,               -104750,,,                              0,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,                              0,,                  1940,                  1940,                  1940,               -102810,,                -82488,                -22262,,                -80593,,                -22217,,                             -0.42,                             -0.42,,                             -0.42,                             -0.42,,,                508736,,,,
2417,2015年01月01日至2015年09月30日,,,              1678597,              1678597,,,                928762,                928762,                928762,                749835,                749835,,,                559859,,                106507,,                330159,                996525,               -246690,,,                 29893,                 29893,,                  2692,,                              0,,                              0,,                     21,,                              0,                 32564,               -214126,,                  1238,               -215364,,                              0,               -215364,,,                              0,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,                              0,,                 11971,                 11971,                 11971,               -203393,,               -204327,                -11037,,               -198445,                              0,                 -4948,,                             -1.04,                             -1.04,,                             -1.04,                             -1.04,,,,,,,
2417,2015年01月01日至2015年06月30日,,,              1056922,              1056922,,,                572109,                572109,                572109,                484813,                484813,,,                369850,,                 73046,,                221381,                664277,               -179464,,,                 19014,                 19014,,                -17581,,                              0,,                              0,,                     21,,                              0,                  1412,               -178052,,                 -4247,               -173805,,                              0,               -173805,,,,,,,,,,,,,,                 -4012,                 -4012,                 -4012,               -177817,,               -152144,                -21661,,               -153319,,                -24498,,                             -0.77,                             -0.77,,                             -0.77,                             -0.77,                              0,,,,,,
2417,2014年第3季,,,                714856,                714856,,,                398873,                398873,                398873,                315983,                315983,,,                198109,,                 42538,,                110142,                350789,                -34806,,,                 10520,                 10520,,                 -3386,,                              0,,                              0,,                      2,,                              0,                  7132,                -27674,,                  6053,                -33727,,                              0,                -33727,,,                              0,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,                              0,,                  6633,                  6633,                  6633,                -27094,,                -41098,                  7371,,                -37642,                              0,                 10548,,                             -0.20,                             -0.20,,                             -0.20,                             -0.20,,,,,,,
2417,2014年第2季,,,                676375,                676375,,,                340084,                340084,                340084,                336291,                336291,,,                187150,,                 43344,,                113000,                343494,                 -7203,,,                 10882,                 10882,,                -10488,,                              0,,                              0,,                     46,,                              0,                    348,                 -6855,,                  3419,                -10274,,                              0,                -10274,,,,,,,,,,,,,,                 -6907,                 -6907,                 -6907,                -17181,,                -30666,                 20392,,                -34069,,                 16888,,                             -0.16,                             -0.16,,                             -0.16,                             -0.16,                              0,,,,,,
2417,2014年第1季,,,                651534,                651534,,,,                344738,                344738,                306796,                306796,,,                188174,,                 39718,,                116565,                344457,                -37661,,,                 11238,                 11238,,                  9031,,,,,,                     11,,,                 20258,                -17403,,                  2309,                -19712,,,                -19712,,,                              0,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,                              0,,                  8508,                  8508,                  8508,                -11204,,                -21824,                  2112,,                -17379,,                  6175,,                             -0.11,                             -0.11,,                             -0.11,                             -0.11,,,                651534,,,,
2417,2014年度,,,                812588,                812588,,,,                485913,                485913,                326675,                326675,,,                221248,,                 88237,,                212316,                521801,               -195126,,,                 33214,                 33214,,                  2909,,,,,,                     85,,                  9233,                 45271,               -149855,,                 -1546,               -148309,,,               -148309,,,,,,,,,,,,,,,,                 10590,               -137719,,               -148309,,,               -137719,,                              0,,                             -0.75,                             -0.75,,                             -0.75,                             -0.75,,,                812588,                              0,                  2499,,                  8091
2417,2014年01月01日至2014年09月30日,,,              2042765,              2042765,,,              1083695,              1083695,              1083695,                959070,                959070,,,                573433,,                125600,,                339707,              1038740,                -79670,,,                 32640,                 32640,,                 -4843,,                              0,,                              0,,                     59,,                              0,                 27738,                -51932,,                 11781,                -63713,,                              0,                -63713,,,                              0,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,                              0,,                  8234,                  8234,                  8234,                -55479,,                -93588,                 29875,,                -89090,                              0,                 33611,,                             -0.47,                             -0.47,,                             -0.47,                             -0.47,,,,,,,
