證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 營業費用合計,　 其他收益及費損淨額,　　 其他收益及費損淨額,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 不重分類至損益之項目,　　　 確定福利計畫之再衡量數,　　　 重估增值,　　　 指定按公允價值衡量之金融負債信用風險變動影響數,　　　 與待出售非流動資產直接相關之權益,　　　 與待出售非流動資產直接相關之權益,　　　 權益工具投資之利益（損失）,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　　 不重分類至損益之其他項目,　　　 與不重分類之項目相關之所得稅,　　　 不重分類至損益之項目總額,　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 現金流量避險中屬有效避險部分之避險工具利益(損失),　　　 國外營運機構淨投資避險中屬有效避險部分之避險工具利益(損失),　　　 與待出售非流動資產直接相關之權益,　　　 與待出售非流動資產直接相關之權益,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 可能重分類至損益之其他項目,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 與其他綜合損益組成部分相關之所得稅,　　 現金流量避險
2609,2015年第3季,,             31903399,,             34014380,             -2110981,             -2110981,,,              1232251,,                216138,              1448389,,                 83612,             -3475758,,,                132140,,               -441330,,                449918,,                -53087,               -812195,             -4287953,,                -79705,             -4208248,             -4208248,,,                              0,                              0,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,                              0,,                630132,               -322048,                              0,                              0,                              0,                              0,,                -22815,                              0,                              0,                285269,                285269,             -3922979,,             -4232267,                 24019,,             -3958584,                 35605,,                             -1.22,                             -1.22,,                             -1.22,                             -1.22,,,,,,,
2609,2015年第2季,,             32589437,,             31228266,              1361171,              1361171,,,              1280774,,                197565,              1478339,,                110892,                 -6276,,,                 91570,,                106351,,                435101,,                 37825,               -199355,               -205631,,               -179610,                -26021,                -26021,,,,,,,,,,,,,,,               -148102,               -201825,,,,,,                -14291,,,               -364218,               -364218,               -390239,,                -11768,                -14253,,               -371914,                -18325,,                              0.00,                              0.00,,                              0.00,                              0.00,,,,,,,
2609,2015年01月01日至2015年09月30日,,             97647554,,             96507032,              1140522,              1140522,,,              3803545,,                637480,              4441025,,                323499,             -2977004,,,                308125,,               -189972,,              1338259,,                -17397,             -1237503,             -4214507,,               -218927,             -3995580,             -3995580,,,                              0,                              0,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,                              0,,                307841,               -637026,                              0,                              0,                              0,                              0,,                -45129,                              0,                              0,               -374314,               -374314,             -4369894,,             -3940292,                -55288,,             -4299952,                -69942,,                             -1.15,                             -1.15,,                             -1.15,                             -1.15,,,,,,,
2609,2015年01月01日至2015年06月30日,,             65744155,,             62492652,              3251503,              3251503,,,              2571294,,                421342,              2992636,,                239887,                498754,,,                175985,,                251358,,                888341,,                 35690,               -425308,                 73446,,               -139222,                212668,                212668,,,,,,,,,,,,,,,               -322291,               -314978,,,,,,                -22314,,,               -659583,               -659583,               -446915,,                291975,                -79307,,               -341368,               -105547,,                              0.09,                              0.09,,                              0.09,                              0.09,,,,,,,
2609,2015年01月01日至2015年03月31日,,             33154718,,             31264386,              1890332,              1890332,,,              1290520,,                223777,              1514297,,                128995,                505030,,,                 84415,,                145007,,                453240,,                 -2135,               -225953,                279077,,                 40388,                238689,                238689,,,,,,,,,,,,,,,               -174189,               -113153,,,,,,                 -8023,,,               -295365,               -295365,                -56676,,                303743,                -65054,,                 30546,                -87222,,                              0.09,                              0.09,,                              0.09,                              0.09,,,,,,,
2609,2014年第3季,,             37311874,,             34180893,              3130981,              3130981,,,              1178443,,                202467,              1380910,,                238096,              1988167,,,                130208,,               -238937,,                465026,,                 35120,               -538635,              1449532,,                  8713,              1440819,              1440819,,,                              0,                              0,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,                              0,,                143887,                 10934,                              0,                              0,                              0,                              0,,                    752,                              0,                              0,                155573,                155573,              1596392,,              1395419,                 45400,,              1547422,                 48970,,                              0.43,                              0.43,,                              0.39,                              0.39,,,,,,,
2609,2014年第2季,,             34285724,,             33472883,                812841,                812841,,,              1251965,,                213170,              1465135,,              1149599,                497305,,,                 61353,,                360155,,                432516,,                119440,                108432,                605737,,                377321,                228416,                228416,,,,,,,,,,,,,,,               -204100,               -141432,,,,,,                -10028,,,               -355560,               -355560,               -127144,,                215120,                 13296,,               -129766,                  2622,,                              0.07,                              0.07,,                              0.06,                              0.06,,,,,,,
2609,2014年度,,            134777858,,            129032363,              5745495,              5745495,,,              5052324,,                852056,              5904380,,              2946562,              2787677,,,                337195,,               -466615,,              1774345,,                138084,             -1765681,              1021996,,                494653,                527343,                527343,,,,,,,,,,,,,,,,,,,,,,,,,,                 65598,                592941,,                411367,                115976,,                462768,                130173,,                              0.13,                              0.13,,                              0.13,                              0.13,                564141,               -473393,                  9004,,                -32623,                  1531,
2609,2014年01月01日至2014年09月30日,,             99839034,,             95790622,              4048412,              4048412,,,              3688293,,                629642,              4317935,,              1733725,              1464202,,,                251819,,                 35582,,              1332053,,                154504,               -890148,                574054,,                440440,                133614,                133614,,,                              0,                              0,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,                              0,,                139944,               -444456,                              0,                              0,                              0,                              0,,                -30838,                              0,                              0,               -335350,               -335350,               -201736,,                 51683,                 81931,,               -288731,                 86995,,                              0.02,                              0.02,,                              0.02,                              0.02,,,,,,,
2609,2014年01月01日至2014年06月30日,,             62527160,,             61609729,                917431,                917431,,,              2509850,,                427175,              2937025,,              1495629,               -523965,,,                121611,,                274519,,                867027,,                119384,               -351513,               -875478,,                431727,             -1307205,             -1307205,,,,,,,,,,,,,,,                 -3943,               -455390,,,,,,                -31590,,,               -490923,               -490923,             -1798128,,             -1343736,                 36531,,             -1836153,                 38025,,                              0.41,                              0.41,,                              0.41,                              0.41,,,,,,,
