證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入,　　　　 銷貨收入合計,　　　 銷貨收入淨額,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 與其他綜合損益組成部分相關之所得稅,　 其他收益及費損淨額,　　 其他收益,　　 其他收益及費損淨額
3035,2013年第3季,,,,              1756480,              1756480,              1756480,,                951446,                805034,                805034,,,                 56870,,                 95900,,                387290,                540060,                264974,,,                  9638,,                -19176,,                     89,,                 -9031,                -18658,                246316,,                 43550,                202766,                202766,,,,,,,,                   -988,                201778,,                203942,                 -1176,,                202954,                 -1176,,                              0.50,,                              0.49,                 -2220,                  1274,,,                    -42,,,,
3035,2013年第2季,,,,,,              1771752,,                953057,                818695,                818695,,,                 58860,,                110447,,                418496,                587803,                230892,,,                  6938,,                 -4256,,                     85,,                  9375,                 11972,                242864,,                 39423,                203441,                203441,,,,,,,,                 -8392,                195049,,                203765,                   -324,,                195373,                   -324,,                              0.50,,                              0.49,                  4130,                 -9648,,,                 -2874,,,,
3035,2013年度,,,,,              6946007,              6946007,,              3737053,              3208954,              3208954,,,                246420,,                391251,,              1565891,              2203562,              1005392,,,                 36942,,                -30531,,                    344,,                -18568,                -12501,                992891,,                178552,                814339,                814339,,,,,,,,                  9693,                824032,,                818771,                 -4432,,                828464,                 -4432,,                              2.02,,                              1.98,                 16543,                 -3510,                 -5787,,                  1464,                   -983,,,
3035,2013年07月01日至2013年09月30日,,,,              1756480,              1756480,              1756480,,                951446,                805034,                805034,,,                 56870,,                 95900,,                387290,                540060,                268274,,,                  9638,,                -22476,,                     89,,                 -9031,                -21958,                246316,,                 43550,                202766,                202766,,,,,,,,                   -988,                201778,,                203942,                 -1176,,                202954,                 -1176,,                              0.50,,                              0.49,                 -2220,                  1274,,,                    -42,,,                  3300,                  3300
3035,2013年04月01日至2013年06月30日,,,,,,              1771752,,                953057,                818695,                818695,,,                 58860,,                110447,,                418496,                587803,                229732,,,                  8098,,                 -4256,,                     85,,                  9375,                 13132,                242864,,                 39423,                203441,                203441,,,,,,,,                 -8392,                195049,,                203765,                   -324,,                195373,                   -324,,                              0.50,,                              0.49,                  4130,                 -9648,,,                 -2874,,,                 -1160,                 -1160
3035,2013年01月01日至2013年12月31日,,,,,              6946007,              6946007,,              3737053,              3208954,              3208954,,,                246420,,                391251,,              1565891,              2203562,              1005392,,,                 39285,,                -32874,,                    344,,                -18568,                -12501,                992891,,                178552,                814339,                814339,,,,,,,,                  9693,                824032,,                818771,                 -4432,,                828464,                 -4432,,                              2.02,,                              1.98,                 16543,                 -3510,                 -5787,,                  1464,                   -983,,,
3035,2013年01月01日至2013年09月30日,,,,              5356433,              5356433,              5356433,,              2963521,              2392912,              2392912,,,                182085,,                300165,,              1170239,              1652489,                740423,,,                 26701,,                -31301,,                    258,,                 -8417,                -13275,                727148,,                116668,                610480,                610480,,,,,,,,                 11801,                622281,,                612652,                 -2172,,                624453,                 -2172,,                              1.51,,                              1.48,                 13243,                 -2913,,,                  1471,,,,
3035,2013年01月01日至2013年06月30日,,,,,,              3599953,,              2012075,              1587878,              1587878,,,                125215,,                204265,,                782949,              1112429,                475449,,,                 17063,,                -12125,,                    169,,                    614,                  5383,                480832,,                 73118,                407714,                407714,,,,,,,,                 12789,                420503,,                408710,                   -996,,                421499,                   -996,,                              1.01,,                              0.98,                 15463,                 -4187,,,                  1513,,,,
3035,2013年01月01日至2013年03月31日,,,,,,              1828201,,              1059018,                769183,                769183,,,                 66355,,                 93818,,                364453,                524626,                245717,,,                  8965,,                 -7869,,                     84,,                 -8761,                 -7749,                237968,,                 33695,                204273,                204273,,,,,,,,                 21181,                225454,,                204945,                   -672,,                226126,                   -672,,                              0.51,,                              0.49,                 11333,                  5461,,,                  4387,,,                  1160,                  1160
3035,2012年07月01日至2012年09月30日,,,,              2401457,              2401457,              2401457,,              1458652,                942805,                942805,,,                 75758,,                103442,,                411417,                590617,                352188,,,                 17745,,                -10971,,                     77,,                 -4936,                  1761,                353949,,                 34264,                319685,                319685,,,,,,,,                 -5395,                314290,,                320955,                 -1270,,                315560,                 -1270,,                              0.80,,                              0.78,                 -7008,                  3907,,,                 -2294,,,                              0,                              0
3035,2012年04月01日至2012年06月30日,,,,,,              1989091,,              1143558,                845533,                845533,,,                 60559,,                 95356,,                368000,                523915,                321618,,,                 -2103,,                  2187,,                     81,,                 -8973,                 -8970,                312648,,                 30369,                282279,                282279,,,,,,,,                  2714,                284993,,                284346,                 -2067,,                287060,                 -2067,,                              0.71,,                              0.70,                  1010,                   -196,,,                  1900,,,                              0,                              0
3035,2012年01月01日至2012年12月31日,,,,,              8306454,              8306454,,              4953803,              3352651,              3352651,,,                236336,,                385529,,              1544461,              2166326,              1186325,,,                 42835,,                -16711,,                    321,,                -36720,                -10917,              1175408,,                125355,              1050053,              1050053,,,,,,,,                -22180,              1027873,,              1055987,                 -5934,,              1033807,                 -5934,,                              2.62,,                              2.56,                 -8740,                  9761,                -23093,,                 -4035,                 -3927,,,
3035,2012年01月01日至2012年09月30日,,,,              6226440,              6226440,              6226440,,              3664788,              2561652,              2561652,,,                190986,,                287174,,              1140184,              1618344,                943308,,,                 32015,,                -16020,,                    211,,                -24671,                 -8887,                934421,,                 89048,                845373,                845373,,,,,,,,                 -5703,                839670,,                849632,                 -4259,,                843929,                 -4259,,                              2.11,,                              2.07,                -11150,                  7180,,,                 -1733,,,                              0,                              0
3035,2012年01月01日至2012年06月30日,,,,,,              3824983,,              2206136,              1618847,              1618847,,,                115228,,                183732,,                728767,              1027727,                591120,,,                 14270,,                 -5049,,                    134,,                -19735,                -10648,                580472,,                 54784,                525688,                525688,,,,,,,,                   -308,                525380,,                528677,                 -2989,,                528369,                 -2989,,                              1.32,,                              1.29,                 -4142,                  3273,,,                    561,,,                              0,                              0
3035,2012年01月01日至2012年03月31日,,,,,,              1835892,,              1062578,                773314,                773314,,,                 54669,,                 88376,,                360767,                503812,                269502,,,                 16373,,                 -7236,,                     53,,                -10762,                 -1678,                267824,,                 24415,                243409,                243409,,,,,,,,                 -3022,                240387,,                244331,                   -922,,                241309,                   -922,,                              0.61,,                              0.60,                 -5152,                  3469,,,                 -1339,,,                              0,                              0
