證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 除列按攤銷後成本衡量金融資產淨損益,　　　 除列按攤銷後成本衡量金融資產淨損益,　　 金融資產重分類淨損益,　　　 金融資產重分類淨損益,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　　 其他收入－其他,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 現金流量避險,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 繼續營業單位淨利（淨損）,　　 稀釋繼續營業單位淨利（淨損）,　　 確定福利計畫精算利益（損失）
9904,2015年第3季,,             65689709,,             50298423,             15391286,             15391286,,,              5871136,,              5047976,,              1654459,             12573571,              2817715,,,              1378534,,               -838000,,                              0,,                              0,,                262882,,              2656457,              2934109,              5751824,,                697324,              5054500,              5054500,,,              2984669,             -2680218,,             -5656731,             -5352280,             -5352280,               -297780,,              3566269,              1488231,,             -1076355,                778575,,                              1.21,,                              1.18,,,,,,,,,
9904,2015年第2季,,             70507475,,             54041793,             16465682,             16465682,,,              6176609,,              5255832,,              1359206,             12791647,              3674035,,,                942147,,                253058,,,,,,                300970,,              1698649,              2592884,              6266919,,              1452425,              4814494,              4814494,,,               -938410,                930620,,             -2489926,             -2497716,             -2497716,              2316778,,              2682646,              2131848,,,,,,,,,,,,,,,,
9904,2015年01月01日至2015年09月30日,,            198449597,,            152344176,             46105421,             46105421,,,             17871794,,             15011210,,              4505302,             37388306,              8717115,,,              3001722,,               -327599,,                              0,,                              0,,                837411,,              5815655,              7652367,             16369482,,              2797391,             13572091,             13572091,,,              1530552,               -693384,,             -6894317,             -6057149,             -6057149,              7514942,,              8345405,              5226686,,              2719628,              4795314,,                              2.83,,                              2.75,,,,,,,,,
9904,2015年01月01日至2015年06月30日,,            132759888,,            102045753,             30714135,             30714135,,,             12000658,,              9963234,,              2850843,             24814735,              5899400,,,              1623188,,                510401,,,,,,                574529,,              3159198,              4718258,             10617658,,              2100067,              8517591,              8517591,,,             -1454117,              1986834,,             -1237586,               -704869,               -704869,              7812722,,              4779136,              3738455,,,,,,,,,,,,,,,,
9904,2014年第3季,,             59824926,,             46879361,             12945565,             12945565,,,              5209822,,              4003702,,              1645852,             10859376,              2086189,,,              1360566,,                430971,,                              0,,                              0,,                256960,,              2468638,              4003215,              6089404,,                424109,              5665295,              5665295,,,              1160015,                -11567,,             -4588009,             -3439561,             -3439561,              2225734,,              3935419,              1729876,,                457655,              1768079,,                              1.34,,                              1.31,,,,,,,,,
9904,2014年第2季,,             64035305,,             49636550,             14398755,             14398755,,,              5104616,,              7022088,,              1653963,             13780667,                618088,,,                527524,,                -14177,,,,,,                269021,,              1273350,              1517676,              2135764,,                495983,              1639781,              1639781,,,             -1375607,                648768,,              1489039,                762200,                762200,              2401981,,              1152291,                487490,,,,,,,,,,,,,,,,
9904,2014年01月01日至2014年09月30日,,            179652458,,            139249280,             40403178,             40403178,,,             14912187,,             15320108,,              4810911,             35043206,              5359972,,,              2713450,,               -930663,,                              0,,                              0,,                793955,,              4655538,              5644370,             11004342,,              1532505,              9471837,              9471837,,,                367223,                -26290,,             -1967221,             -1626288,             -1626288,              7845549,,              6140622,              3331215,,              5041035,              2804514,,                              2.09,,                              2.03,,,,,,,,,
9904,2014年01月01日至2014年06月30日,,            119827532,,             92369919,             27457613,             27457613,,,              9702365,,             11316406,,              3165059,             24183830,              3273783,,,              1352884,,             -1361634,,,,,,                536995,,              2186900,              1641155,              4914938,,              1108396,              3806542,              3806542,,,               -792792,                -14723,,              2620788,              1813273,              1813273,              5619815,,              2205203,              160,,,,,,,,,,,,,,,,
9904,2014年01月01日至2014年03月31日,,             55792227,,             42733369,             13058858,             13058858,,,              4597749,,              4294318,,              1511096,             10403163,              2655695,,,                825360,,             -1347457,,,,,,                267974,,                913550,                123479,              2779174,,                612413,              2166761,              2166761,,,,,,,,              1051073,              3217834,,              1052912,              1113849,,              2586517,                631317,,                              0.36,,                              0.35,                825360,                582815,               -663491,                              0,,              1131749,                              0.36,                              0.35,
9904,2013年第2季,,             59864915,,             46653904,             13211011,             13211011,,,              4601030,,              3775667,,              1524434,              9901131,              3309880,,,                555595,,                425144,,,,,,                320294,,              1472051,              2132496,              5442376,,                725650,              4716726,              4716726,,,,,,,,             -4166439,                550287,,              2670653,              2046073,,             -1802014,              2352301,,                              0.91,,                              0.89,                555595,                830972,               -634088,                  2642,,             -4365965,                              0.91,                              0.89,
9904,2013年07月01日至2013年09月30日,,             55923992,,             43463165,             12460827,             12460827,,,              4734486,,              4169249,,              1520414,             10424149,              2036678,,,              1531241,,              1550238,,,,,,                294827,,              1575855,              4362507,              6399185,,                489490,              5909695,              5909695,,,,,,,,             -3047136,              2862559,,              3903564,              2006131,,                714346,              2148213,,                              1.33,,                              1.30,              1531241,               -687317,                252171,                              0,,             -2611990,                              1.33,                              1.30,
9904,2013年04月01日至2013年06月30日,,             59864915,,             46653904,             13211011,             13211011,,,              4601030,,              3775667,,              1524434,              9901131,              3309880,,,                555595,,                425144,,,,,,                320294,,              1472051,              2132496,              5442376,,                725650,              4716726,              4716726,,,,,,,,             -4166439,                550287,,              2670653,              2046073,,             -1802014,              2352301,,                              0.91,,                              0.89,                555595,                857510,               -226328,                  2642,,             -4800263,                              0.91,                              0.89,
9904,2013年01月01日至2013年12月31日,,            226664569,,            176136637,             50527932,             50527932,,,             18659399,,             15521416,,              6248128,             40428943,             10098989,,,              3580929,,              1324978,,,,,,              1250172,,              4977369,              8633104,             18732093,,              1821143,             16910950,             16910950,,,,,,,,             -6713194,             10197756,,             10619449,              6291501,,              3350207,              6847549,,                              3.62,,                              3.53,              3580929,              2260746,              1460998,                  5430,,            -10198325,                              3.62,                              3.53,               -242043
9904,2013年01月01日至2013年09月30日,,            166572136,,            130134767,             36437369,             36437369,,,             13700430,,             11597221,,              4557531,             29855182,              6582187,,,              2671149,,              2107586,,,,,,                968506,,              3688799,              7499028,             14081215,,              1405581,             12675634,             12675634,,,,,,,,             -7879901,              4795733,,              7896171,              4779463,,               -417189,              5212922,,                              2.69,,                              2.63,              2671149,              1692802,                281487,                  5430,,             -9859620,                              2.69,                              2.63,
9904,2013年01月01日至2013年06月30日,,            110648144,,             86671602,             23976542,             23976542,,,              8965944,,              7427972,,              3037117,             19431033,              4545509,,,              1139908,,                557348,,,,,,                673679,,              2112944,              3136521,              7682030,,                916091,              6765939,              6765939,,,,,,,,             -4832765,              1933174,,              3992607,              2773332,,             -1131535,              3064709,,                              1.36,,                              1.33,              1139908,              2310314,                 68923,                  5430,,             -7217432,                              1.36,                              1.33,
