證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入淨額,　　 營業收入合計,　 營業成本,　　 銷貨成本,　　　 銷貨成本合計,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 備供出售金融資產未實現評價損益,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 其他綜合損益
4725,2015年第3季,,,              2635983,              2635983,,,              2901742,              2901742,               -265759,               -265759,,,                 67425,,                 11561,,                 10488,                 89474,               -355233,,,                 11016,,                 49553,                -38537,               -393770,,                              0,               -393770,               -393770,,,                -78968,                -78968,                -78968,               -472738,,                             -1.35,                             -1.35,,                             -1.35,                             -1.35,,,
4725,2015年第2季,,,              4028636,              4028636,,,              4169696,              4169696,               -141060,               -141060,,,                 93261,,                 13057,,                  4507,                110825,               -251885,,,                -24420,,                 49487,                -73907,               -325792,,                              0,               -325792,               -325792,,,                -29613,                -29613,                -29613,               -355405,,                             -1.11,                             -1.11,,                             -1.11,                             -1.11,,,
4725,2015年01月01日至2015年09月30日,,,              9834532,              9834532,,,             10739810,             10739810,               -905278,               -905278,,,                247292,,                 40102,,                 21394,                308788,             -1214066,,,                -13868,,                148687,               -162555,             -1376621,,                 13876,             -1390497,             -1390497,,,                -92129,                -92129,                -92129,             -1482626,,                             -4.76,                             -4.76,,                             -4.76,                             -4.76,,,
4725,2015年01月01日至2015年06月30日,,,              7198549,              7198549,,,              7838068,              7838068,               -639519,               -639519,,,                179867,,                 28541,,                 10906,                219314,               -858833,,,                -24884,,                 99134,               -124018,               -982851,,                 13876,               -996727,               -996727,,,                -13161,                -13161,                -13161,             -1009888,,                             -3.41,                             -3.41,,                             -3.41,                             -3.41,,,
4725,2015年01月01日至2015年03月31日,,,              3169913,              3169913,,,              3668372,              3668372,               -498459,               -498459,,,                 86606,,                 15484,,                  6399,                108489,               -606948,,,                   -464,,                 49647,                -50111,               -657059,,                 13876,               -670935,               -670935,,,                 16452,                 16452,                 16452,               -654483,,                             -2.30,                             -2.30,,                             -2.30,                             -2.30,,,
4725,2014年第3季,,,              6257250,              6257250,,,              6215549,              6215549,                 41701,                 41701,,,                100964,,                 15657,,                 10311,                126932,                -85231,,,                 30819,,                 50506,                -19687,               -104918,,                 -7635,                -97283,                -97283,,,                 21879,                 21879,                 21879,                -75404,,                             -0.33,                             -0.33,,                             -0.33,                             -0.33,,,
4725,2014年第2季,,,              6497680,              6497680,,,              6415380,              6415380,                 82300,                 82300,,,                102625,,                 15619,,                  8993,                127237,                -44937,,,                  8391,,                 53031,                -44640,                -89577,,                -14631,                -74946,                -74946,,,                 89790,                 89790,                 89790,                 14844,,                             -0.26,                             -0.26,,                             -0.26,                             -0.26,,,
4725,2014年度,,,             23106926,             23106926,,,             23171999,             23171999,                -65073,                -65073,,,                377749,,                 62157,,                 38678,                478584,               -543657,,,                 71514,,                208239,               -136725,               -680382,,               -104631,               -575751,               -575751,,,,,                -26394,               -602145,,                             -1.97,                             -1.97,,                             -1.97,                             -1.97,                -18180,                 -9896,                  1682
4725,2014年01月01日至2014年09月30日,,,             18870870,             18870870,,,             18674589,             18674589,                196281,                196281,,,                292323,,                 47262,,                 29569,                369154,               -172873,,,                 72322,,                155057,                -82735,               -255608,,                -32543,               -223065,               -223065,,,                 60788,                 60788,                 60788,               -162277,,                             -0.76,                             -0.76,,                             -0.76,                             -0.76,,,
4725,2014年01月01日至2014年06月30日,,,             12613620,             12613620,,,             12459040,             12459040,                154580,                154580,,,                191359,,                 31605,,                 19258,                242222,                -87642,,,                 41503,,                104551,                -63048,               -150690,,                -24908,               -125782,               -125782,,,                 38909,                 38909,                 38909,                -86873,,                             -0.43,                             -0.43,,                             -0.43,                             -0.43,,,
4725,2014年01月01日至2014年03月31日,,,              6115940,              6115940,,,              6043660,              6043660,                 72280,                 72280,,,                 88734,,                 15986,,                 10265,                114985,                -42705,,,                 33112,,                 51520,                -18408,                -61113,,                -10277,                -50836,                -50836,,,                -50881,                -50881,                -50881,               -101717,,                             -0.17,                             -0.17,,                             -0.17,                             -0.17,,,
4725,2013年第3季,,,              5588079,              5588079,,,              5737158,              5737158,               -149079,               -149079,,,                 97318,,                 16382,,                 10419,                124119,               -273198,,,                 17188,,                 14326,                  2862,               -270336,,                -37533,               -232803,               -232803,,,,,                 91574,               -141229,,                             -0.80,                             -0.80,,                             -0.80,                             -0.80,                 91574,,
4725,2013年第2季,,,              5922113,              5922113,,,              5881992,              5881992,                 40121,                 40121,,,                117372,,                 15889,,                 11078,                144339,               -104218,,,                  1174,,                 14137,                -12963,               -117181,,                -12158,               -105023,               -105023,,,,,                 38474,                -66549,,                             -0.36,                             -0.36,,                             -0.36,                             -0.36,                 38474,,
4725,2013年度,,,             22579541,             22579541,,,             22786314,             22786314,               -206773,               -206773,,,                407164,,                 61819,,                 43663,                512646,               -719419,,,                 17971,,                 66205,                -48234,               -767653,,               -114440,               -653213,               -653213,,,,,                239418,               -413795,,                             -2.24,                             -2.24,,                             -2.24,                             -2.24,                242123,                 -3259,                    554
4725,2013年07月01日至2013年09月30日,,,              5588079,              5588079,,,              5737158,              5737158,               -149079,               -149079,,,                 97318,,                 16382,,                 10419,                124119,               -273198,,,                 17188,,                 14326,                  2862,               -270336,,                -37533,               -232803,               -232803,,,,,                 91574,               -141229,,                             -0.80,                             -0.80,,                             -0.80,                             -0.80,                 91574,,
4725,2013年04月01日至2013年06月30日,,,              5922113,              5922113,,,              5881992,              5881992,                 40121,                 40121,,,                117372,,                 15889,,                 11078,                144339,               -104218,,,                  1174,,                 14137,                -12963,               -117181,,                -12158,               -105023,               -105023,,,,,                 38474,                -66549,,                             -0.36,                             -0.36,,                             -0.36,                             -0.36,                 38474,,
4725,2013年01月01日至2013年12月31日,,,             22579541,             22579541,,,             22786314,             22786314,               -206773,               -206773,,,                407164,,                 61819,,                 43663,                512646,               -719419,,,                 17971,,                 66205,                -48234,               -767653,,               -114440,               -653213,               -653213,,,,,                239418,               -413795,,                             -2.24,                             -2.24,,                             -2.24,                             -2.24,                242123,                 -3259,                    554
4725,2013年01月01日至2013年09月30日,,,             16820590,             16820590,,,             16869748,             16869748,                -49158,                -49158,,,                300376,,                 46968,,                 32765,                380109,               -429267,,,                 16774,,                 39611,                -22837,               -452104,,                -61046,               -391058,               -391058,,,,,                182263,               -208795,,                             -1.34,                             -1.34,,                             -1.34,                             -1.34,                182263,,
