證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入淨額,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 利息費用,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅
8110,2015年第3季,,,              1955995,              1955995,,              1839928,                116067,                116067,,,                 18012,,                 75633,,                 17853,                111498,                  4569,,,                 11739,,                194883,,                 29485,                 29485,,                    472,                177609,                182178,,                 31442,                150736,                150736,,,                 51993,                  5282,                 57275,                 57275,                208011,,                150736,,                208011,,                              0.31,,                              0.29,,,,
8110,2015年第2季,,,              1910692,              1910692,,              1797947,                112745,                112745,,,                 19040,,                 73389,,                 14220,                106649,                  6096,,,                  5727,,                -13896,,,                 35201,,                   -407,                -43777,                -37681,,                  7341,                -45022,                -45022,,,                -13137,                -36610,                -49747,                -49747,                -94769,,                -45022,,                -94769,,                             -0.09,,                             -0.09,,,,
8110,2015年01月01日至2015年09月30日,,,              5783749,              5783749,,              5459243,                324506,                324506,,,                 58708,,                211456,,                 44335,                314499,                 10007,,,                 20729,,                158105,,                 92748,                 92748,,                  2110,                 88196,                 98203,,                 39183,                 59020,                 59020,,,                 23545,                 14022,                 37567,                 37567,                 96587,,                 59020,,                 96587,,                              0.12,,                              0.12,,,,
8110,2015年01月01日至2015年06月30日,,,              3827754,              3827754,,              3619315,                208439,                208439,,,                 40696,,                135823,,                 26482,                203001,                  5438,,,                  8990,,                -36778,,,                 63263,,                  1638,                -89413,                -83975,,                  7741,                -91716,                -91716,,,                -28448,                  8740,                -19708,                -19708,               -111424,,                -91716,,               -111424,,                             -0.18,,                             -0.18,,,,
8110,2015年01月01日至2015年03月31日,,,              1917062,              1917062,,              1821368,                 95694,                 95694,,,                 21656,,                 62434,,                 12262,                 96352,                   -658,,,                  3263,,                -22882,,                 28062,                 28062,,                  2045,                -45636,                -46294,,                    400,                -46694,                -46694,,,                -15311,                 45350,                 30039,                 30039,                -16655,,                -46694,,                -16655,,                             -0.09,,                             -0.09,,,,
8110,2014年第3季,,,              2728044,              2728044,,              2284532,                443512,                443512,,,                 22054,,                 67907,,                 16794,                106755,                336757,,,                  2843,,                 47043,,                 33152,                 33152,,                              0,                 16734,                353491,,                 42376,                311115,                311115,,,                 29470,                -10629,                 18841,                 18841,                329956,,                311115,,                329956,,                              0.63,,                              0.62,,,,
8110,2014年第2季,,,              2633187,              2633187,,              2177140,                456047,                456047,,,                 18232,,                 64393,,                 16274,                 98899,                357148,,,                  3207,,                -19796,,,                 35082,,                              0,                -51671,                305477,,                 41442,                264035,                264035,,,                -25050,                 64531,                 39481,                 39481,                303516,,                264035,,                303516,,                              0.53,,                              0.53,,,,
8110,2014年度,,,             10015652,             10015652,,              8649413,              1366239,              1366239,,,                 82804,,                273927,,                 68546,                425277,                940962,,,                 13794,,                207231,,                135490,                135490,,                   -219,                 85316,              1026278,,                150338,                875940,                875940,,,,,,                128458,              1004398,,                875940,,              1004398,,                              1.76,,                              1.74,                 45369,                106805,                -28574,                 -4858
8110,2014年01月01日至2014年09月30日,,,              7589227,              7589227,,              6476310,              1112917,              1112917,,,                 62816,,                192938,,                 51970,                307724,                805193,,,                  8500,,                 68492,,                103318,                103318,,                              0,                -26326,                778867,,                105316,                673551,                673551,,,                  1853,                 70526,                 72379,                 72379,                745930,,                673551,,                745930,,                              1.35,,                              1.35,,,,
8110,2014年01月01日至2014年06月30日,,,              4861183,              4861183,,              4191778,                669405,                669405,,,                 40762,,                125031,,                 35176,                200969,                468436,,,                  5657,,                 21449,,,                 70166,,                              0,                -43060,                425376,,                 62940,                362436,                362436,,,                -27617,                 81155,                 53538,                 53538,                415974,,                362436,,                415974,,                              0.73,,                              0.73,,,,
8110,2014年01月01日至2014年03月31日,,,              2227996,              2227996,,              2014638,                213358,                213358,,,                 22530,,                 60638,,                 18902,                102070,                111288,,,                  2450,,                 41245,,                 35084,                 35084,,                              0,                  8611,                119899,,                 21498,                 98401,                 98401,,,                 -2567,                 16624,                 14057,                 14057,                112458,,                 98401,,                112458,,                              0.20,,                              0.20,,,,
8110,2013年第3季,,,              2406248,              2406248,,              2133881,                272367,                272367,,,                 19353,,                 61154,,                 14598,                 95105,                177262,,,                  1758,,                 35167,,                 34477,                 34477,,,                  2448,                179710,,                 34917,                144793,                144793,,,,,,                -17296,                127497,,                144793,,                127497,,                              0.29,,                              0.29,                -13769,                 -3527,,
8110,2013年第2季,,,              2226079,              2226079,,              2025382,                200697,                200697,,,                 16101,,                 59527,,                 15887,                 91515,                109182,,,                  3545,,                 38647,,                 33025,                 33025,,,                  9167,                118349,,                 26065,                 92284,                 92284,,,,,,                 39791,                132075,,                 92284,,                132075,,                              0.18,,                              0.18,                 17483,                 24901,,                  2593
8110,2013年度,,,              8870585,              8870585,,              8207030,                663555,                663555,,,                 72097,,                239118,,                 65218,                376433,                287122,,,                  9551,,                284891,,                129236,                129236,,                              0,                165206,                452328,,                129950,                322378,                322378,,,,,,                 71823,                394201,,                322378,,                394201,,                              0.65,,                              0.64,                 66325,                 14625,                -10997,                 -1870
8110,2013年07月01日至2013年09月30日,,,              2406248,              2406248,,              2133881,                272367,                272367,,,                 19353,,                 61154,,                 14598,                 95105,                177262,,,                  1758,,                 35167,,                 34477,                 34477,,,                  2448,                179710,,                 34917,                144793,                144793,,,,,,                -17296,                127497,,                144793,,                127497,,                              0.29,,                              0.29,                -13769,                 -3527,,
8110,2013年04月01日至2013年06月30日,,,              2226079,              2226079,,              2025382,                200697,                200697,,,                 16101,,                 59527,,                 15887,                 91515,                109182,,,                  3667,,                 38525,,                 33025,                 33025,,,                  9167,                118349,,                 26065,                 92284,                 92284,,,,,,                 39791,                132075,,                 92284,,                132075,,                              0.18,,                              0.18,                 17483,                 24901,,                  2593
8110,2013年01月01日至2013年12月31日,,,              8870585,              8870585,,              8207030,                663555,                663555,,,                 72097,,                239118,,                 65218,                376433,                287122,,,                  9551,,                284891,,                129236,                129236,,,                165206,                452328,,                129950,                322378,                322378,,,,,,                 71823,                394201,,                322378,,                394201,,                              0.65,,                              0.64,                 66325,                 14625,                -10997,                 -1870
8110,2013年01月01日至2013年09月30日,,,              6569542,              6569542,,              5999726,                569816,                569816,,,                 57327,,                178582,,                 46774,                282683,                287133,,,                  8659,,                120608,,                 94223,                 94223,,,                 35044,                322177,,                 71766,                250411,                250411,,,,,,                 56568,                306979,,                250411,,                306979,,                              0.50,,                              0.50,                 42520,                 14048,,
8110,2013年01月01日至2013年06月30日,,,              4163294,              4163294,,              3865845,                297449,                297449,,,                 37974,,                117428,,                 32176,                187578,                109871,,,                  6901,,                 85441,,                 59746,                 59746,,,                 32596,                142467,,                 36849,                105618,                105618,,,,,,                 73864,                179482,,                105618,,                179482,,                              0.21,,                              0.21,                 56288,                 20169,,                  2593
8110,2013年01月01日至2013年03月31日,,,              1937215,              1937215,,              1840463,                 96752,                 96752,,,                 21873,,                 57901,,                 16289,                 96063,                    689,,,                  3356,,                 46794,,                 26721,                 26721,,,                 23429,                 24118,,                 10784,                 13334,                 13334,,,,,,                 34073,                 47407,,                 13334,,                 47407,,                              0.03,,                              0.03,                 38805,                 -4732,,
8110,2012年07月01日至2012年09月30日,,,              2167225,              2167225,,              1933185,                234040,                234040,,,                 17784,,                 59961,,                 12548,                 90293,                143747,,,                  4089,,                 20155,,                 23797,                 23797,,,                    447,                144194,,                 25744,                118450,                118450,,,,,,                -22074,                 96376,,                118450,,                 96376,,                              0.24,,                              0.24,                -13391,                 -8683,,
8110,2012年04月01日至2012年06月30日,,,              2194546,              2194546,,              1879070,                315476,                315476,,,                198318,,                 60233,,                 15154,                273705,                 41771,,,                  4409,,               -558622,,                 29037,                 29037,,,               -583250,               -541479,,                -55189,               -486290,               -486290,,,,,,                -34997,               -521287,,               -486290,,               -521287,,                             -0.97,,                             -0.97,                  6562,                -41559,,                              0
8110,2012年01月01日至2012年12月31日,,,              8293013,              8293013,,              7463934,                829079,                829079,,,                252623,,                227009,,                 61052,                540684,                288395,,,                 14714,,               -431481,,                106666,                106666,,,               -523433,               -235038,,                    251,               -235289,               -235289,,,,,,               -146618,               -381907,,               -235289,,               -381907,,                             -0.47,,                             -0.47,                -34462,                -98908,                -15961,                 -2713
8110,2012年01月01日至2012年09月30日,,,              6212383,              6212383,,              5462323,                750060,                750060,,,                235411,,                170450,,                 40225,                446086,                303974,,,                 10976,,               -480117,,                 82023,                 82023,,,               -551164,               -247190,,                 -7775,               -239415,               -239415,,,,,,               -113690,               -353105,,               -239415,,               -353105,,                             -0.48,,                             -0.48,                -35203,                -78487,,
8110,2012年01月01日至2012年06月30日,,,              4045158,              4045158,,              3529138,                516020,                516020,,,                217627,,                110489,,                 27677,                355793,                160227,,,                 46911,,               -540296,,                 58226,                 58226,,,               -551611,               -391384,,                -33519,               -357865,               -357865,,,,,,                -91616,               -449481,,               -357865,,               -449481,,                             -0.71,,                             -0.71,                -21812,                -69804,,                              0
8110,2012年01月01日至2012年03月31日,,,              1850612,              1850612,,              1650068,                200544,                200544,,,                 19309,,                 50256,,                 12523,                 82088,                118456,,,                 42502,,                 18326,,                 29189,                 29189,,,                 31639,                150095,,                 21670,                128425,                128425,,,,,,                -56619,                 71806,,                128425,,                 71806,,                              0.26,,                              0.26,                -28374,                -28245,,
