證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計
1471,2013年04月01日至2013年06月30日,,              1813991,,              1705473,                108518,                108518,,,                 20752,,                 57607,,                  3894,                 82253,                 26265,,,                  3461,,                 12011,,                    944,                 14528,                 40793,,                  6262,                 34531,                 34531,,,,,,                 22741,                 57272,,                 34531,,                 57272,,                              0.17,                              0.17,                 22741,                              0,,,                              0.17,                              0.17
1471,2013年01月01日至2013年12月31日,,              5655955,,              5334496,                321459,                321459,,,                 83444,,                252173,,                 13383,                349000,                -27541,,,                 28094,,                 37757,,                  3507,                 62344,                 34803,,                  3641,                 31162,                 31162,,,,,,                 81909,                113071,,                 31162,,                113071,,                              0.15,                              0.15,                 81623,                              0,                    286,,,
1471,2013年01月01日至2013年09月30日,,              4647355,,              4412918,                234437,                234437,,,                 64934,,                189512,,                 12105,                266551,                -32114,,,                 16655,,                 23896,,                  2613,                 37938,                  5824,,                  8375,                 -2551,                 -2551,,,,,,                 51984,                 49433,,                 -2551,,                 49433,,                             -0.01,                             -0.01,                 51984,                              0,,,,
1471,2013年01月01日至2013年06月30日,,              3297636,,              3141186,                156450,                156450,,,                 45177,,                128427,,                  8618,                182222,                -25772,,,                 13547,,                 39789,,                  1644,                 51692,                 25920,,                  7692,                 18228,                 18228,,,,,,                 66601,                 84829,,                 18228,,                 84829,,                              0.09,                              0.09,                 66601,,,,,
1471,2013年01月01日至2013年03月31日,,              1483645,,              1435713,                 47932,                 47932,,,                 24425,,                 70820,,                  4724,                 99969,                -52037,,,                 10086,,                 27778,,                    700,                 37164,                -14873,,                  1430,                -16303,                -16303,,,,,,                 43860,                 27557,,                -16303,,                 27557,,                             -0.08,                             -0.08,                 43860,,,,,
1471,2012年07月01日至2012年09月30日,,              1748474,,              1696259,                 52215,                 52215,,,                 25546,,                 55275,,                  4703,                 85524,                -33309,,,                  5408,,                 23909,,                    479,                 28838,                 -4471,,                 -4815,                    344,                    344,,,,,,                -42735,                -42391,,                    344,,                -42391,,                              0.00,                              0.00,                -10285,                -32450,,,,
1471,2012年04月01日至2012年06月30日,,              1565586,,              1532946,                 32640,                 32640,,,                 21499,,                 69177,,                  5093,                 95769,                -63129,,,                  3131,,                -48190,,                    241,                -45300,               -108429,,                  5192,               -113621,               -113621,,,,,,                  2692,               -110929,,               -113621,,               -110929,,                             -0.56,                             -0.56,                  4442,                 -1750,,,                             -0.56,                             -0.56
1471,2012年01月01日至2012年12月31日,,              6446019,,              6293363,                152656,                152656,,,                 94744,,                235888,,                 21455,                352087,               -199431,,,                 39784,,               -129088,,                  1376,                -90680,               -290111,,                  3624,               -293735,               -293735,,,,,,                -75072,               -368807,,               -293735,,               -368807,,                             -1.46,                             -1.46,                -48930,                -24675,                 -1467,,,
1471,2012年01月01日至2012年09月30日,,              4905864,,              4781200,                124664,                124664,,,                 70983,,                177358,,                 15204,                263545,               -138881,,,                 20843,,                -49521,,                    720,                -29398,               -168279,,                   -395,               -167884,               -167884,,,,,,                -71617,               -239501,,               -167884,,               -239501,,                             -0.83,                             -0.83,                -46942,                -24675,,,,
1471,2012年01月01日至2012年06月30日,,              3157390,,              3084941,                 72449,                 72449,,,                 45437,,                122083,,                 10501,                178021,               -105572,,,                 15435,,                -73430,,                    241,                -58236,               -163808,,                  4420,               -168228,               -168228,,,,,,                -28882,               -197110,,               -168228,,               -197110,,                             -0.84,                             -0.84,                -36657,                  7775,,,                             -0.84,                             -0.84
1471,2012年01月01日至2012年03月31日,,              1591804,,              1551995,                 39809,                 39809,,,                 23938,,                 52906,,                  5408,                 82252,                -42443,,,                 12304,,                -25240,,                              0,                -12936,                -55379,,                   -772,                -54607,                -54607,,,,,,                -31574,                -86181,,                -54607,,                -86181,,                             -0.27,                             -0.27,                -41099,                  9525,,,                             -0.27,                             -0.27
