證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入,　　　　 銷貨收入合計,　　　 銷貨退回,　　　 銷貨折讓,　　　 銷貨收入淨額,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　 停業單位損益,　　 停業單位損益合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅,　　 停業單位淨利（淨損）,　　 稀釋停業單位淨利（淨損）,　　 銷貨成本,　　　 銷貨成本,　　　 銷貨成本合計
1307,2015年第3季,,,,              3002987,                 35008,                 15998,              2951981,              2951981,,              2173554,                778427,                778427,,,                171031,,                163745,,                102231,                437007,                341420,,,                  7076,,                 69669,,                  9829,                 66916,                408336,,                 73433,                334903,                334903,,,                389935,                  2328,                 41620,                350643,                350643,                685546,,                334903,,                685546,,                              0.87,                              0.87,,                              0.87,                              0.87,,,,,,,,,,,
1307,2015年第2季,,,,              2603648,                 31556,                 18178,              2553914,              2553914,,              1845273,                708641,                708641,,,                162657,,                152414,,                 87202,                402273,                306368,,,                  8723,,                -12128,,                 10080,                -13485,                292883,,                 73025,                219858,                219858,,,                -93332,                  1611,,                -91721,                -91721,                128137,,                219858,,                128137,,                              0.57,                              0.57,,                              0.57,                              0.57,,,,,,,,,,,
1307,2015年01月01日至2015年09月30日,,,,              8632228,                 95933,                 58816,              8477479,              8477479,,              6181938,              2295541,              2295541,,,                490365,,                492411,,                284560,              1267336,              1028205,,,                 21988,,                 30301,,                 30549,                 21740,              1049945,,                210777,                839168,                839168,,,                223168,                    771,                 41620,                182319,                182319,              1021487,,                839168,,              1021487,,                              2.17,                              2.17,,                              2.16,                              2.16,,,,,,,,,,,
1307,2015年01月01日至2015年06月30日,,,,              5629241,                 60925,                 42818,              5525498,              5525498,,              4008384,              1517114,              1517114,,,                319334,,                328666,,                182329,                830329,                686785,,,                 14912,,                -39368,,                 20720,                -45176,                641609,,                137344,                504265,                504265,,,               -166767,                 -1557,,               -168324,               -168324,                335941,,                504265,,                335941,,                              1.31,                              1.31,,                              1.30,                              1.30,,,,,,,,,,,
1307,2015年01月01日至2015年03月31日,,,,              3025593,                 29369,                 24640,              2971584,              2971584,,              2163111,                808473,                808473,,,                156677,,                176252,,                 95127,                428056,                380417,,,                  6189,,                -27240,,                 10640,                -31691,                348726,,                 64319,                284407,                284407,,,                -73435,                 -3168,,                -76603,                -76603,                207804,,                284407,,                207804,,                              0.76,                              0.76,,                              0.76,                              0.76,,,,,,,,,,,
1307,2014年第3季,,,,              2883831,                 47033,                 26431,              2810367,              2810367,,              2168372,                641995,                641995,,,                155435,,                149559,,                 92288,                397282,                244713,,,                 14973,,                 17389,,                  9990,                 22372,                267085,,                 44102,                222983,                222983,,,                112233,                 -6369,                              0,                105864,                105864,                328847,,                222983,,                328847,,                              0.58,                              0.58,,                              0.58,                              0.58,,,,,,,,,,,
1307,2014年第2季,,,,              2772528,                 37632,                 32918,              2701978,              2701978,,              1987215,                714763,                714763,,,                134801,,                155176,,                 95710,                385687,                329076,,,                 11300,,                -35815,,                 10072,                -34587,                294489,,                 59466,                235023,                235023,,,               -114481,                 -8693,,               -123174,               -123174,                111849,,                235023,,                111849,,                              0.61,                              0.61,,                              0.61,                              0.61,,,,,,,,,,,
1307,2014年度,,,,             11454800,                152468,                111194,             11191138,             11191138,,              8440781,              2750357,              2750357,,,                575740,,                649479,,                391401,              1616620,              1133737,,,                 29944,,                 55288,,                 41071,                 44161,              1177898,,                208139,                969759,                969759,,,,,,,                366999,              1336758,,                969759,,              1336758,,                              2.59,                              2.59,,                              2.57,                              2.57,,                              0,                353331,                 -9577,                 28001,                  4756,                              0.00,                              0.00,,,
1307,2014年01月01日至2014年09月30日,,,,              8542911,                112703,                 91923,              8338285,              8338285,,              6272883,              2065402,              2065402,,,                428314,,                493759,,                290980,              1213053,                852349,,,                 35550,,                  9639,,                 30062,                 15127,                867476,,                144720,                722756,                722756,,,                107190,                -17709,                              0,                 89481,                 89481,                812237,,                722756,,                812237,,                              1.87,                              1.87,,                              1.86,                              1.86,,,,,,,,,,,
1307,2014年01月01日至2014年06月30日,,,,              5659080,                 65670,                 65492,              5527918,              5527918,,              4104511,              1423407,              1423407,,,                272879,,                344200,,                198692,                815771,                607636,,,                 20577,,                 -7750,,                 20072,                 -7245,                600391,,                100618,                499773,                499773,,,                 -5043,                -11340,,                -16383,                -16383,                483390,,                499773,,                483390,,                              1.29,                              1.29,,                              1.29,                              1.29,,,,,,,,,,,
