證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入,　　　　 銷貨收入,　　　　 銷貨收入合計,　　　 銷貨退回,　　　 銷貨折讓,　　　 銷貨收入淨額,　　 勞務收入,　　　 加工收入,　　　　 加工收入,　　　　 加工收入淨額,　　　 勞務收入合計,　　 營業收入合計,　 營業成本,　　 銷貨成本,　　　 銷貨成本,　　　 銷貨成本合計,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 薪資支出,　　　 租金支出,　　　 文具用品,　　　 旅費,　　　 運費,　　　 郵電費,　　　 修繕費,　　　 水電瓦斯費,　　　 保險費,　　　 交際費,　　　 稅捐,　　　 折舊,　　　 伙食費,　　　 職工福利,　　　 佣金支出,　　　 訓練費,　　　 進出口費用,　　　 其他費用,　　　 推銷費用合計,　　 管理費用,　　　 薪資支出[duplicate]44,　　　 租金支出[duplicate]45,　　　 文具用品[duplicate]46,　　　 旅費[duplicate]47,　　　 郵電費[duplicate]48,　　　 修繕費[duplicate]49,　　　 水電瓦斯費[duplicate]50,　　　 保險費[duplicate]51,　　　 交際費[duplicate]52,　　　 捐贈,　　　 稅捐[duplicate]54,　　　 呆帳損失,　　　 折舊[duplicate]56,　　　 伙食費[duplicate]57,　　　 職工福利[duplicate]58,　　　 訓練費[duplicate]59,　　　 其他費用[duplicate]60,　　　 管理費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 利息收入,　　　　 銀行存款利息,　　　　 利息收入合計,　　　 租金收入,　　　 股利收入,　　　 其他收入－其他,　　　 其他收入合計,　　 其他利益及損失,　　　 處分不動產、廠房及設備利益,　　　 處分投資性不動產利益,　　　 處分投資利益,　　　 外幣兌換利益,　　　 透過損益按公允價值衡量之金融資產（負債）利益,　　　 減損損失,　　　　 投資性不動產減損損失,　　　　 減損損失合計,　　　 其他利益及損失淨額,　　 財務成本,　　　 利息費用,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 本期所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 備供出售金融資產未實現評價損益,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　　 薪資支出[duplicate]43,　　　 租金支出[duplicate]44,　　　 文具用品[duplicate]45,　　　 旅費[duplicate]46,　　　 郵電費[duplicate]47,　　　 修繕費[duplicate]48,　　　 水電瓦斯費[duplicate]49,　　　 保險費[duplicate]50,　　　 交際費[duplicate]51,　　　 稅捐[duplicate]53,　　　 折舊[duplicate]55,　　　 伙食費[duplicate]56,　　　 職工福利[duplicate]57,　　　 其他費用[duplicate]59,　 其他收益及費損淨額,　　 其他收益及費損淨額,　　　　 持有至到期日金融資產利息收入,　　　　 其他利息收入,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 遞延所得稅費用（利益）,　　　 稅捐[duplicate]52,　　　 折舊[duplicate]53,　　　 伙食費[duplicate]54,　　　 職工福利[duplicate]55,　　　 其他費用[duplicate]56,　　　 折舊[duplicate]54,　　　 伙食費[duplicate]55,　　　 職工福利[duplicate]56,　　　 其他費用[duplicate]58,　　　 減損迴轉利益,　　　　 其他減損迴轉利益,　　　　 減損迴轉利益合計,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅,　　　　 其他減損損失,　　 當期所得稅費用（利益）,　　　 處分不動產、廠房及設備損失,　　　 處分投資損失,　　　 外幣兌換損失,　　　 透過損益按公允價值衡量之金融資產（負債）損失,　 停業單位損益,　　 停業單位損益合計,　　 停業單位淨利（淨損）,　　 除列按攤銷後成本衡量金融資產淨損益,　　　 除列按攤銷後成本衡量金融資產淨損益
2033,2015年第3季,,,,                180143,                180143,                  1118,                    149,                178876,,,                    146,                    146,                    146,                179022,,,                163100,                163100,                163100,                 15922,                 15922,,,                    905,                     91,                     12,                      2,                  2016,                     47,                     10,                      8,                     85,                     40,                     20,                     42,                     32,                     14,                     66,                              0,                  2891,                    362,                  6643,,                  8177,                     55,                     26,                    227,                     96,                    240,                      6,                    623,                    960,                    145,                    135,                    -36,                    462,                    169,                     82,                      8,                  1095,                 12470,                 19113,                 -3191,,,,                     26,                     26,                     39,                    956,                    835,                  1856,,                    -18,                  1365,                              0,                  3129,                              0,,                  5805,                  5805,                 -1329,,                  1164,                  1164,                   -637,                 -3828,,                    470,                    470,                 -4298,                 -4298,,,                  2175,                  2175,                  2175,                 -2123,,                             -0.05,                             -0.05,,                             -0.05,                             -0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2033,2015年第2季,,,,                190911,                190911,                    614,                     52,                190245,,,                              0,                              0,                              0,                190245,,,                174291,                174291,                174291,                 15954,                 15954,,,                    904,                    100,                      4,                     30,                  1929,                     57,                     62,                      2,                     91,                    161,                     30,                     54,                     31,                     21,                              0,                              0,                  2988,                    382,                  6846,,,,,,,,,,,                              0,,                    177,,,,,,                 12625,                 19471,                 -3517,,,,                     34,                     43,,,                    131,                    174,,                    190,,                              0,                   -504,                              0,,,,                   -314,,                  1182,                  1182,                 -1322,                 -4839,,                   -885,                   -885,                 -3954,                 -3954,,,                 -4683,                 -4683,                 -4683,                 -8637,,                             -0.05,                             -0.05,,                             -0.05,                             -0.05,                  7652,                    100,                     49,                    289,                     91,                    202,                     12,                    590,                    976,                    245,                    413,                    166,                    109,                  1554,,                              0,                      8,                      1,,                              0,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,
2033,2015年01月01日至2015年09月30日,,,,                551164,                551164,                  2311,                    421,                548432,,,                    172,                    172,                    172,                548604,,,                501770,                501770,                501770,                 46834,                 46834,,,                  2779,                    280,                     20,                     43,                  5689,                    157,                    113,                     14,                    269,                    242,                     51,                    157,                     93,                     56,                     66,                              0,                  7098,                  1014,                 18141,,                 23988,                    473,                    100,                    651,                    271,                    859,                     30,                  1899,                  2823,                    145,                    548,                    141,                  1361,                    496,                    296,                      8,                  3972,                 38061,                 56202,                 -9368,,,,                     79,                     79,                     39,                    956,                  1888,                  2962,,                    218,                  1365,                              0,                  3724,                              0,,                  5806,                  5806,                   -499,,                  3569,                  3569,                 -1106,                -10474,,                   -765,                   -765,                 -9709,                 -9709,,,                 -2787,                 -2787,                 -2787,                -12496,,                             -0.12,                             -0.12,,                             -0.12,                             -0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2033,2015年01月01日至2015年06月30日,,,,                371021,                371021,                  1193,                    272,                369556,,,                     26,                     26,                     26,                369582,,,                338670,                338670,                338670,                 30912,                 30912,,,                  1874,                    189,                      8,                     41,                  3673,                    110,                    103,                      6,                    184,                    202,                     31,                    115,                     61,                     42,                              0,                              0,                  4207,                    652,                 11498,,,,,,,,,,,                              0,,                    177,,,,,,                 25591,                 37089,                 -6177,,,,                     20,                     53,,,                  1053,                  1106,,                    236,,                              0,                    594,                              0,,,,                    830,,                  2405,                  2405,                   -469,                 -6646,,                 -1235,                 -1235,                 -5411,                 -5411,,,                 -4962,                 -4962,                 -4962,                -10373,,                             -0.07,                             -0.07,,                             -0.07,                             -0.07,                 15811,                    418,                     74,                    424,                    175,                    619,                     24,                  1276,                  1863,                    413,                    899,                    327,                    214,                  2877,,                              0,                     27,                      6,,                              0,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,
2033,2015年01月01日至2015年03月31日,,,,                180110,                180110,                    579,                    220,                179311,,,                     26,                     26,                     26,                179337,,,                164379,                164379,                164379,                 14958,                 14958,,,                    970,                     89,                      4,                     11,                  1744,                     53,                     41,                      4,                     93,                     41,                      1,                     61,                     30,                     21,                              0,,                  1219,                    270,                  4652,,,,,,,,,,,,,,,,,,,                 12966,                 17618,                 -2660,,,,                     10,                     10,,                    922,,                    932,,                     46,,                              0,                  1098,                              0,,,,                  1144,,                  1223,                  1223,                    853,                 -1807,,                   -350,                   -350,                 -1457,                 -1457,,,                   -279,                   -279,                   -279,                 -1736,,                             -0.02,                             -0.02,,                             -0.02,                             -0.02,                  8159,                    318,                     25,                    135,                     84,                    417,                     12,                    686,                    887,,,,,,,,,,,,,                    168,                    486,                    161,                    105,                  1323,,,,,,,,,,,,,,,,,,,,,
2033,2014年第3季,,,,                213520,                213520,                    955,                    111,                212454,,,                              0,                              0,                              0,                212454,,,                190833,                190833,                190833,                 21621,                 21621,,,                  1075,                     85,                     38,                      7,                  2366,                     54,                     39,                     10,                    108,                     47,                     22,                     61,                     37,                     25,                              0,                              0,                  1386,                    556,                  5916,,                  9113,                    430,                     40,                    318,                     83,                    438,                     14,                    610,                  1686,                    320,                    151,                    162,                  1220,                    167,                    115,                      8,                  1369,                 16244,                 22160,                   -539,,,,                     53,                     53,                     39,                    585,                    147,                    824,,                              0,                              0,                 -7776,                 -2515,                    240,,                              0,                              0,                -10051,,                  1240,                  1240,                -10467,                -11006,,                   -463,                   -463,                -10543,                -10543,,,                  8689,                  8689,                  8689,                 -1854,,                             -0.13,                             -0.13,,                             -0.13,                             -0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2033,2014年第2季,,,,                195528,                195528,                    228,                     88,                195212,,,                     54,                     54,                     54,                195266,,,                171766,                171766,                171766,                 23500,                 23500,,,                  1086,                     84,                      7,                     13,                  2111,                     51,                     50,                      3,                    114,                     92,                     41,                     61,                     36,                     21,                              0,                      3,                  1395,                    360,                  5525,,,,,,,,,,,                      4,,                     48,,,,,,                 15427,                 20952,                  2548,,,,                     53,                     84,,,                    260,                    344,,                              0,,                 -3637,                    909,                   -684,,,,                 -3412,,                  1058,                  1058,                 -4126,                 -1578,,                    655,                    698,                 -2276,                 -2276,,,                   -386,                   -386,                   -386,                 -2662,,                             -0.03,                             -0.03,,                             -0.03,                             -0.03,                  9281,                    429,                     34,                    222,                     94,                    176,                     12,                    716,                  1295,                    236,                  1173,                    165,                     52,                  1487,,                              0,                     24,                      7,,                              0,                     43,,,,,,,,,,,,,,,,,,,,,,,,,,
2033,2014年度,,,,                808003,                808003,                  2028,                    567,                805408,,,                    152,                    152,                    152,                805560,,,                725408,                725408,                725408,                 80152,                 80152,,,                  4332,                    338,                    109,                     48,                  8887,                    208,                    167,                     24,                    443,                    239,                     65,                    244,                    143,                     90,                     20,                     26,                  6039,                  1510,                 22906,,,,,,,,,,,                    324,,,,,,,,                 55805,                 78711,                  1441,,,,                    242,                    242,                     39,                    585,                  1000,                  1866,,                              0,,                -13128,                 -7240,                    -61,,,                              0,                -14823,,                  4657,                  4657,                -17614,                -16173,,,                   -195,                -15978,                -15978,,,,,                 20801,                  4823,,                             -0.20,                             -0.20,,                             -0.20,                             -0.20,                 30184,                  1939,                    118,                    907,                    341,                  1078,                     54,                  2773,                  5917,                    605,,,,,,,,,,,,,,,,,                  4691,                    659,                    369,                  5820,,                  5606,                  5606,                 16050,                  5724,                    973,,,,,,,,,,,
2033,2014年01月01日至2014年09月30日,,,,                605936,                605936,                  1630,                    410,                603896,,,                    152,                    152,                    152,                604048,,,                539690,                539690,                539690,                 64358,                 64358,,,                  3252,                    254,                     50,                     32,                  6631,                    156,                    131,                     21,                    335,                    207,                     64,                    183,                    107,                     67,                     20,                              0,                  4594,                  1248,                 17352,,                 27422,                  1509,                     92,                    726,                    259,                    864,                     38,                  2111,                  4144,                    324,                    516,                    210,                  3503,                    491,                    281,                     11,                  4408,                 46909,                 64261,                     97,,,,                    168,                    168,                     39,                    585,                    588,                  1380,,                              0,                              0,                -13127,                    429,                    185,,                              0,                              0,                -12513,,                  3341,                  3341,                -14474,                -14377,,                   -351,                   -351,                -14026,                -14026,,,                 16641,                 16641,                 16641,                  2615,,                             -0.17,                             -0.17,,                             -0.17,                             -0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2033,2014年01月01日至2014年06月30日,,,,                392416,                392416,                    675,                    299,                391442,,,                    152,                    152,                    152,                391594,,,                348857,                348857,                348857,                 42737,                 42737,,,                  2177,                    169,                     12,                     25,                  4265,                    102,                     92,                     11,                    227,                    160,                     42,                    122,                     70,                     42,                     20,                      3,                  3208,                    692,                 11436,,,,,,,,,,,                      4,,                     48,,,,,,                 30665,                 42101,                    636,,,,                     57,                    115,,,                    441,                    556,,                              0,,                 -5351,                  2944,                    -55,,,,                 -2462,,                  2101,                  2101,                 -4007,                 -3371,,                    693,                    112,                 -3483,                 -3483,,,                  7952,                  7952,                  7952,                  4469,,                             -0.04,                             -0.04,,                             -0.04,                             -0.04,                 18309,                  1079,                     52,                    408,                    176,                    426,                     24,                  1501,                  2458,                    365,                  2283,                    324,                    166,                  3039,,                              0,                     43,                     15,,                              0,                   -581,,,,,,,,,,,,,,,,,,,,,,,,,,
