證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入,　　　　 銷貨收入,　　　　 銷貨收入合計,　　　 銷貨收入淨額,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 停業單位損益,　　 停業單位損益合計,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 共同控制下前手權益（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　 銷貨成本,　　　 銷貨成本,　　　 銷貨成本合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅,　　　 其他收入－其他,　　　 銷貨退回,　　　 銷貨折讓,　　 其他綜合損益,　　 當期所得稅費用（利益）
1233,2015年第3季,,,,                527159,                527159,                527159,                527159,,                226950,                300209,                300209,,,                216646,,                 44041,,                    804,                261491,                 38718,,,                  9450,,                  5534,,                    289,,                   -848,                 13847,                 52565,,                  8738,                 43827,,                              0,                 43827,,,                   -961,                -13800,,                     79,                -14682,                -14682,                 29145,,                 43145,                              0,                    682,,                 28908,                    237,,                              0.48,,                              0.48,,,,,,,,,,,,
1233,2015年第2季,,,,,,,                497936,,                210715,                287221,                287221,,,                205668,,                 48960,,                    893,                255521,                 31700,,,                 10293,,                 -2103,,                     24,,,                  8166,                 39866,,                  6848,                 33018,,                              0,                 33018,,,                    167,                 12629,,,                 12796,                 12796,                 45814,,                 33523,                              0,                   -505,,                 46257,                   -443,,                              0.37,,                              0.37,,,,,,,,,,,,
1233,2015年01月01日至2015年09月30日,,,,              1591018,              1591018,              1591018,              1591018,,                668077,                922941,                922941,,,                636007,,                143201,,                  2248,                781456,                141485,,,                 22508,,                  2589,,                    511,,                   -848,                 23738,                165223,,                 28259,                136964,,                              0,                136964,,,                 -2032,                 -4459,,                     79,                 -6412,                 -6412,                130552,,                136772,                              0,                    192,,                131356,                   -804,,                              1.51,,                              1.51,,,,,,,,,,,,
1233,2015年01月01日至2015年06月30日,,,,,,,              1063859,,                441127,                622732,                622732,,,                419361,,                 99160,,                  1444,                519965,                102767,,,                 13058,,                 -2945,,                    222,,,                  9891,                112658,,                 19521,                 93137,,                              0,                 93137,,,                 -1071,                  9341,,,                  8270,                  8270,                101407,,                 93627,                              0,                   -490,,                102448,                 -1041,,                              1.03,,                              1.03,,,,,,,,,,,,
1233,2015年01月01日至2015年03月31日,,,,                565923,                565923,                565923,                565923,,                230412,                335511,                335511,,,                213693,,                 50200,,                    551,                264444,                 71067,,,                  2765,,                   -842,,                    198,,,                  1725,                 72792,,                 12673,                 60119,,                              0,                 60119,,,                 -1238,                 -3288,,,                 -4526,                 -4526,                 55593,,                 60104,,                     15,,                 56191,                   -598,,                              0.66,,                              0.66,,,,,,,,,,,,
1233,2014年第3季,,,,                534906,                534906,                534906,                534906,,                215213,                319693,                319693,,,                214068,,                 49011,,                    485,                263564,                 56129,,,                  4811,,                   -121,,                    238,,                              0,                  4452,                 60581,,                 10337,                 50244,,                              0,                 50244,,,                      5,                 -6416,,                              0,                 -6411,                 -6411,                 43833,,                 49924,                              0,                    320,,                 43511,                    322,,                              0.55,,                              0.55,,,,,,,,,,,,
1233,2014年第2季,,,,,,,                513884,,                210826,                303058,                303058,,,                203405,,                 47146,,                    472,                251023,                 52035,,,                  9551,,                 -1688,,                              0,,,                  7863,                 59898,,                 10198,                 49700,,                              0,                 49700,,,                    -22,                -22805,,,                -22827,                -22827,                 26873,,                 49231,                              0,                    469,,                 26415,                    458,,                              0.54,,                              0.54,,,,,,,,,,,,
1233,2014年度,,,,              2149080,              2149080,              2149080,              2149080,,                867724,              1281356,              1281356,,,                834398,,                204809,,                  1810,              1041017,                240339,,,                 31178,,                  7740,,                    605,,,                 38313,                278652,,                 46806,                231846,,,                231846,,,,,,,,                -43735,                188111,,                229782,,                  2064,,                185436,                  2675,,                              2.54,,,,                867724,                867724,                  1222,                -61149,                 19508,                  3316,,,,,
1233,2014年01月01日至2014年09月30日,,,,              1605464,              1605464,              1605464,              1605464,,                640950,                964514,                964514,,,                627726,,                138659,,                  1395,                767780,                196734,,,                 22560,,                  1777,,                    311,,                              0,                 24026,                220760,,                 36239,                184521,,                              0,                184521,,,                    321,                -55571,,                              0,                -55250,                -55250,                129271,,                182215,                              0,                  2306,,                126808,                  2463,,                              2.01,,                              2.01,,,,,,,,,,,,
1233,2014年01月01日至2014年06月30日,,,,,,,              1070558,,                425737,                644821,                644821,,,                413658,,                 89648,,                    910,                504216,                140605,,,                 17749,,                  1898,,                     73,,,                 19574,                160179,,                 25902,                134277,,                              0,                134277,,,                    316,                -49155,,,                -48839,                -48839,                 85438,,                132291,                              0,                  1986,,                 83297,                  2141,,                              1.46,,                              1.46,,,,,,,,,,,,
