證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 未實現銷貨（損）益,　 已實現銷貨（損）益,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 營業費用合計,　 其他收益及費損淨額,　　 其他收益及費損淨額,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 利息收入,　　　　 銀行存款利息,　　　　 利息收入合計,　　　 其他收入－其他,　　　 其他收入合計,　　 其他利益及損失,　　　 外幣兌換利益,　　　 透過損益按公允價值衡量之金融資產（負債）利益,　　　 外幣兌換損失,　　　 透過損益按公允價值衡量之金融資產（負債）損失,　　　 其他利益及損失淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 本期綜合損益總額,　 基本每股盈餘,　　 基本每股盈餘合計,　　　 股利收入,　 停業單位損益,　　 停業單位損益合計,　 合併前非屬共同控制股權損益,　 其他綜合損益(淨額),　　 與其他綜合損益組成部分相關之所得稅,　　 其他綜合損益（淨額）,　　　 租金收入,　　　 處分投資利益,　　　 減損損失,　　　　 減損損失合計,　　 財務成本,　　　 利息費用,　　　 財務成本淨額,　　 其他綜合損益,　　 銷貨收入淨額,　　　 銷貨收入,　　　　 銷貨收入合計,　　　 銷貨退回,　　　 銷貨收入淨額,　　 營建工程收入,　　　 營建收入（營建業適用）,　　　　 營建收入,　　　　 營建收入退回及折讓,　　　　 營建收入（營建業適用）淨額,　　　 營建工程收入合計,　　 銷貨成本,　　　 銷貨成本合計,　　 營建工程成本,　　　 營建成本,　　　 營建工程成本合計
1438,2015年第3季,,                     46,,                     33,                     13,                              0,                              0,                     13,,,                              0,,                  1787,                  1787,,                              0,                 -1774,,,,                  1165,                  1165,                     20,                  1185,,                  4903,                              0,                              0,                     11,                  4892,                  6077,                  4303,,                              0,                  4303,                  4303,                  4303,,                              0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1438,2015年第2季,,                    104,,                     70,                     34,                              0,                              0,                     34,,,                              0,,                  1819,                  1819,,                              0,                 -1785,,,,                  1121,                  1121,                     15,                  1136,,,                              0,                  1062,                     16,                 -1078,                     58,                 -1727,,                              0,                 -1727,                 -1727,                 -1727,,                             -0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1438,2015年01月01日至2015年09月30日,,                 23502,,                  5618,                 17884,                              0,                              0,                 17884,,,                  1143,,                  5734,                  6877,,                              0,                 11007,,,,                  3380,                  3380,                     51,                  3431,,                  3025,                              0,                              0,                     27,                  2998,                  6429,                 17436,,                  1772,                 15664,                 15664,                 15664,,                              0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1438,2015年01月01日至2015年06月30日,,                 23456,,                  5585,                 17871,                              0,                              0,                 17871,,,                  1143,,                  3947,                  5090,,                              0,                 12781,,,,                  2215,                  2215,                     31,                  2246,,,                              0,                  1878,                     16,                 -1894,                    352,                 13133,,                  1772,                 11361,                 11361,                 11361,,                              0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1438,2015年01月01日至2015年03月31日,,                 23352,,                  5515,                 17837,                              0,                              0,                 17837,,,                  1143,,                  2128,                  3271,,                              0,                 14566,,,,                  1094,                  1094,                     16,                  1110,,,                              0,                    816,,                   -816,                    294,                 14860,,                  1772,                 13088,                 13088,                 13088,,                              0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1438,2014年第3季,,                     22,,                     15,                      7,                              0,                              0,                      7,,,                              0,,                  1847,                  1847,,                              0,                 -1840,,,,                    677,                    677,                     16,                    693,,                              0,                    153,                              0,                              0,                    153,                    846,                   -994,,                              0,                   -994,                   -994,                   -994,,                             -0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1438,2014年第2季,,                              0,,                              0,                              0,                              0,                              0,                              0,,,                              0,,                  2113,                  2113,,                              0,                 -2113,,,,                    596,                    596,                     16,                    612,,,                    230,                              0,                              0,                    230,                    842,                 -1271,,                              0,                 -1271,                 -1271,                 -1271,,                             -0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1438,2014年度,,                 12419,,                  2924,                  9495,                              0,                              0,                  9495,,,                    572,,                  7683,                  8255,,                              0,                  1240,,,,                  2653,                  2653,                     67,                  2723,,,                    735,                    289,                              0,                    446,                  3169,                  4409,,                    763,                  3646,                  3646,                  3646,,                              0.04,                      3,,                              0,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1438,2014年01月01日至2014年09月30日,,                    641,,                    120,                    521,                              0,                              0,                    521,,,                              0,,                  6145,                  6145,,                              0,                 -5624,,,,                  1847,                  1847,                     47,                  1894,,                              0,                    627,                              0,                              0,                    627,                  2521,                 -3103,,                    -32,                 -3071,                 -3071,                 -3071,,                             -0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1438,2014年01月01日至2014年06月30日,,                    619,,                    105,                    514,                              0,                              0,                    514,,,                              0,,                  4298,                  4298,,                              0,                 -3784,,,,                  1170,                  1170,                     31,                  1201,,,                    474,                              0,                              0,                    474,                  1675,                 -2109,,                    -32,                 -2077,                 -2077,                 -2077,,                             -0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
