證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入淨額,　　 營業收入合計,　 營業成本,　　 銷貨成本,　　　 銷貨成本合計,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 不重分類至損益之項目,　　　 不重分類至損益之其他項目,　　　 不重分類至損益之項目總額,　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　 財務成本,　　　 財務成本淨額,　　 國外營運機構財務報表換算之兌換差額,　　 共同控制下前手權益（淨利／損）,　　 共同控制下前手權益（綜合損益）
6431,2015年第3季,,,                 99406,                 99406,,,                111863,                111863,                -12457,                -12457,,,                  3159,,                 10365,,                  3349,                 16873,                -29330,,,                  1932,,                 19334,                 21266,                 -8064,,                  2793,                -10857,                -10857,,,                 42280,                 42280,,                   -975,                   -975,                 41305,                 30448,,                -10857,,                 30448,,                             -0.24,                             -0.24,,                             -0.24,                             -0.24,,,,,
6431,2015年第2季,,,                120761,                120761,,,                152134,                152134,                -31373,                -31373,,,                  3566,,                  9990,,                  3606,                 17162,                -48535,,,                  1437,,                   -911,                    526,                -48009,,                 -1847,                -46162,                -46162,,,                -17509,                -17509,,                    297,                    297,                -17212,                -63374,,                -46162,,                -63374,,                             -1.01,                             -1.01,,                             -1.01,                             -1.01,,                              0,,,
6431,2015年01月01日至2015年09月30日,,,                321930,                321930,,,                381868,                381868,                -59938,                -59938,,,                 10073,,                 32697,,                 10334,                 53104,               -113042,,,                  4934,,                 21122,                 26056,                -86986,,                    897,                -87883,                -87883,,,                 12884,                 12884,,                   -393,                   -393,                 12491,                -75392,,                -87883,,                -75392,,                             -1.93,                             -1.93,,                             -1.93,                             -1.93,,,,,
6431,2015年01月01日至2015年06月30日,,,                222524,                222524,,,                270005,                270005,                -47481,                -47481,,,                  6914,,                 22332,,                  6985,                 36231,                -83712,,,                  3002,,                  1788,                  4790,                -78922,,                 -1896,                -77026,                -77026,,,                -29396,                -29396,,                    582,                    582,                -28814,               -105840,,                -77026,,               -105840,,                             -1.69,                             -1.69,,                             -1.69,                             -1.69,,                              0,,,
6431,2015年01月01日至2015年03月31日,,,                101763,                101763,,,                117871,                117871,                -16108,                -16108,,,                  3348,,                 12342,,                  3379,                 19069,                -35177,,,                  1565,,                  2699,                  4264,                -30913,,                    -49,                -30864,                -30864,,,                -11887,                -11887,,                    285,                    285,                -11602,                -42466,,                -30864,,                -42466,,                             -0.68,                             -0.68,,                             -0.68,                             -0.68,,                              0,,,
6431,2014年第3季,,,                245996,                245996,,,                208285,                208285,                 37711,                 37711,,,                  4593,,                 19191,,                    754,                 24538,                 13173,,,                  1206,,                 -3097,                 -1891,                 11282,,                  2736,                  8546,                  8546,,,                 17820,                 17820,,                     29,                     29,                 17849,                 26395,,                  8546,,                 26395,,                              0.22,                              0.22,,                              0.22,                              0.22,,,,,
6431,2014年第2季,,,                390040,                390040,,,                275501,                275501,                114539,                114539,,,                  4841,,                  6754,,                  5027,                 16622,                 97917,,,                    755,,                    962,                  1664,                 99581,,                 34261,                 65320,                 65320,,,                -22337,                -22337,,                    -54,                    -54,                -22391,                 42929,,                 65320,,                 42929,,                              1.65,                              1.65,,                              1.64,                              1.64,,                     53,,,
6431,2014年度,,,              1000248,              1000248,,,                798141,                798141,                202107,                202107,,,                 18286,,                 56039,,                 11712,                 86037,                116070,,,                  2980,,                 -4135,                 -1155,                114915,,                 41260,                 73655,                 73655,,,,,,,,                 44261,                117916,,                 73655,,                117916,,                              1.84,                              1.84,,                              1.83,                              1.83,,                              0,                 44261,                              0,                              0
6431,2014年01月01日至2014年09月30日,,,                893021,                893021,,,                681615,                681615,                211406,                211406,,,                 11994,,                 45609,,                  8793,                 66396,                145010,,,                  2170,,                    134,                  2304,                147314,,                 50808,                 96506,                 96506,,,                  9055,                  9055,,                     17,                     17,                  9072,                105578,,                 96506,,                105578,,                              2.44,                              2.44,,                              2.42,                              2.42,,,,,
6431,2014年01月01日至2014年06月30日,,,                647025,                647025,,,                473330,                473330,                173695,                173695,,,                  7401,,                 26418,,                  8039,                 41858,                131837,,,                    964,,                  3321,                  4195,                136032,,                 48072,                 87960,                 87960,,,                 -8765,                 -8765,,                    -12,                    -12,                 -8777,                 79183,,                 87960,,                 79183,,                              2.22,                              2.22,,                              2.21,                              2.21,,                     90,,,
6431,2014年01月01日至2014年03月31日,,,                256985,                256985,,,                197829,                197829,                 59156,                 59156,,,                  2560,,                 19664,,                  3012,                 25236,                 33920,,,                    209,,                  2359,                  2531,                 36451,,                 13811,                 22640,                 22640,,,                 13614,                 13614,,                              0,                              0,                 13614,                 36254,,                 22640,,                 36254,,                              0.57,                              0.57,,                              0.56,                              0.56,,                     37,,,
6431,2013年第3季,,,                306111,                306111,,,                196113,                196113,                109998,                109998,,,                  2864,,                 10121,,                  2926,                 15911,                 94087,,,                    365,,                 -4602,                 -4237,                 89850,,                 29160,                 60690,                 60690,,,,,,,,                 -6010,                 54680,,                 60690,,                 54680,,                              1.53,                              1.53,,                              1.52,                              1.52,,,                 -6010,                              0,                              0
6431,2013年度,,,              1138326,              1138326,,,                795342,                795342,                342984,                342984,,,                 22275,,                 68715,,                 16881,                107871,                235113,,,                  1350,,                -15731,                -15222,                219891,,                 80557,                139334,                139334,,,,,,,,                 51044,                190378,,                 74088,,                 99102,,                              3.52,                              3.52,,                              3.49,                              3.49,,                    841,                 51044,                 65246,                 91276
6431,2013年01月01日至2013年12月31日,,,              1138326,              1138326,,,                795342,                795342,                342984,                342984,,,                 22275,,                 68715,,                 16881,                107871,                235113,,,                  1350,,                -15731,                -15222,                219891,,                 80557,                139334,                139334,,,,,,,,                 51044,                190378,,                 74088,,                 99102,,                              3.52,                              3.52,,                              3.49,                              3.49,,                    841,                 51044,                 65246,                 91276
6431,2013年01月01日至2013年09月30日,,,                843598,                843598,,,                539886,                539886,                303712,                303712,,,                 13011,,                 43380,,                  5979,                 62370,                241342,,,                  1001,,                -11944,                -10943,                230399,,                 76812,                153587,                153587,,,,,,,,                 43693,                197280,,                 88341,,                106004,,                              3.88,                              3.88,,                              3.86,                              3.86,,,                 43693,                 65246,                 91276
6431,2012年01月01日至2012年12月31日,,,                402688,                402688,,,                285969,                285969,                116719,                116719,,,                 15260,,                 25204,,                  8713,                 49177,                 67542,,,                    492,,                 -1271,                 -1710,                 65832,,                  9622,                 56210,                 56210,,,,,,,,                -21271,                 34939,,                              0,,                              0,,                              1.42,                              1.42,,                              1.42,                              1.42,,                    931,                -21271,                 56210,                 34939
