證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入淨額,　　 營業收入合計,　 營業成本,　　 銷貨成本,　　　 銷貨成本合計,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 利息收入,　　　　 利息收入合計,　　　 其他收入－其他,　　　 其他收入合計,　　 其他利益及損失,　　　 外幣兌換利益,　　　 什項支出,　　　 其他利益及損失淨額,　　 財務成本,　　　 利息費用,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 與其他綜合損益組成部分相關之所得稅,　　　 處分投資利益,　　　 透過損益按公允價值衡量之金融資產（負債）利益,　　　 外幣兌換損失,　　　 透過損益按公允價值衡量之金融資產（負債）損失
2474,2015年第3季,,,             21404681,             21404681,,,             11447159,             11447159,              9957522,              9957522,,,                107511,,              1907075,,                318053,              2332639,              7624883,,,,                 60799,              1393525,              1454324,,              1934288,                 -2151,              1936439,,                 42268,                 42268,,                  7155,              3355650,             10980533,,              2808262,              8172271,              8172271,,,              3401130,                              0,,                 10467,              3411597,              3411597,             11583868,,              8153812,                 18459,,             11561073,                 22795,,                             10.58,                             10.58,,                             10.58,                             10.58,,,,,,,,,,
2474,2015年第2季,,,,             20129280,,,,             10581405,              9547875,              9547875,,,                266316,,              1446805,,                325709,              2038830,              7509045,,,,                122007,                747043,                869050,,               -188070,                 -9884,               -178186,,                 39801,                 39801,,                  1260,                652323,              8161368,,              2903016,              5258352,              5258352,,,               -937840,                              0,,                 -2599,               -940439,               -940439,              4317913,,              5246992,                 11360,,              4308016,                  9897,,                              6.81,                              6.81,,                              6.80,                              6.80,,,,,,,,,,
2474,2015年01月01日至2015年09月30日,,,             58934080,             58934080,,,             31319213,             31319213,             27614867,             27614867,,,                542381,,              4767096,,                928149,              6237626,             21377241,,,,                359748,              2182288,              2542036,,              1567351,                -27531,              1594882,,                120168,                120168,,                 -2394,              4014356,             25391597,,              7296055,             18095542,             18095542,,,              1175939,                              0,,                  5769,              1181708,              1181708,             19277250,,             18053147,                 42395,,             19279745,                 -2495,,                             23.43,                             23.43,,                             23.41,                             23.41,,,,,,,,,,
2474,2015年01月01日至2015年06月30日,,,,             37529399,,,,             19872054,             17657345,             17657345,,,                434870,,              2860021,,                610096,              3904987,             13752358,,,,                298949,                788763,              1087712,,               -366937,                -25380,               -341557,,                 77900,                 77900,,                 -9549,                658706,             14411064,,              4487793,              9923271,              9923271,,,             -2225191,                              0,,                 -4698,             -2229889,             -2229889,              7693382,,              9899335,                 23936,,              7718672,                -25290,,                             12.85,                             12.85,,                             12.84,                             12.84,,,,,,,,,,
2474,2015年01月01日至2015年03月31日,,,,             17400119,,,,              9290649,              8109470,              8109470,,,                168554,,              1413216,,                284387,              1866157,              6243313,,,,                176942,                 41720,                218662,,               -178867,                -15496,               -163371,,                 38099,                 38099,,                -10809,                  6383,              6249696,,              1584777,              4664919,              4664919,,,             -1287351,                              0,,                 -2099,             -1289450,             -1289450,              3375469,,              4652343,                 12576,,              3410656,                -35187,,,                              6.04,,,                              6.03,,,,,,,,,,
2474,2014年第3季,,,             14528751,             14528751,,,              7434436,              7434436,              7094315,              7094315,,,                178591,,              1177008,,                281421,              1637020,              5457295,,,,                221225,                297626,                518851,,                300664,                -51069,                351733,,                 29577,                 29577,,                 -4827,                836180,              6293475,,              1481295,              4812180,              4812180,,,              1442274,                              0,,                  3154,              1445428,              1445428,              6257608,,              4811219,                    961,,              6253378,                  4230,,                              6.36,                              6.36,,                              6.25,                              6.25,,,,,,,,,,
2474,2014年第2季,,,,             13319014,,,,              6762263,              6556751,              6556751,,,                115448,,                998385,,                285549,              1399382,              5157369,,,,                208946,                316301,                525247,,               -275735,                -47844,               -227891,,                 40654,                 40654,,                 21961,                278663,              5436032,,              1790040,              3645992,              3645992,,,             -1464795,                              0,,                 -4397,             -1469192,             -1469192,              2176800,,              3643676,                  2316,,              2178014,                 -1214,,                              4.84,                              4.84,,                              4.78,                              4.78,,,,,,,,,,
2474,2014年度,,,,             55277365,,,,             29176017,             26101348,             26101348,,,                600724,,              4415469,,              1060230,              6076423,             20024925,,,,                825643,              1472203,              2297846,,              1174355,               -209763,              1384118,,                164208,                164208,,                  1922,              3519678,             23544603,,              5656846,             17887757,             17887757,,,,,,,,              4783066,             22670823,,             17877167,                 10590,,             22649946,                 20877,,                             23.52,                             23.52,,                             23.21,                             23.21,              4788697,                -14077,                 -3332,,                 11211,                   -567,,,,
2474,2014年01月01日至2014年09月30日,,,             38263634,             38263634,,,             20309189,             20309189,             17954445,             17954445,,,                382252,,              3000307,,                748968,              4131527,             13822918,,,,                642460,                693304,              1335764,,                344668,               -190755,                535423,,                126145,                126145,,                 20360,              1765402,             15588320,,              4143344,             11444976,             11444976,,,              1066070,                  1025,,                  4098,              1071193,              1071193,             12516169,,             11438704,                  6272,,             12507768,                  8401,,                             15.11,                             15.11,,                             14.86,                             14.86,,,,,,,,,,
2474,2014年01月01日至2014年06月30日,,,,             23734883,,,,             12874753,             10860130,             10860130,,,                203661,,              1823299,,                467547,              2494507,              8365623,,,,                421235,                395678,                816913,,                 44004,               -139686,                183690,,                 96568,                 96568,,                 25187,                929222,              9294845,,              2662049,              6632796,              6632796,,,               -376204,                  1025,,                    944,               -374235,               -374235,              6258561,,              6627485,                  5311,,              6254390,                  4171,,                              8.81,                              8.81,,                              8.72,                              8.72,,,,,,,,,,
