證券代號,年季,　 營業收入,　　 保費收入,　　　 簽單保費收入,　　　 再保費收入,　　　 保費收入合計,　　 再保費支出,　　 未滿期保費準備淨變動,　　　 未滿期保費準備淨變動,　　 自留滿期保費收入,　　 再保佣金收入,　　 手續費收入,　　　 手續費收入合計,　　 淨投資損益,　　　 利息收入,　　　 透過損益按公允價值衡量之金融資產及負債損益,　　　 備供出售金融資產之已實現損益,　　　 以成本衡量之金融資產及負債之已實現損益,　　　 無活絡市場之債務工具投資損益之已實現損益,　　　 兌換損益－投資,　　　 投資性不動產損益,　　　 投資減損損失及迴轉利益,　　　　 投資減損損失及迴轉利益淨額,　　　 淨投資損益,　　 其他營業收入,　　　 其他營業收入合計,　　 營業收入合計,　 營業成本,　　 保險賠款與給付,　　　 保險賠款與給付合計,　　 攤回再保賠款與給付,　　 自留保險賠款與給付,　　 其他保險負債淨變動,　　　 其他保險負債淨變動合計,　　 佣金費用,　　　 佣金費用合計,　　 其他營業成本,　　　 其他營業成本合計,　　 營業成本合計,　 營業費用,　　 業務費用,　　 管理費用,　　 員工訓練費用,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）淨額,　 繼續營業單位本期純益（純損）,　 本期淨利（淨損）,　 其他綜合損益（稅後淨額）,　　 後續可能重分類至損益之項目,　　　 備供出售金融資產之未實現評價利益（損失）,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目,　　 其他綜合損益（稅後淨額）合計,　 本期綜合損益總額,　 基本每股盈餘 ,　　 基本每股盈餘合計,　　　 無活絡市場之債券投資損益之已實現損益,　　 保險負債淨變動,　　　 保險負債淨變動,　 繼續營業單位稅前純益（純損）,　　 其他綜合損益-稅前,　　　 其他綜合損益－稅前合計,　　 與其他綜合損益組成部分相關之所得稅,　　 分離帳戶保險商品收益,　　 繼續營業單位淨利（淨損）
2850,2015年第3季,,,              3503524,                213160,              3716684,              1004859,,               -121924,              2833749,                112951,,                 20603,,                 49918,                -30740,                177359,                 37861,                    844,                189593,                 14894,,                 59140,                498869,,                 58869,              3525041,,,              2042689,                520156,              1522533,,                138601,,                507237,,                 29240,              2197611,,                639264,                 85484,                  2914,                727662,                599768,,                  3936,                603704,,                 87942,                515762,                515762,,,               -339286,                  4768,               -344054,               -344054,                171708,,                              1.63,,,,,,,,,
2850,2015年第2季,,,              3650255,                193058,              3843313,              1014312,,                146099,              2682902,                 79722,,                              0,,                 55588,                  2925,                115630,                 18922,                    835,                -45105,                 14808,,                 -3013,                160590,,                  9523,              2932737,,,              3266686,              2001917,              1264769,,                209856,,                479442,,                 19558,              1973625,,                574776,                 72892,                    766,                648434,                310678,,                  1068,                311746,,                 34268,                277478,                277478,,,               -106735,                 -1870,               -104865,               -104865,                172613,,                              0.88,,,,,,,,,
2850,2015年01月01日至2015年09月30日,,,             10584892,                538800,             11123692,              2872512,,                190684,              8060496,                301092,,                 21525,,                142773,                -32615,                298486,                 82197,                  2505,                 88744,                 43978,,                 57767,                683835,,                 90929,              9157877,,,              6874260,              2846177,              4028083,,                529808,,              1480464,,                 60300,              6098655,,              1682515,                229857,                  4336,              1916708,              1142514,,                  6318,              1148832,,                134504,              1014328,              1014328,,,               -319766,                  3090,               -322856,               -322856,                691472,,                              3.21,,,,,,,,,
2850,2015年01月01日至2015年06月30日,,,              7081368,                325640,              7407008,              1867653,,                312608,              5226747,                188141,,                    922,,                 92855,                 -1875,                121127,                 44337,                  1661,               -100849,                 29084,,                 -1373,                184967,,                 32060,              5632837,,,              4831571,              2326021,              2505550,,                391207,,                973227,,                 31061,              3901045,,              1043251,                144373,                  1422,              1189046,                542746,,                  2382,                545128,,                 46562,                498566,                498566,,,                 19521,                 -1678,                 21199,                 21199,                519765,,                              1.58,,,,,,,,,
2850,2015年01月01日至2015年03月31日,,,              3431113,                132582,              3563695,                853341,,                166508,              2543846,                108418,,                    922,,                 37268,                 -4800,                  5497,                 25415,                    826,                -55745,                 14276,,                  1640,                 24377,,                 22537,              2700100,,,              1564885,                324104,              1240781,,                181351,,                493785,,                 11503,              1927420,,                468476,                 71481,                    656,                540613,                232067,,                  1314,                233381,,                 12294,                221087,                221087,,,                126256,                    192,                126064,                126064,                347151,,                              0.70,,,,,,,,,
2850,2014年第3季,,,              3250835,                110952,              3361787,                883776,,                -48326,              2526337,                106281,,                  7095,,                 40279,                 -7393,                105712,                 21990,                    820,                 59958,                 13793,,                  2888,                238047,,                  6026,              2883786,,,              1630818,                357262,              1273556,,                113706,,                458385,,                 11754,              1857401,,                458471,                 60941,                  3154,                522566,                503819,,                  2985,                506804,,                 67464,                439340,                439340,,,                -45169,                    263,                -45432,                -45432,                393908,,                              1.39,,,,,,,,,
2850,2014年第2季,,,              3642476,                112380,              3754856,              1220915,,                 81138,              2452803,                151959,,                  7088,,                 52345,                 -4095,                 22952,                 10808,                    835,                -58636,                 13784,,                 15978,                 53971,,                  5496,              2671317,,,              1784878,                524342,              1260536,,                138232,,                459268,,                 19058,              1877094,,                585247,                 71607,                    746,                657600,                136623,,                    273,                136896,,                  3702,                133194,                133194,,,                 29000,                 -5710,                 34710,                 34710,                167904,,                              0.42,,,,,,,,,
2850,2014年01月01日至2014年09月30日,,,             10015073,                336176,             10351249,              2801626,,                135011,              7414612,                348242,,                 20662,,                125155,                  2335,                297641,                 32799,                  2481,                 34065,                 41108,,                 18907,                554491,,                 22548,              8360555,,,              5202882,              1412062,              3790820,,                355051,,              1381008,,                 54143,              5581022,,              1573850,                201618,                  4734,              1780202,                999331,,                  3531,              1002862,,                121911,                880951,                880951,,,               -202603,                  1307,               -203910,               -203910,                677041,,                              2.79,,,,,,,,,
2850,2014年01月01日至2014年06月30日,,,              6764238,                225224,              6989462,              1917850,,                183337,              4888275,                241961,,                 13567,,                 84876,                  9728,                191929,                 10809,                  1661,                -25893,                 27315,,                 16019,                316444,,                 16522,              5476769,,,              3572064,              1054800,              2517264,,                241345,,                922623,,                 42389,              3723621,,              1115379,                140677,                  1580,              1257636,                495512,,                    546,                496058,,                 54448,                441610,                441610,,,               -157434,                  1044,               -158478,               -158478,                283132,,                              1.40,,,,,,,,,
2850,2014年01月01日至2014年03月31日,,,              3121762,                112844,              3234606,                696935,,                102199,              2435472,                 90002,,                  6479,,                 32531,                 13823,                168977,                              0,                    826,                 32744,                 13531,,                     41,                262473,,                 11026,              2805452,,,              1787186,                530458,              1256728,,                103113,,                463355,,                 23331,              1846527,,                530132,                 69069,                    834,                600035,                358890,,                    273,                359163,,                 50747,                308416,                308416,,,               -186434,                  6754,               -193188,               -193188,                115228,,                              0.98,,,,,,,,,
2850,2013年07月01日至2013年09月30日,,,              3130686,                114947,              3245633,                891236,,                 32876,              2321521,                117463,,                  8860,,                 29730,                 14487,                 75421,                 22475,,                -17010,                -28604,,,                 97472,,                  3024,              2548340,,,              1815912,                486342,              1329570,,,,                436167,,                 24547,              1740023,,                495193,                 57935,,                553128,                255189,,                    -14,,,                 28624,                226551,                226551,,,                -24491,,,                -25849,                200702,,                              0.72,                    973,,                -50261,                255175,,                -24491,                  1358,                              0,
2850,2013年04月01日至2013年06月30日,,,              3447902,                 92510,              3540412,              1210621,,                 53402,              2276389,                163549,,                  6271,,                 39107,                 -2745,                 20629,                  9619,,                -20139,                 10021,,,                 57327,,                  1356,              2504892,,,              1655282,                464887,              1190395,,,,                432206,,                  6681,              1690453,,                491479,                 71831,,                563310,                251129,,                     88,,,                 40565,                210652,                210652,,,                 36488,,,                 44943,                255595,,                              0.67,                    835,,                 61171,                251217,,                 36488,                 -8455,                              0,
2850,2013年01月01日至2013年12月31日,,,             12811723,                420100,             13231823,              3738351,,                381981,              9111491,                496441,,                 25675,,                136142,                 42322,                207954,                 33394,,                -12496,                 45822,,                -64351,                392266,,                 23813,             10049686,,,              7147533,              2154301,              4993232,,,,              1761772,,                 49656,              6679969,,              2005003,                249153,,              2254156,              1115561,,                    718,,,                144601,                971678,                971678,,,                 91146,,,                 81496,              1053174,,                              3.08,                  3479,,               -124691,              1116279,,                 91146,                  9650,,
2850,2013年01月01日至2013年09月30日,,,              9695415,                321003,             10016418,              2858767,,                364911,              6792740,                366657,,                 19110,,                100659,                 13479,                 97090,                 32094,,                -10578,                 -8344,,,                227034,,                  7392,              7412933,,,              5143026,              1579185,              3563841,,,,              1314961,,                 37528,              5024650,,              1473210,                189269,,              1662479,                725804,,                    240,,,                104273,                621771,                621771,,,                 39814,,,                 39976,                661747,,                              1.97,                  2634,,                108320,                726044,,                 39814,                   -162,                              0,
2850,2013年01月01日至2013年06月30日,,,              6564729,                206056,              6770785,              1967531,,                332035,              4471219,                249194,,                 10250,,                 70929,                 -1008,                 21669,                  9619,,                  6432,                 20260,,,                129562,,                  4368,              4864593,,,              3327114,              1092843,              2234271,,,,                878794,,                 12981,              3284627,,                978017,                131334,,              1109351,                470615,,                    254,,,                 75649,                395220,                395220,,,                 64305,,,                 65825,                461045,,                              1.25,                  1661,,                158581,                470869,,                 64305,                 -1520,                              0,
2850,2013年01月01日至2013年03月31日,,,              3116827,                113546,              3230373,                756910,,                278633,              2194830,                 85645,,                  3979,,                 31822,                  1737,                  1040,,,                 26571,                 10239,,,                 72235,,                  3012,              2359701,,,              1671832,                627956,              1043876,,,,                446588,,                  6300,              1594174,,                486538,                 59503,,                546041,                219486,,                    166,,,                 35084,                184568,                184568,,,                 27817,,,                 20882,                205450,,                              0.58,                    826,,                 97410,                219652,,                 27817,                  6935,,                              0.58
2850,2012年07月01日至2012年09月30日,,,              2989946,                 99100,              3089046,                972981,,                  3743,              2112322,                161135,,                  4080,,                 31409,                 19419,                  6987,                              0,,                -18571,                  8366,,,                115247,,                   -478,              2392306,,,              1658673,                475359,              1183314,,,,                428800,,                   -435,              1624505,,                447224,                 67379,,                514603,                253198,,                  5358,,,                 30606,                227950,                227950,,,                 95816,,,                109589,                337539,,                              0.73,                 67637,,                 12826,                258556,,                 95816,                -13773,                              0,
2850,2012年04月01日至2012年06月30日,,,              3157193,                105563,              3262756,              1096382,,                 95037,              2071337,                131882,,                  6454,,                 39834,                 -8246,                -36518,                              0,,                    791,                 14034,,,                 31874,,                  4331,              2245878,,,              1847317,                580673,              1266644,,,,                417532,,                  9238,              1604497,,                490358,                 57308,,                547666,                 93715,,                    300,,,                 13913,                 80102,                 80102,,,                -91660,,,                -90786,                -10684,,                              0.26,                 21979,,                -88917,                 94015,,                -91660,                   -874,                              0,
2850,2012年01月01日至2012年12月31日,,,             12315919,                413108,             12729027,              4107484,,                245851,              8375692,                628144,,                 24000,,                142686,                 40495,                -12596,                              0,,                -56007,                 38922,,                              0,                246228,,                              0,              9274064,,,              7142464,              2297120,              4845344,,,,              1722063,,                 30359,              6276466,,              1876620,                219880,,              2096500,                901098,,                    411,,,                133120,                768389,                768389,,,                432088,,,                432191,              1200580,,                              2.45,                 92728,,               -321300,                901509,,                432088,                   -103,,
2850,2012年01月01日至2012年09月30日,,,              9169411,                300116,              9469527,              3018121,,                270524,              6180882,                461386,,                 15672,,                107697,                 35086,                -17075,                              0,,                -38099,                 28218,,,                207323,,                  3853,              6869116,,,              5108694,              1580802,              3527892,,,,              1290613,,                 27106,              4715778,,              1385024,                189964,,              1574988,                578350,,                  5787,,,                 80346,                503791,                503791,,,                464722,,,                469565,                973356,,                              1.61,                 91496,,               -129833,                584137,,                464722,                 -4843,                              0,
2850,2012年01月01日至2012年06月30日,,,              6179465,                201016,              6380481,              2045140,,                266781,              4068560,                300251,,                 11592,,                 76288,                 15666,                -24062,                              0,,                -19528,                 19853,,,                 92076,,                  4331,              4476810,,,              3450021,              1105443,              2344578,,,,                861813,,                 27541,              3091273,,                937799,                122585,,              1060384,                325153,,                    428,,,                 49740,                275841,                275841,,,                368906,,,                359976,                635817,,                              0.88,                 23859,,               -142659,                325581,,                368906,                  8930,                              0,
