證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入淨額,　　 其他營業收入,　　　 其他營業收入淨額,　　 營業收入合計,　 營業成本,　　 銷貨成本,　　　 銷貨成本合計,　　 其他營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 利息收入,　　　　 利息收入合計,　　　 租金收入,　　　 股利收入,　　　 其他收入－其他,　　　 其他收入合計,　　 其他利益及損失,　　　 處分不動產、廠房及設備利益,　　　 外幣兌換利益,　　　 透過損益按公允價值衡量之金融資產（負債）利益,　　　 減損迴轉利益,　　　　 不動產、廠房及設備減損迴轉利益,　　　　 減損迴轉利益合計,　　　 什項支出,　　　 其他利益及損失淨額,　　 財務成本,　　　 利息費用,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　　 銷貨收入,　　　　 銷貨收入,　　　　 銷貨收入合計,　　　 銷貨成本,　　 繼續營業單位淨利（淨損）,　　 稀釋繼續營業單位淨利（淨損）,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅,　　　 處分投資損失,　　　 外幣兌換損失,　　 其他綜合損益,　　　 處分投資利益,　　　 處分不動產、廠房及設備損失
3450,2014年01月01日至2014年03月31日,,,              1521934,,                 49510,              1571444,,,              1233389,                  1726,              1235115,                336329,                336329,,,                  7614,,                 76652,,                 17200,                101466,                234863,,,,,,,,                  8932,,,,,,,,,                 15947,,,                  3841,,                  2290,                 23328,                258191,,                 55782,                202409,                202409,,,                  9601,                    933,                  8668,                  8668,                211077,,                157613,                 44796,,                162167,                 48910,,                              2.06,,                              2.03,,,,,,,,,,,,,,,
3450,2013年第3季,,,              1502618,,                 85118,              1587736,,,              1253497,                  4119,              1257616,                330120,                330120,,,                  9097,,                 48017,,                 20410,                 77524,                252596,,,,                    168,                    196,                    236,                    553,                  1153,,                 -2618,,                     50,,                  1632,                  1632,                  1897,                -25675,,                  5796,                  5796,,                  4680,                -25638,                226958,,                 32327,                194631,                194631,,,,,,                  8047,                202678,,                160920,                 33711,,                169336,                 33342,,                              2.10,,                              2.07,,,,,,,                   -884,                 10655,,,                  9278,                 13564,                 -1724,,
3450,2013年第2季,,,              1283233,,                 68717,              1351950,,,              1097626,                  1167,              1098793,                253157,                253157,,,                  8893,,                 71382,,                 17088,                 97363,                155794,,,,,,,,                  7546,,,,,,,,,                 -2913,,,                  7431,,                  7490,                  4692,                160486,,                 24281,                136205,                136205,,,,,,                 26363,                162568,,                120456,                 15749,,                132418,                 30150,,                              1.57,,                              1.55,,              1283233,              1283233,              1097626,                              1.57,                              1.55,                 34543,                 -5730,,,,,                 -2450,,
3450,2013年度,,,              5292603,,                267262,              5559865,,,              4451998,                 37831,              4489829,              1070036,              1070036,,,                 33964,,                288100,,                 64810,                386874,                683162,,,,,,,                 14606,                 14606,,,,,,,,,                 -8406,,,                 27876,,                 17106,                 -4570,                678592,,                120732,                557860,                557860,,,,,,                 74561,                632421,,                468512,                 89348,,                514330,                118091,,                              6.11,,                              5.99,,,,,                              6.11,                              5.99,                 68115,                 17981,                 -2997,                  8538,,,,,
3450,2013年07月01日至2013年09月30日,,,              1502618,,                 85118,              1587736,,,              1253497,                  4119,              1257616,                330120,                330120,,,                  9097,,                 48017,,                 20410,                 77524,                252596,,,,                    168,                    196,                    236,                    553,                  1153,,                              0,                              0,                     50,,                  1632,                  1632,                  1897,                -25675,,                  5796,                  5796,,                  4680,                -25638,                226958,,                 32327,                194631,                194631,,,,,,                  8047,                202678,,                160920,                 33711,,                169336,                 33342,,                              2.10,,                              2.07,,,,,,,                   -884,                 10655,,,                  9278,                 13564,                 -1724,                              0,                  2618
3450,2013年04月01日至2013年06月30日,,,              1283233,,                 68717,              1351950,,,              1097626,                  1167,              1098793,                253157,                253157,,,                  8893,,                 71382,,                 17088,                 97363,                155794,,,,,,,                  7546,                  7546,,,,,,,,,                 -2913,,,                  7431,,                  7490,                  4692,                160486,,                 24281,                136205,                136205,,,,,,                 26363,                162568,,                120456,                 15749,,                132418,                 30150,,                              1.57,,                              1.55,,              1283233,              1283233,              1097626,,,                 34543,                 -5730,,,,,                 -2450,,
3450,2013年01月01日至2013年12月31日,,,              5292603,,                267262,              5559865,,,              4451998,                 37831,              4489829,              1070036,              1070036,,,                 33964,,                288100,,                 64810,                386874,                683162,,,,,,,                 14606,                 14606,,,,,,,,,                 -8406,,,                 27876,,                 17106,                 -4570,                678592,,                120732,                557860,                557860,,,,,,                 74561,                632421,,                468512,                 89348,,                514330,                118091,,                              6.11,,                              5.99,,,,,                              6.11,                              5.99,                 68115,                 17981,                 -2997,                  8538,,,,,
3450,2013年01月01日至2013年09月30日,,,              3816634,,                200794,              4017428,,,              3237029,                 10930,              3247959,                769469,                769469,,,                 25831,,                191195,,                 54287,                271313,                498156,,,,                    846,                    205,                    636,                  9779,                 11466,,                    653,,                     56,,                  6690,                  6690,                  6396,                -24590,,                 23026,                 23026,,                 14315,                -21835,                476321,,                 84126,                392195,                392195,,,,,,                 60857,                453052,,                329374,                 62821,,                366317,                 86735,,                              4.30,,                              4.21,,,,,,,                 57362,                 11062,,,                  9278,                 16315,                 -7567,,
3450,2013年01月01日至2013年06月30日,,,              2314016,,                115676,              2429692,,,              1983532,                  6811,              1990343,                439349,                439349,,,                 16734,,                143178,,                 33877,                193789,                245560,,,,,,,,                 10313,,,,,,,,,                  1085,,,                 17230,,                  9635,                  3803,                249363,,                 51799,                197564,                197564,,,,,,                 52810,                250374,,                168454,                 29110,,                196981,                 53393,,                              2.20,,                              2.17,,              2314016,              2314016,              1983532,                              2.20,                              2.17,                 58246,                    407,,,,,                 -5843,,
3450,2013年01月01日至2013年03月31日,,,              1030783,,                 46959,              1077742,,,                885906,                  5644,                891550,                186192,                186192,,,                  7841,,                 71796,,                 16789,                 96426,                 89766,,,,,,,                  2767,                  2767,,,,,,,,,                  3998,,,                  9799,,                  2145,                   -889,                 88877,,                 27518,                 61359,                 61359,,,,,,                 26447,                 87806,,                 47998,                 13361,,                 64563,                 23243,,                              0.63,,                              0.62,,,,                885906,                              0.63,                              0.62,                 23703,                  6137,,,,,                 -3393,,
3450,2012年07月01日至2012年09月30日,,,              1322337,,                              0,              1322337,,,              1040020,                              0,              1040020,                282317,                282317,,,                  8219,,                107555,,                 18355,                134129,                148188,,,,                     78,                     12,                    300,                  3704,                  4094,,                     12,                              0,                     22,,                    175,                    175,                  6809,                 -7261,,                 14962,                 14962,,                   -822,                -18951,                129237,,                 29997,                 99240,                 99240,,,,,,                -15070,                 84170,,                 77452,                 21788,,                 68933,                 15237,,                              1.01,,                              1.00,,,,,,,                -15934,                   -686,,,                              0,                  1628,                  1550,                    967,                              0
3450,2012年04月01日至2012年06月30日,,,                675736,,                              0,                675736,,,                562608,                              0,                562608,                113128,                113128,,,                  4969,,                 36775,,                 17683,                 59427,                 53701,,,,,,,                    448,                    448,,,,,,,,,                  3610,,,                  2450,,                 -1056,                    552,                 54253,,                 12188,                 42065,                 42065,,,,,,                 -3456,                 38609,,                 36778,                  5287,,                 34648,                  3961,,                              0.48,,                              0.47,,                675736,                675736,                562608,,,                 -3224,                   -668,,,,,                    436,,
3450,2012年01月01日至2012年12月31日,,,              3516186,,                194657,              3710843,,,              2961483,                 32820,              2994303,                716540,                716540,,,                 21329,,                204471,,                 69370,                295170,                421370,,,,,,,                  7140,                  7140,,,,,,,,,                -19399,,,                 30875,,                 -4635,                -47769,                373601,,                 84328,                289273,                289273,,,,,,                -17683,                271590,,                231568,                 57705,,                219492,                 52098,,                              3.02,,                              2.97,,,,,                              3.02,                              2.97,                -13449,                 -1300,                 -4367,                 -1433,,,,,
3450,2012年01月01日至2012年09月30日,,,              2511819,,                              0,              2511819,,,              2044248,                              0,              2044248,                467571,                467571,,,                 16577,,                161738,,                 52080,                230395,                237176,,,,                    304,                     16,                    791,                  3870,                  4981,,                     10,                    339,                    274,,                    175,                    175,                  7193,                 -5428,,                 17766,                 17766,,                 -1878,                -20091,                217085,,                 51573,                165512,                165512,,,,,,                -17736,                147776,,                139787,                 25725,,                129928,                 17848,,                              1.82,,                              1.79,,,,,,,                -19158,                   -451,,,                              0,                              0,                  1873,                    967,                              0
3450,2012年01月01日至2012年06月30日,,,              1189482,,                              0,              1189482,,,              1004228,                              0,              1004228,                185254,                185254,,,                  8358,,                 54183,,                 33725,                 96266,                 88988,,,,,,,                    887,                    887,,,,,,,,,                  1833,,,                  2804,,                 -1056,                 -1140,                 87848,,                 21576,                 66272,                 66272,,,,,,                 -2666,                 63606,,                 62335,                  3937,,                 60995,                  2611,,                              0.81,,                              0.80,,              1189482,              1189482,              1004228,,,                 -3224,                    235,,,,,                    323,,
3450,2012年01月01日至2012年03月31日,,,                513746,,                              0,                513746,,,                441620,                              0,                441620,                 72126,                 72126,,,                  3389,,                 17408,,                 16042,                 36839,                 35287,,,,,,,                    439,                    439,,,,,,,,,                 -1777,,,                    354,,                              0,                 -1692,                 33595,,                  9388,                 24207,                 24207,,,,,,                    790,                 24997,,                 25557,                 -1350,,                 26347,                 -1350,,                              0.33,,                              0.33,,,,                441620,                              0.33,                              0.33,                              0,                    903,,,,,                   -113,,
