證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 備供出售金融資產未實現評價損益,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 銷貨收入淨額,　　　 銷貨收入淨額,　　 銷貨成本,　　　 銷貨成本合計,　　　 其他費用,　　　 其他費用[duplicate]16,　　　 其他收入－其他,　　 當期所得稅費用（利益）,　　 繼續營業單位淨利（淨損）,　　 稀釋繼續營業單位淨利（淨損）
6184,2015年第3季,,                416019,,                238460,                177559,                177559,,,                 56405,,                 55647,                112052,                 65507,,,                 12751,,                  6303,,                 13011,,                              0,                  6043,                 71550,,                 15704,                 55846,                 55846,,,                 32979,,                              0,                 32979,                 32979,                 88825,,                 61699,                 -5853,,                 84375,                  4450,,                              0.47,,                              0.44,,,,,,,,,,,,,
6184,2015年第2季,,                412479,,                192672,                219807,                219807,,,                 42382,,                 53088,                 95470,                124337,,,                 57301,,                 15121,,                 14376,,                              0,                 58046,                182383,,                 27407,                154976,                154976,,,                -10719,,                              0,                -10719,                -10719,                144257,,                160138,                 -5162,,                152768,                 -8511,,                              1.22,,                              1.08,,,,,,,,,,,,,
6184,2015年01月01日至2015年09月30日,,              1237848,,                606280,                631568,                631568,,,                140794,,                157735,                298529,                333039,,,                 75162,,                 12549,,                 39770,,                              0,                 47941,                380980,,                 70825,                310155,                310155,,,                 26687,,                              0,                 26687,                 26687,                336842,,                323558,                -13403,,                341908,                 -5066,,                              2.47,,                              2.21,,,,,,,,,,,,,
6184,2015年01月01日至2015年06月30日,,                821829,,                367820,                454009,                454009,,,                 84389,,                102088,                186477,                267532,,,                 62411,,                  6246,,                 26759,,                              0,                 41898,                309430,,                 55121,                254309,                254309,,,                 -6292,,                              0,                 -6292,                 -6292,                248017,,                261859,                 -7550,,                257533,                 -9516,,                              2.00,,                              1.78,,,,,,,,,,,,,
6184,2015年01月01日至2015年03月31日,,                409350,,                175148,                234202,                234202,,,                 42007,,                 49000,                 91007,                143195,,,                  5110,,                 -8875,,                 12383,,                              0,                -16148,                127047,,                 27714,                 99333,                 99333,,,                  4427,,                              0,                  4427,                  4427,                103760,,                101721,                 -2388,,                104765,                 -1005,,                              0.78,,                              0.70,,,,,,,,,,,,,
6184,2014年第3季,,                219130,,                100485,                118645,                118645,,,                 19118,,                 35371,                 54489,                 64156,,,                  3119,,                 37650,,                  6629,,                 13495,                 47635,                111791,,                 16900,                 94891,                 94891,,,                              0,,                  1053,                  1053,                  1053,                 95944,,                 81275,                 13616,,                 82328,                 13616,,                              0.96,,                              0.84,,,,,,,,,,,,,
6184,2014年第2季,,                219220,,                 95786,                123434,                123434,,,                 16438,,                 38483,                 54921,                 68513,,,                 17896,,                 -7388,,                  7039,,                 16014,                 19483,                 87996,,                 14719,                 73277,                 73277,,,                              0,,                 -4895,                 -4895,                 -4895,                 68382,,                 79762,                 -6485,,                 74867,                 -6485,,                              0.94,,                              0.84,,,,,,,,,,,,,
6184,2014年度,,                934923,,                425562,                509361,                509361,,,                 79965,,                147781,                227746,                281615,,,                 29823,,                 93323,,                 29915,,                 46252,                139483,                421098,,                 71242,                349856,                349856,,,,,,,                -71882,                277974,,                327729,                 22127,,                255847,                 22127,,                              3.70,,                              3.16,                    553,,                -72435,,,,,,,,,,
6184,2014年01月01日至2014年09月30日,,                651430,,                288505,                362925,                362925,,,                 54789,,                104531,                159320,                203605,,,                 25496,,                 24011,,                 20630,,                 40081,                 68958,                272563,,                 44372,                228191,                228191,,,                              0,,                 -5142,                 -5142,                 -5142,                223049,,                220808,                  7383,,                215666,                  7383,,                              2.60,,                              2.30,,,,,,,,,,,,,
6184,2014年01月01日至2014年06月30日,,                432300,,                188020,                244280,                244280,,,                 35671,,                 69160,                104831,                139449,,,                 22377,,                -13639,,                 14001,,                 26586,                 21323,                160772,,                 27472,                133300,                133300,,,                              0,,                 -6195,                 -6195,                 -6195,                127105,,                139533,                 -6233,,                133338,                 -6233,,                              1.65,,                              1.48,,,,,,,,,,,,,
6184,2014年01月01日至2014年03月31日,,                213080,,                 92234,                120846,                120846,,,                 19233,,                 30677,                 49910,                 70936,,,                  4481,,                 -6251,,                  6962,,                 10572,                  1840,                 72776,,                 12753,                 60023,                 60023,,,                              0,,                 -1300,                 -1300,                 -1300,                 58723,,                 59771,                    252,,                 58471,                    252,,                              0.71,,                              0.64,,,,,,,,,,,,,
6184,2013年第3季,,                204935,,                 92688,                112247,                112247,,,                 19538,,                 35619,                 55157,                 57090,,,                  6903,,                    191,,                  6872,,                 10690,                 10912,                 68002,,                  9506,                 58496,                 58496,,,,,,,                  5973,                 64469,,                 56075,                  2421,,                 62048,                  2421,,                              0.66,,                              0.55,,,                  5973,,,,,,,,,,
6184,2013年第2季,,                207258,,                 87262,                119996,                119996,,,                 17039,,                 37228,                 54267,                 65729,,,                 15053,,                -10540,,                  5857,,                 23560,                 22216,                 87945,,                 17280,                 70665,                 70665,,,,,,,                 -3054,                 67611,,                 68585,                  2080,,                 65531,                  2080,,                              0.81,,                              0.74,,,                 -3054,,,,,,,,,,
6184,2013年度,,                821729,,                362501,                459228,                459228,,,                 81280,,                120827,                202107,                257121,,,                 32937,,                  6095,,                 21983,,                 59643,                 76692,                333813,,                 54349,                279464,                279464,,,,,,,                 -1553,                277911,,                257043,                 22421,,                255490,                 22421,,                              3.03,,                              2.88,                    736,,                 -2289,,,,,,,,,,
6184,2013年07月01日至2013年09月30日,,                204935,,                 92688,                112247,                112247,,,                 19538,,                 35619,                 55157,                 57090,,,                  6903,,                    191,,                  6872,,                 10690,                 10912,                 68002,,                  9506,                 58496,                 58496,,,,,,,                  5973,                 64469,,                 56075,                  2421,,                 62048,                  2421,,                              0.66,,                              0.55,,,                  5973,,                204935,,                 92688,                 19538,                 35619,                  6903,                  9506,                              0.66,                              0.55
6184,2013年04月01日至2013年06月30日,,                207258,,                 87262,                119996,                119996,,,                 17039,,                 37228,                 54267,                 65729,,,                 15053,,                -10540,,                  5857,,                 23560,                 22216,                 87945,,                 17280,                 70665,                 70665,,,,,,,                 -3054,                 67611,,                 68585,                  2080,,                 65531,                  2080,,                              0.89,,                              0.81,,,                 -3054,,                207258,,                 87262,                 17039,                 37228,                 15053,                 17280,                              0.89,                              0.81
