證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　 不重分類至損益之項目,　　　 確定福利計畫之再衡量數,　　　 重估增值,　　　 指定按公允價值衡量之金融負債信用風險變動影響數,　　　 與待出售非流動資產直接相關之權益,　　　 權益工具投資之利益（損失）,　　　 不重分類至損益之項目總額,　　　 備供出售金融資產未實現評價損益,　　　 現金流量避險中屬有效避險部分之避險工具利益(損失),　　　 國外營運機構淨投資避險中屬有效避險部分之避險工具利益(損失),　　　 與待出售非流動資產直接相關之權益(後續可能),　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 可能重分類至損益之其他項目,　　　 與可能重分類之項目相關之所得稅,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　　 不重分類至損益之其他項目,　　　 與不重分類之項目相關之所得稅,　　 國外營運機構財務報表換算之兌換差額,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅
8996,2013年07月01日至2013年09月30日,,                623669,,                494571,                129098,                129098,,,                 31576,,                 38388,,                 21142,                 91106,                 37992,,,                  4565,,                  4323,,                  2555,                  6333,                 44325,,                  6741,                 37584,                 37584,,,,,                 -2890,                 34694,,                 37584,,                 34694,,                              0.51,                              0.51,,                              0.51,                              0.51,,,,,,,,,,,,,,,,,,,,                 -2890,,
8996,2013年04月01日至2013年06月30日,,                595928,,                458796,                137132,                137132,,,                 43041,,                 26929,,                 18238,                 88208,                 48924,,,                  1027,,                  7781,,                  2255,                  6553,                 55477,,                  6953,                 48524,                 48524,,,,,                  3214,                 51738,,                 48524,,                 51738,,                              0.66,                              0.66,,                              0.66,                              0.66,,,,,,,,,,,,,,,,,,,,                  3214,,
8996,2013年01月01日至2013年12月31日,,              2323851,,              1811833,                512018,                512018,,,                137964,,                123021,,                 75208,                336193,                175825,,,                  9801,,                  9608,,                  9329,                 10080,                185905,,                 30463,                155442,                155442,,,,,                 10716,                166158,,                155442,,                166158,,                              2.08,                              2.08,,                              2.08,                              2.08,,,,,,,,,,,,,,,,,,,,                 10188,                    636,                    108
8996,2013年01月01日至2013年09月30日,,              1786031,,              1387207,                398824,                398824,,,                110530,,                 90411,,                 54942,                255883,                142941,,,                 10192,,                  9775,,                  6809,                 13158,                156099,,                 24094,                132005,                132005,,,,,                  6068,                138073,,                132005,,                138073,,                              1.79,                              1.79,,                              1.79,                              1.79,,,,,,,,,,,,,,,,,,,,                  6068,,
8996,2013年01月01日至2013年06月30日,,              1162362,,                892636,                269726,                269726,,,                 79834,,                 55885,,                 33800,                169519,                100207,,,                  5627,,                 10194,,                  4254,                 11567,                111774,,                 17353,                 94421,                 94421,,,,,                  8958,                103379,,                 94421,,                103379,,                              1.29,                              1.29,,                              1.29,                              1.29,,,,,,,,,,,,,,,,,,,,                  8958,,
8996,2013年01月01日至2013年03月31日,,                566434,,                433840,                132594,                132594,,,                 36793,,                 28956,,                 15562,                 81311,                 51283,,,                  4600,,                  2413,,                  1999,                  5014,                 56297,,                 10400,                 45897,                 45897,,,,,                  5744,                 51641,,                 45897,,                 51641,,                              0.63,                              0.63,,                              0.63,                              0.63,,,,,,,,,,,,,,,,,,,,                  5744,,
8996,2012年07月01日至2012年09月30日,,                512498,,                378502,                133996,                133996,,,                 21208,,                 26752,,                 22089,                 70049,                 63947,,,                  7923,,                   -975,,                  2226,                  4722,                 68669,,                 11968,                 56701,                 56701,,,,,                 -1683,                 55018,,                 56701,,                 55018,,                              0.77,                              0.77,,                              0.77,                              0.77,,,,,,,,,,,,,,,,,,,,                 -1683,,
8996,2012年04月01日至2012年06月30日,,                436998,,                325525,                111473,                111473,,,                 24651,,                 26299,,                 23951,                 74901,                 36572,,,                  4995,,                 -2042,,                  2209,                    744,                 37316,,                  6627,                 30689,                 30689,,,,,                    507,                 31196,,                 30689,,                 31196,,                              0.42,                              0.42,,                              0.42,                              0.42,,,,,,,,,,,,,,,,,,,,                    507,,
8996,2012年01月01日至2012年12月31日,,              1830833,,              1374394,                456439,                456439,,,                111526,,                108942,,                 91758,                312226,                144213,,,                 27294,,                 -4261,,                  8544,                 14489,                158702,,                 19660,                139042,                139042,,,,,                -11295,                127747,,                139042,,                127747,,                              1.89,                              1.89,,                              1.89,                              1.89,,,,,,,,,,,,,,,,,,,,                 -6090,                 -6271,                 -1066
8996,2012年01月01日至2012年09月30日,,              1325000,,                977590,                347410,                347410,,,                 74971,,                 78238,,                 66702,                219911,                127499,,,                 20422,,                 -3892,,                  6610,                  9920,                137419,,                 23950,                113469,                113469,,,,,                 -6108,                107361,,                113469,,                107361,,                              1.55,                              1.55,,                              1.54,                              1.54,,,,,,,,,,,,,,,,,,,,                 -6108,,
8996,2012年01月01日至2012年06月30日,,                812502,,                599088,                213414,                213414,,,                 53763,,                 51486,,                 44613,                149862,                 63552,,,                 12499,,                 -2917,,                  4384,                  5198,                 68750,,                 11982,                 56768,                 56768,,,,,                 -4425,                 52343,,                 56768,,                 52343,,                              0.77,                              0.77,,                              0.77,                              0.77,,,,,,,,,,,,,,,,,,,,                 -4425,,
8996,2012年01月01日至2012年03月31日,,                375504,,                273563,                101941,                101941,,,                 29112,,                 25187,,                 20662,                 74961,                 26980,,,                  7504,,                   -875,,                  2175,                  4454,                 31434,,                  5355,                 26079,                 26079,,,,,                 -4932,                 21147,,                 26079,,                 21147,,                              0.39,                              0.39,,                              0.39,                              0.39,,,,,,,,,,,,,,,,,,,,                 -4932,,
