證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入淨額,　　 營業收入合計,　 營業成本,　　 銷貨成本,　　　 銷貨成本合計,　　 營業成本合計,　 營業毛利（毛損）,　 未實現銷貨（損）益,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 備供出售金融資產未實現評價損益,　　　 現金流量避險中屬有效避險部分之避險工具利益(損失),　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　 備供出售金融資產未實現評價損益,　　 現金流量避險,　　 確定福利計畫精算利益（損失）,　　 其他綜合損益,　　　 銷貨收入,　　　　 銷貨收入合計,　　　 銷貨退回,　　　 銷貨折讓
3029,2015年第3季,,,              1345384,              1345384,,,              1208588,              1208588,                136796,                              0,                136796,,,                 56236,,                 17522,,                  2201,                 75959,                 60837,,,                  5318,,                  4515,,                    462,,                              0,                  9371,                 70208,,                 10041,                 60167,                 60167,,,                 -7720,                              0,                              0,                 -7720,                 -7720,                 52447,,                 60276,                   -109,,                 52556,                   -109,,                              0.50,                              0.50,,                              0.49,                              0.49,,,,,,,,
3029,2015年第2季,,,              1285069,              1285069,,,              1164134,              1164134,                120935,                              0,                120935,,,                 49476,,                 22072,,                  2177,                 73725,                 47210,,,                  3424,,                 -5584,,                  2115,,                   -182,                 -4457,                 42753,,                  9479,                 33274,                 33274,,,                -10500,                              0,                              0,                -10500,                -10500,                 22774,,                 33789,                   -515,,                 23289,                   -515,,                              0.34,                              0.34,,                              0.28,                              0.28,,,,,,,,
3029,2015年01月01日至2015年09月30日,,,              3873324,              3873324,,,              3483116,              3483116,                390208,                              0,                390208,,,                159306,,                 56909,,                  6285,                222500,                167708,,,                 10768,,                  2673,,                  5818,,                   -335,                  7288,                174996,,                 30526,                144470,                144470,,,                -16613,                              0,                              0,                -16613,                -16613,                127857,,                145269,                   -799,,                128656,                   -799,,                              1.35,                              1.35,,                              1.19,                              1.19,,,,,,,,
3029,2015年01月01日至2015年06月30日,,,              2527940,              2527940,,,              2274528,              2274528,                253412,                              0,                253412,,,                103070,,                 39387,,                  4084,                146541,                106871,,,                  5450,,                 -1842,,                  5356,,                   -335,                 -2083,                104788,,                 20485,                 84303,                 84303,,,                 -8893,                              0,                              0,                 -8893,                 -8893,                 75410,,                 84993,                   -690,,                 76100,                   -690,,                              0.88,                              0.88,,                              0.73,                              0.73,,,,,,,,
3029,2015年01月01日至2015年03月31日,,,              1242871,              1242871,,,              1110394,              1110394,                132477,,                132477,,,                 53594,,                 17315,,                  1907,                 72816,                 59661,,,                  2026,,                  3742,,                  3241,,                   -153,                  2374,                 62035,,                 11006,                 51029,                 51029,,,                  1607,                              0,                              0,                  1607,                  1607,                 52636,,                 51204,                   -175,,                 52811,                   -175,,                              0.54,                              0.54,,                              0.44,                              0.44,,,,,,,,
3029,2014年第3季,,,              1192353,              1192353,,,              1084032,              1084032,                108321,                              0,                108321,,,                 49991,,                 18013,,                  3998,                 72002,                 36319,,,                  3559,,                 -6052,,                  2557,,                   -297,                 -5347,                 30972,,                  5571,                 25401,                 25401,,,                 -4469,                              0,                              0,                 -4469,                 -4469,                 20932,,                 25482,                    -81,,                 21013,                    -81,,                              0.26,                              0.26,,                              0.23,                              0.23,,,,,,,,
3029,2014年第2季,,,              1052096,              1052096,,,                956375,                956375,                 95721,                 -2075,                 97796,,,                 54430,,                 13195,,                  5717,                 73342,                 24454,,,                  2655,,                  4797,,                  2177,,                 -1013,                  4262,                 28716,,                  6392,                 22324,                 22324,,,                 -5382,                              0,                              0,                 -5382,                 -5382,                 16942,,                 22746,                   -422,,                 17364,                   -422,,                              0.24,                              0.24,,                              0.22,                              0.22,,,,,,,,
3029,2014年度,,,              4970525,              4970525,,,              4533485,              4533485,                437040,,                437040,,,                211367,,                 73506,,                 19692,                304565,                132475,,,                 13784,,                    267,,                  9402,,                 -2422,                  2227,                134702,,                 23472,                111230,                111230,,,,,,,                -18930,                 92300,,                111870,                   -640,,                 92940,                   -640,,                              1.18,                              1.18,,                              1.07,                              1.07,                -14925,                   -839,                 -3986,                    820,,,,
3029,2014年01月01日至2014年09月30日,,,              3303989,              3303989,,,              3011388,              3011388,                292601,                 -2075,                294676,,,                154602,,                 48856,,                 16847,                220305,                 74371,,,                 10175,,                  3972,,                  6480,,                 -1801,                  5866,                 80237,,                 14765,                 65472,                 65472,,,                -14566,                   -839,                   -143,                -15262,                -15262,                 50210,,                 66250,                   -778,,                 50988,                   -778,,                              0.67,                              0.67,,                              0.63,                              0.63,,,,,,,,
3029,2014年01月01日至2014年06月30日,,,              2111636,              2111636,,,              1927356,              1927356,                184280,                 -2075,                186355,,,                104611,,                 30843,,                 12849,                148303,                 38052,,,                  6616,,                 10024,,                  3923,,                 -1504,                 11213,                 49265,,                  9194,                 40071,                 40071,,,                -10097,                   -839,                   -143,                -10793,                -10793,                 29278,,                 40768,                   -697,,                 29975,                   -697,,                              0.43,                              0.43,,                              0.41,                              0.41,,,,,,,,
