證券代號,年季,　 淨收益,　　 利息淨收益 ,　　　 利息收入,　　　 利息費用,　　　 利息淨收益,　　 利息以外淨收益,　　　 手續費及佣金淨收益,　　　　 手續費及佣金淨收益,　　　 保險業務淨收益,　　　　 保險業務收益,　　　　　 保險業務收益合計,　　　　 保險業務淨收益,　　　 透過損益按公允價值衡量之金融資產及負債損益,　　　　 透過損益按公允價值衡量之金融資產及負債損益,　　　 投資性不動產損益,　　　　 投資性不動產損益,　　　 備供出售金融資產之已實現損益,　　　　 備供出售金融資產之已實現損益,　　　 持有至到期日金融資產之已實現損益,　　　　 持有至到期日金融資產之已實現損益,　　　 兌換損益,　　　　 兌換損益,　　　 資產減損（損失）迴轉利益,　　　　 資產減損（損失）迴轉利益,　　　 採用權益法認列關聯企業及合資損益之份額,　　　　 採用權益法認列關聯企業及合資損益之份額合計,　　　 其他利息以外淨損益,　　　　 出售不良債權淨利益（損失）,　　　　　 出售不良債權淨利益（損失）,　　　　 顧問服務收入,　　　　　 顧問服務收入合計,　　　　 其他什項淨利益（損失）,　　　　　 其他什項淨利益（損失）,　　　　 其他利息以外淨損益,　　　 利息以外淨收益,　　 淨收益,　 呆帳費用及保證責任準備提存,　　 呆帳費用及保證責任準備提存合計,　 保險負債準備淨變動,　　 保險負債準備淨變動合計,　 營業費用,　　 員工福利費用,　　 折舊及攤銷費用,　　 其他業務及管理費用,　　 營業費用合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅（費用）利益 ,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益,　　 不重分類至損益之項目（稅後）,　　　 確定福利計畫之再衡量數,　　　 指定為透過損益按公允價值衡量之金融負債其變動金額來自信用風險,　　　 與不重分類之項目相關之所得稅,　　　 不重分類至損益之項目總額（稅後）,　　 後續可能重分類至損益之項目（稅後）,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 採用權益法認列之關聯企業及合資其他綜合損益之份額－可能重分類至損益之項目,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額（稅後）,　　 本期其他綜合損益,　 本期綜合損益總額,　 淨利（淨損）歸屬,　　 母公司業主,　　 非控制權益,　 綜合損益總額歸屬於,　　 母公司業主[duplicate]68,　　 非控制股權,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　 母公司業主[duplicate]67,　　 母公司業主[duplicate]65,　 繼續營業單位稅前損益,　　 國外營運機構財務報表換算之兌換差額 ,　　 備供出售金融資產未實現評價利益（損失） ,　　 確定福利計畫精算利益（損失） ,　　 採用權益法認列之關聯企業及合資其他綜合損益之份額 ,　　 與其他綜合損益組成部分相關之所得稅 ,　　 本期其他綜合損益（稅後淨額）,　　 母公司業主[duplicate]60,　　 母公司業主[duplicate]59,　　 母公司業主[duplicate]58,　　　　 資產減損損失（迴轉利益）,　　 母公司業主[duplicate]47,　　 母公司業主[duplicate]46
2885,2014年01月01日至2014年06月30日,,,              8799193,              2369835,              6429358,,,              5496491,,,              4441806,              4441806,,              2645802,,                -89379,,              1840690,,                 34596,,                520893,,               -137339,,                -28079,,,                784016,,                720199,,              6012335,              7516550,             22242031,             28671389,,                455311,,              4625860,,              6271898,              1041679,              3497814,             10811391,             12778827,               -949453,             11829374,             11829374,,,                  5429,                              0,,                  5429,,                -25753,                270983,                  1277,                 -6384,                240123,                245552,             12074926,,             11721675,                107699,,,                 80621,,                              1.13,,                              1.10,             11994305,,,,,,,,,,,,,,
2885,2014年01月01日至2014年03月31日,,,              4220057,              1066831,              3153226,,,              2768955,,,,              1260862,,                589363,,                 20280,,              1433278,,                  7446,,              1021196,,               -165336,,                -20840,,,                500760,,                365056,,                184610,              1050426,              7965630,             11118856,,                446676,,              1518194,,              2873578,                495922,              1535926,              4905426,,               -458727,              3789833,              3789833,,,,,,,,,,,,,,              4189156,,              3607571,                182262,,,                163798,,                              0.36,,                              0.36,,,              4248560,                366834,                 36644,,,                 -4155,                399323,,,              4025358,,,
2885,2013年第3季,,,              3475914,              1043098,              2432816,,,              2513362,,,,                              0,,                929679,,                 26031,,                568438,,                              0,,                495885,,                  9717,,                -25337,,,                165521,,                393572,,                245876,                804969,              5322744,              7755560,,                211696,,                              0,,              2837269,                508779,              1528860,              4874908,,               -216647,              2452309,              2452309,,,,,,,,,,,,,,              1293038,,              2368147,                 84162,,,                 92190,,                              0.23,,                              0.23,,,              2668956,               -294261,               -861524,                              0,,                 -3486,             -1159271,,              1200848,,,,
2885,2013年第2季,,,              3359818,              1027663,              2332155,,,              2507139,,,,                              0,,               -217143,,                -16307,,                127736,,                              0,,              1289926,,                 15656,,                -16074,,,                191780,,                413122,,                288677,                893579,              4584512,              6916667,,                177598,,                              0,,              2691481,                515243,              1502265,              4708989,,               -377449,              1652631,              1652631,,,,,,,,,,,,,,              2346997,,              1559284,                 93347,,,                100513,,                              0.15,,                              0.15,,,              2030080,                173808,                521360,                              0,,                   -802,                694366,,              2246484,,,,
2885,2013年度,,,             13584232,              4122641,              9461591,,,             10110462,,,,                              0,,              3205456,,                 14473,,              1017848,,                              0,,              1798205,,                  8404,,               -123359,,,                797888,,              1590268,,                816333,              3204489,             19235978,             28697569,,                722551,,                              0,,             10882041,              2038303,              5957803,             18878147,,             -1019550,              8077321,              8077321,,,,,,,,,,,,,,              7457203,,              7709994,                367327,,,                419418,,                              0.76,,                              0.75,,,              9096871,                553565,               -950638,               -265104,                              0,                 42059,               -620118,              7037785,,,,,
2885,2013年07月01日至2013年09月30日,,,              3475914,              1043098,              2432816,,,              2513362,,,,,,                929679,,                 26031,,                568438,,,,                495885,,,,                -25337,,,,,,,,                804969,              5322744,              7755560,,                211696,,,,              2837269,                508779,              1528860,              4874908,,               -216647,              2452309,              2452309,,,,,,,,,,,,,,              1293038,,              2368147,                 84162,,,                 92190,,                              0.24,,                              0.24,,,              2668956,               -294261,               -861361,,,                 -3649,             -1159271,,,,                  9717,,              1200848
2885,2013年04月01日至2013年06月30日,,,              3476502,              1027663,              2448839,,,              2507139,,,,,,               -360633,,                -13594,,                127736,,,,              1289926,,,,                -16074,,,,,,,,                917672,              4467828,              6916667,,                177598,,,,              2691481,                515243,              1502265,              4708989,,               -377449,              1652631,              1652631,,,,,,,,,,,,,,              2346997,,              1559284,                 93347,,,                100513,,                              0.16,,                              0.16,,,              2030080,                173808,                520423,,,                    135,                694366,,,,                 15656,,              2246484
2885,2013年01月01日至2013年12月31日,,,             13584232,              4122641,              9461591,,,             10110462,,,,,,              3203445,,                 14473,,              1017848,,,,              1798205,,,,               -123359,,,,,,,,              3206500,             19235978,             28697569,,                722551,,,,             10882041,              2038303,              5957803,             18878147,,             -1019550,              8077321,              8077321,,,,,,,,,,,,,,              7457203,,              7709994,                367327,,,                419418,,                              0.78,,                              0.77,,,              9096871,                553565,               -950638,               -265104,,                 42059,               -620118,,,,                  8404,              7037785,
2885,2013年01月01日至2013年09月30日,,,             10078425,              3091166,              6987259,,,              7419475,,,,                              0,,              1519611,,                 16244,,                826154,,                              0,,              2170458,,                 25373,,               -101653,,,                572386,,              1205652,,                754354,              2532392,             14408054,             21395313,,                506605,,                              0,,              8207107,              1546895,              4421388,             14175390,,               -892275,              5821043,              5821043,,,,,,,,,,,,,,              5165480,,              5547282,                273761,,,                314061,,                              0.55,,                              0.54,,,              6713318,                357766,             -1010450,                              0,,                 -2879,               -655563,,              4851419,,,,
2885,2013年01月01日至2013年06月30日,,,              6602511,              2048068,              4554443,,,              4906113,,,,                              0,,                589932,,                 -9787,,                257716,,                              0,,              1674573,,                 15656,,                -76316,,,                406865,,                812080,,                508478,              1727423,              9085310,             13639753,,                294909,,                              0,,              5369838,              1038116,              2892528,              9300482,,               -675628,              3368734,              3368734,,,,,,,,,,,,,,              3872442,,              3179135,                189599,,,                221871,,                              0.31,,                              0.31,,,              4044362,                652027,               -148926,                              0,,                    607,                503708,,              3650571,,,,
2885,2013年01月01日至2013年03月31日,,,              3242693,              1020405,              2222288,,,              2398974,,,,                              0,,                807075,,                  6520,,                129980,,                              0,,                384647,,                              0,,                -60242,,,                215085,,                398958,,                219801,                833844,              4500798,              6723086,,                117311,,                              0,,              2678357,                522873,              1390263,              4591493,,               -298179,              1716103,              1716103,,,,,,,,,,,,,,              1525445,,              1619851,                 96252,,,                121358,,                              0.16,,                              0.16,,,              2014282,                478219,               -670286,,,                  1409,               -190658,,,              1404087,,,
2885,2012年07月01日至2012年09月30日,,,              3477528,              1020152,              2457376,,,              2418403,,,,,,                521272,,                    352,,                168523,,,,                438385,,,,                  4643,,,,,,,,              1123093,              4674671,              7132047,,                147315,,,,              2841933,                536583,              1634795,              5013311,,               -192893,              1778528,              1778528,,,,,,,,,,,,,,              1856856,,              1673472,                105056,,,                104235,,                              0.17,,                              0.16,,,              1971421,               -352608,                427035,,,                  3901,                 78328,,,,                              0,,              1752621
2885,2012年04月01日至2012年06月30日,,,              3516782,              1005829,              2510953,,,              2314019,,,,,,                559599,,                  3363,,                214839,,,,               -232905,,,,                   -123,,,,,,,,                928070,              3746531,              6257484,,                 78403,,,,              2443931,                495581,              1565922,              4505434,,             -1103762,                569885,                569885,,,,,,,,,,,,,,                330308,,                472429,                 97456,,,                 83985,,                              0.05,,                              0.05,,,              1673647,                260180,               -496554,,,                 -3203,               -239577,,,,                -40331,,                246323
2885,2012年01月01日至2012年12月31日,,,             13944740,              4023007,              9921733,,,             10012517,,,,,,              4635891,,                716265,,                462669,,,,               -702399,,,,                  7766,,,,,,,,              3619663,             18605007,             28526740,,                490079,,,,             10773245,              2133228,              6400869,             19307342,,             -1995458,              6733861,              6733861,,,,,,,,,,,,,,              7725540,,              6309545,                424316,,,                445109,,                              0.63,,                              0.62,,,              8729319,               -733947,              1332582,                468482,,                -75438,                991679,,,,               -147365,              7280431,
2885,2012年01月01日至2012年09月30日,,,             10495831,              3014832,              7480999,,,              7665150,,,,,,              3170776,,                 21787,,                535042,,,,                 10723,,,,                  6790,,,,,,,,              2818387,             14189535,             21670534,,                313169,,,,              8266072,              1597443,              4829402,             14692917,,             -1644068,              5020380,              5020380,,,,,,,,,,,,,,              5569435,,              4726033,                294347,,,                300156,,                              0.47,,                              0.47,,,              6664448,               -597279,              1141938,,,                  4396,                549055,,,,                -39120,,              5269279
2885,2012年01月01日至2012年06月30日,,,              7018303,              1994680,              5023623,,,              5246747,,,,,,              2649504,,                 21435,,                366519,,,,               -427662,,,,                  2147,,,,,,,,              1695294,              9514864,             14538487,,                165854,,,,              5424139,              1060860,              3194607,              9679606,,             -1451175,              3241852,              3241852,,,,,,,,,,,,,,              3712579,,              3052561,                189291,,,                195921,,                              0.30,,                              0.30,,,              4693027,               -244671,                714903,,,                    495,                470727,,,,                -39120,,              3516658
2885,2012年01月01日至2012年03月31日,,,              3501521,                988851,              2512670,,,              2932728,,,,,,              2089905,,                 18072,,                151680,,,,               -194757,,,,                  2270,,,,,,,,                767224,              5768333,              8281003,,                 87451,,,,              2980208,                565279,              1628685,              5174172,,               -347413,              2671967,              2671967,,,,,,,,,,,,,,              3382271,,              2580132,                 91835,,,                111936,,                              0.25,,                              0.24,,,              3019380,               -504851,              1211457,,,                  3698,                710304,,,,                  1211,,              3270335
