證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入,　　　　 銷貨收入合計,　　　 銷貨退回,　　　 銷貨折讓,　　　 銷貨收入淨額,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　 停業單位損益,　　 停業單位損益合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）
3034,2015年第3季,,,,             13167729,                  3446,                 80207,             13084076,             13084076,,              9414517,              3669559,              3669559,,,                 68012,,                264753,,              1648885,              1981650,              1687909,,,                 47409,,                226377,,                  7408,                266378,              1954287,,                256175,              1698112,              1698112,,,                 36663,                -89451,                -52788,                -52788,              1645324,,              1698112,                              0,,              1645324,                              0,,                              2.79,,                              2.79,,,,,
3034,2015年第2季,,,,             12561771,                 11799,                 93712,             12456260,             12456260,,              8962544,              3493716,              3493716,,,                 66142,,                311184,,              1456043,              1833369,              1660347,,,                 42241,,                 15636,,                  7844,                 50033,              1710380,,                225139,              1485241,              1485241,,,                -12891,                 -6280,                -19171,                -19171,              1466070,,              1485241,                              0,,              1466070,                              0,,                              2.44,,                              2.44,,                              0,,,
3034,2015年01月01日至2015年09月30日,,,,             38554202,                 40441,                275546,             38238215,             38238215,,             27377190,             10861025,             10861025,,,                206327,,                867502,,              4521455,              5595284,              5265741,,,                131529,,                226282,,                 23608,                334203,              5599944,,                716910,              4883034,              4883034,,,                 20865,                -12881,                  7984,                  7984,              4891018,,              4883034,                              0,,              4891018,                              0,,                              8.02,,                              8.01,,,,,
3034,2015年01月01日至2015年06月30日,,,,             25386473,                 36995,                195339,             25154139,             25154139,,             17962673,              7191466,              7191466,,,                138315,,                602749,,              2872570,              3613634,              3577832,,,                 84120,,                    -95,,                 16200,                 67825,              3645657,,                460735,              3184922,              3184922,,,                -15798,                 76570,                 60772,                 60772,              3245694,,              3184922,                              0,,              3245694,                              0,,                              5.23,,                              5.23,,                              0,,,
3034,2015年01月01日至2015年03月31日,,,,             12824702,                 25196,                101627,             12697879,             12697879,,              9000129,              3697750,              3697750,,,                 72173,,                291565,,              1416527,              1780265,              1917485,,,                 41879,,                -15731,,                  8356,                 17792,              1935277,,                235596,              1699681,              1699681,,,                 -2907,                 82850,                 79943,                 79943,              1779624,,              1699681,                              0,,              1779624,                              0,,                              2.79,,                              2.79,,                              0,,,
3034,2014年第3季,,,,             15384361,                 34247,                 68460,             15281654,             15281654,,             10946825,              4334829,              4334829,,,                 98349,,                311488,,              1623514,              2033351,              2301478,,,                 60435,,                 61703,,                 14153,                107985,              2409463,,                321695,              2087768,              2087768,,,                  3001,                  1301,                  4302,                  4302,              2092070,,              2087768,                              0,,              2092070,                              0,,                              3.43,,                              3.43,,,,,
3034,2014年第2季,,,,             13183383,                 33134,                 67073,             13083176,             13083176,,              9307533,              3775643,              3775643,,,                 80202,,                303545,,              1436713,              1820460,              1955183,,,                 47508,,                 16144,,                 12845,                 50807,              2005990,,                238700,              1767290,              1767290,,,                 -2670,                 17424,                 14754,                 14754,              1782044,,              1767290,                              0,,              1782044,                              0,,                              2.90,,                              2.88,,                              0,,,
3034,2014年度,,,,             54551249,                159708,                324559,             54066982,             54066982,,             38678267,             15388715,             15388715,,,                332448,,              1198246,,              5950910,              7481604,              7907111,,,                208575,,                213636,,                 51845,                370366,              8277477,,              1068094,              7209383,              7209383,,,,,,                 50233,              7259616,,              7209383,                              0,,              7259616,                              0,,                             11.85,,                             11.79,,,                  6929,                 55990,                -12686
3034,2014年01月01日至2014年09月30日,,,,             39276110,                111158,                206951,             38958001,             38958001,,             27876699,             11081302,             11081302,,,                243763,,                870927,,              4320683,              5435373,              5645929,,,                150881,,                102906,,                 39854,                213933,              5859862,,                737858,              5122004,              5122004,,,                  1060,                 70068,                 71128,                 71128,              5193132,,              5122004,                              0,,              5193132,                              0,,                              8.42,,                              8.37,,,,,
3034,2014年01月01日至2014年06月30日,,,,             23891749,                 76911,                138491,             23676347,             23676347,,             16929874,              6746473,              6746473,,,                145414,,                559439,,              2697169,              3402022,              3344451,,,                 90446,,                 41203,,                 25701,                105948,              3450399,,                416163,              3034236,              3034236,,,                 -1941,                 68767,                 66826,                 66826,              3101062,,              3034236,                              0,,              3101062,                              0,,                              4.99,,                              4.94,,                              0,,,
3034,2014年01月01日至2014年03月31日,,,,             10708366,                 43777,                 71418,             10593171,             10593171,,              7622341,              2970830,              2970830,,,                 65212,,                255894,,              1260456,              1581562,              1389268,,,                 42938,,                 25059,,                 12856,                 55141,              1444409,,                177463,              1266946,              1266946,,,                    729,                 51343,                 52072,                 52072,              1319018,,              1266946,                              0,,              1319018,                              0,,                              2.08,,                              2.06,,                              0,,,
3034,2013年第3季,,,,             10670219,                 47961,                 48680,             10573578,             10573578,,              7616301,              2957277,              2957277,,,                 66778,,                239879,,              1252826,              1559483,              1397794,,,                 62117,,                 12879,,                 10998,                 63998,              1461792,,                222446,              1239346,              1239346,,,,,,                 -4380,              1234966,,              1239346,                              0,,              1234966,                              0,,                              2.04,,                              2.02,,,                 -1591,                 -2789,
