證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 營業費用合計,　 其他收益及費損淨額,　　 其他收益及費損淨額,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 停業單位損益,　　 停業單位損益合計,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 不重分類至損益之項目,　　　 確定福利計畫之再衡量數,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　　 不重分類至損益之項目總額,　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 停業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋停業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　　 與可能重分類之項目相關之所得稅,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 與其他綜合損益組成部分相關之所得稅
3045,2014年01月01日至2014年06月30日,,             54662713,,             35322724,             19339989,             19339989,,,              6490155,,              2400569,              8890724,,                 56046,             10505311,,,                 84038,,                -13752,,                296315,,                 -5053,               -231082,             10274229,,              1752015,              8522214,,                -78329,              8443885,,,,,,,,                 -7128,               -198741,,                 33034,               -172835,               -172835,              8271050,,              8221587,                222298,,              8029422,                241628,,                              3.07,                             -0.01,                              3.06,,                              3.06,                             -0.01,                              3.05,                              0,,,,,,
3045,2014年01月01日至2014年03月31日,,             27726474,,             17990379,              9736095,              9736095,,,              3434959,,              1216282,              4651241,,                 26451,              5111305,,,                 34672,,                 91043,,                151731,,                 -5950,                -31966,              5079339,,                863488,              4215851,,                -39732,              4176119,,,,,,,,                    275,               -152576,,                     88,               -152213,               -152213,              4023906,,              4084450,                 91669,,              3929018,                 94888,,                              1.53,                             -0.01,                              1.52,,                              1.52,                             -0.01,                              1.51,                              0,,,,,,
3045,2013年第3季,,             27077596,,             17309266,              9768330,              9768330,,,              2983735,,              1262872,              4246607,,                 26112,              5547835,,,                 42059,,               -223681,,                105086,,                 -8437,               -295145,              5252690,,                894045,              4358645,,                -53464,              4305181,,,,,,,,,,,,,                 98567,              4403748,,              4271058,                 34123,,              4371322,                 32426,,                              1.59,                             -0.01,                              1.58,,                              1.59,                             -0.01,                              1.58,,                 -1138,                104307,,,                 -4602,                              0
3045,2013年第2季,,             26559039,,             16748588,              9810451,              9810451,,,              3221938,,              1190266,              4412204,,                 15608,              5413855,,,                 47298,,               -422646,,                 83643,,                 -3478,               -462469,              4951386,,                843366,              4108020,,                -88435,              4019585,,,,,,,,,,,,,               -177940,              3841645,,              3956796,                 62789,,              3804014,                 37631,,                              1.49,                             -0.02,                              1.47,,                              1.49,                             -0.02,                              1.47,,                  1797,               -179829,,,                     92,                              0
3045,2013年度,,            108407931,,             69571020,             38836911,             38836911,,,             12883401,,              4944818,             17828219,,                 63143,             21071835,,,                156348,,             -1356445,,                397322,,                -55403,             -1652822,             19419013,,              3351840,             16067173,,               -249392,             15817781,,,,,,,,,,,,,                 53691,             15871472,,             15583447,                234334,,             15655368,                216104,,                              5.84,                             -0.05,                              5.79,,                              5.83,                             -0.05,                              5.78,,                    303,                 54782,                    560,,                 -1859,                     95
3045,2013年07月01日至2013年09月30日,,             27261510,,             17422063,              9839447,              9839447,,,              3106348,,              1273782,              4380130,,                 25667,              5484984,,,                 43213,,               -226387,,                105097,,                 -8437,               -296708,              5188276,,                883095,              4305181,,,              4305181,,,,,,,,,,,,,                 98567,              4403748,,              4271058,                 34123,,              4371322,                 32426,,,,                              1.58,,,,                              1.58,,                 -1204,                 99771,,,,                              0
3045,2013年04月01日至2013年06月30日,,             26770309,,             16822702,              9947607,              9947607,,,              3419478,,              1228345,              4647823,,                  8621,              5308405,,,                 53271,,               -429698,,                 83662,,                 -3478,               -463567,              4844838,,                825253,              4019585,,,              4019585,,,,,,,,,,,,,               -177940,              3841645,,              3956796,                 62789,,              3804014,                 37631,,,,                              1.47,,,,                              1.47,,                  1889,               -179829,,,,                              0
3045,2013年01月01日至2013年12月31日,,            109143367,,             70033319,             39110048,             39110048,,,             13375927,,              4998627,             18374554,,                 59343,             20794837,,,                158090,,             -1381610,,                397373,,                -55403,             -1676296,             19118541,,              3300760,             15817781,,,             15817781,,,,,,,,,,,,,                 53691,             15871472,,             15583447,                234334,,             15655368,                216104,,,,                              5.79,,,,                              5.78,,                    303,                 54782,                    560,,                 -1859,                     95
3045,2013年01月01日至2013年09月30日,,             79993290,,             50748249,             29245041,             29245041,,,              9565953,,              3707705,             13273658,,                 49946,             16021329,,,                118577,,               -874175,,                268662,,                 -9570,             -1033830,             14987499,,              2598475,             12389024,,               -208596,             12180428,,,,,,,,,,,,,                 78979,             12259407,,             12034668,                145760,,             12139446,                119961,,                              4.51,                             -0.04,                              4.47,,                              4.50,                             -0.04,                              4.46,,                  6891,                 76400,,,                 -4312,                              0
3045,2013年01月01日至2013年06月30日,,             52915694,,             33550543,             19365151,             19365151,,,              6481019,,              2434473,              8915492,,                 29874,             10479533,,,                 70479,,               -650494,,                163576,,                 -1133,               -744724,              9734809,,              1704430,              8030379,,               -155132,              7875247,,,,,,,,,,,,,                -19588,              7855659,,              7763610,                111637,,              7768124,                 87535,,                              2.92,                             -0.03,                              2.89,,                              2.91,                             -0.03,                              2.88,,                  8029,                -27907,,,                    290,                              0
3045,2013年01月01日至2013年03月31日,,             26356655,,             16801955,              9554700,              9554700,,,              3259081,,              1244207,              4503288,,                 14266,              5065678,,,                 23181,,               -227848,,                 79933,,                  2345,               -282255,              4783423,,                861064,              3922359,,                -66697,              3855662,,,,,,,,,,,,,                158352,              4014014,,              3806814,                 48848,,              3964110,                 49904,,                              1.43,                             -0.01,                              1.42,,                              1.42,                             -0.01,                              1.41,,                  6232,                151922,,,                    198,
3045,2012年07月01日至2012年09月30日,,             24686167,,             15112646,              9573521,              9573521,,,              3123211,,              1189171,              4312382,,                 17167,              5278306,,,                 43192,,               -168437,,                 91233,,                   -965,               -217443,              5060863,,                861405,              4199458,,,              4199458,,,,,,,,,,,,,                  9876,              4209334,,              4164951,                 34507,,              4175844,                 33490,,,,                              1.54,,,,                              1.54,,                 -3438,                 13314,,,,                              0
3045,2012年04月01日至2012年06月30日,,             23905288,,             14492864,              9412424,              9412424,,,              3039334,,              1222527,              4261861,,                 21114,              5171677,,,                 25788,,               -116975,,                 69975,,                 -6274,               -167436,              5004241,,                850351,              4153890,,,              4153890,,,,,,,,,,,,,               -180837,              3973053,,              4115010,                 38880,,              3933551,                 39502,,,,                              1.53,,,,                              1.53,,                  1872,               -182709,,,,                              0
3045,2012年01月01日至2012年12月31日,,             99740256,,             61625644,             38114612,             38114612,,,             12599262,,              4803152,             17402414,,                 70012,             20782210,,,                122028,,               -620297,,                332114,,                -10502,               -840885,             19941325,,              3391126,             16550199,,,             16550199,,,,,,,,,,,,,                -57035,             16493164,,             16326013,                224186,,             16274624,                218540,,,,                              6.07,,,,                              6.06,,                -13466,                 -7444,                -43286,,                   -198,                 -7359
3045,2012年01月01日至2012年09月30日,,             73351230,,             44966427,             28384803,             28384803,,,              9267298,,              3542832,             12810130,,                 52656,             15627329,,,                 92800,,               -405186,,                247505,,                -13496,               -573387,             15053942,,              2560454,             12493488,,,             12493488,,,,,,,,,,,,,                  9324,             12502812,,             12330357,                163131,,             12344639,                158173,,,,                              4.58,,,,                              4.57,,                -13502,                 22826,,,,                              0
3045,2012年01月01日至2012年06月30日,,             48665063,,             29853781,             18811282,             18811282,,,              6144087,,              2353661,              8497748,,                 35489,             10349023,,,                 49608,,               -236749,,                156272,,                -12531,               -355944,              9993079,,              1699049,              8294030,,,              8294030,,,,,,,,,,,,,                   -552,              8293478,,              8165406,                128624,,              8168795,                124683,,,,                              3.04,,,,                              3.03,,                -10064,                  9512,,,,                              0
3045,2012年01月01日至2012年03月31日,,             24759775,,             15360917,              9398858,              9398858,,,              3104753,,              1131134,              4235887,,                 14375,              5177346,,,                 23820,,               -119774,,                 86297,,                 -6257,               -188508,              4988838,,                848698,              4140140,,,              4140140,,,,,,,,,,,,,                180285,              4320425,,              4050396,                 89744,,              4235244,                 85181,,,,                              1.51,,,,                              1.50,,                -11936,                192221,,,,
