證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入淨額,　　 營業收入合計,　 營業成本,　　 銷貨成本,　　　 銷貨成本合計,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 不重分類至損益之項目,　　　 不重分類至損益之其他項目,　　　 不重分類至損益之項目總額,　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額
5538,2015年第3季,,,              1515598,              1515598,,,              1338211,              1338211,                177387,                177387,,,                 69671,,                 29650,,                 10197,                109518,                 67869,,,                  9591,,                 -8382,,                  4388,,                    310,                 -2869,                 65000,,                 13629,                 51371,                 51371,,,                140952,                140952,,                  2569,                  2569,                143521,                194892,,                 51395,                    -24,,                194018,                    874,,                              0.31,                              0.31,,                              0.31,                              0.31,
5538,2015年第2季,,,              1597226,              1597226,,,              1370250,              1370250,                226976,                226976,,,                 67683,,                 36186,,                 15551,                119420,                107556,,,                  5319,,                  2116,,                  4949,,                    436,                  2922,                110478,,                 33233,                 77245,                 77245,,,                -53101,                -53101,,                    -18,                    -18,                -53119,                 24126,,                 78086,                   -841,,                 25510,                 -1384,,                              0.46,                              0.46,,                              0.46,                              0.46,
5538,2015年01月01日至2015年09月30日,,,              4589754,              4589754,,,              3949433,              3949433,                640321,                640321,,,                210831,,                113397,,                 37606,                361834,                278487,,,                 21507,,                 -5045,,                 15284,,                    479,                  1657,                280144,,                 67825,                212319,                212319,,,                 52627,                 52627,,                  3116,                  3116,                 55743,                268062,,                212915,                   -596,,                268672,                   -610,,                              1.27,                              1.27,,                              1.27,                              1.27,
5538,2015年01月01日至2015年06月30日,,,              3074156,              3074156,,,              2611222,              2611222,                462934,                462934,,,                141160,,                 83747,,                 27409,                252316,                210618,,,                 13891,,                  3337,,                 12871,,                    169,                  4526,                215144,,                 54196,                160948,                160948,,,                -88325,                -88325,,                    547,                    547,                -87778,                 73170,,                161520,                   -572,,                 74654,                 -1484,,                              0.96,                              0.96,,                              0.96,                              0.96,
5538,2015年01月01日至2015年03月31日,,,              1476930,              1476930,,,              1240972,              1240972,                235958,                235958,,,                 73477,,                 47561,,                 11858,                132896,                103062,,,                  8572,,                  1221,,                  7922,,                   -267,                  1604,                104666,,                 20963,                 83703,                 83703,,,                -35224,                -35224,,                    565,                    565,                -34659,                 49044,,                 83434,                    269,,                 49144,                   -100,,                              0.50,                              0.50,,                              0.50,                              0.50,
5538,2014年第3季,,,              1794860,              1794860,,,              1409545,              1409545,                385315,                385315,,,                 62477,,                 30459,,                 15794,                108730,                276585,,,                  8543,,                     84,,                 13863,,                    203,                 -5033,                271552,,                 72435,                199117,                199117,,,                 85472,                 85472,,                   -520,                   -520,                 84952,                284069,,                197268,                  1849,,                281294,                  2775,,                              1.17,                              1.17,,                              1.17,                              1.17,
5538,2014年第2季,,,              1620750,              1620750,,,              1273060,              1273060,                347690,                347690,,,                 62925,,                 45798,,                 14474,                123197,                224493,,,                 11679,,                 -4554,,                 14135,,                    487,                 -6523,                217970,,                 68267,                149703,                149703,,,                -61437,                -61437,,                    380,                    380,                -61057,                 88646,,                149018,                    685,,                 88598,                     48,,                              0.89,                              0.89,,                              0.89,                              0.89,
5538,2014年度,,,              6417499,              6417499,,,              5282296,              5282296,              1135203,              1135203,,,                277057,,                160492,,                 36733,                474282,                660921,,,                 47441,,                 -3871,,                 53160,,                  1309,                 -8281,                652640,,                136518,                516122,                516122,,,,,,,,                123693,                639815,,                513082,                  3040,,                635431,                  4384,,                              3.05,                              3.05,,                              3.05,                              3.05,                123693
5538,2014年01月01日至2014年09月30日,,,              4813045,              4813045,,,              3866668,              3866668,                946377,                946377,,,                190794,,                124902,,                 35944,                351640,                594737,,,                 28718,,                 -6857,,                 37635,,                  1008,                -14766,                579971,,                162080,                417891,                417891,,,                 10246,                 10246,,                    553,                    553,                 10799,                428690,,                414853,                  3038,,                425504,                  3186,,                              2.47,                              2.47,,                              2.47,                              2.47,
5538,2014年01月01日至2014年06月30日,,,              3018185,              3018185,,,              2457123,              2457123,                561062,                561062,,,                128317,,                 94443,,                 20150,                242910,                318152,,,                 20175,,                 -6941,,                 23772,,                    805,                 -9733,                308419,,                 89645,                218774,                218774,,,                -75226,                -75226,,                  1073,                  1073,                -74153,                144621,,                217585,                  1189,,                144210,                    411,,                              1.30,                              1.30,,                              1.30,                              1.30,
