證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 備供出售金融資產未實現評價損益,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　 備供出售金融資產未實現評價損益,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 國外營運機構財務報表換算之兌換差額,　　 確定福利計畫精算利益（損失）
3006,2015年第3季,,              2328359,,              2044083,                284276,                284276,,,                 62612,,                 57097,,                165386,                285095,                   -819,,,                 50231,,                 88262,,                    510,,                  6567,                144550,                143731,,                -26357,                170088,                170088,,,               -134908,,                    860,               -134048,               -134048,                 36040,,                156786,                 13302,,                 22738,                 13302,,                              0.59,                              0.59,,                              0.59,                              0.59,,,,,
3006,2015年第2季,,              2217530,,              1911656,                305874,                305874,,,                 53907,,                 48578,,                143461,                245946,                 59928,,,                 11887,,                -29968,,                    529,,                 17691,                   -919,                 59009,,                 24427,                 34582,                 34582,,,                253557,,                    -29,                253528,                253528,                288110,,                 40019,                 -5437,,                293547,                 -5437,,                              0.15,                              0.15,,                              0.15,                              0.15,,,,,
3006,2015年01月01日至2015年09月30日,,              6852576,,              5710047,              1142529,              1142529,,,                175376,,                161570,,                494095,                831041,                311488,,,                 76895,,                 29109,,                  1280,,                 29485,                134209,                445697,,                 17180,                428517,                428517,,,                195686,,                    761,                196447,                196447,                624964,,                426507,                  2010,,                622954,                  2010,,                              1.61,                              1.61,,                              1.57,                              1.57,,,,,
3006,2015年01月01日至2015年06月30日,,              4524217,,              3665964,                858253,                858253,,,                112764,,                104473,,                328709,                545946,                312307,,,                 26664,,                -59153,,                    770,,                 22918,                -10341,                301966,,                 43537,                258429,                258429,,,                330594,,                    -99,                330495,                330495,                588924,,                269721,                -11292,,                600216,                -11292,,                              1.02,                              1.02,,                              0.98,                              0.98,,,,,
3006,2015年01月01日至2015年03月31日,,              2306687,,              1754308,                552379,                552379,,,                 58857,,                 55895,,                185248,                300000,                252379,,,                 14777,,                -29185,,                    241,,                  5227,                 -9422,                242957,,                 19110,                223847,                223847,,,                 77037,,                    -70,                 76967,                 76967,                300814,,                229702,                 -5855,,                306669,                 -5855,,                              0.87,                              0.87,,                              0.83,                              0.83,,,,,
3006,2014年第3季,,              2793344,,              2228509,                564835,                564835,,,                 66631,,                 63785,,                206406,                336822,                228013,,,                 52153,,                 87413,,                    392,,                 -3502,                135672,                363685,,                 33385,                330300,                330300,,,                -51342,,                    139,                -51203,                -51203,                279097,,                315992,                 14308,,                264789,                 14308,,                              1.23,                              1.23,,                              1.18,                              1.18,,,,,
3006,2014年第2季,,              2412306,,              1871141,                541165,                541165,,,                 53942,,                 56463,,                177124,                287529,                253636,,,                 14711,,                 33737,,                    176,,                 -5753,                 42519,                296155,,                 62926,                233229,                233229,,,                -46521,,                   -146,                -46667,                -46667,                186562,,                236552,                 -3323,,                189885,                 -3323,,                              0.92,                              0.92,,                              0.87,                              0.87,,,,,
3006,2014年度,,              9793761,,              7666278,              2127483,              2127483,,,                242969,,                239096,,                716526,              1198591,                928892,,,                 91330,,                315165,,                  1101,,                -12116,                393278,              1322170,,                191047,              1131123,              1131123,,,,,,,               -116112,              1015011,,              1123829,                  7294,,              1007717,                  7294,,                              4.34,                              4.34,,                              4.16,                              4.16,               -116902,,                    790,,
3006,2014年01月01日至2014年09月30日,,              7225665,,              5679694,              1545971,              1545971,,,                175365,,                176156,,                524937,                876458,                669513,,,                 78856,,                212285,,                    733,,                -10390,                280018,                949531,,                131650,                817881,                817881,,,               -111383,,                    120,               -111263,               -111263,                706618,,                808980,                  8901,,                697717,                  8901,,                              3.14,                              3.14,,                              3.00,                              3.00,,,,,
3006,2014年01月01日至2014年06月30日,,              4432321,,              3451185,                981136,                981136,,,                108734,,                112371,,                318531,                539636,                441500,,,                 26703,,                124872,,                    341,,                 -6888,                144346,                585846,,                 98265,                487581,                487581,,,                -60041,,                    -19,                -60060,                -60060,                427521,,                492988,                 -5407,,                432928,                 -5407,,                              1.91,                              1.91,,                              1.83,                              1.83,,,,,
