證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入,　　　　 銷貨收入合計,　　　 銷貨收入淨額,　　 營業收入合計,　 營業成本,　　 銷貨成本,　　　 銷貨成本,　　　 銷貨成本合計,　　 營業成本合計,　 營業毛利（毛損）,　 未實現銷貨（損）益,　 已實現銷貨（損）益,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 其他收益及費損淨額,　　 其他收益及費損淨額,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 利息收入,　　　　 銀行存款利息,　　　　 利息收入合計,　　　 其他收入－其他,　　　 其他收入合計,　　 其他利益及損失,　　　 處分不動產、廠房及設備利益,　　　 透過損益按公允價值衡量之金融資產（負債）利益,　　　 什項支出,　　　 處分不動產、廠房及設備損失,　　　 外幣兌換損失,　　　 透過損益按公允價值衡量之金融資產（負債）損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 利息費用,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資利益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 本期所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 共同控制下前手權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　 當期所得稅費用（利益）,　　 國外營運機構財務報表換算之兌換差額,　　 權益工具投資之利益（損失）,　　 備供出售金融資產未實現評價損益,　　 現金流量避險,　　 國外營運機構淨投資避險,　　 重估價之利益（損失）,　　 確定福利計畫精算利益（損失）,　　 與待出售非流動資產直接相關之權益,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額－國外營運機構財務報表換算之兌換差額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額－透過其他綜合損益按公允價值衡量之權益工具投資利益（損失）,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額－備供出售金融商品未實現損益,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額－現金流量避險中屬有效避險部分之避險工具利益（損失）,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額－國外營運機構淨投資避險中屬有效避險部分之避險工具利益（損失）,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額－重估增值,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額－與待出售非流動資產直接相關之權益,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額－確定福利計畫精算利益（損失）,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額－其他,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 其他綜合損益,　　 與其他綜合損益組成部分相關之所得稅,　　　 外幣兌換利益,　　 非控制權益（淨利／損）
1626,2015年第3季,,,,              1968553,              1968553,              1968553,,,              1707079,              1707079,              1707079,                261474,                   -857,                     38,                262369,,,                309122,,                105417,,                 38044,                452583,,                              0,               -190214,,,,                 16982,                 16982,                  8614,                 25596,,                              0,                -21610,                 -3793,                     31,                -22686,                              0,                  4838,,                 12996,                 12996,,                     19,                     19,                 17457,               -172757,,                -32843,                -32843,               -139914,               -139914,,,                113677,                113677,                113677,                -26237,,               -139914,                              0,,                -26237,,                             -1.14,,,,,,,,,,,,,,,,,,,,,,,,,,
1626,2015年第2季,,,,              3928282,              3928282,              3928282,,,              3089824,              3089824,              3089824,                838458,                -20753,                -20739,                838472,,,                494232,,                130411,,                 39466,                664109,,                              0,                174363,,,,                 10371,                 10371,                 10667,                 21038,,                              0,                 13348,                  3472,                   -257,                 27045,                              0,                -16912,,                 26797,                 26797,,                  3777,                  3777,                -18894,                155469,,                 17700,                 17700,                137769,                137769,,,                -48887,                -48887,                -48887,                 88882,,                137769,                              0,,                 88882,,                              1.12,,                              0.90,,,,,,,,,,,,,,,,,,,,,,,,
1626,2015年01月01日至2015年09月30日,,,,              8858058,              8858058,              8858058,,,              7210684,              7210684,              7210684,              1647374,                 10349,                  9491,              1646516,,,              1138817,,                358736,,                115630,              1613183,,                              0,                 33333,,,,                 38762,                 38762,                 33113,                 71875,,                              0,                -17673,                  2869,                   -683,                 11939,                              0,                -31798,,                 71551,                 71551,,                  4018,                  4018,                -27456,                  5877,,                    802,                    802,                  5075,                  5075,,,                 33812,                 33812,                 33812,                 38887,,                  5075,                              0,,                 38887,,                              0.04,,,,,,,,,,,,,,,,,,,,,,,,,,
1626,2015年01月01日至2015年06月30日,,,,              6889505,              6889505,              6889505,,,              5503605,              5503605,              5503605,              1385900,                 -9453,                -11206,              1384147,,,                829695,,                253319,,                 77586,              1160600,,                              0,                223547,,,,                 21780,                 21780,                 24499,                 46279,,                              0,                  3937,                  6662,                   -714,                 34625,                              0,                -36636,,                 58555,                 58555,,                  3999,                  3999,                -44913,                178634,,                 33645,                 33645,                144989,                144989,,,                -79865,                -79865,                -79865,                 65124,,                144989,                              0,,                 65124,,                              1.18,,                              1.05,,,,,,,,,,,,,,,,,,,,,,,,
1626,2015年01月01日至2015年03月31日,,,,              2961223,              2961223,              2961223,,,              2413781,              2413781,              2413781,                547442,                 11300,                  9533,                545675,,,                335463,,                122908,,                 38120,                496491,,                              0,                 49184,,,,                 11409,                 11409,                 13832,                 25241,,                              0,                 -9411,                  3190,                   -457,                  7580,                              0,                -19724,,                 31758,                 31758,,                    222,                    222,                -26019,                 23165,,                 15945,                 15945,                  7220,                  7220,,,                -30978,                -30978,                -30978,                -23758,,                  7220,                              0,,                -23758,,                              0.06,,                              0.06,,,,,,,,,,,,,,,,,,,,,,,,
1626,2014年第3季,,,,              2387981,              2387981,              2387981,,,              2003421,              2003421,              2003421,                384560,                   -249,                    -23,                384786,,,                329795,,                155866,,                 45811,                531472,,                              0,               -146686,,,,                 12700,                 12700,                 10651,                 23351,,                              0,                 93961,                  1612,                    276,                -17062,                              0,                109135,,                 14118,                 14118,,                    234,                    234,                118602,                -28084,,                  5202,                  5202,                -33286,                -33286,,,                 85026,                 85026,                 85026,                 51740,,                -33286,                              0,,                 51740,,                             -0.27,,,,,,,,,,,,,,,,,,,,,,,,,,
1626,2014年第2季,,,,              4452065,              4452065,              4452065,,,              3625329,              3625329,              3625329,                826736,                 -2480,                     11,                829227,,,                551371,,                134244,,                 58052,                743667,,                              0,                 85560,,,,                 16025,                 16025,                 21799,                 37824,,                              0,                -37840,                  8467,                     12,                  7810,                              0,                -54129,,                 18092,                 18092,,                  2657,                  2657,                -31740,                 53820,,                 19959,                 19959,                 33861,                 33861,,,                -50170,                -50170,                -50170,                -16309,,                 33861,                              0,,                -16309,,                              0.28,,                              0.28,,,,,,,,,,,,,,,,,,,,,,,,
1626,2014年度,,,,             12117829,             12117829,             12117829,,,              9920967,              9920967,              9920967,              2196862,                  9278,                 12475,              2200059,,,              1673099,,                537323,,                206324,              2416746,,                              0,               -216687,,,,                 64292,                 64292,                 66643,                130935,,                              0,               -151052,                 15214,                  3431,                  6729,                              0,               -176426,,                 71071,                 71071,,                  4893,                  4893,               -111669,               -328356,,,                  3926,               -332282,               -332282,,,,,                154999,               -177283,,               -332282,                              0,,               -177283,,                             -2.71,,                             -2.71,                  3926,                154999,                              0,                              0,                              0,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,,
1626,2014年01月01日至2014年09月30日,,,,              9663282,              9663282,              9663282,,,              7968669,              7968669,              7968669,              1694613,                  9725,                 12393,              1697281,,,              1273015,,                408928,,                152859,              1834802,,                              0,               -137521,,,,                 45850,                 45850,                 59118,                104968,,                              0,               -148559,                 17265,                    -39,                 -4372,                              0,               -161413,,                 43716,                 43716,,                  4363,                  4363,                -95798,               -233319,,                  2656,                  2656,               -235975,               -235975,,,                 68395,                 68395,                 68395,               -167580,,               -235975,                              0,,               -167580,,                             -1.93,,,,,,,,,,,,,,,,,,,,,,,,,,
1626,2014年01月01日至2014年06月30日,,,,              7275301,              7275301,              7275301,,,              5965248,              5965248,              5965248,              1310053,                  9974,                 12416,              1312495,,,                943220,,                253062,,                107048,              1303330,,                              0,                  9165,,,,                 33150,                 33150,                 48467,                 81617,,                              0,               -242520,                 15653,                   -315,                 12690,                              0,               -270548,,                 29598,                 29598,,                  4129,                  4129,               -214400,               -205235,,                 -2546,                 -2546,               -202689,               -202689,,,                -16631,                -16631,                -16631,               -219320,,               -202689,                              0,,               -219320,,                             -1.65,,                             -1.65,,,,,,,,,,,,,,,,,,,,,,,,
