證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　 不重分類至損益之項目,　　　 確定福利計畫之再衡量數,　　　 重估增值,　　　 指定按公允價值衡量之金融負債信用風險變動影響數,　　　 與待出售非流動資產直接相關之權益,　　　 權益工具投資之利益（損失）,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　　 不重分類至損益之其他項目,　　　 與不重分類之項目相關之所得稅,　　　 不重分類至損益之項目總額,　　 銷貨收入淨額,　　　 銷貨收入淨額,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 與其他綜合損益組成部分相關之所得稅,　　 共同控制下前手權益（淨利／損）,　　 共同控制下前手權益（綜合損益）,　　　 銷貨收入,　　　　 銷貨收入合計,　　　 銷貨折讓
6115,2015年第3季,,              1934255,,              1626144,                308111,                308111,,,                 37964,,                114090,,                 33257,                185311,                122800,,,                 45721,,                195857,,                  5028,,                  1869,                238419,                361219,,                 83441,                277778,                277778,,,                145806,                -52940,,                -10299,                 25955,                 56612,                 56612,                334390,,                277914,                   -136,,                336704,                 -2314,,                              1.55,,                              1.48,,,,,,,,,,,,,,,,,,,,,,,,
6115,2015年第2季,,              1768538,,              1497474,                271064,                271064,,,                 26625,,                 95674,,                 22264,                144563,                126501,,,                 23553,,                -22846,,                  4770,,                 17459,                 13396,                139897,,                 41754,                 98143,                 98143,,,                -44768,                 17428,,                 -1004,                 -2511,                -25833,                -25833,                 72310,,                 98143,                              0,,                 72310,                              0,,                              0.55,,                              0.53,,,,,,,,,,,,,,,,,,,,,,,,
6115,2015年01月01日至2015年09月30日,,              5335534,,              4511243,                824291,                824291,,,                 93066,,                299452,,                 79923,                472441,                351850,,,                 96941,,                152461,,                 15813,,                 26334,                259923,                611773,,                155012,                456761,                456761,,,                 72931,                -32060,,                -22189,                 21801,                 -3119,                 -3119,                453642,,                456897,                   -136,,                455956,                 -2314,,                              2.56,,                              2.43,,,,,,,,,,,,,,,,,,,,,,,,
6115,2015年01月01日至2015年06月30日,,              3401279,,              2885099,                516180,                516180,,,                 55102,,                185362,,                 46666,                287130,                229050,,,                 51220,,                -43396,,                 10785,,                 24465,                 21504,                250554,,                 71571,                178983,                178983,,,                -72875,                 20880,,                -11890,                 -4154,                -59731,                -59731,                119252,,                178983,                              0,,                119252,                              0,,                              1.00,,                              0.96,,,,,,,,,,,,,,,,,,,,,,,,
6115,2015年01月01日至2015年03月31日,,              1632741,,              1387625,                245116,                245116,,,                 28477,,                 89688,,                 24402,                142567,                102549,,,                 27667,,                -20550,,                  6015,,                  7006,                  8108,                110657,,                 29817,                 80840,                 80840,,,                -28107,                  3452,,                -10886,                 -1643,                -33898,                -33898,                 46942,,                 80840,                              0,,                 46942,                              0,,                              0.45,,                              0.44,,                              0,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,                              0,,,,,,,,,,,,,
6115,2014年第3季,,              2069242,,              1752720,                316522,                316522,,,                 33453,,                 97813,,                 26889,                158155,                158367,,,                 75964,,                 42157,,                  6317,,                  3611,                115415,                273782,,                 45535,                228247,                228247,,,                 72786,                -42994,,                    228,                     39,                 29981,                 29981,                258228,,                228247,                              0,,                258228,                              0,,                              1.30,,                              1.22,,,,,,,,,,,,,,,,,,,,,,,,
6115,2014年第2季,,              1964141,,              1651459,                312682,                312682,,,                 31365,,                 88316,,                 25885,                145566,                167116,,,                 11614,,                -42135,,                  5219,,                  8652,                -27088,                140028,,                 17414,                122614,                122614,,,                -57048,                 44638,,                 -4107,                   -698,                -15819,                -15819,                106795,,                122614,                              0,,                106795,                              0,,                              0.70,,                              0.66,,,,,,,,,,,,,,,,,,,,,,,,
6115,2014年度,,              7572577,,              6419789,              1152788,              1152788,,,                216101,,                249293,,                133490,                598884,                553904,,,                137134,,                144375,,                 22928,,                 21413,                279994,                833898,,                223111,                610787,                610787,,,,,,,,,                 99528,                710315,,                610787,                              0,,                710315,                              0,,                              3.50,,                              3.28,,,,,,,,,,,,,              7572577,                120006,                -18578,                    661,,                 -3086,                   -525,,,,,
6115,2014年01月01日至2014年09月30日,,              5810642,,              4901926,                908716,                908716,,,                 98357,,                280093,,                 80362,                458812,                449904,,,                111494,,                 52269,,                 17429,,                 20071,                166405,                616309,,                 94379,                521930,                521930,,,                 20027,                -13071,,                   -917,                   -156,                  6195,                  6195,                528125,,                521930,                              0,,                528125,                              0,,                              3.00,,                              2.78,,,,,,,,,,,,,,,,,,,,,,,,
6115,2014年01月01日至2014年06月30日,,              3741400,,              3149206,                592194,                592194,,,                 64904,,                182280,,                 53473,                300657,                291537,,,                 35530,,                 10112,,                 11112,,                 16460,                 50990,                342527,,                 48844,                293683,                293683,,,                -52759,                 29923,,                 -1145,                   -195,                -23786,                -23786,                269897,,                293683,                              0,,                269897,                              0,,                              1.70,,                              1.58,,,,,,,,,,,,,,,,,,,,,,,,
