證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 銷貨成本,　　　 銷貨成本合計,　　 投資支出（投資公司適用）,　　　 投資損失,　　　　 投資損失合計,　　　 投資支出（投資公司適用）合計,　　 租賃成本,　　　 租賃成本合計,　　 旅遊服務成本（觀光飯店業適用）,　　　 餐旅服務成本,　　　　 餐旅服務成本合計,　　　 育樂成本,　　　　 育樂成本合計,　　　 旅遊服務成本（觀光飯店業適用）合計,　　 營建工程成本,　　　 營建工程成本合計,　　 勞務成本,　　　 勞務成本,　　　　 勞務成本合計,　　　 運輸成本（海陸運輸業、航空業適用）,　　　　 運輸成本（海陸運輸業、航空業適用）合計,　　　 勞務成本合計,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 其他收益及費損淨額,　　 其他收益及費損淨額,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 利息收入,　　　　 利息收入合計,　　　 手續費收入,　　　　 手續費收入合計,　　　 其他收入－其他,　　　 其他收入合計,　　 其他利益及損失,　　　 處分投資利益,　　　 外幣兌換利益,　　　 透過損益按公允價值衡量之金融資產（負債）利益,　　　 減損迴轉利益,　　　　 減損迴轉利益合計,　　　 手續費支出,　　　　 手續費支出合計,　　　 什項支出,　　　 處分不動產、廠房及設備損失,　　　 處分投資損失,　　　 外幣兌換損失,　　　 透過損益按公允價值衡量之金融資產（負債）損失,　　　 減損損失,　　　　 減損損失合計,　　　 其他利益及損失淨額,　　 除列按攤銷後成本衡量金融資產淨損益,　　　 除列按攤銷後成本衡量金融資產淨損益,　　 金融資產重分類淨損益,　　　 金融資產重分類淨損益,　　 財務成本,　　　 利息費用,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損失之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 停業單位損益,　　 停業單位損益合計,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 不重分類至損益之項目,　　　 確定福利計畫之再衡量數,　　　 重估增值,　　　 指定按公允價值衡量之金融負債信用風險變動影響數,　　　 與待出售非流動資產直接相關之權益,　　　 權益工具投資之利益（損失）,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　　 不重分類至損益之其他項目,　　　 與不重分類之項目相關之所得稅,　　　 不重分類至損益之項目總額,　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　　　 採用權益法認列關聯企業及合資之確定福利計畫再衡量數,　　　　 採用權益法認列關聯企業及合資之重估增值,　　　　 採用權益法認列關聯企業及合資之指定損益按公允價值衡量之金融負債信用風險變動影響數,　　　　 採用權益法認列關聯企業及合資之與待出售非流動資產直接相關之權益,　　　　 採用權益法認列關聯企業及合資之權益工具投資利益(損失),　　　 處分不動產、廠房及設備利益,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計
2908,2015年第3季,,              8990976,,,              6211251,,,                              0,                              0,,                              0,,,                              0,,                              0,                              0,,                              0,,,                              0,,                              0,                              0,              6211251,              2779725,              2779725,,,                              0,,              2606512,,                              0,              2606512,,                              0,                173213,,,,                  3483,,                              0,                 45450,                 48933,,                 10875,                              0,                359566,,                              0,,                              0,                 27796,                    850,                              0,                311618,                              0,,                              0,                 30177,,                              0,,                              0,,                 52725,                 52725,,                              0,                              0,                 26385,                199598,,                 47979,                151619,,                              0,                151619,,,                              0,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,                              0,,                 43585,,                              0,                 43585,                 43585,                195204,,                151615,                      4,,                196053,                   -849,,                              0.30,                              0.30,,                              0.30,                              0.30,,,,,,,,,,,
2908,2015年第2季,,              8967518,,,,,,,,,,,,,,,,,,,,,,,,              6255533,              2711985,              2711985,,,,,,,,              2550208,,,                161777,,,,                  4611,,,                 75096,                 79707,,                 10322,                284347,                              0,,,,,                 62989,                    812,,,                260191,,,                -29323,,,,,,                 45787,                 45787,,,,                  4597,                166374,,                 56422,                109952,,                              0,                109952,,,                              0,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,                              0,,                  3774,,,                  3774,                  3774,                113726,,                109944,                      8,,                114495,                   -769,,,                              0.22,,,                              0.22,                              0,                              0,                              0,                              0,                              0,,,,,,
2908,2015年01月01日至2015年09月30日,,             27614321,,,             19092749,,,                              0,                              0,,                              0,,,                              0,,                              0,                              0,,                              0,,,                              0,,                              0,                              0,             19092749,              8521572,              8521572,,,                              0,,              7808042,,                              0,              7808042,,                              0,                713530,,,,                 13505,,                              0,                184274,                197779,,                 28019,                              0,                144349,,                              0,,                              0,                148445,                  1828,                              0,                 38087,                              0,,                              0,                -15992,,                              0,,                              0,,                140047,                140047,,                              0,                              0,                 41740,                755270,,                183873,                571397,,                              0,                571397,,,                              0,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,                              0,,                -14864,,                              0,                -14864,                -14864,                556533,,                571377,                     20,,                558188,                 -1655,,                              1.13,                              1.13,,                              1.13,                              1.13,,,,,,,,,,,
2908,2015年01月01日至2015年06月30日,,             18623345,,,,,,,,,,,,,,,,,,,,,,,,             12881498,              5741847,              5741847,,,,,,,,              5201530,,,                540317,,,,                 10022,,,                138824,                148846,,                 17144,                273531,                              0,,,,,                120649,                    978,,,                215217,,,                -46169,,,,,,                 87322,                 87322,,,,                 15355,                555672,,                135894,                419778,,                              0,                419778,,,                              0,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,                              0,,                -58449,,,                -58449,                -58449,                361329,,                419762,                     16,,                362135,                   -806,,,                              0.83,,,                              0.83,                              0,                              0,                              0,                              0,                              0,,,,,,
2908,2015年01月01日至2015年03月31日,,              9655827,,,,,,,,,,,,,,,,,,,,,,,,              6625965,              3029862,              3029862,,,,,,,,              2651322,,,                378540,,,,                  5411,,,                 63728,                 69139,,                  6822,                              0,                 44974,,,,,                 57660,                    166,,                 10816,                              0,,,                -16846,,,,,,                 41535,                 41535,,,,                 10758,                389298,,                 79472,                309826,,,                309826,,,                              0,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,                              0,,                -62223,,,                -62223,                -62223,                247603,,                309818,                      8,,                247640,                    -37,,,                              0.62,,,                              0.62,                              0,                              0,                              0,                              0,                              0,,,,,,
2908,2014年第3季,,              9203372,,,              6429063,,,                              0,                              0,,                              0,,,                              0,,                              0,                              0,,                              0,,,                              0,,                              0,                              0,              6429063,              2774309,              2774309,,,                              0,,              2565167,,                              0,              2565167,,                              0,                209142,,,,                  7800,,                              0,                 66147,                 73947,,                  2295,                              0,                 52379,,                              0,,                              0,                 63665,                  1153,                              0,                 34409,                              0,,                              0,                -44553,,                              0,,                              0,,                 43101,                 43101,,                              0,                              0,                -13707,                195435,,                 45422,                150013,,                              0,                150013,,,                              0,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,                              0,,                 25929,,                              0,                 25929,                 25929,                175942,,                150390,                   -377,,                177519,                 -1577,,                              0.30,                              0.30,,                              0.30,                              0.30,,,,,,,,,,,
2908,2014年第2季,,              8877122,,,,,,,,,,,,,,,,,,,,,,,,              6356337,              2520785,              2520785,,,,,,,,              2381941,,,                138844,,,,                  5032,,,                 60656,                 65688,,                  2200,                 14600,                              0,,,,,                 19978,                     80,,,                  9099,,,                -12357,,,,,,                 45314,                 45314,,,,                  8017,                146861,,                 38524,                108337,,                              0,                108337,,,                              0,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,                              0,,                -13859,,,                -13859,                -13859,                 94478,,                103147,                  5190,,                 90387,                  4091,,,                              0.21,,,                              0.21,                              0,                              0,                              0,                              0,                              0,,,,,,
2908,2014年度,,             35946241,,,,,,,,,,,,,,,,,,,,,,,,             25114215,             10832026,             10832026,,,,,,,,              9850124,,,                981902,,,,                 17992,,,                172754,                190746,,                 14472,                              0,                317254,,,,,                179914,                  5038,,                248185,                              0,,,               -101411,,,,,,                188093,                188093,,,                              0,                -98758,                883144,,                167977,                715167,,                              0,                715167,,,,,,,,,,,,,,,,,,                 37323,                752490,,                705731,                  9436,,                744221,                  8269,,                              1.42,                              1.42,,                              1.42,                              1.42,,,,,,                              0,                 31036,                              0,                  6287,,
2908,2014年01月01日至2014年09月30日,,             27132983,,,             19154470,,,                              0,                              0,,                              0,,,                              0,,                              0,                              0,,                              0,,,                              0,,                              0,                              0,             19154470,              7978513,              7978513,,,                              0,,              7295215,,                              0,              7295215,,                              0,                683298,,,,                 16454,,                              0,                163749,                180203,,                  6955,                              0,                 45687,,                              0,,                              0,                105433,                  3374,                              0,                 14649,                              0,,                              0,                -70814,,                              0,,                              0,,                126995,                126995,,                              0,                              0,                -17606,                665692,,                129947,                535745,,                              0,                535745,,,                              0,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,                              0,,                 20474,,                              0,                 20474,                 20474,                556219,,                524945,                 10800,,                547058,                  9161,,                              1.06,                              1.06,,                              1.06,                              1.06,,,,,,,,,,,
2908,2014年01月01日至2014年06月30日,,             17929611,,,,,,,,,,,,,,,,,,,,,,,,             12725407,              5204204,              5204204,,,,,,,,              4730048,,,                474156,,,,                  8654,,,                 97602,                106256,,                  4660,                 19760,                              0,,,,,                 41768,                  2221,,,                  6692,,,                -26261,,,,,,                 83894,                 83894,,,,                 -3899,                470257,,                 84525,                385732,,                              0,                385732,,,                              0,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,                              0,,                 -5455,,,                 -5455,                 -5455,                380277,,                374555,                 11177,,                369539,                 10738,,,                              0.76,,,                              0.76,                              0,                              0,                              0,                              0,                              0,,,,,,
