證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入淨額,　　 營業收入合計,　 營業成本,　　 銷貨成本,　　　 銷貨成本合計,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 不重分類至損益之項目,　　　 確定福利計畫之再衡量數,　　　 重估增值,　　　 指定按公允價值衡量之金融負債信用風險變動影響數,　　　 與待出售非流動資產直接相關之權益,　　　 權益工具投資之利益（損失）,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　　 不重分類至損益之其他項目,　　　 與不重分類之項目相關之所得稅,　　　 不重分類至損益之項目總額,　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 共同控制下前手權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　　　 採用權益法認列關聯企業及合資之確定福利計畫再衡量數,　　　　 採用權益法認列關聯企業及合資之重估增值,　　　　 採用權益法認列關聯企業及合資之指定損益按公允價值衡量之金融負債信用風險變動影響數,　　　　 採用權益法認列關聯企業及合資之與待出售非流動資產直接相關之權益,　　　　 採用權益法認列關聯企業及合資之權益工具投資利益(損失),　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 其他綜合損益,　　 非控制權益（淨利／損）,　　 非控制權益（綜合損益）
9905,2013年01月01日至2013年12月31日,,,              8321519,              8321519,,,              6773278,              6773278,              1548241,              1548241,,,                292556,,                250612,,,                543168,              1005073,,,                 57796,,                 57700,,                 13654,                101842,              1106915,,                233884,                873031,                873031,,,,,,,,,,,,,,,,,                226091,              1099122,,                878196,,,              1097502,,                              2.88,                              2.88,,                              2.88,                              2.88,,,,,,                232958,                 38413,                -54555,                  9275,                 -5165,                  1620
9905,2013年01月01日至2013年09月30日,,,              6524836,              6524836,,,              5290138,              5290138,              1234698,              1234698,,,                222889,,                184980,,                              0,                407869,                826829,,,                 41612,,                 44313,,                 10124,                 75801,                902630,,                204328,                698302,                698302,,,,,,,,,,,,,,,,,                182332,                880634,,                703467,,,                879014,,                              2.31,                              2.31,,                              2.30,                              2.30,,,,,,                160426,                 21906,,,                 -5165,                  1620
9905,2013年01月01日至2013年06月30日,,,              4197453,              4197453,,,              3438366,              3438366,                759087,                759087,,,                145597,,                120591,,                              0,                266188,                492899,,,                 29783,,                 24402,,                  5791,                 48394,                541293,,                126449,                414844,                414844,,,,,,,,,,,,,,,,,                227955,                642799,,                420009,,,                641179,,                              1.38,                              1.38,,                              1.38,                              1.38,,,,,,                207684,                 20271,,,                 -5165,                  1620
9905,2013年01月01日至2013年03月31日,,,              1918319,              1918319,,,              1595717,              1595717,                322602,                322602,,,                 65564,,                 58187,,                              0,                123751,                198851,,,                 18941,,                 10187,,                  2475,                 26653,                225504,,                 40672,                184832,                184832,,,,,,,,,,,,,,,,,                172103,                356935,,                188253,,,                353087,,                              0.61,                              0.61,,                              0.61,                              0.61,,,,,,                143661,                 28442,,,                 -3421,                  3848
9905,2012年07月01日至2012年09月30日,,,              2550251,              2550251,,,              2079282,              2079282,                470969,                470969,,,                 75402,,                 58045,,,                133447,                337522,,,                  6358,,                 12147,,                  8962,                  9543,                347065,,                 77237,                269828,                269828,,,,,,,,,,,,,,,,,                -72499,                197329,,                270129,,,                201747,,                              0.89,                              0.89,,                              0.89,                              0.89,,,,,,                -89445,                 16946,,,                   -301,                 -4418
9905,2012年04月01日至2012年06月30日,,,              2276105,              2276105,,,              1843493,              1843493,                432612,                432612,,,                 66981,,                 57529,,,                124510,                308102,,,                 15600,,                -12693,,                 -1003,                  3910,                312012,,                 87716,                224296,                224296,,,,,,,,,,,,,,,,,                 16916,                241212,,                225818,,,                241314,,                              0.74,                              0.74,,                              0.74,                              0.74,,,,,,                 31199,                -14283,,,                 -1522,                   -102
9905,2012年01月01日至2012年12月31日,,,              8534707,              8534707,,,              6977992,              6977992,              1556715,              1556715,,,                270094,,                234932,,,                505026,              1051689,,,                 56407,,                 14374,,                 15952,                 54829,              1106518,,                281914,                824604,                824604,,,,,,,,,,,,,,,,,               -114227,                710377,,                830084,,,                723209,,                              2.72,                              2.72,,                              2.72,                              2.72,,,,,,               -156762,                 53419,                -13114,                  2230,                 -5480,                -12832
9905,2012年01月01日至2012年09月30日,,,              6787199,              6787199,,,              5556288,              5556288,              1230911,              1230911,,,                209269,,                172947,,,                382216,                848695,,,                 33429,,                  8053,,                 11895,                 29587,                878282,,                218998,                659284,                659284,,,,,,,,,,,,,,,,,               -114844,                544440,,                661966,,,                554482,,                              2.17,                              2.17,,                              2.17,                              2.17,,,,,,               -162999,                 48155,,,                 -2682,                -10042
9905,2012年01月01日至2012年06月30日,,,              4236948,              4236948,,,              3477006,              3477006,                759942,                759942,,,                133867,,                114902,,,                248769,                511173,,,                 27071,,                 -4094,,                  2933,                 20044,                531217,,                141761,                389456,                389456,,,,,,,,,,,,,,,,,                -42345,                347111,,                391837,,,                352735,,                              1.28,                              1.28,,                              1.28,                              1.28,,,,,,                -73554,                 31209,,,                 -2381,                 -5624
9905,2012年01月01日至2012年03月31日,,,              1960843,              1960843,,,              1633513,              1633513,                327330,                327330,,,                 66886,,                 57373,,,                124259,                203071,,,                 11471,,                  8599,,                  3936,                 16134,                219205,,                 54045,                165160,                165160,,,,,,,,,,,,,,,,,                -59261,                105899,,                166019,,,                111421,,                              0.54,                              0.54,,                              0.54,                              0.54,,,,,,               -104753,                 45492,,,                   -859,                 -5522
