證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入淨額,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　 停業單位損益,　　 停業單位損益合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 與其他綜合損益組成部分相關之所得稅
2454,2015年第3季,,,             56962044,             56962044,,             32657866,             24304178,             24304178,,,              1903708,,              2435794,,             12342909,             16682411,              7621767,,,                733517,,                726400,,                162414,,                154906,              1452409,              9074176,,              1114408,              7959768,              7959768,,,              4702549,             -1195064,,                -73184,                              0,              3434301,              3434301,             11394069,,              7954447,                  5321,,             11403152,                 -9083,,                              5.09,,                              5.08,,,,,,,,
2454,2015年第2季,,,             47044056,             47044056,,             25447682,             21596374,             21596374,,,              1654870,,              2177881,,             10897246,             14729997,              6866377,,,              1119616,,               -620213,,                 99632,,                141004,                540775,              7407152,,              1029745,              6377407,              6377407,,,               -641217,                262236,,                   -491,                              0,               -379472,               -379472,              5997935,,              6350223,                 27184,,              5956387,                 41548,,                              4.06,,                              4.05,,,,,,,,
2454,2015年01月01日至2015年09月30日,,,            151542321,            151542321,,             83143171,             68399150,             68399150,,,              5727147,,              6420535,,             34091347,             46239029,             22160121,,,              2736967,,               -230127,,                417076,,                373626,              2463390,             24623511,,              3035339,             21588172,             21588172,,,              3252223,             -1466324,,                -72186,                              0,              1713713,              1713713,             23301885,,             21530291,                 57881,,             23247592,                 54293,,                             13.77,,                             13.74,,,,,,,,
2454,2015年01月01日至2015年06月30日,,,             94580277,             94580277,,             50485305,             44094972,             44094972,,,              3823439,,              3984741,,             21748438,             29556618,             14538354,,,              2003450,,               -956527,,                254662,,                218720,              1010981,             15549335,,              1920931,             13628404,             13628404,,,             -1450326,               -271260,,                    998,                              0,             -1720588,             -1720588,             11907816,,             13575844,                 52560,,             11844440,                 63376,,                              8.68,,                              8.67,,,,,,,,
2454,2015年01月01日至2015年03月31日,,,             47536221,             47536221,,             25037623,             22498598,             22498598,,,              2168569,,              1806860,,             10851192,             14826621,              7671977,,,                883834,,               -336314,,                155030,,                 77716,                470206,              8142183,,                891186,              7250997,              7250997,,,               -809109,               -533496,,                  1489,,             -1341116,             -1341116,              5909881,,              7225621,                 25376,,              5888053,                 21828,,                              4.62,,                              4.61,,,,,,,,
2454,2014年第3季,,,             57472148,             57472148,,             29238133,             28234015,             28234015,,,              1521020,,              1380947,,             11537947,             14439914,             13794101,,,              1191919,,                -74949,,                147285,,                149779,              1119464,             14913565,,              1612328,             13301237,             13301237,,,              2703892,                750970,,                  8333,                              0,              3463195,              3463195,             16764432,,             13299240,                  1997,,             16755299,                  9133,,                              8.51,,                              8.46,,,,,,,,
2454,2014年第2季,,,             54133047,             54133047,,             27309245,             26823802,             26823802,,,              2072204,,              1588516,,             10402758,             14063478,             12760324,,,                948904,,                413685,,                113427,,                143727,              1392889,             14153213,,              1604605,             12548608,             12548608,,,             -2936309,               -160325,,                 -7840,                              0,             -3104474,             -3104474,              9444134,,             12558406,                 -9798,,              9467526,                -23392,,                              8.03,,                              8.00,,,,,,,,
2454,2014年度,,,,            213062916,,            109194295,            103868621,            103868621,,,              7372827,,              5917136,,             43337348,             56627311,             47241310,,,              3483335,,              1120151,,                478782,,                983941,              5108645,             52349955,,              5950882,             46399073,             46399073,,,,,,,,,              7268758,             53667831,,             46397892,                  1181,,             53627479,                 40352,,                             30.04,,                             29.96,,                              0,              6684653,                878929,               -328043,,                -22549,                -55768
2454,2014年01月01日至2014年09月30日,,,            157610197,            157610197,,             80326717,             77283480,             77283480,,,              4727159,,              4332801,,             30856165,             39916125,             37367355,,,              2883027,,               -117079,,                342811,,                777250,              3200387,             40567742,,              4578556,             35989186,             35989186,,,              1195816,                292200,,                -11296,                              0,              1476720,              1476720,             37465906,,             36005012,                -15826,,             37458094,                  7812,,                             23.41,,                             23.28,,,,,,,,
2454,2014年01月01日至2014年06月30日,,,            100138049,            100138049,,             51088584,             49049465,             49049465,,,              3206139,,              2951854,,             19318218,             25476211,             23573254,,,              1691108,,                -42130,,                195526,,                627471,              2080923,             25654177,,              2966228,             22687949,             22687949,,,             -1508076,               -458770,,                -19629,                              0,             -1986475,             -1986475,             20701474,,             22705772,                -17823,,             20702795,                 -1321,,                             14.89,,                             14.82,,,,,,,,
