證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 利息收入,　　　　 利息收入合計,　　　 其他收入－其他,　　　 其他收入合計,　　 其他利益及損失,　　　 外幣兌換利益,　　　 什項支出,　　　 外幣兌換損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 利息費用,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 與其他綜合損益組成部分相關之所得稅,　　　　 銀行存款利息
5264,2015年第3季,,             10101593,,              7412352,              2689241,              2689241,,,                100678,,                448843,,                381493,                931014,              1758227,,,,                 55293,                 27056,                 82349,,                509188,                 88618,                              0,                420570,,                 15162,                 15162,                487757,              2245984,,                632034,              1613950,              1613950,,,                746536,                 -2266,                748802,                748802,              2362752,,              1613950,,              2362752,,                              4.75,,                              4.74,,,
5264,2015年01月01日至2015年09月30日,,             26287879,,             20461731,              5826148,              5826148,,,                259450,,              1207870,,                853046,              2320366,              3505782,,,,                182853,                394758,                577611,,                639866,                 95924,                              0,                543942,,                 47703,                 47703,              1073850,              4579632,,              1103800,              3475832,              3475832,,,                 62249,                              0,                 62249,                 62249,              3538081,,              3475832,,              3538081,,                             10.23,,                             10.22,,,
5264,2014年第3季,,              8513340,,              6336187,              2177153,              2177153,,,                 52316,,                427704,,                206942,                686962,              1490191,,,,                 79085,                  6655,                 85740,,                 45371,                 11033,                              0,                 34338,,                 16024,                 16024,                104054,              1594245,,                315566,              1278679,              1278679,,,                435730,                   -318,                436048,                436048,              1714727,,              1278679,,              1714727,,                              3.76,,                              3.76,,,
5264,2014年第2季,,              6903062,,              5139487,              1763575,              1763575,,,                 89239,,                326065,,                182002,                597306,              1166269,,,,                 66802,                  8623,                 75425,,,                 16359,                  1346,                -17705,,                 16162,                 16162,                 41558,              1207827,,                186604,              1021223,              1021223,,,,,,               -495761,                525462,,              1021223,,                525462,,                              3.01,,                              2.98,               -495696,                     65,
5264,2014年度,,             34520346,,             25534757,              8985589,              8985589,,,                315222,,              1616078,,                752346,              2683646,              6301943,,,,                269384,                 90377,                359761,,                 50163,                401688,                              0,               -351525,,                 67180,                 67180,                -58944,              6242999,,              1319350,              4923649,              4923649,,,,,,              1477490,              6401139,,              4923649,,              6401139,,                             14.49,,                             14.41,              1475112,                 -2378,
5264,2014年01月01日至2014年09月30日,,             22989386,,             16999308,              5990078,              5990078,,,                233957,,              1240733,,                559318,              2034008,              3956070,,,,                203697,                 24524,                228221,,                  4785,                 29126,                              0,                -24341,,                 49328,                 49328,                154552,              4110622,,                688908,              3421714,              3421714,,,                302786,                    -76,                302862,                302862,              3724576,,              3421714,,              3724576,,                             10.07,,                             10.00,,,
5264,2014年01月01日至2014年06月30日,,             14476046,,             10663121,              3812925,              3812925,,,                181641,,                813029,,                352376,              1347046,              2465879,,,,                124612,                 17869,                142481,,,                 18093,                 40586,                -58679,,                 33304,                 33304,                 50498,              2516377,,                373342,              2143035,              2143035,,,,,,               -133186,              2009849,,              2143035,,              2009849,,                              6.31,,                              6.24,               -132944,                    242,
5264,2014年01月01日至2014年03月31日,,              7572984,,              5523634,              2049350,              2049350,,,                 92402,,                486964,,                170374,                749740,              1299610,,,,                 57810,                  9246,                 67056,,,                  1734,                 39240,                -40974,,                 17142,                 17142,                  8940,              1308550,,                186738,              1121812,              1121812,,,,,,                362575,              1484387,,              1121812,,              1484387,,                              3.30,,                              3.26,                362752,                    177,
5264,2013年第3季,,              8271623,,              5947200,              2324423,              2324423,,,                 97123,,                417674,,                136003,                650800,              1673623,,,,                 19427,                 24557,                 43984,,                              0,                 13735,                 48077,                -61812,,                 21231,                 21231,                -39059,              1634564,,                313723,              1320841,              1320841,,,,,,               -234054,              1086787,,              1320841,,              1086787,,                              3.89,,                              3.86,               -233738,                    316,
5264,2013年第2季,,              7209238,,              5151977,              2057261,              2057261,,,                 90752,,                367596,,                116012,                574360,              1482901,,,,                 10628,                 92312,                102940,,,                 16468,                  5615,                -22083,,                 26280,                 26280,                 54577,              1537478,,                248520,              1288958,              1288958,,,,,,                328902,              1617860,,              1288958,,              1617860,,                              3.79,,                              3.77,                328806,                    -96,
5264,2013年度,,             36542605,,             25272271,             11270334,             11270334,,,                446495,,              1800257,,                746618,              2993370,              8276964,,,,                 62373,                159470,                221843,,                              0,                 70223,                191454,               -261677,,                109049,                109049,               -148883,              8128081,,              2005241,              6122840,              6122840,,,,,,                967003,              7089843,,              6122840,,              7089843,,                             18.10,,                             17.90,                967162,                    159,
5264,2013年07月01日至2013年09月30日,,              8271623,,              5947200,              2324423,              2324423,,,                 97123,,                417674,,                136003,                650800,              1673623,,,,                 19427,                 24557,                 43984,,                              0,                 13735,                 48077,                -61812,,                 21231,                 21231,                -39059,              1634564,,                313723,              1320841,              1320841,,,,,,               -234054,              1086787,,              1320841,,              1086787,,                              3.89,,                              3.86,               -233738,                    316,
5264,2013年04月01日至2013年06月30日,,              7209238,,              5151977,              2057261,              2057261,,,                 90752,,                367596,,                116012,                574360,              1482901,,,,                 10628,                 92312,                102940,,                              0,                 16468,                  5615,                -22083,,                 26280,                 26280,                 54577,              1537478,,                248520,              1288958,              1288958,,,,,,                328902,              1617860,,              1288958,,              1617860,,                              3.79,,                              3.77,                328806,                    -96,
5264,2013年01月01日至2013年12月31日,,             36542605,,             25272271,             11270334,             11270334,,,                446495,,              1800257,,                746618,              2993370,              8276964,,,,                 62373,                159470,                221843,,,                 70223,                191454,               -261677,,                109049,                109049,               -148883,              8128081,,              2005241,              6122840,              6122840,,,,,,                967003,              7089843,,              6122840,,              7089843,,                             18.10,,                             17.90,                967162,                    159,                 62373
5264,2013年01月01日至2013年09月30日,,             25271907,,             17657811,              7614096,              7614096,,,                297221,,              1331161,,                328555,              1956937,              5657159,,,,                 35837,                135116,                170953,,                              0,                 38253,                 84166,               -122419,,                 88964,                 88964,                -40430,              5616729,,              1260117,              4356612,              4356612,,,,,,                620004,              4976616,,              4356612,,              4976616,,                             12.90,,                             12.79,                620481,                    477,
5264,2013年01月01日至2013年06月30日,,             17000284,,             11710611,              5289673,              5289673,,,                200098,,                913487,,                192552,              1306137,              3983536,,,,                 16410,                110559,                126969,,,                 24518,                 36089,                -60607,,                 67733,                 67733,                 -1371,              3982165,,                946394,              3035771,              3035771,,,,,,                854058,              3889829,,              3035771,,              3889829,,                              9.02,,                              8.95,                854219,                    161,
5264,2013年01月01日至2013年03月31日,,              9791046,,              6558634,              3232412,              3232412,,,                109346,,                545891,,                 76540,                731777,              2500635,,,,                  5782,                 18247,                 24029,,,                  8050,                 30474,                -38524,,                 41453,                 41453,                -55948,              2444687,,                697874,              1746813,              1746813,,,,,,                525156,              2271969,,              1746813,,              2271969,,                              5.24,,                              5.20,                525413,                    257,
5264,2012年07月01日至2012年09月30日,,              8547753,,              6291779,              2255974,              2255974,,,                 98809,,                348771,,                422826,                870406,              1385568,,,,                  9195,                 23870,                 33065,,                              0,                 17968,                 32895,                -50863,,                 56363,                 56363,                -74161,              1311407,,                264781,              1046626,              1046626,,,,,,               -299720,                746906,,              1046626,,                746906,,                              3.32,,                              0.00,               -299542,                    178,
5264,2012年04月01日至2012年06月30日,,              8220266,,              6626778,              1593488,              1593488,,,                 72659,,                293251,,                274949,                640859,                952629,,,,                  7664,                 50681,                 58345,,                              0,                              0,                 79271,                -79271,,                 72391,                 72391,                -93317,                859312,,                273226,                586086,                586086,,,,,,                100953,                687039,,                586086,,                687039,,                              2.24,,                              0.00,                100407,                   -546,
5264,2012年01月01日至2012年12月31日,,             33156748,,             25382893,              7773855,              7773855,,,                347249,,              1632473,,              1071490,              3051212,              4722643,,,,                 26610,                127566,                154176,,,                 46180,                 15203,                -61383,,                246875,                246875,               -154082,              4568561,,              1323526,              3245035,              3245035,,,,,,               -474062,              2770973,,              3245035,,              2770973,,                             11.39,,                             11.27,               -471758,                  2304,                 26610
5264,2012年01月01日至2012年09月30日,,             21331948,,             16833606,              4498342,              4498342,,,                253215,,                879326,,                941150,              2073691,              2424651,,,,                 22908,                 94127,                117035,,                 29045,                 25030,                              0,                  4015,,                199237,                199237,                -78187,              2346464,,                522825,              1823639,              1823639,,,,,,               -430862,              1392777,,              1823639,,              1392777,,                              6.64,,                              0.00,               -428828,                  2034,
5264,2012年01月01日至2012年06月30日,,             12784195,,             10541827,              2242368,              2242368,,,                154406,,                530555,,                518324,              1203285,              1039083,,,,                 13713,                 70257,                 83970,,                 61940,                  7062,                              0,                 54878,,                142874,                142874,                 -4026,              1035057,,                258044,                777013,                777013,,,,,,               -131142,                645871,,                777013,,                645871,,                              3.06,,                              0.00,               -129286,                  1856,
5264,2012年01月01日至2012年03月31日,,              4563929,,              3915049,                648880,                648880,,,                 81747,,                237304,,                243375,                562426,                 86454,,,,                  6049,                 19776,                 25825,,                141211,                  7262,                              0,                133949,,                 70483,                 70483,                 89291,                175745,,                -15182,                190927,                190927,,,,,,               -232095,                -41168,,                190927,,                -41168,,                              0.78,,                              0.00,               -229693,                  2402,
