證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 不重分類至損益之項目,　　　 確定福利計畫之再衡量數,　　　 與不重分類之項目相關之所得稅,　　　 不重分類至損益之項目總額,　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅
1474,2015年第3季,,                843702,,                748145,                 95557,                 95557,,,                 33838,,                 28038,,                  5977,                 67853,                 27704,,,                 13246,,                  5803,,                  3462,,                              0,                 15587,                 43291,,                  7359,                 35932,                 35932,,,                              0,                              0,                              0,,                 18056,                    149,                  3069,                 15136,                 15136,                 51068,,                 35932,,                 51068,,                              0.28,                              0.28,,                              0.28,                              0.28,,,
1474,2015年第2季,,                900487,,                802090,                 98397,                 98397,,,                 35257,,                 24346,,                  4982,                 64585,                 33812,,,                 12224,,                 -6241,,                  4094,,                              0,                  1889,                 35701,,                  9337,                 26364,                 26364,,,                              0,                              0,                              0,,                 -6628,                    184,                 -1127,                 -5317,                 -5317,                 21047,,                 26364,,                 21047,,                              0.20,                              0.20,,                              0.20,                              0.20,,,
1474,2015年01月01日至2015年09月30日,,              2588027,,              2305367,                282660,                282660,,,                102752,,                 76912,,                 15499,                195163,                 87497,,,                 36762,,                -11443,,                 11376,,                              0,                 13943,                101440,,                 19748,                 81692,                 81692,,,                    -74,                    -13,                    -61,,                  6319,                    331,                  1074,                  5576,                  5515,                 87207,,                 81692,,                 87207,,                              0.63,                              0.63,,                              0.63,                              0.63,,,
1474,2015年01月01日至2015年06月30日,,              1744325,,              1557222,                187103,                187103,,,                 68914,,                 48874,,                  9522,                127310,                 59793,,,                 23516,,                -17246,,                  7914,,                              0,                 -1644,                 58149,,                 12389,                 45760,                 45760,,,                    -74,                    -13,                    -61,,                -11737,                    182,                 -1995,                 -9560,                 -9621,                 36139,,                 45760,,                 36139,,                              0.35,                              0.35,,                              0.35,                              0.35,,,
1474,2015年01月01日至2015年03月31日,,                843838,,                755132,                 88706,                 88706,,,                 33657,,                 24528,,                  4540,                 62725,                 25981,,,                 11292,,                -11005,,                  3820,,                              0,                 -3533,                 22448,,                  3052,                 19396,                 19396,,,                    -74,                    -13,                    -61,,                 -5109,                     -2,                   -868,                 -4243,                 -4304,                 15092,,                 19396,,                 15092,,                              0.15,                              0.15,,                              0.15,                              0.15,,,
1474,2014年第3季,,                894338,,                834892,                 59446,                 59446,,,                 28095,,                 25987,,                  5307,                 59389,                     57,,,                  9988,,                  6756,,                  3690,,                     76,                 13130,                 13187,,                  1880,                 11307,                 11307,,,                              0,                              0,                              0,,                 13159,                              0,                  2237,                 10922,                 10922,                 22229,,                 11307,,                 22229,,                              0.09,                              0.09,,                              0.09,                              0.09,,,
1474,2014年第2季,,                793248,,                728719,                 64529,                 64529,,,                 28369,,                 24616,,                  4686,                 57671,                  6858,,,                 16169,,                -10522,,                  3693,,                     29,                  1983,                  8841,,                  1754,                  7087,                  7087,,,                              0,                              0,                              0,,                 -8220,                              0,                 -1397,                 -6823,                 -6823,                    264,,                  7087,,                    264,,                              0.05,                              0.05,,                              0.05,                              0.05,,,
1474,2014年度,,              3533648,,              3254758,                278890,                278890,,,                118328,,                110832,,                 18685,                247845,                 31045,,,                 66546,,                 -8525,,                 14853,,                   -457,                 42711,                 73756,,                 16826,                 56930,                 56930,,,,,,,,,,,                 15873,                 72803,,                 56930,,                 72803,,                              0.44,                              0.44,,                              0.44,                              0.44,                 17210,                  1914,                  3251
1474,2014年01月01日至2014年09月30日,,              2557336,,              2363559,                193777,                193777,,,                 85064,,                 79260,,                 12878,                177202,                 16575,,,                 37491,,                -13046,,                 11122,,                   -379,                 12944,                 29519,,                  5680,                 23839,                 23839,,,                              0,                              0,                              0,,                  3204,                              0,                    545,                  2659,                  2659,                 26498,,                 23839,,                 26498,,                              0.18,                              0.18,,                              0.18,                              0.18,,,
1474,2014年01月01日至2014年06月30日,,              1662998,,              1528667,                134331,                134331,,,                 56969,,                 53273,,                  7571,                117813,                 16518,,,                 27503,,                -19802,,                  7432,,                   -455,                   -186,                 16332,,                  3800,                 12532,                 12532,,,                              0,                              0,                              0,,                 -9955,                              0,                 -1692,                 -8263,                 -8263,                  4269,,                 12532,,                  4269,,                              0.10,                              0.10,,                              0.10,                              0.10,,,
1474,2014年01月01日至2014年03月31日,,                869750,,                799948,                 69802,                 69802,,,                 28600,,                 28657,,                  2885,                 60142,                  9660,,,                 11334,,                 -9280,,                  3739,,                   -484,                 -2169,                  7491,,                  2046,                  5445,                  5445,,,                              0,                              0,                              0,,                 -1735,                              0,                   -295,                 -1440,                 -1440,                  4005,,                  5445,,                  4005,,                              0.04,                              0.04,,                              0.04,                              0.04,,,
1474,2013年第3季,,                826027,,                760044,                 65983,                 65983,,,                 27843,,                 21434,,                  2677,                 51954,                 14029,,,                  8452,,                 -5266,,                  3417,,                 -1318,                 -1549,                 12480,,                 -2144,                 14624,                 14624,,,,,,,,,,,                 -2735,                 11889,,                 14624,,                 11889,,                              0.11,                              0.11,,                              0.11,                              0.11,                 -3296,,                   -561
1474,2013年第2季,,                902632,,                844011,                 58621,                 58621,,,                 24692,,                 36204,,                  3295,                 64191,                 -5570,,,                 11083,,                  7285,,                  3787,,                 -3552,                 11029,                  5459,,                 -1059,                  6518,                  6518,,,,,,,,,,,                  8285,                 14803,,                  6518,,                 14803,,                              0.05,                              0.05,,                              0.05,                              0.05,                  9982,,                  1697
1474,2013年度,,              3599559,,              3372675,                226884,                226884,,,                107068,,                113696,,                 13374,                234138,                 -7254,,,                 95102,,                 19208,,                 14488,,                -10046,                 89776,                 82522,,                 11243,                 71279,                 71279,,,,,,,,,,,                 18027,                 89306,,                 71279,,                 89306,,                              0.54,                              0.54,,                              0.54,                              0.54,                 24081,                 -2361,                  3693
1474,2013年07月01日至2013年09月30日,,                826027,,                760044,                 65983,                 65983,,,                 27843,,                 21434,,                  2677,                 51954,                 14029,,,                  8452,,                 -5266,,                  3417,,                 -1318,                 -1549,                 12480,,                 -2144,                 14624,                 14624,,,,,,,,,,,                 -2735,                 11889,,                 14624,,                 11889,,                              0.11,                              0.11,,                              0.11,                              0.11,                 -3296,,                   -561
1474,2013年04月01日至2013年06月30日,,                902632,,                844011,                 58621,                 58621,,,                 24692,,                 36204,,                  3295,                 64191,                 -5570,,,                 11083,,                  7285,,                  3787,,                 -3552,                 11029,                  5459,,                 -1059,                  6518,                  6518,,,,,,,,,,,                 29471,                 35989,,                  6518,,                 35989,,                              0.05,                              0.05,,                              0.05,                              0.05,                 35508,,                  6037
1474,2013年01月01日至2013年12月31日,,              3599559,,              3372675,                226884,                226884,,,                107068,,                113696,,                 13374,                234138,                 -7254,,,                 95102,,                 19208,,                 14488,,                -10046,                 89776,                 82522,,                 11243,                 71279,                 71279,,,,,,,,,,,                 18027,                 89306,,                 71279,,                 89306,,                              0.54,                              0.54,,                              0.54,                              0.54,                 24081,                 -2361,                  3693
1474,2013年01月01日至2013年09月30日,,              2672492,,              2491417,                181075,                181075,,,                 76939,,                 85788,,                  8944,                171671,                  9404,,,                 28963,,                  8754,,                 10549,,                 -7908,                 19260,                 28664,,                    630,                 28034,                 28034,,,,,,,,,,,                 16143,                 44177,,                 28034,,                 44177,,                              0.21,                              0.21,,                              0.21,                              0.21,                 19449,,                  3306
1474,2013年01月01日至2013年06月30日,,              1846465,,              1731373,                115092,                115092,,,                 49096,,                 64354,,                  6267,                119717,                 -4625,,,                 20511,,                 14020,,                  7132,,                 -6590,                 20809,                 16184,,                  2774,                 13410,                 13410,,,,,,,,,,,                 18878,                 32288,,                 13410,,                 32288,,                              0.10,                              0.10,,                              0.10,                              0.10,                 22745,,                  3867
1474,2013年01月01日至2013年03月31日,,                943833,,                887362,                 56471,                 56471,,,                 24404,,                 28150,,                  2972,                 55526,                    945,,,                  9428,,                  6735,,                  3345,,                 -3038,                  9780,                 10725,,                  3833,                  6892,                  6892,,,,,,,,,,,                 10593,                 17485,,                  6892,,                 17485,,                              0.05,                              0.05,,                              0.05,                              0.05,                 12763,                              0,                  2170
1474,2012年07月01日至2012年09月30日,,                851174,,                816092,                 35082,                 35082,,,                 26916,,                 23572,,                  2754,                 53242,                -18160,,,                 10598,,                 -8638,,                  2838,,                 -1892,                 -2770,                -20930,,                 -2094,                -18836,                -18836,,,,,,,,,,,                 -5628,                -24464,,                -18836,,                -24464,,                             -0.14,                             -0.14,,                             -0.14,                             -0.14,                 -6781,,                 -1153
1474,2012年04月01日至2012年06月30日,,                857522,,                796575,                 60947,                 60947,,,                 23611,,                 24234,,                  3050,                 50895,                 10052,,,                 13109,,                 -8396,,                  3892,,                 -5286,                 -4465,                  5587,,                  5785,                   -198,                   -198,,,,,,,,,,,                -20258,                -20456,,                   -198,,                -20456,,                              0.00,                              0.00,,                              0.00,                              0.00,                -24407,,                 -4149
1474,2012年01月01日至2012年12月31日,,              3400280,,              3202348,                197932,                197932,,,                102527,,                148010,,                 10619,                261156,                -63224,,,                 50848,,                -37666,,                 15080,,                -14658,                -16556,                -79780,,                   -601,                -79179,                -79179,,,,,,,,,,,                -20747,                -99926,,                -79179,,                -99926,,                             -0.60,                             -0.60,,                             -0.60,                             -0.60,                -16751,                 -8246,                 -4250
1474,2012年01月01日至2012年09月30日,,              2494857,,              2340577,                154280,                154280,,,                 76147,,                 75627,,                  7993,                159767,                 -5487,,,                 40435,,                -23161,,                 10584,,                 -7674,                   -984,                 -6471,,                  4511,                -10982,                -10982,,,,,,,,,,,                -14162,                -25144,,                -10982,,                -25144,,                             -0.08,                             -0.08,,                             -0.08,                             -0.08,                -17063,,                 -2901
1474,2012年01月01日至2012年06月30日,,              1643683,,              1524485,                119198,                119198,,,                 49231,,                 52055,,                  5239,                106525,                 12673,,,                 29837,,                -14523,,                  7746,,                 -5782,                  1786,                 14459,,                  6605,                  7854,                  7854,,,,,,,,,,,                 -8534,                   -680,,                  7854,,                   -680,,                              0.06,                              0.06,,                              0.06,                              0.06,                -10282,,                 -1748
1474,2012年01月01日至2012年03月31日,,                786161,,                727910,                 58251,                 58251,,,                 25620,,                 27821,,                  2189,                 55630,                  2621,,,                 16728,,                 -6127,,                  3854,,                   -496,                  6251,                  8872,,                    820,                  8052,                  8052,,,,,,,,,,,                -11724,                 -3672,,                  8052,,                 -3672,,                              0.06,                              0.06,,                              0.06,                              0.06,                -14125,,                 -2401
