證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 利息收入,　　　　 利息收入合計,　　　 租金收入,　　　 其他收入－其他,　　　 其他收入合計,　　 其他利益及損失,　　　 外幣兌換利益,　　　 什項支出,　　　 其他利益及損失淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　　 外幣兌換損失,　　　 處分投資利益,　　　 減損損失,　　　　 減損損失合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計
5471,2015年第3季,,                837948,,                465280,                372668,                372668,,,                 20119,,                 29538,,                242580,                292237,                 80431,,,,                  4381,                  2626,                  2145,                  9152,,                 40529,                    510,                 40019,,                     26,                 49197,                129628,,                 17875,                111753,                111753,,,                  8596,                 -1617,                  6979,                  6979,                118732,,                111753,,                118732,,                              0.67,,                              0.66,,,,,,,,,
5471,2015年第2季,,                949044,,                547743,                401301,                401301,,,                 19410,,                 31273,,                201000,                251683,                149618,,,,                  5961,                  2732,                  2119,                 10812,,                              0,                  1320,                 -8259,,                    205,                  2758,                152376,,                 19119,                133257,                133257,,,                 -3272,                   -619,                 -3891,                 -3891,                129366,,                133257,,                129366,,                              0.79,,                              0.77,                  6939,,,,,,,,
5471,2015年01月01日至2015年09月30日,,              2494974,,              1416442,              1078532,              1078532,,,                 56200,,                 88638,,                621940,                766778,                311754,,,,                 15303,                  7956,                  5685,                 28944,,                 26788,                  2075,                 24713,,                 -1108,                 52549,                364303,,                 47852,                316451,                316451,,,                  1657,                 -4084,                 -2427,                 -2427,                314024,,                316451,,                314024,,                              1.89,,                              1.84,,,,,,,,,
5471,2015年01月01日至2015年06月30日,,              1657026,,                951162,                705864,                705864,,,                 36081,,                 59100,,                379360,                474541,                231323,,,,                 10922,                  5330,                  3540,                 19792,,                              0,                  1565,                -15306,,                 -1134,                  3352,                234675,,                 29977,                204698,                204698,,,                 -6939,                 -2467,                 -9406,                 -9406,                195292,,                204698,,                195292,,                              1.22,,                              1.19,                 13741,,,,,,,,
5471,2015年01月01日至2015年03月31日,,                707982,,                403419,                304563,                304563,,,                 16671,,                 27827,,                178360,                222858,                 81705,,,,                  4961,                  2598,                  1421,                  8980,,                              0,                    245,                 -7047,,                 -1339,                    594,                 82299,,                 10858,                 71441,                 71441,,,                 -3667,                 -1848,                 -5515,                 -5515,                 65926,,                 71441,,                 65926,,                              0.43,,                              0.42,                  6802,,,,,,,,
5471,2014年第3季,,                905388,,                520715,                384673,                384673,,,                 18633,,                 30418,,                202749,                251800,                132873,,,,                  4945,                  2562,                  3151,                 10658,,                 10731,                    363,                 10368,,                   -382,                 20644,                153517,,                 22088,                131429,                131429,,,                  3361,                 -1306,                  2055,                  2055,                133484,,                131429,,                133484,,                              0.78,,                              0.77,,,,,,,,,
5471,2014年第2季,,              1021915,,                575114,                446801,                446801,,,                 17822,,                 30288,,                199864,                247974,                198827,,,,                  5491,                  2573,                  2180,                 10244,,                              0,                    605,                -11261,,                 -1030,                 -2047,                196780,,                 26082,                170698,                170698,,,                 -5292,                    457,                 -4835,                 -4835,                165863,,                170698,,                165863,,                              1.02,,                              1.00,                 10656,,,,,,,,
5471,2014年度,,              3553363,,              2036882,              1516481,              1516481,,,                 70394,,                118442,,                764096,                952932,                563549,,,,                 22644,                 10393,                  8588,                 41625,,                 33073,                  1839,                  5469,,                 -4458,                 42636,                606185,,                 81702,                524483,                524483,,,,,,                 16803,                541286,,                524483,,                541286,,                              3.12,,                              3.05,,                  1333,,                 27098,                 12556,                  2270,                  1275,,                    702
5471,2014年01月01日至2014年09月30日,,              2716789,,              1551729,              1165060,              1165060,,,                 52533,,                 87784,,                578033,                718350,                446710,,,,                 15678,                  7720,                  7554,                 30952,,                 10913,                  1430,                  9483,,                 -3018,                 37417,                484127,,                 65172,                418955,                418955,,,                  2731,                  3012,                  5743,                  5743,                424698,,                418955,,                424698,,                              2.50,,                              2.44,,,,,,,,,
5471,2014年01月01日至2014年06月30日,,              1811401,,              1031014,                780387,                780387,,,                 33900,,                 57366,,                375284,                466550,                313837,,,,                 10733,                  5158,                  4403,                 20294,,                    182,                  1067,                   -885,,                 -2636,                 16773,                330610,,                 43084,                287526,                287526,,,                   -630,                  4318,                  3688,                  3688,                291214,,                287526,,                291214,,                              1.71,,                              1.68,                              0,,,,,,,,
