證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入,　　　　 銷貨收入,　　　　 銷貨收入合計,　　　 銷貨退回,　　　 銷貨折讓,　　　 銷貨收入淨額,　　 營業收入合計,　 營業成本,　　 銷貨成本,　　　 銷貨成本,　　　 銷貨成本合計,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資利益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計
1457,2014年01月01日至2014年03月31日,,,,              1126747,              1126747,                  2892,                  7776,              1116079,              1116079,,,              1062709,              1062709,              1062709,                 53370,                 53370,,,                 22652,,                 23751,                 46403,                  6967,,,                  2000,,                 33629,,                 20406,,                              0,                              0,                 15223,                 22190,,                   -465,                 22655,                 22655,,,                 -3756,                  2828,                   -928,                   -928,                 21727,,                 13508,                  9147,,                 12628,                  9099,,                              0.05,,,,,,,,
1457,2013年第3季,,,,              1048027,              1048027,                  1491,                  3116,              1043420,              1043420,,,              1019671,              1019671,              1019671,                 23749,                 23749,,,                 23515,,                 17605,                 41120,                -17371,,,                  4511,,                118060,,                 19506,,                              0,                              0,                103065,                 85694,,                  9643,                 76051,                 76051,,,,,,                    866,                 76917,,                 75688,                    363,,                 76731,                    186,,                              0.28,,                              0.28,                 -4627,                  5493,,,,
1457,2013年第2季,,,,              1287085,              1287085,                  1392,                  6986,              1278707,              1278707,,,              1214021,              1214021,              1214021,                 64686,                 64686,,,                 22459,,                 22909,                 45368,                 19318,,,                  4486,,                  5843,,                 26109,,,,                -15780,                  3538,,                  1136,                  2402,                  2402,,,,,,                 16025,                 18427,,                  1705,                    697,,                 16629,                  1798,,                              0.01,,,                  7332,                  8693,,,,
1457,2013年度,,,,,              4536104,                  5206,                 19563,              4511335,              4511335,,,,              4319675,              4319675,                191660,                191660,,,                 86594,,                 84338,                170932,                 20728,,,                 17553,,                247293,,                 87745,,,                    -53,                177048,                197776,,                 14985,                182791,                182791,,,,,,                 33681,                216472,,                181586,                  1205,,                212523,                  3949,,                              0.69,,                              0.69,                 24936,                 12932,                 -4187,                              0,,
1457,2013年07月01日至2013年09月30日,,,,              1032046,              1032046,                  1491,                  3116,              1027439,              1027439,,,              1015019,              1015019,              1015019,                 12420,                 12420,,,                 23515,,                 17605,                 41120,                -28700,,,                 19343,,                114557,,                 19506,,,,                114394,                 85694,,                  9643,                 76051,                 76051,,,,,,                    866,                 76917,,                 75688,                    363,,                 76731,                    186,,                              0.29,,                              0.29,                 -4627,                  5493,,,,
1457,2013年04月01日至2013年06月30日,,,,              1259523,              1259523,                  1392,                  6986,              1251145,              1251145,,,              1209216,              1209216,              1209216,                 41929,                 41929,,,                 22459,,                 19931,                 42390,                   -461,,,                 28696,,                  1412,,                 26109,,,,                  3999,                  3538,,                  1136,                  2402,                  2402,,,,,,                 16025,                 18427,,                  1705,                    697,,                 16629,                  1798,,                              0.01,,,                  7332,                  8693,,,,
1457,2013年01月01日至2013年12月31日,,,,,              4441646,                  5206,                 19563,              4416877,              4416877,,,,              4301627,              4301627,                115250,                115250,,,                 86594,,                 84338,                170932,                -55682,,,                112011,,                229245,,                 87745,,,                    -53,                253458,                197776,,                 14985,                182791,                182791,,,,,,                 33681,                216472,,                181586,                  1205,,                212523,                  3949,,                              0.72,,                              0.72,                 24936,                 12932,                 -2490,,,                 -1697
1457,2013年01月01日至2013年09月30日,,,,              3329998,              3329998,                  4117,                 10851,              3315030,              3315030,,,              3161812,              3161812,              3161812,                153218,                153218,,,                 64511,,                 57321,                121832,                 31386,,,                 12654,,                115399,,                 67653,,                              0,                              0,                 60400,                 91786,,                 10779,                 81007,                 81007,,,,,,                 28276,                109283,,                 78641,                  2366,,                106058,                  3225,,                              0.29,,                              0.29,                 15620,                 12656,,,,
1457,2013年01月01日至2013年06月30日,,,,              2281971,              2281971,                  2626,                  7735,              2271610,              2271610,,,              2143969,              2143969,              2143969,                127641,                127641,,,                 40996,,                 37888,                 78884,                 48757,,,                  8143,,                 -2661,,                 48147,,,,                -42665,                  6092,,                  1136,                  4956,                  4956,,,,,,                 27410,                 32366,,                  2953,                  2003,,                 29327,                  3039,,                              0.01,,,                 20247,                  7163,,,,
1457,2013年01月01日至2013年03月31日,,,,                994886,                994886,                  1234,                    749,                992903,                992903,,,                929948,                929948,                929948,                 62955,                 62955,,,                 18537,,                 14979,                 33516,                 29439,,,                  3657,,                 -8504,,                 22038,,,,                -26885,                  2554,,                              0,                  2554,                  2554,,,,,,                 11385,                 13939,,                  1248,                  1306,,                 12698,                  1241,,                              0.00,,,                 12915,                 -1530,,,,
1457,2012年07月01日至2012年09月30日,,,,              1166206,              1166206,                  1886,                  9103,              1155217,              1155217,,,              1154499,              1154499,              1154499,                    718,                    718,,,                 23905,,                 21199,                 45104,                -44386,,,                 18553,,                 33746,,                 22537,,,,                 29762,                -14624,,                              0,                -14624,                -14624,,,,,,                -11605,                -26229,,                -24226,                  9602,,                -22563,                 -3666,,                             -0.09,,                             -0.09,                 -3516,                 -8089,,,,
1457,2012年04月01日至2012年06月30日,,,,              1197461,              1197461,                  1595,                 11806,              1184060,              1184060,,,              1127830,              1127830,              1127830,                 56230,                 56230,,,                 23475,,                 12187,                 35662,                 20568,,,                 10122,,                 64709,,                 22405,,,,                 52426,                 72994,,                              0,                 72994,                 72994,,,,,,                -24631,                 48363,,                 34243,                 38751,,                 30473,                 17890,,                              0.13,,,                   -785,                -23846,,,,
1457,2012年01月01日至2012年12月31日,,,,,              4772062,                  9153,                 28166,              4734743,              4734743,,,,              4652448,              4652448,                 82295,                 82295,,,                 90622,,                 82511,                173133,                -90838,,,                111075,,                150247,,                 87358,,,                              0,                173964,                 83126,,                  8058,                 75068,                 75068,,,,,,                -23332,                 51736,,                  4630,                 70438,,                  1681,                 50055,,                              0.02,,                              0.02,                -12879,                 -6784,                 -3669,,,                              0
1457,2012年01月01日至2012年09月30日,,,,              3705417,              3705417,                  7078,                 27404,              3670935,              3670935,,,              3594442,              3594442,              3594442,                 76493,                 76493,,,                 70219,,                 63944,                134163,                -57670,,,                 54542,,                164890,,                 65310,,,,                154122,                 96452,,                              0,                 96452,                 96452,,,,,,                -27133,                 69319,,                 14546,                 81906,,                 12111,                 57208,,                              0.06,,                              0.06,                -15717,                -11416,,,,
1457,2012年01月01日至2012年06月30日,,,,              2539211,              2539211,                  5192,                 18301,              2515718,              2515718,,,              2439943,              2439943,              2439943,                 75775,                 75775,,,                 46314,,                 42745,                 89059,                -13284,,,                 35989,,                131144,,                 42773,,,,                124360,                111076,,                              0,                111076,                111076,,,,,,                -15528,                 95548,,                 38772,                 72304,,                 34674,                 60874,,                              0.15,,,                -12201,                 -3327,,,,
1457,2012年01月01日至2012年03月31日,,,,              1341750,              1341750,                  3597,                  6495,              1331658,              1331658,,,              1312113,              1312113,              1312113,                 19545,                 19545,,,                 22839,,                 30558,                 53397,                -33852,,,                 25867,,                 66435,,                 20368,,,,                 71934,                 38082,,                              0,                 38082,                 38082,,,,,,                  9103,                 47185,,                  4529,                 33553,,                  4201,                 42984,,                              0.02,,,                -11416,                 20519,,,,
