證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入淨額,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 其他綜合損益(淨額),　　 國外營運機構財務報表換算之兌換差額,　　 與其他綜合損益組成部分相關之所得稅,　　 其他綜合損益（淨額）,　　 非控制權益（淨利／損）,　　 非控制權益（綜合損益）,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　　 銷貨收入,　　　　 銷貨收入,　　　　 銷貨收入合計,　　　 銷貨退回,　　　 銷貨折讓,　　 銷貨成本,　　　 銷貨成本,　　　 銷貨成本合計,　　　 薪資支出,　　　 租金支出,　　　 文具用品,　　　 旅費,　　　 運費,　　　 郵電費,　　　 修繕費,　　　 廣告費,　　　 水電瓦斯費,　　　 保險費,　　　 交際費,　　　 稅捐,　　　 折舊,　　　 各項攤提,　　　 伙食費,　　　 職工福利,　　　 訓練費,　　　 其他費用,　　 研究發展費用,　　　 其他費用[duplicate]39,　　　 研究發展費用合計,　　　 利息收入,　　　　 銀行存款利息,　　　　 其他利息收入,　　　　 利息收入合計,　　　 壞帳轉回利益,　　　 其他收入－其他,　　　 處分投資性不動產利益,　　　 外幣兌換利益,　　　 什項支出,　　　 外幣兌換損失,　　　 減損損失,　　　　 金融資產減損損失,　　　　 無形資產減損損失,　　　　 減損損失合計,　　　 利息費用,　　 備供出售金融資產未實現評價損益,　　 繼續營業單位淨利（淨損）,　　　 呆帳損失,　　　 其他費用[duplicate]40,　　 當期所得稅費用（利益）,　　　 其他費用[duplicate]38,　　 遞延所得稅費用（利益）
2358,2015年01月01日至2015年03月31日,,,                357531,                357531,,                365310,                 -7779,                 -7779,,,                 17205,,                  7048,                 24253,                -32032,,,                    793,,                  2705,,                  1099,                  2399,                -29633,,                  6361,                -35994,                -35994,                -35994,,                -35994,,                -35994,,                             -0.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2358,2014年第3季,,,                486975,                486975,,                467280,                 19695,                 19695,,,                 10445,,                  6066,                 16511,                  3184,,,                    425,,                   -696,,                    867,                 -1138,                  2046,,                    348,                  1698,                  1698,                  1698,,                  1698,,                  1698,,                              0.02,,                              0,                              0,                              0,                              0,                              0,,                              0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2358,2014年第2季,,,                544643,                544643,,                523622,                 21021,                 21021,,,                  8892,,                  9097,                 17989,                  3032,,,                    648,,                  1721,,                    398,                  1971,                  5003,,                    850,                  4153,                  4153,                  4153,,                  4153,,                  4153,,                              0.05,,                              0,                              0,                              0,                              0,                              0,,                              0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2358,2014年度,,,              1826292,              1826292,,              1790344,                 35948,                 35948,,,                 36662,,                 33244,                 69906,                -33958,,,                  2066,,                 -7496,,                  2919,                 -8349,                -42307,,                 -5989,                -36318,                -36318,                -36318,,                -36318,,                -36318,,                             -0.43,,                              0,                              0,                              0,                              0,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2358,2014年01月01日至2014年09月30日,,,              1353672,              1353672,,              1312723,                 40949,                 40949,,,                 27186,,                 25667,                 52853,                -11904,,,                  1608,,                     55,,                  1725,                    -62,                -11966,,                   -842,                -11124,                -11124,                -11124,,                -11124,,                -11124,,                             -0.13,,                              0,                              0,                              0,                              0,                              0,,                             -0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2358,2014年01月01日至2014年06月30日,,,                866697,                866697,,                845443,                 21254,                 21254,,,                 16741,,                 19601,                 36342,                -15088,,,                  1183,,                    751,,                    858,                  1076,                -14012,,                 -1190,                -12822,                -12822,                -12822,,                -12822,,                -12822,,                             -0.15,,                              0,                              0,                              0,                              0,                              0,,                             -0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2358,2014年01月01日至2014年03月31日,,,                322054,                322054,,                321821,                    233,                    233,,,                  7849,,                 10504,                 18353,                -18120,,,                    535,,                   -970,,                    460,                   -895,                -19015,,                 -2040,                -16975,                -16975,                -16975,,                -16975,,                -16975,,                             -0.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2358,2013年第3季,,,                390842,                390842,,                392460,                 -1618,                 -1618,,,                 18958,,                              0,                 18958,                -20576,,,                    573,,                 13347,,                    430,                 13490,                 -7086,,                 20382,                -27468,                -27468,                -27461,,                -27468,,                -27461,,                             -0.32,,                      8,                      1,                      7,                              0,                              0,,                             -0.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2358,2013年第2季,,,                422661,                422661,,                439470,                -16809,                -16809,,,                              0,,                 19366,                 19366,                -36175,,,                    246,,                    454,,                    597,                    103,                -36072,,                              0,                -36072,                -36072,                -36075,,                -36072,,                -36075,,                             -0.42,,                     -3,                              0,                     -3,                              0,                              0,,                             -0.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2358,2013年度,,,              1563065,              1563065,,              1583037,                -19972,                -19972,,,                              0,,                 75221,                 75221,                -95193,,,                  1476,,                -14930,,                  1692,                -15146,               -110339,,                 20192,               -130531,               -130531,               -130546,,               -130531,,               -130546,,                             -1.54,,                    -18,                     -3,                    -15,                              0,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2358,2013年07月01日至2013年09月30日,,,                390842,                390842,,                392460,                 -1618,                 -1618,,,,,                 18958,                 18958,                -20576,,,                    573,,                 13347,,                    430,                 13490,                 -7086,,                 20382,                -27468,                -27468,                -27461,,                -27468,,                -27461,,                             -0.32,,                      8,                      1,                      7,,,,,,                391235,                391235,                    199,                    194,,                392460,                392460,                  5975,                    650,                     75,                    248,                  4666,                    103,                     78,                      8,                    281,                    550,                    147,                     67,                    333,                  2328,                    133,                     57,                              0,                  3259,,,                              0,,                     15,                    236,                    251,,                    322,                 17220,,,                  3873,,,,,                    430,                              0,                             -0.32,                              0,                              0,                 20382,,
2358,2013年04月01日至2013年06月30日,,,                422661,                422661,,                439470,                -16809,                -16809,,,,,                 19366,                 19366,                -36175,,,                    246,,                    454,,                    597,                    103,                -36072,,                              0,                -36072,                -36072,                -36075,,                -36072,,                -36075,,                             -0.42,,                     -3,                              0,                     -3,,,,,,                422661,                422661,,,,                439470,                439470,                  6141,                    629,                     23,                    245,                  3937,                    104,                    117,                      4,                    196,                    577,                    156,                    138,                  1117,                  2327,                    135,                     61,                              0,                  3459,,,                              0,,                     11,                    235,                    246,,                              0,,                    454,,                              0,,,,,                    597,                              0,                             -0.42,                              0,,,                              0,
2358,2013年01月01日至2013年12月31日,,,              1563065,              1563065,,              1583037,                -19972,                -19972,,,,,                 75221,                 75221,                -95193,,,                  1476,,                -14930,,                  1692,                -15146,               -110339,,                 20192,               -130531,               -130531,               -130546,,               -130531,,               -130546,,                             -1.54,,                    -18,                     -3,                    -15,,,,,,              1576288,              1576288,                 11329,                  1894,,              1583037,              1583037,                 25740,                  2633,                    169,                    997,                 15975,                    412,                    246,                     28,                    791,                  2206,                    572,                    263,                  2550,                  8519,                    530,                    254,                     32,                 13304,,                              0,                              0,,                     58,                    939,                    997,                              0,                    479,                 17220,                              0,                  1293,                  2357,,                              0,                 28500,                 28500,                  1692,                              0,                             -1.54,,,,,
2358,2013年01月01日至2013年09月30日,,,              1167538,              1167538,,              1170145,                 -2607,                 -2607,,,                 55071,,                              0,                 55071,                -57678,,,                  1068,,                 13346,,                  1316,                 13098,                -44580,,                 20382,                -64962,                -64962,                -64968,,                -64962,,                -64968,,                             -0.76,,                     -7,                     -1,                     -6,                              0,                              0,,                             -0.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2358,2013年01月01日至2013年06月30日,,,                776696,                776696,,                777685,                   -989,                   -989,,,                 36113,,                              0,                 36113,                -37102,,,                    495,,                     -1,,                    886,                   -392,                -37494,,                              0,                -37494,                -37494,                -37507,,                -37494,,                -37507,,                             -0.44,,                    -15,                     -2,                    -13,                              0,                              0,,                             -0.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2358,2013年01月01日至2013年03月31日,,,                354035,                354035,,                338215,                 15820,                 15820,,,                              0,,                 16747,                 16747,                   -927,,,                    249,,                   -455,,                    289,                   -495,                 -1422,,                              0,                 -1422,                 -1422,                 -1432,,                 -1422,,                 -1432,,                             -0.02,,                    -12,                     -2,                    -10,                              0,                              0,,                             -0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2358,2012年07月01日至2012年09月30日,,,                198404,                198404,,                188369,                 10035,                 10035,,,,,                 12088,                 12088,                 -2053,,,                    200,,                   -983,,                     93,                   -876,                 -2929,,                              0,                 -2929,                 -2929,                 -2924,,                 -2929,,                 -2924,,                             -0.04,,                      8,                      1,                      5,,,,,,                198975,                198975,                    571,                              0,,                188369,                188369,                  4522,                    321,                     57,                     70,                      6,                     60,                     20,                              0,                    117,                    604,                     29,                     62,                  4740,                              0,                     63,                    100,                              0,                  1317,,,                              0,,                     51,                    149,                    200,,                              0,                              0,,,                    983,,,,,                     93,                     -2,                             -0.04,                              0,                              0,                              0,,
2358,2012年04月01日至2012年06月30日,,,                150145,                150145,,                144400,                  5745,                  5745,,,,,                 13992,                 13992,                 -8247,,,                    420,,                  3373,,                     26,                  3767,                 -4480,,                              0,                 -4480,                 -4480,                 -4483,,                 -4480,,                 -4483,,                             -0.07,,                     -5,                     -1,                     -3,,,,,,                150145,                150145,,,,                144400,                144400,                  5582,                    204,                     36,                     66,                     36,                     86,                    446,                              0,                    115,                    608,                    155,                    123,                  4666,                              0,                     61,                     75,                              0,                  1696,,,                              0,,                     15,                    149,                    164,,                    256,,                  3373,,                              0,,,,,                     26,                      1,                             -0.07,                     37,,,                              0,
2358,2012年01月01日至2012年12月31日,,,                861983,                861983,,                825138,                 36845,                 36845,,,,,                 61800,                 62850,                -26005,,,                  4002,,                   -357,,                    241,                  3404,                -22601,,                              0,                -22601,                -22601,                -22030,,                -22601,,                -22030,,                             -0.32,,                     18,                      3,                    571,,,,,,                863688,                863688,                  1658,                     47,,                825138,                825138,                 20865,                  1103,                    140,                    486,                  3919,                    332,                    525,                    733,                    575,                  1539,                    440,                    352,                 17656,                  3116,                    315,                    255,                     18,                  9431,,                  1050,                  1050,,                    120,                    596,                    716,                  3030,                    256,                              0,                    320,                     30,                              0,,                    647,                              0,                    647,                    241,                    556,                             -0.32,,,,,
2358,2012年01月01日至2012年09月30日,,,                392176,                392176,,                375706,                 16470,                 16470,,,,,                 37609,                 38659,                -22189,,,                    780,,                 -1939,,                    119,                 -1278,                -23467,,                              0,                -23467,                -23467,                -23458,,                -23467,,                -23458,,                             -0.35,,                     14,                      2,                      9,,,,,,                393044,                393044,                    868,                              0,,                375706,                375706,                 14340,                    604,                    100,                    174,                     43,                    213,                    482,                              0,                    336,                  1829,                    329,                    242,                 14128,                              0,                    189,                    197,                     10,                  4356,,,                  1050,,                     77,                    447,                    524,,                    256,                              0,,,                  1939,,,,,                    119,                     -3,                             -0.35,                     37,                  1050,                              0,,
2358,2012年01月01日至2012年06月30日,,,                193772,                193772,,                187337,                  6435,                  6435,,,,,                 25521,                 26571,                -20136,,,                    580,,                   -956,,                     26,                   -402,                -20538,,                              0,                -20538,                -20538,                -20534,,                -20538,,                -20534,,                             -0.32,,                      6,                      1,                      4,,,,,,                193772,                193772,,,,                187337,                187337,                  9818,                    283,                     43,                    104,                     37,                    153,                    462,                              0,                    219,                  1225,                    300,                    180,                  9388,                              0,                    126,                     97,                     10,                  3039,,,                  1050,,                     26,                    298,                    324,,                    256,,                              0,,                    956,,,,,                     26,                     -1,                             -0.32,                     37,,,                  1050,
2358,2012年01月01日至2012年03月31日,,,                 43627,                 43627,,                 42937,                    690,                    690,,,,,                 11529,                 12579,                -11889,,,                    160,,                 -4329,,                              0,                 -4169,                -16058,,                              0,                -16058,                -16058,                -16051,,                -16058,,                -16051,,                             -0.25,,                     11,                      2,                      7,,,,,,                 43627,                 43627,                              0,                              0,,                 42937,                 42937,                  4236,                     79,                      7,                     38,                      1,                     67,                     16,                              0,                    104,                    617,                    145,                     57,                  4722,                              0,                     65,                     22,                     10,                  1343,,                  1050,                  1050,,                     11,                    149,                    160,,,,,,                  4329,,,,,                              0,                     -2,                             -0.25,,,,,                              0
