證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入,　　　　 銷貨收入合計,　　　 銷貨退回,　　　 銷貨折讓,　　　 銷貨收入淨額,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 利息收入,　　　　 利息收入合計,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅
2059,2015年第3季,,,,              1163733,                    499,                 13329,              1149905,              1149905,,                483487,                666418,                666418,,,                 49841,,                 46432,,                 41544,                137817,                528601,,,,                  6704,                  6704,,                354950,,                              0,                361654,                890255,,                128982,                761273,                761273,,,                  4940,                    760,                  4180,                  4180,                765453,,                761273,,                765453,,                              7.99,                              7.99,,                              7.98,                              7.98,,,
2059,2015年第2季,,,,              1134955,                    720,                 15716,              1118519,              1118519,,                484895,                633624,                633624,,,                 58063,,                 41399,,                 35451,                134913,                498711,,,,                  6741,                  6741,,                -28316,,                              0,                -21575,                477136,,                175772,                301364,                301364,,,                   -859,                   -146,                   -713,                   -713,                300651,,                301364,,                300651,,                              3.16,                              3.16,,                              3.16,                              3.16,,,
2059,2015年01月01日至2015年09月30日,,,,              3412856,                  1655,                 40775,              3370426,              3370426,,              1438205,              1932221,              1932221,,,                169409,,                129907,,                111146,                410462,              1521759,,,,                 20427,                 20427,,                300510,,                     65,                320872,              1842631,,                384400,              1458231,              1458231,,,                  2278,                    307,                  1971,                  1971,              1460202,,              1458231,,              1460202,,                             15.30,                             15.30,,                             15.26,                             15.26,,,
2059,2015年01月01日至2015年06月30日,,,,              2249123,                  1156,                 27446,              2220521,              2220521,,                954718,              1265803,              1265803,,,                119568,,                 83475,,                 69602,                272645,                993158,,,,                 13723,                 13723,,                -54440,,                     65,                -40782,                952376,,                255418,                696958,                696958,,,                 -2662,                   -453,                 -2209,                 -2209,                694749,,                696958,,                694749,,                              7.31,                              7.31,,                              7.30,                              7.30,,,
2059,2015年01月01日至2015年03月31日,,,,              1114168,                    436,                 11730,              1102002,              1102002,,                469823,                632179,                632179,,,                 61505,,                 42076,,                 34151,                137732,                494447,,,,                  6982,                  6982,,                -26124,,                     65,                -19207,                475240,,                 79646,                395594,                395594,,,                 -1803,                   -307,                 -1496,                 -1496,                394098,,                395594,,                394098,,                              4.15,                              4.15,,                              4.14,                              4.14,,,
2059,2014年第3季,,,,              1012440,                  1005,                 11510,                999925,                999925,,                463551,                536374,                536374,,,                 53077,,                 50883,,                 34845,                138805,                397569,,,,                  6975,                  6975,,                106808,,                  1489,                112294,                509863,,                 72281,                437582,                437582,,,                  2928,                    499,                  2429,                  2429,                440011,,                437582,,                440011,,                              4.59,                              4.59,,                              4.59,                              4.59,,,
2059,2014年第2季,,,,              1079962,                    682,                 13306,              1065974,              1065974,,                481619,                584355,                584355,,,                 56982,,                 38849,,                 37097,                132928,                451427,,,,                  6915,                  6915,,                -78967,,                  1598,                -73650,                377777,,                109682,                268095,                268095,,,                 -3263,                   -555,                 -2708,                 -2708,                265387,,                268095,,                265387,,                              2.81,                              2.81,,                              2.81,                              2.81,,,
2059,2014年度,,,,              4335495,                  2984,                 50310,              4282201,              4282201,,              1933034,              2349167,              2349167,,,                230047,,                176164,,                144209,                550420,              1798747,,,,                 29170,                 29170,,                339140,,                  6233,                362077,              2160824,,                352028,              1808796,              1808796,,,,,,                  6413,              1815209,,              1808796,,              1815209,,                             18.98,                             18.98,,                             18.93,                             18.93,                  9093,                 -1508,                  1172
2059,2014年01月01日至2014年09月30日,,,,              3114084,                  2512,                 35189,              3076383,              3076383,,              1403621,              1672762,              1672762,,,                170068,,                131356,,                106665,                408089,              1264673,,,,                 20446,                 20446,,                147121,,                  4746,                162821,              1427494,,                253500,              1173994,              1173994,,,                  2029,                    346,                  1683,                  1683,              1175677,,              1173994,,              1175677,,                             12.32,                             12.32,,                             12.29,                             12.29,,,
2059,2014年01月01日至2014年06月30日,,,,              2101644,                  1507,                 23679,              2076458,              2076458,,                940070,              1136388,              1136388,,,                116991,,                 80473,,                 71820,                269284,                867104,,,,                 13471,                 13471,,                 40313,,                  3257,                 50527,                917631,,                181219,                736412,                736412,,,                   -899,                   -153,                   -746,                   -746,                735666,,                736412,,                735666,,                              7.73,                              7.73,,                              7.72,                              7.72,,,
