證券代號,年季,　 收入,　　 利息收入,　　 手續費收入,　　 採用權益法認列之關聯企業及合資利益之份額,　　 透過損益按公允價值衡量之金融資產及負債利益,　　 備供出售金融資產已實現利益,　　 銷貨收入淨額,　　　 銷貨收入淨額,　　 租賃收入,　　 處分投資利益,　　 處分不動產、廠房及設備利益,　　 投資性不動產利益,　　 兌換利益,　　 其他收入,　　 收入合計,　 支出,　　 利息費用,　　 採用權益法認列之關聯企業及合資損失之份額,　　 透過損益按公允價值衡量之金融資產及負債損失,　　 銷貨成本,　　 租賃成本,　　 營業費用,　　　 推銷費用,　　　 管理及總務費用,　　　 研究發展費用,　　　 營業費用合計,　　 處分投資損失,　　 處分不動產、廠房及設備損失,　　 投資性不動產費用及損失,　　 其他支出,　　 支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益,　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價利益（損失）,　　　 採用權益法認列之關聯企業及合資其他綜合損益之份額－可能重分類至損益之項目,　　　 後續可能重分類至損益之項目,　　 其他綜合損益淨額,　 本期綜合損益總額,　 淨利（淨損）歸屬,　　 母公司業主,　　 非控制股權,　 綜合損益總額歸屬,　　 母公司業主[duplicate]48,　　 非控制股權[duplicate]49,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　 兌換損失,　　 母公司業主[duplicate]47,　　 非控制股權[duplicate]48,　　 母公司業主[duplicate]45,　　 非控制股權[duplicate]46,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價利益（損失）,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資其他綜合損益之份額,　　 與其他綜合損益組成部分相關之所得稅,　　 母公司業主[duplicate]46,　　 非控制股權[duplicate]47,　　 減損損失,　　 減損迴轉利益,　　 母公司業主[duplicate]42,　　 非控制股權[duplicate]43,　　 母公司業主[duplicate]43,　　 非控制股權[duplicate]44,　　 出售承受擔保品損失
1409,2015年第3季,,                369017,                143944,                              0,                              0,                  2238,,              8493052,                  7358,                     11,                              0,                              0,                208766,                218990,              9443376,,                196537,                 10646,                 10141,              7830590,                  1455,,                223948,                357367,                 46727,                628042,                              0,                    131,                              0,                 77012,              8754554,                688822,                 68278,                620544,                620544,,,                136610,               -525275,               -114407,               -503072,               -503072,                117472,,                511004,                109540,,                 34587,                 82885,,                              0.31,,                              0.31,,,,,,,,,,,,,,,,,,,
1409,2015年第2季,,                394813,                144244,,                              0,                  2316,,              8923527,                 10413,                  2472,                    496,                              0,                              0,                 42814,              9521095,,                194674,                 10326,                 19238,              8336352,                  1197,,                220254,                455406,                 57459,                733119,,                              0,                              0,                 17353,              9320277,                200818,                 75480,                125338,                125338,,,               -124677,                -55950,                -43055,               -223682,               -223682,                -98344,,                 95426,                 29912,,,,,                              0.06,,                              0.06,                  8018,               -115460,                 17116,,,,,,,,,,,,,,,,
1409,2015年01月01日至2015年09月30日,,              1138162,                397390,                              0,                 15623,                  5645,,             25930363,                 26499,                  5762,                    204,                              0,                133790,                316033,             27969471,,                585261,                 30813,                              0,             23911168,                  2814,,                677072,              1289656,                135163,              2101891,                              0,                              0,                              0,                168000,             26799947,              1169524,                199450,                970074,                970074,,,                -44754,               -553110,               -133705,               -731569,               -731569,                238505,,                792668,                177406,,                116983,                121522,,                              0.48,,                              0.48,,,,,,,,,,,,,,,,,,,
1409,2015年01月01日至2015年06月30日,,                769145,                253446,,                 25764,                  3407,,             17437311,                 19141,                  5751,                    335,                              0,                              0,                 97043,             18611343,,                388724,                 20167,                              0,             16080578,                  1359,,                453124,                932289,                 88436,              1473849,,                              0,                              0,                 90988,             18130641,                480702,                131172,                349530,                349530,,,               -181364,                -27835,                -19298,               -228497,               -228497,                121033,,                281664,                 67866,,,,,                              0.17,,                              0.17,                 74976,                 82396,                 38637,,,,,,,,,,,,,,,,
1409,2015年01月01日至2015年03月31日,,                374332,                109202,,                 45002,                  1091,,              8513784,                  8728,                  3279,,                              0,                              0,                 54229,              9109647,,                194050,                  9841,,              7744226,                    162,,                232870,                476883,                 30977,                740730,,                    161,                              0,                 73635,              8829763,                279884,                 55692,                224192,                224192,,,                -56687,                 28115,                 23757,                 -4815,                 -4815,                219377,,                186238,                 37954,,,,,                              0.11,,                              0.11,                 66958,,,                197856,                 21521,,,,,,,,,,,,,,
1409,2014年第3季,,                371282,                142427,                 24455,                              0,                 51453,,              9880510,                  6528,                              0,                    343,                              0,                 38864,                233131,             10748993,,                191709,                              0,                 36962,              9173971,                    139,,                190140,                514004,                 75994,                780138,                    573,                              0,                              0,                 68026,             10251518,                497475,                 58557,                438918,                438918,,,                 70377,                -31114,                  6368,                 45631,                 45631,                484549,,                329389,                109529,,                414330,                 70219,,                              0.20,,                              0.20,,,,,,,,,,,,,,,,,,,
1409,2014年第2季,,                357711,                138721,,                 20077,                 17184,,             10141088,                  6575,                  1449,                              0,                              0,                              0,                 73342,             10756147,,                189321,                 11841,                              0,              9141822,                    937,,                171616,                504120,                 72735,                748471,,                  5929,                              0,                 68854,             10211719,                544428,                125803,                418625,                418625,,,               -105095,                 99685,                144096,                138686,                138686,                557311,,                317741,                100884,,,,,                              0.19,,                              0.19,                 44544,                464665,                 92646,,,,,,,,,,,,,,,,
1409,2014年度,,              1441133,                523685,                    827,,                 83054,,             39576314,                 49325,                  3170,                              0,              2196539,                120751,                355520,             44350318,,                751669,                              0,                 23010,             36333887,                  3369,,                923713,              1943549,                282934,              3150196,,                 44904,              1808581,                198687,             42314303,              2036015,                313027,              1722988,              1722988,,,,,,,               -153274,              1569714,,              1365358,                357630,,,,,                              0.81,,                              0.81,,,,,,                222912,               -291060,                -75717,                -15826,                 -6417,              1269587,                300127,,,,,,,
1409,2014年01月01日至2014年09月30日,,              1068001,                400649,                  8003,                              0,                 68637,,             28935844,                 25284,                  3030,                              0,              2196539,                 39342,                339152,             33084481,,                562814,                              0,                  3911,             26483103,                  2596,,                579314,              1468441,                193544,              2241299,                              0,                  6024,              1808581,                142030,             31250358,              1834123,                280839,              1553284,              1553284,,,                 51641,                -98537,                 66697,                 19801,                 19801,              1573085,,              1244118,                309166,,              1310474,                262611,,                              0.74,,                              0.74,,,,,,,,,,,,,,,,,,,
1409,2014年01月01日至2014年06月30日,,                696719,                258222,,                 33051,                 17184,,             19055334,                 18756,                  3603,                              0,              2196539,                    478,                106021,             22385907,,                371105,                 16452,                              0,             17241769,                  2457,,                389174,                954437,                117550,              1461161,,                  6367,              1808581,                141367,             21049259,              1336648,                222282,              1114366,              1114366,,,                -18736,                -67423,                 60329,                -25830,                -25830,              1088536,,                914729,                199637,,,,,                              0.54,,                              0.54,                              0,                896144,                192392,,,,,,,,,,,,,,,,
