證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入淨額,　　 營業收入合計,　 營業成本,　　 銷貨成本,　　　 銷貨成本合計,　　 營業成本合計,　 營業毛利（毛損）,　 已實現銷貨（損）益,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　 未實現銷貨（損）益,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　　 利息費用
2345,2015年第3季,,,              6542650,              6542650,,,              5224719,              5224719,              1317931,                              0,              1317931,,,                256233,,                231772,,                376726,                864731,                453200,,,                 12147,,                 59329,,                     62,,                              0,                 71414,                524614,,                144630,                379984,                379984,,,                148717,                  4474,                153191,                153191,                533175,,                380015,                    -31,,                532786,                    389,,                              0.71,                              0.71,,                              0.70,                              0.70,,,,,
2345,2015年第2季,,,              6130601,              6130601,,,              5082361,              5082361,              1048240,                              0,              1048240,,,                232161,,                211423,,                314946,                758530,                289710,,,                 21070,,                -42616,,                    366,,                              0,                -21912,                267798,,                 42479,                225319,                225319,,,                -46932,                 -2814,                -49746,                -49746,                175573,,                225359,                    -40,,                175732,                   -159,,                              0.42,                              0.42,,                              0.41,                              0.41,,,,,
2345,2015年01月01日至2015年09月30日,,,             17620410,             17620410,,,             14414260,             14414260,              3206150,                              0,              3206150,,,                691857,,                651272,,                975408,              2318537,                887613,,,                 47805,,                -23334,,                    826,,                              0,                 23645,                911258,,                196458,                714800,                714800,,,                 39630,                 21921,                 61551,                 61551,                776351,,                714949,                   -149,,                776256,                     95,,                              1.34,                              1.34,,                              1.30,                              1.30,,,,,
2345,2015年01月01日至2015年06月30日,,,             11077760,             11077760,,,              9189541,              9189541,              1888219,                              0,              1888219,,,                435624,,                419500,,                598682,              1453806,                434413,,,                 35951,,                -82663,,                  1057,,                              0,                -47769,                386644,,                 51828,                334816,                334816,,,               -109087,                  5560,               -103527,               -103527,                231289,,                334934,                   -118,,                231583,                   -294,,                              0.63,                              0.63,,                              0.61,                              0.61,,,,,
2345,2015年01月01日至2015年03月31日,,,              4947159,              4947159,,,              4107180,              4107180,                839979,,                839979,,,                203463,,                208077,,                283736,                695276,                144703,,,                 14881,,                -40047,,                    691,,                              0,                -25857,                118846,,                  9349,                109497,                109497,,,                -62155,                  8374,                -53781,                -53781,                 55716,,                109575,                    -78,,                 55851,                   -135,,                              0.21,                              0.21,,                              0.20,                              0.20,                              0,,,,
2345,2014年第3季,,,              5347132,              5347132,,,              4497513,              4497513,                849619,                   -191,                849428,,,                239327,,                214760,,                347486,                801573,                 47855,,,                 16342,,                  3611,,                    375,,                  1416,                 20994,                 68849,,                  4163,                 64686,                 64686,,,                 74541,                 -7777,                 66764,                 66764,                131450,,                 64567,                    119,,                131336,                    114,,                              0.12,                              0.12,,                              0.12,                              0.12,,,,,
2345,2014年第2季,,,              5953234,              5953234,,,              4973589,              4973589,                979645,                    114,                979759,,,                245763,,                228381,,                359138,                833282,                146477,,,                 23170,,                -21754,,                    734,,                  1700,                  2382,                148859,,                 -5086,                153945,                153945,,,                -80672,                  5833,                -74839,                -74839,                 79106,,                153883,                     62,,                 79063,                     43,,                              0.29,                              0.29,,                              0.29,                              0.29,,,,,
2345,2014年度,,,             22847900,             22847900,,,             19362476,             19362476,              3485424,                    283,              3485707,,,                967741,,                873132,,              1385983,              3226856,                258851,,,                452148,,                -10139,,                  2482,,                  5643,                445170,                704021,,                 60785,                643236,                643236,,,,,,                260377,                903613,,                643535,                   -299,,                903970,                   -357,,                              1.21,                              1.21,,                              1.18,                              1.18,,                241228,                  7553,                 11596,
2345,2014年01月01日至2014年09月30日,,,             16551863,             16551863,,,             13898819,             13898819,              2653044,                   -907,              2652137,,,                694082,,                658452,,              1057089,              2409623,                242514,,,                201649,,                -30688,,                  1748,,                  5298,                174511,                417025,,                  9391,                407634,                407634,,,                 53975,                 -1359,                 52616,                 52616,                460250,,                407645,                    -11,,                460244,                      6,,                              0.77,                              0.77,,                              0.75,                              0.75,,,,,
2345,2014年01月01日至2014年06月30日,,,             11204731,             11204731,,,              9401306,              9401306,              1803425,                   -716,              1802709,,,                454755,,                443692,,                709603,              1608050,                194659,,,                185307,,                -34299,,                  1373,,                  3882,                153517,                348176,,                  5228,                342948,                342948,,,                -20566,                  6418,                -14148,                -14148,                328800,,                343078,                   -130,,                328908,                   -108,,                              0.65,                              0.65,,                              0.64,                              0.64,,,,,
2345,2014年01月01日至2014年03月31日,,,              5251497,              5251497,,,              4427717,              4427717,                823780,,                822950,,,                208992,,                215311,,                350465,                774768,                 48182,,,                162137,,                -12545,,                    639,,                  2182,                151135,                199317,,                 10314,                189003,                189003,,,                 60106,                    585,                 60691,                 60691,                249694,,                189195,                   -192,,                249845,                   -151,,                              0.36,                              0.36,,                              0.35,                              0.35,                    830,,,,
2345,2013年第3季,,,              5642974,              5642974,,,              4769577,              4769577,                873397,                   -249,                873148,,,                267393,,                217161,,                329613,                814167,                 58981,,,                 32858,,                 74618,,                    702,,                  2749,                109523,                168504,,                 33085,                135419,                135419,,,,,,               -153010,                -17591,,                135585,                   -166,,                -17183,                   -408,,                              0.26,                              0.26,,                              0.25,                              0.25,,                -99240,                -53770,,
2345,2013年第2季,,,              6134205,              6134205,,,              5124915,              5124915,              1009290,                     89,              1009379,,,                270184,,                224029,,                349465,                843678,                165701,,,                 29332,,                 33446,,                    765,,                  2517,                 64530,                230231,,                 35224,                195007,                195007,,,,,,                 19369,                214376,,                195719,                   -712,,                215130,                   -754,,                              0.38,                              0.38,,                              0.36,                              0.36,,                117809,                -98440,,
2345,2013年度,,,             22637987,             22637987,,,             19016860,             19016860,              3621127,                    364,              3621491,,,              1051586,,                864905,,              1314447,              3230938,                390553,,,                121893,,                176170,,                  3253,,                  9405,                304215,                694768,,                138399,                556369,                556369,,,,,,                102803,                659172,,                558531,                 -2162,,                661490,                 -2318,,                              1.06,                              1.06,,                              1.03,                              1.03,,                167188,                -70832,                  6447,
2345,2013年07月01日至2013年09月30日,,,              5642974,              5642974,,,              4769577,              4769577,                873397,                   -249,                873148,,,                267393,,                217161,,                329613,                814167,                 58981,,,                 32858,,                 74618,,                    702,,                  2749,                109523,                168504,,                 33085,                135419,                135419,,,,,,               -153010,                -17591,,                135585,                   -166,,                -17183,                   -408,,                              0.26,                              0.26,,                              0.25,                              0.25,,                -99240,                -53770,,
2345,2013年04月01日至2013年06月30日,,,              6134205,              6134205,,,              5124915,              5124915,              1009290,                     89,              1009379,,,                270184,,                224029,,                349465,                843678,                165701,,,                 29332,,                 33446,,                    765,,                  2517,                 64530,                230231,,                 35224,                195007,                195007,,,,,,                 19369,                214376,,                195719,                   -712,,                215130,                   -754,,                              0.38,                              0.38,,                              0.36,                              0.36,,                117809,                -98440,,
