證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入淨額,　　 營業收入合計,　 營業成本,　　 銷貨成本,　　　 銷貨成本,　　　 銷貨成本合計,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 與待出售非流動資產直接相關之權益,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 其他收益及費損淨額,　　 其他收益及費損淨額,　　 非控制權益（淨利／損）,　　 非控制權益（綜合損益）,　　 繼續營業單位淨利（淨損）,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 與其他綜合損益組成部分相關之所得稅
6225,2013年第3季,,,                 52908,                 52908,,,                 50550,                 50550,                 50550,                  2358,                  2358,,,                 16599,,                 18358,,                  8428,                 43385,                -41027,,,                     27,,                   -618,,                    269,,                    121,                   -739,                -41766,,                 11165,                -52931,                -52931,,,,,,,                  3412,                -49519,,                -52931,,                -49519,,                             -0.84,,,,,,                  3412,                              0,,,,
6225,2013年第2季,,,                 79336,                 79336,,,                 68675,                 68675,                 68675,                 10661,                 10661,,,                 16016,,                 16371,,                  9333,                 41720,                -31059,,,                    608,,                  1463,,                     84,,                    -87,                  1900,                -29159,,                  4453,                -33612,                -33612,,,,,,,                  4864,                -28748,,                -33612,,                -28748,,                             -0.53,,                              0,                              0,                              0,,                  4864,                              0,,,,
6225,2013年度,,,,                257083,,,,,                244343,                 12740,                 12740,,,                 61573,,                 69408,,                 34033,                165014,               -152274,,,                  6616,,                  4380,,                  1417,,                    667,                 10246,               -142028,,                 21859,               -163887,               -163887,,,,,,,                 14596,               -149291,,               -163887,,               -149291,,                             -2.60,,,,,                             -2.60,                  9387,                  3211,                  1721,,                    277,                              0
6225,2013年07月01日至2013年09月30日,,,,                 52908,,,,,                 50550,                  2358,                  2358,,,                 16599,,                 18358,,                  8428,                 43385,                -41027,,,                     27,,                   -618,,                    269,,                    121,                   -739,                -41766,,                 11165,                -52931,                -52931,,,,,,,                  3412,                -49519,,                -52931,,                -49519,,                             -0.84,,,,,                             -0.84,                  3412,,,,,
6225,2013年04月01日至2013年06月30日,,,,                 79336,,,,,                 68675,                 10661,                 10661,,,                 16016,,                 16371,,                  9333,                 41720,                -31059,,,                    608,,                  1463,,                     84,,                    -87,                  1900,                -29159,,                  4453,                -33612,                -33612,,,,,,,                  4864,                -28748,,                -33612,,                -28748,,                             -0.53,,,,,                             -0.53,                  4864,,,,,
6225,2013年01月01日至2013年12月31日,,,,                257083,,,,,                244343,                 12740,                 12740,,,                 61573,,                 69408,,                 34033,                165014,               -152274,,,                  6616,,                  4380,,                  1417,,                    667,                 10246,               -142028,,                 21859,               -163887,               -163887,,,,,,,                 14596,               -149291,,               -163887,,               -149291,,                             -2.60,,,,,                             -2.60,                  9387,                  3211,                  1721,,                    277,                              0
6225,2013年01月01日至2013年09月30日,,,                207912,                207912,,,                188187,                188187,                188187,                 19725,                 19725,,,                 49197,,                 51410,,                 26933,                127540,               -107815,,,                  5071,,                  3697,,                  1104,,                   -165,                  7499,               -100316,,                 15806,               -116122,               -116122,,,,,,,                  6038,               -110084,,               -116122,,               -110084,,                             -1.85,,,,,,                  6038,                              0,,,,
6225,2013年01月01日至2013年06月30日,,,                155004,                155004,,,                137637,                137637,                137637,                 17367,                 17367,,,                 32598,,                 33052,,                 18505,                 84155,                -66788,,,                  5044,,                  4315,,                    835,,                   -286,                  8238,                -58550,,                  4641,                -63191,                -63191,,,,,,,                  2626,                -60565,,                -63191,,                -60565,,                             -1.00,,                              0,                              0,                              0,,                  2626,                              0,,,,
6225,2013年01月01日至2013年03月31日,,,,                 75668,,,,,                 68962,                  6706,                  6706,,,                 16582,,                 16681,,                  9172,                 42435,                -35729,,,                  4436,,                  2852,,                    751,,                   -199,                  6338,                -29391,,                    188,                -29579,                -29579,,,,,,,                 -2238,                -31817,,                -29579,,                -31817,,                             -0.47,,,,,                             -0.47,                 -2238,                              0,,,,
6225,2012年07月01日至2012年09月30日,,,,                138387,,,,,                109071,                 29316,                 29316,,,                 14055,,                 30760,,                  8907,                 53722,                -24406,,,                  4686,,                    343,,                    761,,                   -704,                  3564,                -20842,,                  3762,                -24604,                -24604,,,,,,,                  2173,                -22431,,                -24604,,                -22431,,                             -0.46,,,,,                             -0.46,                  2173,,,,,
6225,2012年04月01日至2012年06月30日,,,,                 95241,,,,,                 89801,                  5440,                  5440,,,                 13871,,                 33940,,                 10490,                 58301,                -52861,,,                  4038,,                   -430,,                    806,,                   -902,                  1900,                -50961,,                  3820,                -54781,                -54781,,,,,,,                 -9501,                -64282,,                -54781,,                -64282,,                             -1.08,,,,,                             -1.08,                 -9501,,,,,
6225,2012年01月01日至2012年12月31日,,,,                388653,,,,,                348110,                 40543,                 40543,,,                 55518,,                145784,,                 37660,                238962,               -198419,,,                 25600,,                  1490,,                  4668,,                 -5563,                 16859,               -181560,,                 12423,               -193983,               -193983,,,,,,,                    794,               -193189,,               -193983,,               -193189,,                             -3.69,,,,,                             -3.69,                 -3990,                              0,                  4594,,                    971,                    781
6225,2012年01月01日至2012年09月30日,,,,                309187,,,,,                262400,                 46787,                 46787,,,                 39448,,                 94444,,                 28021,                161913,               -115126,,,                 19707,,                   -509,,                  3206,,                 -5225,                 10767,               -104359,,                  7488,               -111847,               -111847,,,,,,,                 -5815,               -117662,,               -111847,,               -117662,,                             -2.17,,,,,                             -2.17,                 -5815,,,,,
6225,2012年01月01日至2012年06月30日,,,,                170800,,,,,                153329,                 17471,                 17471,,,                 25393,,                 63684,,                 19114,                108191,                -90720,,,                 15021,,                   -852,,                  2445,,                 -4521,                  7203,                -83517,,                  3726,                -87243,                -87243,,,,,,,                 -7988,                -95231,,                -87243,,                -95231,,                             -1.73,,,,,                             -1.73,                 -7988,,,,,
6225,2012年01月01日至2012年03月31日,,,,                 75559,,,,,                 63528,                 12031,                 12031,,,                 11522,,                 29744,,                  8624,                 49890,                -37859,,,                 10983,,                   -422,,                  1639,,                 -3619,                  5303,                -32556,,                    -94,                -32462,                -32462,,,,,,,                  1513,                -30949,,                -32462,,                -30949,,                             -0.64,,,,,                             -0.64,                  1513,,,,,
