證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　 其他綜合損益(淨額),　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅,　　 其他綜合損益（淨額）,　 停業單位損益,　　 停業單位損益合計,　　 銷貨收入淨額,　　　 銷貨收入淨額,　　 銷貨成本,　　　 銷貨成本合計,　 未實現銷貨（損）益,　 已實現銷貨（損）益
3682,2015年第3季,,              3533545,,              3367728,                165817,                165817,,,              1009466,,                298517,              1307983,             -1142166,,,                 48947,,                 -4031,,                      1,,                 -2097,                 42818,             -1099348,,               -190585,               -908763,               -908763,               -908763,,               -913857,                  5094,,               -913857,                  5094,,                             -0.24,                             -0.24,,                             -0.24,                             -0.24,,,,,,,,,,,,
3682,2015年第2季,,              3840770,,              3425486,                415284,                415284,,,              1094933,,                312459,              1407392,               -992108,,,                 44121,,                -12939,,                      3,,                 -2080,                 29099,               -963009,,               -163657,               -799352,               -799352,               -799352,,               -792874,                 -6478,,               -792874,                 -6478,,                             -0.20,                             -0.20,,                             -0.20,                             -0.20,,,,,,,,,,,,
3682,2015年01月01日至2015年09月30日,,             11151290,,              9790373,              1360917,              1360917,,,              3005685,,                915297,              3920982,             -2560065,,,                139593,,                -29625,,                      5,,                 -6561,                103402,             -2456663,,               -424299,             -2032364,             -2032364,             -2032364,,             -2030980,                 -1384,,             -2030980,                 -1384,,                             -0.52,                             -0.52,,                             -0.52,                             -0.52,,,,,,,,,,,,
3682,2015年01月01日至2015年06月30日,,              7617745,,              6422645,              1195100,              1195100,,,              1996219,,                616780,              2612999,             -1417899,,,                 90646,,                -25594,,                      4,,                 -4464,                 60584,             -1357315,,               -233714,             -1123601,             -1123601,             -1123601,,             -1117123,                 -6478,,             -1117123,                 -6478,,                             -0.29,                             -0.29,,                             -0.29,                             -0.29,,,,,,,,,,,,
3682,2015年01月01日至2015年03月31日,,              3776975,,              2997159,                779816,                779816,,,                901286,,                304321,              1205607,               -425791,,,                 46525,,                -12655,,                      1,,                 -2384,                 31485,               -394306,,                -70057,               -324249,               -324249,               -324249,,               -324249,,,               -324249,,,                             -0.08,                             -0.08,,                             -0.08,                             -0.08,,,,,,,,,,,,
3682,2014年第3季,,              4032683,,              2893024,              1139659,              1139659,,,                750472,,                385970,              1136442,                  3217,,,                 44063,,                -10614,,                      1,,                 -2340,                 31108,                 34325,,                 -6143,                 40468,                 40468,                 40468,,                 40468,                              0,,                 40468,                              0,,                              0.01,                              0.01,,                              0.01,                              0.01,,,,,,,,,,,,
3682,2014年第2季,,              4157244,,              2834032,              1323212,              1323212,,,                890559,,                364278,              1254837,                 68375,,,                 23836,,                 -7698,,                      1,,                 -2159,                 13978,                 82353,,                 12709,                 69644,                 69644,                 69644,,                 69644,                              0,,                 69644,                              0,,                              0.02,                              0.02,,                              0.02,                              0.02,,,,,,,,,,,,
3682,2014年度,,             16302527,,             11590475,              4712052,              4712052,,,              3223299,,              1441500,              4664799,                 47253,,,                240338,,            -10484958,,                      7,,                 -8815,            -10253442,            -10206189,,             -1793765,             -8412424,             -8412424,             -8413251,,             -8412424,,,             -8413251,,,,                             -2.35,,,                             -2.35,,                   -996,                   -169,                   -827,,,,,,,,
3682,2014年01月01日至2014年09月30日,,             12362961,,              8443716,              3919245,              3919245,,,              2413345,,              1105393,              3518738,                400507,,,                125753,,                -24457,,                      4,,                 -7269,                 94023,                494530,,                 66591,                427939,                427939,                427939,,                427939,                              0,,                427939,                              0,,                              0.12,                              0.12,,                              0.12,                              0.12,,,,,,,,,,,,
3682,2014年01月01日至2014年06月30日,,              8330278,,              5550692,              2779586,              2779586,,,              1662873,,                719423,              2382296,                397290,,,                 81690,,                -13843,,                      3,,                 -4929,                 62915,                460205,,                 72734,                387471,                387471,                387471,,                387471,                              0,,                387471,                              0,,                              0.12,                              0.12,,                              0.12,                              0.12,,,,,,,,,,,,
3682,2014年01月01日至2014年03月31日,,              4173034,,              2716660,              1456374,              1456374,,,                772314,,                355145,              1127459,                328915,,,                 57854,,                 -6145,,                      2,,                 -2770,                 48937,                377852,,                 60025,                317827,                317827,                317827,,                317827,,,                317827,,,                              0.10,                              0.10,,                              0.10,                              0.10,,,,,,,,,,,,
3682,2013年第3季,,              4894156,,              3225189,              1668967,              1668967,,,                941445,,                363383,              1304828,                364139,,,                 25218,,                -16415,,                      3,,                              0,                  8800,                372939,,                  5097,                367842,                367842,                367842,,                367842,,,                367842,,,,                              0.11,,,                              0.11,,,,,,,,,,,,
3682,2013年第2季,,              5275416,,              3489717,              1785699,              1785699,,,                862918,,                361017,              1223935,                561764,,,                299740,,               -249897,,                    107,,                              0,                 49736,                611500,,                  3024,                608476,                608476,                608476,,                608476,,,                608476,,,,                              0.19,,,                              0.19,,,,,,,,,,,,
3682,2013年度,,             20125362,,             13152463,              6972899,              6972899,,,              3656342,,              1447931,              5104273,              1868626,,,                405014,,               -412298,,                  5880,,                              0,                -13164,              1855462,,                 12686,              1842776,              1842776,              1844709,,              1842776,,,              1844709,,,,                              0.56,,,                              0.56,,                  2329,                    396,                  1933,,,,,,,,
3682,2013年07月01日至2013年09月30日,,              4894156,,              3225189,              1668967,              1668967,,,                941445,,                363383,              1304828,                364139,,,                 25218,,                -16415,,                      3,,                              0,                  8800,                372939,,                  5097,                367842,                367842,                367842,,                367842,,,                367842,,,,                              0.11,,,                              0.11,,,,,,,,              4894156,,              3225189,                              0,                              0
3682,2013年04月01日至2013年06月30日,,              5275416,,              3517427,              1757989,              1757989,,,                862918,,                333307,              1196225,                561764,,,                299740,,               -249897,,                    107,,                              0,                 49736,                611500,,                  3024,                608476,                608476,                608476,,                608476,,,                608476,,,,                              0.19,,,                              0.19,,,,,,,,              5275416,,              3517427,                              0,                              0
