證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 不重分類至損益之項目,　　　 確定福利計畫之再衡量數,　　　 與不重分類之項目相關之所得稅,　　　 不重分類至損益之項目總額,　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 與其他綜合損益組成部分相關之所得稅
3494,2015年第3季,,                401332,,                272123,                129209,                129209,,,                 54087,,                 45421,,                 29099,                128607,                    602,,,                  2582,,                   -719,,                  3713,                 -1850,                 -1248,,                  3981,                 -5229,                 -5229,,,                              0,                              0,                              0,,                 61215,                              0,                 61215,                 61215,                 55986,,                -21794,                 16565,,                 39421,                 16565,,                             -0.12,,                              0.00,,
3494,2015年第2季,,                451095,,                318918,                132177,                132177,,,                 49800,,                 44654,,                 26699,                121153,                 11024,,,                  1926,,                 -3727,,                  3486,                 -5287,                  5737,,                  3761,                  1976,                  1976,,,                              0,                              0,                              0,,                -11669,,                -11669,                -11669,                 -9693,,                 -1790,                  3766,,                -13459,                  3766,,                             -0.01,,,,
3494,2015年01月01日至2015年09月30日,,              1311397,,                904184,                407213,                407213,,,                161943,,                134882,,                 84224,                381049,                 26164,,,                  7048,,                -16146,,                 11346,                -20444,                  5720,,                  7347,                 -1627,                 -1627,,,                  3263,                              0,                  3263,,                 40846,                              0,                 40846,                 44109,                 42482,,                -21252,                 19625,,                 22857,                 19625,,                             -0.12,,                              0.00,,
3494,2015年01月01日至2015年06月30日,,                910065,,                632061,                278004,                278004,,,                107856,,                 89461,,                 55125,                252442,                 25562,,,                  4466,,                -15427,,                  7633,                -18594,                  6968,,                  3366,                  3602,                  3602,,,                  3263,                              0,                  3263,,                -20369,,                -20369,                -17106,                -13504,,                    542,                  3060,,                -16564,                  3060,,                              0.00,,,,
3494,2015年01月01日至2015年03月31日,,                458970,,                313143,                145827,                145827,,,                 58056,,                 44807,,                 28426,                131289,                 14538,,,                  2540,,                -11700,,                  4147,                -13307,                  1231,,                   -395,                  1626,                  1626,,,                  3263,                              0,                  3263,,                 -8700,,                 -8700,                 -5437,                 -3811,,                  2332,                   -706,,                 -3105,                   -706,,                              0.01,,,,
3494,2014年第3季,,                526637,,                384093,                142544,                142544,,,                 62008,,                 46935,,                 22453,                131396,                 11148,,,                  1932,,                 27342,,                  5210,                 24064,                 35212,,                 11824,                 23388,                 23388,,,                              0,                              0,                              0,,                -82707,                              0,                -82707,                -82707,                -59319,,                 32987,                 -9599,,                -49720,                 -9599,,                              0.18,,                              0.18,,
3494,2014年第2季,,                621407,,                458910,                162497,                162497,,,                 56232,,                 51595,,                 27799,                135626,                 26871,,,                  2886,,                -10494,,                  5094,                -12702,                 14169,,                  6268,                  7901,                  7901,,,                              0,                              0,                              0,,                -21656,,                -21656,                -21656,                -13755,,                  4918,                  2983,,                -16738,                  2983,,                              0.03,,,,
3494,2014年度,,              2237532,,              1626316,                611216,                611216,,,                231419,,                195234,,                113365,                540018,                 71198,,,                 26617,,                 29019,,                 20711,                 34925,                106123,,                 19793,                 86330,                 86330,,,,,,,,,,                -12140,                 74190,,                 82644,                  3686,,                 70504,                  3686,,                              0.47,,                              0.46,                -12140,                              0
3494,2014年01月01日至2014年09月30日,,              1712731,,              1250728,                462003,                462003,,,                168142,,                147490,,                 79304,                394936,                 67067,,,                  6508,,                 21702,,                 16010,                 12200,                 79267,,                 29234,                 50033,                 50033,,,                              0,                              0,                              0,,                -85678,                              0,                -85678,                -85678,                -35645,,                 55853,                 -5820,,                -29825,                 -5820,,                              0.32,,                              0.31,,
3494,2014年01月01日至2014年06月30日,,              1186094,,                866635,                319459,                319459,,,                106134,,                100555,,                 56851,                263540,                 55919,,,                  4576,,                 -5640,,                 10800,                -11864,                 44055,,                 17410,                 26645,                 26645,,,                              0,                              0,                              0,,                 -2971,,                 -2971,                 -2971,                 23674,,                 22866,                  3779,,                 19895,                  3779,,                              0.13,,,,
