證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 已實現銷貨（損）益,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 停業單位損益,　　 停業單位損益合計,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 不重分類至損益之項目,　　　 確定福利計畫之再衡量數,　　　 重估增值,　　　 指定按公允價值衡量之金融負債信用風險變動影響數,　　　 與待出售非流動資產直接相關之權益,　　　 權益工具投資之利益（損失）,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之確定福利計畫再衡量數,　　　　 採用權益法認列關聯企業及合資之重估增值,　　　　 採用權益法認列關聯企業及合資之指定損益按公允價值衡量之金融負債信用風險變動影響數,　　　　 採用權益法認列關聯企業及合資之與待出售非流動資產直接相關之權益,　　　　 採用權益法認列關聯企業及合資之權益工具投資利益(損失),　　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　　 不重分類至損益之其他項目,　　　 與不重分類之項目相關之所得稅,　　　 不重分類至損益之項目總額,　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 共同控制下前手權益（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 共同控制下前手權益（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 停業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋停業單位淨利（淨損）,　　 稀釋每股盈餘合計,　 未實現銷貨（損）益,　　 國外營運機構財務報表換算之兌換差額,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計
5288,2015年第3季,,              1014785,,                808330,                206455,                     14,                206469,,,                 13460,,                 34605,,                 11244,                 59309,                147160,,,                 11811,,                 24973,,                    316,,                  8070,                 44538,                191698,,                 35653,                156045,,                              0,                156045,,,                              0,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,,                101743,,                  1938,                103681,                103681,                259726,,                156045,                              0,                              0,,                259726,                              0,                              0,,                              2.42,                              0.00,                              2.42,,                              2.39,                              0.00,                              2.39,,,,,
5288,2015年第2季,,                845689,,                700856,                144833,                     36,                144869,,,                 18908,,                 29449,,                  7999,                 56356,                 88513,,,                 17041,,                 -6035,,                    380,,                  4606,                 15232,                103745,,                 24812,                 78933,,                              0,                 78933,,,                              0,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,,                -34329,,                   -655,                -34984,                -34984,                 43949,,                 78933,                              0,                              0,,                 43949,                              0,                              0,,,,                              1.22,,,,                              1.21,,,,,
5288,2015年01月01日至2015年09月30日,,              2848376,,              2300300,                548076,                     33,                548109,,,                 53191,,                 97021,,                 27503,                177715,                370394,,,                 43978,,                  7086,,                  1048,,                 17287,                 67303,                437697,,                 92852,                344845,,                              0,                344845,,,                              0,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,,                 33323,,                    624,                 33947,                 33947,                378792,,                344845,                              0,                              0,,                378792,                              0,                              0,,                              5.35,                              0.00,                              5.35,,                              5.29,                              0.00,                              5.29,,,,,
5288,2015年01月01日至2015年06月30日,,              1833591,,              1491970,                341621,                     19,                341640,,,                 39731,,                 62416,,                 16259,                118406,                223234,,,                 32167,,                -17887,,                    732,,                  9217,                 22765,                245999,,                 57199,                188800,,                              0,                188800,,,                              0,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,,                -68420,,                 -1314,                -69734,                -69734,                119066,,                188800,                              0,                              0,,                119066,                              0,                              0,,,,                              2.93,,,,                              2.90,,,,,
5288,2015年01月01日至2015年03月31日,,                987902,,                791114,                196788,,                196771,,,                 20823,,                 32967,,                  8260,                 62050,                134721,,,                 15126,,                -11852,,                    352,,                  4611,                  7533,                142254,,                 32387,                109867,,                              0,                109867,,,                              0,                              0,                              0,                              0,                              0,,,,,,,                              0,                              0,                              0,                              0,,                -34091,,                   -659,                -34750,                -34750,                 75117,,                109867,,,,                 75117,,,,,,                              1.71,,,,                              1.68,                     17,,,,
5288,2014年第3季,,                930499,,                782235,                148264,                    -13,                148251,,,                 16211,,                 38196,,                  7634,                 62041,                 86210,,,                  4476,,                   -506,,                    217,,                  5731,                  9484,                 95694,,                 22782,                 72912,,                              0,                 72912,,,                              0,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,,                 25735,,                    498,                 26233,                 26233,                 99145,,                 72912,                              0,                              0,,                 99145,                              0,                              0,,                              1.27,                              0.00,                              1.27,,                              1.25,                              0.00,                              1.25,,,,,
5288,2014年第2季,,                884907,,                743536,                141371,                     33,                141404,,,                 14253,,                 32833,,                  7728,                 54814,                 86590,,,                 22453,,                 -2789,,                    196,,                  3554,                 23022,                109612,,                 24928,                 84684,,                              0,                 84684,,,                              0,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,,                -44713,,                   -746,                -45459,                -45459,                 39225,,                 84684,                              0,                              0,,                 39225,                              0,                              0,,,,                              1.49,,,,                              1.49,,,,,
5288,2014年度,,              3798622,,              3186046,                612576,                     13,                612589,,,                 63316,,                142207,,                 34065,                239588,                373001,,,                 44253,,                 22574,,                  1097,,                 17043,                 82773,                455774,,                111675,                344099,,                              0,                344099,,,,,,,,,,,,,,,,,,,,,,,                 80281,                424380,,                344099,,,,                424380,,,,,,                              5.77,,,,                              5.69,                              0,                 79162,                   -383,,                  1502
5288,2014年上半年度,,              1786537,,              1490142,                296395,                      1,                296396,,,                 29393,,                 65026,,                 14814,                109233,                187163,,,                 32599,,                 -1322,,                    441,,                  4249,                 35085,                222248,,                 53514,                168734,,                              0,                168734,,,,,,,,,,,,,,,,,,,,,,,                -18156,                150578,,                168734,,,,                150578,,,,,,                              2.97,,,,                              2.96,                              0,                -17865,,,                   -291
5288,2014年01月01日至2014年09月30日,,              2717036,,              2272377,                444659,                    -12,                444647,,,                 45604,,                103222,,                 22448,                171274,                273373,,,                 37075,,                 -1828,,                    658,,                  9980,                 44569,                317942,,                 76296,                241646,,                              0,                241646,,,                              0,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,,                  7870,,                    207,                  8077,                  8077,                249723,,                241646,                              0,                              0,,                249723,                              0,                              0,,                              4.24,                              0.00,                              4.24,,                              4.17,                              0.00,                              4.17,,,,,
