證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 利息收入,　　　　 利息收入合計,　　　 租金收入,　　　 其他收入－其他,　　　 其他收入合計,　　 其他利益及損失,　　　 處分不動產、廠房及設備利益,　　　 外幣兌換利益,　　　 減損迴轉利益,　　　　 不動產、廠房及設備減損迴轉利益,　　　　 減損迴轉利益合計,　　　 什項支出,　　　 處分不動產、廠房及設備損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 利息費用,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　　 銷貨收入淨額,　　　 銷貨收入,　　　　 銷貨收入合計,　　　 分期付款銷貨收入,　　　 銷貨退回,　　　 銷貨折讓,　　　 銷貨收入淨額,　　 銷貨成本,　　　 銷貨成本合計,　　　 股利收入,　　　 外幣兌換損失,　　　 減損損失,　　　　 金融資產減損損失,　　　　 減損損失合計,　　 國外營運機構財務報表換算之兌換差額,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅,　　 停業單位淨利（淨損）,　　　 透過損益按公允價值衡量之金融資產（負債）利益,　 停業單位損益,　　 停業單位損益合計,　　　　 銷貨收入,　　　 銷貨成本,　　　　 銀行存款利息,　　 當期所得稅費用（利益）,　　 遞延所得稅費用（利益）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額－國外營運機構財務報表換算之兌換差額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 非控制權益（淨利／損）
6230,2015年第3季,,              1530334,,              1149607,                380727,                380727,,,                 63424,,                 49503,,                 61624,                174551,                206176,,,,                 15125,                  1050,                 11856,                 28031,,                    806,                 49462,,                     74,                     74,                  1338,                    531,                 48473,,                    968,                    968,                 75536,                281712,,                 60998,                220714,                220714,,,                101546,                 17263,                 84283,                 84283,                304997,,                220714,,                304997,,                              2.56,                              2.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6230,2015年第2季,,              1434264,,              1113666,                320598,                320598,,,                 38463,,                 68588,,                 62142,                169193,                151405,,,,                  4235,                  1051,                  1127,                  6413,,                      3,                  2796,,,                              0,                    512,                              0,                  2287,,                  1686,                  1686,                  7014,                158419,,                 56378,                102041,                102041,,,                -32601,                 -5542,                -27059,                -27059,                 74982,,                102041,,                 74982,,                              1.18,                              1.18,,,              1443032,                              0,                  2284,                  6484,              1434264,,              1113666,,,,,,,,,,,,,,,,,,,,,
6230,2015年01月01日至2015年09月30日,,              4278959,,              3270042,              1008917,              1008917,,,                143803,,                173230,,                180106,                497139,                511778,,,,                 23568,                  3151,                 19711,                 46430,,                    806,                 78054,,                     74,                     74,                  2077,                    990,                 75867,,                  4164,                  4164,                118133,                629911,,                175883,                454028,                454028,,,                 45774,                  7782,                 37992,                 37992,                492020,,                454028,,                492020,,                              5.26,                              5.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6230,2015年01月01日至2015年06月30日,,              2748625,,              2120435,                628190,                628190,,,                 80379,,                123727,,                118482,                322588,                305602,,,,                  8443,                  2101,                  7855,                 18399,,                              0,                 28592,,,                              0,                    739,                    459,                 27394,,                  3196,                  3196,                 42597,                348199,,                114885,                233314,                233314,,,                -55772,                 -9481,                -46291,                -46291,                187023,,                233314,,                187023,,                              2.70,                              2.70,,,              2766075,                              0,                  4190,                 13260,              2748625,,              2120435,,,,,,,,,,,,,,,,,,,,,
6230,2015年01月01日至2015年03月31日,,              1314361,,              1006769,                307592,                307592,,,                 41916,,                 55139,,                 56340,                153395,                154197,,,,                  4208,                  1050,                  6728,                 11986,,,                 25796,,,                              0,                    227,                    462,                 25107,,                  1510,                  1510,                 35583,                189780,,                 58507,                131273,                131273,,,                -23171,                 -3939,                -19232,                -19232,                112041,,                131273,,                112041,,,                              1.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6230,2014年第3季,,              1536285,,              1181325,                354960,                354960,,,                 53888,,                 62286,,                 53309,                169483,                185477,,,,                 10476,                  1050,                 11734,                 23260,,                     63,                 12551,,                              0,                              0,                    517,                    851,                 11246,,                  1422,                  1422,                 33084,                218561,,                 56482,                162079,                162079,,,                 55678,                  9465,                 46213,                 46213,                208292,,                162079,,                208292,,                              1.88,                              1.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6230,2014年第2季,,              1611991,,              1199790,                412201,                412201,,,                 45566,,                 55732,,                 66011,                167309,                244892,,,,                  6285,                  1051,                  5296,                 12632,,                              0,                    525,,,                              0,                    447,                    236,                   -158,,                  1802,                  1802,                 10672,                255564,,                 84149,                171415,                171415,,,                -39627,                 -6736,                -32891,                -32891,                138524,,                171415,,                138524,,                              1.99,                              1.99,,,              1618239,                              0,                  1560,                  4688,              1611991,,              1199790,,,,,,,,,,,,,,,,,,,,,
6230,2014年度,,              5940073,,              4511949,              1428124,              1428124,,,                189800,,                238694,,                251621,                680115,                748009,,,,                 29329,                  4202,                 32383,                 66004,,                     63,                 26424,,                     45,                     45,                  1759,                 22174,                -14217,,                  9268,                  9268,                 42519,                790528,,                220335,                570193,                570193,,,,,,                 66833,                637026,,                570193,,                637026,,                              6.60,                              6.60,,,,,,,,,,                     90,                              0,,                 16816,                 16816,                 84392,                 -3213,                 14346,                              0.00,,,,,,,,,,,,
6230,2014年01月01日至2014年09月30日,,              4417465,,              3362570,              1054895,              1054895,,,                142871,,                172474,,                188956,                504301,                550594,,,,                 22738,                  3151,                 22975,                 48864,,                     63,                 19175,,                     45,                     45,                  1387,                  2227,                 15669,,                  8130,                  8130,                 56403,                606997,,                166524,                440473,                440473,,,                  9205,                  1565,                  7640,                  7640,                448113,,                440473,,                448113,,                              5.10,                              5.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6230,2014年01月01日至2014年06月30日,,              2881180,,              2181245,                699935,                699935,,,                 88983,,                110188,,                135647,                334818,                365117,,,,                 12262,                  2101,                 11241,                 25604,,                              0,                  6624,,,                     45,                    870,                  1376,                  4423,,                  6708,                  6708,                 23319,                388436,,                110042,                278394,                278394,,,                -46473,                 -7900,                -38573,                -38573,                239821,,                278394,,                239821,,                              3.22,                              3.22,,,              2893710,                              0,                  3217,                  9313,              2881180,,              2181245,,,,,,,,,,,,,,,,,,,,,
