證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入,　　　　 銷貨收入合計,　　　 銷貨退回,　　　 銷貨收入淨額,　　 其他營業收入,　　　 其他營業收入淨額,　　 營業收入合計,　 營業成本,　　 銷貨成本,　　　 銷貨成本合計,　　 其他營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 其他收益及費損淨額,　　 其他收益,　　 其他收益及費損淨額,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 利息收入,　　　　 利息收入合計,　　　 股利收入,　　　 其他收入－其他,　　　 其他收入合計,　　 其他利益及損失,　　　 處分投資利益,　　　 外幣兌換利益,　　　 什項支出,　　　 處分不動產、廠房及設備損失,　　　 透過損益按公允價值衡量之金融資產（負債）損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 不重分類至損益之項目,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　　 不重分類至損益之項目總額,　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 現金流量避險中屬有效避險部分之避險工具利益(損失),　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　　 處分不動產、廠房及設備利益,　　　 透過損益按公允價值衡量之金融資產（負債）利益,　　　 處分投資損失,　　　 外幣兌換損失,　　　 利息費用,　　 除列按攤銷後成本衡量金融資產淨損益,　　　 除列按攤銷後成本衡量金融資產淨損益,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 現金流量避險,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 其他綜合損益,　　 共同控制下前手權益（淨利／損）,　　　 廉價購買利益,　　 金融資產重分類淨損益,　　　 金融資產重分類淨損益,　 停業單位損益,　　 停業單位損益合計
1905,2015年第3季,,,,              5472096,                 55212,              5416884,,                 18395,              5435279,,,              4830855,                 11114,              4841969,                593310,                593310,,,                298484,,                 70963,,                  4788,                374235,,                    -44,                    -44,                219031,,,,                  8830,                 40379,                 14037,                 63246,,                    208,                 59592,                  1279,                    -48,                 33537,                 25032,,                 16676,,                 15083,                 86685,                305716,,                 14869,                290847,                290847,,,,                              0,                              0,,                229203,               -132914,                              0,,                 10771,                107060,                107060,                397907,,                269344,                 21503,,                333847,                 64060,,                              0.23,                              0.23,,                              0.23,                              0.23,,,,,,,,,,,,,,,,,,,,
1905,2015年第2季,,,,              5176141,                 60006,              5116135,,                 23184,              5139319,,,              4589733,                 12234,              4601967,                537352,                537352,,,                288594,,                 67102,,                  4788,                360484,,                   -663,                   -663,                176205,,,,                  5056,,                 11308,                 16364,,,,                  1330,,,                  5825,,                 16260,,                  4038,                  9967,                186172,,                    238,                185934,                185934,,,,                              0,                              0,,                -84660,                -62989,                              0,,                -31734,               -179383,               -179383,                  6551,,                159987,                 25947,,                  5047,                  1504,,                              0.13,                              0.13,,,,                              0,                  7275,                   -242,                    362,                 16260,,,,,,,,,,,,,,,
1905,2015年01月01日至2015年09月30日,,,,             15674518,                191414,             15483104,,                 59904,             15543008,,,             13831489,                 34152,             13865641,              1677367,              1677367,,,                879989,,                199722,,                 15375,              1095086,,                   -521,                   -521,                581760,,,,                 21810,                 40379,                 29745,                 91934,,                    359,                 45623,                  2625,                    209,                 15151,                 27997,,                 49818,,                    959,                 71072,                652832,,                 15339,                637493,                637493,,,,                      6,                      6,,                 29246,               -255768,                  3097,,                -54960,               -278385,               -278379,                359114,,                588277,                 49216,,                330336,                 28778,,                              0.49,                              0.49,,                              0.49,                              0.49,,,,,,,,,,,,,,,,,,,,
1905,2015年01月01日至2015年06月30日,,,,             10202422,                136202,             10066220,,                 41509,             10107729,,,              9000634,                 23038,              9023672,              1084057,              1084057,,,                581505,,                128759,,                 10587,                720851,,                   -477,                   -477,                362729,,,,                 12980,,                 15708,                 28688,,,,                  1346,,,                  2965,,                 33142,,                -14124,                -15613,                347116,,                    470,                346646,                346646,,,,                      6,                      6,,               -199957,               -122854,                  3097,,                -65731,               -385445,               -385439,                -38793,,                318933,                 27713,,                 -3511,                -35282,,                              0.26,                              0.26,,,,                   -257,                 18386,                   -151,                 13969,                 33142,,,,,,,,,,,,,,,
1905,2015年01月01日至2015年03月31日,,,,              5026281,                 76196,              4950085,,                 18325,              4968410,,,              4410901,                 10804,              4421705,                546705,                546705,,,                292911,,                 61657,,                  5799,                360367,,                    186,                    186,                186524,,,,                  7924,,                  4400,                 12324,,,                -13607,                     16,,                -11111,                 -2860,,                 16882,,                -18162,                -25580,                160944,,                    232,                160712,                160712,,,,                      6,                      6,,               -115297,                -59865,                  3097,,                -33997,               -206062,               -206056,                -45344,,                158946,                  1766,,                 -8558,                -36786,,                              0.13,                              0.13,,,,                   -257,,                     91,,                 16882,,                              0,,,,,,,,,,,,,
1905,2014年第3季,,,,              5147148,                 83765,              5063383,,                 16764,              5080147,,,              4768689,                 17155,              4785844,                294303,                294303,,,                324496,,                 60256,,                  5505,                390257,,                   -969,                   -969,                -96923,,,,                 12765,                 19271,                 14062,                 46098,,                    123,                 18377,                   -249,                    273,                 12541,                  5935,,                 17529,,                  8147,                 42651,                -54272,,                    293,                -54565,                -54565,,,,                              0,                              0,,                143334,                -60413,                 -2101,,                -32666,                 48154,                 48154,                 -6411,,                -44874,                 -9691,,                -42239,                 35828,,                             -0.04,                             -0.04,,                              0.00,                              0.00,,,,,,,,,,,,,,,,,,,,
1905,2014年第2季,,,,              5322494,                 77067,              5245427,,                 18547,              5263974,,,              4983496,                 13809,              4997305,                266669,                266669,,,                328755,,                 63973,,                  5298,                398026,,                  1584,                  1584,               -129773,,,,                  9156,,                  8228,                 17384,,,,                    280,,,                 -8960,,                 16220,,                 18369,                 10573,               -119200,,                    239,               -119439,               -119439,,,,                              0,                              0,,               -156986,               -111396,                   -727,,                 -9726,               -278835,               -278835,               -398274,,               -105629,                -13810,,               -334486,                -63788,,                             -0.09,                             -0.09,,,,                              0,                 10387,                              0,                 19067,                 16220,,,,,,,,,,,,,,,
1905,2014年度,,,,             21398384,                325635,             21072749,,                 72181,             21144930,,,             19696999,                 55162,             19752161,              1392769,              1392769,,,              1299805,,                223398,,                 24547,              1547750,,                 33001,                 33001,               -121980,,,,                 39560,                 19271,                 40564,                 99395,,                    310,                 51685,                    829,,                 29070,                 67907,,                 63568,,                 31448,                135182,                 13202,,                  1525,                 11677,                 11677,,,,,,,,,,,,,                851116,                862793,,                 27496,                -15819,,                735504,                127289,,                              0.02,                              0.02,,,,                 45811,,,,                 63568,,,                455849,                370294,                 -3097,               -110214,,                119548,                 18736,,,,,,
1905,2014年01月01日至2014年09月30日,,,,             15710730,                256437,             15454293,,                 51015,             15505308,,,             14628618,                 44988,             14673606,                831702,                831702,,,                966357,,                185055,,                 15449,              1166861,,                 32637,                 32637,               -302522,,,,                 32560,                 19271,                 30062,                 81893,,                    153,                 11205,                     33,                -45864,                 12187,                 45002,,                 46907,,                 12416,                 92404,               -210118,,                    903,               -211021,               -211021,,,,                              0,                              0,,                102791,                440663,                 -3198,,                112538,                652794,                652794,                441773,,               -190100,                -20921,,                434597,                  7176,,                             -0.15,                             -0.15,,                              0.00,                              0.00,,,,,,,,,,,,,,,,,,,,
1905,2014年01月01日至2014年06月30日,,,,             10563582,                172672,             10390910,,                 34251,             10425161,,,              9859929,                 27833,              9887762,                537399,                537399,,,                641861,,                124799,,                  9944,                776604,,                 33606,                 33606,               -205599,,,,                 19795,,                 16030,                 35825,,,,                    282,,,                 39037,,                 29378,,                  4269,                 49753,               -155846,,                    610,               -156456,               -156456,,,,                              0,                              0,,                -40543,                501076,                 -1097,,                145204,                604640,                604640,                448184,,               -145226,                -11230,,                476836,                -28652,,                             -0.12,                             -0.12,,,,                 46137,                    354,                              0,                  7172,                 29378,,,,,,,,,,,,,,,
