證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 不重分類至損益之項目,　　　 確定福利計畫之再衡量數,　　　 重估增值,　　　 指定按公允價值衡量之金融負債信用風險變動影響數,　　　 與待出售非流動資產直接相關之權益,　　　 權益工具投資之利益（損失）,　　　 不重分類至損益之其他項目,　　　 與不重分類之項目相關之所得稅,　　　 不重分類至損益之項目總額,　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　　 國外營運機構淨投資避險中屬有效避險部分之避險工具利益(損失),　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　　 備供出售金融資產未實現評價損益,　　　 現金流量避險中屬有效避險部分之避險工具利益(損失),　　　 與待出售非流動資產直接相關之權益(後續可能),　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 可能重分類至損益之其他項目,　　 當期所得稅費用（利益）,　　 國外營運機構財務報表換算之兌換差額,　　 與其他綜合損益組成部分相關之所得稅,　　 銷貨收入淨額,　　　 銷貨收入,　　　　 銷貨收入,　　　　 銷貨收入合計,　　　 銷貨收入淨額
5907,2015年第3季,,              1560446,,                248590,              1311856,              1311856,,,              1177186,              1177186,                134670,,,                 24726,,               -562893,,                 32380,,                  1598,               -568949,               -434279,,                 56396,               -490675,               -490675,,,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,,                237665,                              0,                237665,                237665,               -253010,,               -490189,                   -486,,               -252840,                   -170,,                             -2.48,,                             -2.48,,,,,,,,,,,,,,,,,
5907,2015年第2季,,              1694925,,                258780,              1436145,              1436145,,,              1116288,              1116288,                319857,,,                 34352,,                -10491,,                 27033,,                 29228,                 26056,                345913,,                125165,                220748,                220748,,,,,,,,,,,,               -109119,                              0,               -109119,               -109119,                111629,,                220862,                   -114,,                111865,                   -236,,                              1.12,,                              1.12,                              0,,,,,,,,,,,,,,,,
5907,2015年第1季,,              2138689,,                353839,              1784850,              1784850,,,              1224500,              1224500,                560350,,,                 22593,,                 -2211,,                 31603,,                 22019,                 10798,                571148,,                187827,                383321,                383321,,,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,,               -163234,                              0,               -163234,               -163234,                220087,,                382943,                    378,,                219898,                    189,,                              1.94,,                              1.94,                              0,,                              0,                              0,                              0,                              0,,                              0,                              0,,,,,,,,
5907,2015年01月01日至2015年09月30日,,              5394060,,                861209,              4532851,              4532851,,,              3517974,              3517974,              1014877,,,                 81671,,               -575595,,                 91016,,                 52845,               -532095,                482782,,                369388,                113394,                113394,,,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,,                -34688,                              0,                -34688,                -34688,                 78706,,                113616,                   -222,,                 78923,                   -217,,                              0.58,,                              0.58,,,,,,,,,,,,,,,,,
5907,2015年01月01日至2015年06月30日,,              3833614,,                612619,              3220995,              3220995,,,              2340788,              2340788,                880207,,,                 56945,,                -12702,,                 58636,,                 51247,                 36854,                917061,,                312992,                604069,                604069,,,,,,,,,,,,               -272353,                              0,               -272353,               -272353,                331716,,                603805,                    264,,                331763,                    -47,,                              3.06,,                              3.05,                              0,,,,,,,,,,,,,,,,
5907,2014年第3季,,              1615986,,                262828,              1353158,              1353158,,,              1145656,              1145656,                207502,,,                 25967,,                -49652,,                 30529,,                 18734,                -35480,                172022,,                 95810,                 76212,                 76212,,,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,,                193439,                              0,                193439,                193439,                269651,,                 76011,                    201,,                269229,                    422,,                              0.38,,                              0.38,,,,,,,,,,,,,,,,,
5907,2014年第2季,,              1750187,,                264952,              1485235,              1485235,,,              1179185,              1179185,                306050,,,                 32901,,                 45822,,                 35598,,                 18651,                 61776,                367826,,                 98184,                269642,                269642,,,,,,,,,,,,               -211246,                              0,               -211246,               -211246,                 58396,,                269038,                    604,,                 58018,                    378,,                              1.35,,                              1.35,                              0,,,,,,,,,,,,,,,,
5907,2014年第1季,,              2030422,,                336105,              1694317,              1694317,,,              1201506,              1201506,                492811,,,                 32923,,                 11053,,                 32537,,                 19902,                 31341,                524152,,                156678,                367474,                367474,,,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,,                107315,                              0,                107315,                107315,                474789,,                366733,                    741,,                473953,                    836,,                              1.84,,                              1.84,                              0,,                              0,                              0,                              0,                              0,,                              0,                              0,,,,,,,,
5907,2014年度,,              7604096,,              1184145,              6419951,              6419951,,,              4869512,              4869512,              1550439,,,                102955,,                -87359,,                131825,,                 82212,                -34017,              1516422,,                441839,              1074583,              1074583,,,,,,,,,,,,,,,                570742,              1645325,,              1072635,                  1948,,              1642739,                  2586,,                              5.38,,                              5.38,,,,,,,,,,                441839,                570742,                              0,,,,,
5907,2014年01月01日至2014年09月30日,,              5396595,,                863885,              4532710,              4532710,,,              3526347,              3526347,              1006363,,,                 91791,,                  7223,,                 98664,,                 57287,                 57637,              1064000,,                350672,                713328,                713328,,,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,,                 89508,                              0,                 89508,                 89508,                802836,,                711782,                  1546,,                801200,                  1636,,                              3.57,,                              3.57,,,,,,,,,,,,,,,,,
5907,2014年01月01日至2014年06月30日,,              3780609,,                601057,              3179552,              3179552,,,              2380691,              2380691,                798861,,,                 65824,,                 56875,,                 68135,,                 38553,                 93117,                891978,,                254862,                637116,                637116,,,,,,,,,,,,               -103931,                              0,               -103931,               -103931,                533185,,                635771,                  1345,,                531971,                  1214,,                              3.19,,                              3.18,                              0,,,,,,,,,,,,,,,,
5907,2014年01月01日至2014年03月31日,,              2030422,,                336105,              1694317,              1694317,,,              1201506,              1201506,                492811,,,                 32923,,                 11053,,                 32537,,                 19902,                 31341,                524152,,                156678,                367474,                367474,,,,,,,,,,,,,,,                107315,                474789,,                366733,                    741,,                473953,                    836,,                              1.84,,                              1.84,,,,,,,,,,,                107315,                              0,,,,,
5907,2013年第3季,,              1552907,,                257421,              1295486,              1295486,,,              1171501,              1171501,                123985,,,                 29448,,                160054,,                 30246,,                 21351,                180607,                304592,,                 86567,                218025,                218025,,,,,,,,,,,,,,,                -86075,                131950,,                217589,                    436,,                131593,                    357,,                              1.09,,                              1.09,,,,,,,,,,,                -86075,                              0,,,,,
5907,2013年第2季,,              1677121,,                243452,              1433669,              1433669,,,              1177820,              1177820,                255849,,,                 26251,,                 42797,,                 28289,,                 19295,                 60054,                315903,,                131353,                184550,                184550,,,,,,,,,,,,,,,                173370,                357920,,                183699,                    851,,                356926,                    994,,                              0.92,,                              0.92,,,,,,,,,,,                173370,                              0,,,,,
5907,2013年度,,              7181500,,              1095623,              6085877,              6085877,,,              4938350,              4938350,              1147527,,,                120433,,                339645,,                116925,,                 54266,                397419,              1544946,,                555220,                989726,                989726,,,,,,,,,,,,,,,                543512,              1533238,,                986226,                  3500,,              1528922,                  4316,,                              4.94,,                              4.94,,,,,,,,,,                555220,                543512,                              0,,,,,
5907,2013年07月01日至2013年09月30日,,              1552907,,                257421,              1295486,              1295486,,,              1171501,              1171501,                123985,,,                 29448,,                160054,,                 30246,,                 21351,                180607,                304592,,                 86567,                218025,                218025,,,,,,,,,,,,,,,                -86075,                131950,,                217589,                    436,,                131593,                    357,,                              1.09,,                              1.09,,,,,,,,,,,                -86075,                              0,,,,,
5907,2013年04月01日至2013年06月30日,,              1677121,,                243452,              1433669,              1433669,,,              1177820,              1177820,                255849,,,                 26251,,                 42797,,                 28289,,                 19295,                 60054,                315903,,                131353,                184550,                184550,,,,,,,,,,,,,,,                173370,                357920,,                183699,                    851,,                356926,                    994,,                              0.92,,                              0.92,,,,,,,,,,,                173370,                              0,,,              1677121,              1677121,              1677121
5907,2013年01月01日至2013年12月31日,,              7181500,,              1095623,              6085877,              6085877,,,              4938350,              4938350,              1147527,,,                120433,,                339645,,                116925,,                 54266,                397419,              1544946,,                555220,                989726,                989726,,,,,,,,,,,,,,,                543512,              1533238,,                986226,                  3500,,              1528922,                  4316,,                              4.94,,                              4.94,,,,,,,,,,                555220,                543512,                              0,,,,,
