證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　　 銷貨成本,　　　 銷貨成本合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 銷貨收入淨額,　　　 銷貨收入淨額,　　 勞務收入,　　　 勞務收入合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計
2388,2015年第3季,,              1192164,,                853559,                338605,                338605,,,                261662,,                104751,,                411966,                778379,               -439774,,,                 68051,,                -72974,,                 20576,,              2188987,              2163488,              1723714,,                 19595,              1704119,              1704119,,,                187772,                 -2851,                184921,                184921,              1889040,,              1710813,                 -6694,,              1896217,                 -7177,,                              3.47,                              3.47,,,,,,,,,,,,
2388,2015年第2季,,              1077185,,                808875,                268310,                268310,,,                281552,,                 93172,,                319584,                694308,               -425998,,,                 45103,,                449420,,                 20378,,               -116303,                357842,                -68156,,                 17309,                -85465,                -85465,,,                -27650,                  9459,                -18191,                -18191,               -103656,,                -77548,                 -7917,,                -99235,                 -4421,,                             -0.16,                             -0.16,,,,,,,,,,,,
2388,2015年01月01日至2015年09月30日,,              3403064,,              2501960,                901104,                901104,,,                809346,,                285810,,              1074259,              2169415,             -1268311,,,                186241,,                355280,,                 60552,,              2082338,              2563307,              1294996,,                 54911,              1240085,              1240085,,,                149996,                  7501,                157497,                157497,              1397582,,              1257430,                -17345,,              1411914,                -14332,,                              2.55,                              2.55,,,,,,,,,,,,
2388,2015年01月01日至2015年06月30日,,              2210900,,              1648401,                562499,                562499,,,                547684,,                181059,,                662293,              1391036,               -828537,,,                118190,,                428254,,                 39976,,               -106649,                399819,               -428718,,                 35316,               -464034,               -464034,,,                -37776,                 10352,                -27424,                -27424,               -491458,,               -453383,                -10651,,               -484303,                 -7155,,                             -0.92,                             -0.92,,,,,,,,,,,,
2388,2015年01月01日至2015年03月31日,,              1133715,,                839526,                294189,                294189,,,                266132,,                 87887,,                342709,                696728,               -402539,,,                 73087,,                -21166,,                 19598,,                  9654,                 41977,               -360562,,                 18007,               -378569,               -378569,,,                -10126,                    893,                 -9233,                 -9233,               -387802,,               -375835,                 -2734,,               -385068,                 -2734,,                             -0.76,                             -0.76,,                839526,,,,,,,,,,
2388,2014年第3季,,              1359527,,              1013682,                345845,                345845,,,                267217,,                 95186,,                352164,                714567,               -368722,,,                 40861,,                 97353,,                 20755,,               -108906,                  8553,               -360169,,                 23468,               -383637,               -383637,,,                 42626,                -30464,                 12162,                 12162,               -371475,,               -378071,                 -5566,,               -365909,                 -5566,,                             -0.76,                             -0.76,,,,,,,,,,,,
2388,2014年第2季,,              2029386,,              1320532,                708854,                708854,,,                264237,,                114850,,                291965,                671052,                 37802,,,                 54500,,                  6301,,                 21979,,               -127453,                -88631,                -50829,,                 26677,                -77506,                -77506,,,                -49023,                 -5505,                -54528,                -54528,               -132034,,                -74308,                 -3198,,               -128836,                 -3198,,                             -0.15,                             -0.15,,,,,,,,,,,,
2388,2014年度,,              6511106,,              4765916,              1745190,              1745190,,,              1136836,,                400021,,              1301397,              2838254,             -1093064,,,                231312,,                136314,,                 83278,,               -701737,               -417389,             -1510453,,                 89602,             -1600055,             -1600055,,,,,,                 36458,             -1563597,,             -1568485,                -31570,,             -1531948,                -31649,,                             -3.18,                             -3.18,,,                 98580,                -23873,                -38249,,,,,,,
2388,2014年01月01日至2014年09月30日,,              5074776,,              3536060,              1538716,              1538716,,,                810523,,                285647,,                954111,              2050281,               -511565,,,                160795,,                155102,,                 62484,,               -558363,               -304950,               -816515,,                 67013,               -883528,               -883528,,,                 17473,                -24335,                 -6862,                 -6862,               -890390,,               -869994,                -13534,,               -876856,                -13534,,                             -1.76,                             -1.76,,,,,,,,,,,,
2388,2014年01月01日至2014年06月30日,,              3715249,,              2522378,              1192871,              1192871,,,                543306,,                190461,,                601947,              1335714,               -142843,,,                119934,,                 57749,,                 41729,,               -449457,               -313503,               -456346,,                 43545,               -499891,               -499891,,,                -25153,                  6129,                -19024,                -19024,               -518915,,               -491923,                 -7968,,               -510947,                 -7968,,                             -1.00,                             -1.00,,,,,,,,,,,,
