證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入淨額,　　 勞務收入,　　　 勞務收入合計,　　 營業收入合計,　 營業成本,　　 銷貨成本,　　　 銷貨成本合計,　　 勞務成本,　　　 勞務成本合計,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　 其他營業收入,　　　 其他營業收入淨額,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 與其他綜合損益組成部分相關之所得稅
2453,2015年第3季,,,                815280,,                176695,                991975,,,                589945,,                139924,                729869,                262106,                262106,,,                199270,,                 45194,                244464,                 17642,,,                  8963,,                  1210,,                  1023,,                   -148,                  9002,                 26644,,                  3659,                 22985,                 22985,,,                 11424,                   -395,,                   -428,                  1313,                  9288,                  9288,                 32273,,                 20178,                  2807,,                 29175,                  3098,,                              0.20,                              0.20,,                              0.20,                              0.20,,,,,,,,
2453,2015年第2季,,,                608625,,                178841,                787466,,,                437298,,                149687,                586985,                200481,                200481,,,                134977,,                 54262,                189239,                 11242,,,                  6723,,                   -496,,                    927,,                   -574,                  4726,                 15968,,                   -411,                 16379,                 16379,,,                 -3496,                    107,,                   -652,                   -299,                 -3742,                 -3742,                 12637,,                 17710,                 -1331,,                 14085,                 -1448,,                              0.18,                              0.18,,                              0.18,                              0.18,,,,,,,,
2453,2015年01月01日至2015年09月30日,,,              2003400,,                529624,              2533024,,,              1439979,,                427841,              1867820,                665204,                665204,,,                484255,,                141844,                626099,                 39105,,,                 21159,,                   -142,,                  3085,,                 -4844,                 13088,                 52193,,                  9202,                 42991,                 42991,,,                  4517,                   -189,,                 -1082,                    761,                  2485,                  2485,                 45476,,                 42854,                    137,,                 45349,                    127,,                              0.43,                              0.43,,                              0.43,                              0.43,,,,,,,,
2453,2015年01月01日至2015年06月30日,,,              1188120,,                352929,              1541049,,,                850034,,                287917,              1137951,                403098,                403098,,,                284985,,                 96650,                381635,                 21463,,,                 12196,,                 -1352,,                  2062,,                 -4696,                  4086,                 25549,,                  5543,                 20006,                 20006,,,                 -6907,                    206,,                   -654,                   -552,                 -6803,                 -6803,                 13203,,                 22676,                 -2670,,                 16174,                 -2971,,                              0.23,                              0.23,,                              0.23,                              0.23,,,,,,,,
2453,2015年01月01日至2015年03月31日,,,                579495,,                174088,                753583,,,                412736,,                138230,                550966,                202617,                202617,,,                150008,,                 42388,                192396,                 10221,,,                  5473,,                   -856,,                  1135,,                 -4122,                   -640,                  9581,,                  5954,                  3627,                  3627,,,                 -3411,                     99,,                     -2,                   -253,                 -3061,                 -3061,                    566,,                  4966,                 -1339,,                  2089,                 -1523,,                              0.05,                              0.05,,                              0.05,                              0.05,,,,,,,,
2453,2014年第3季,,,                853028,,                162444,              1015472,,,                653657,,                129722,                783379,                232093,                232093,,,                170104,,                 59370,                229474,                  2619,,,                 14780,,                   -129,,                    996,,                    645,                 14300,                 16919,,                 -1264,                 18183,                 18183,,,                  4215,                     -9,,                   -758,                   -370,                  3818,                  3818,                 22001,,                 14306,                  3877,,                 17912,                  4089,,                              0.14,                              0.14,,                              0.14,                              0.14,,,,,,,,
2453,2014年第2季,,,              1117234,,                155854,              1273088,,,                869760,,                122695,                992455,                280633,                280633,,,                174257,,                 45578,                219835,                 60798,,,                  8007,,                    147,,                    371,,                 -1095,                  6688,                 67486,,                 12798,                 54688,                 54688,,,                 -5260,                    -65,,                   -203,                   -816,                 -4712,                 -4712,                 49976,,                 53425,                  1263,,                 48931,                  1045,,                              0.53,                              0.53,,                              0.53,                              0.53,,,,,,,,
2453,2014年度,,,              3988002,,                641286,              4629303,,,              3088541,,                522277,              3610818,              1018485,              1018485,,,                716239,,                221691,                937930,                 80555,,,                 48453,,                 -3780,,                  2993,,                 -5957,                 35723,                116278,,                 18042,                 98236,                 98236,,,,,,,,,                  5140,                103376,,                 97177,                  1059,,                101638,                  1738,,                              0.97,                              0.97,,                              0.97,                              0.97,,                     15,                 14450,                    316,                -11968,,                    815,                 -1527
2453,2014年01月01日至2014年09月30日,,,              2725306,,                464053,              3189359,,,              2111598,,                369195,              2480793,                708566,                708566,,,                482258,,                157672,                639930,                 68636,,,                 29556,,                    780,,                  1710,,                 -2165,                 26461,                 95097,,                 13328,                 81769,                 81769,,,                  3838,                    387,,                   -946,                   -470,                  3749,                  3749,                 85518,,                 79420,                  2349,,                 83029,                  2489,,                              0.79,                              0.79,,                              0.79,                              0.79,,,,,,,,
2453,2014年01月01日至2014年06月30日,,,              1872278,,                301609,              2173887,,,              1457941,,                239473,              1697414,                476473,                476473,,,                312154,,                 98302,                410456,                 66017,,,                 14776,,                    909,,                    714,,                 -2810,                 12161,                 78178,,                 14592,                 63586,                 63586,,,                   -377,                    396,,                   -188,                   -100,                    -69,                    -69,                 63517,,                 65114,                 -1528,,                 65117,                 -1600,,                              0.65,                              0.65,,                              0.65,                              0.65,,,,,,,,
