證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入,　　　　 銷貨收入合計,　　　 銷貨退回,　　　 銷貨折讓,　　　 銷貨收入淨額,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 除列按攤銷後成本衡量金融資產淨損益,　　　 除列按攤銷後成本衡量金融資產淨損益,　　 金融資產重分類淨損益,　　　 金融資產重分類淨損益,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　 不重分類至損益之項目,　　　 確定福利計畫之再衡量數,　　　 重估增值,　　　 指定按公允價值衡量之金融負債信用風險變動影響數,　　　 與待出售非流動資產直接相關之權益,　　　 與待出售非流動資產直接相關之權益,　　　 權益工具投資之利益（損失）,　　　 不重分類至損益之其他項目,　　　 與不重分類之項目相關之所得稅,　　　 不重分類至損益之項目總額,　　　 現金流量避險中屬有效避險部分之避險工具利益(損失),　　　 國外營運機構淨投資避險中屬有效避險部分之避險工具利益(損失),　　　 與待出售非流動資產直接相關之權益,　　　 與待出售非流動資產直接相關之權益,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 可能重分類至損益之其他項目,　　　 與可能重分類之項目相關之所得稅,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）
3058,2015年第3季,,,,              1374214,                  3629,                  6645,              1363940,              1363940,,              1130556,                233384,                233384,,,                 56345,,                 95911,,                 58261,                210517,                 22867,,,                 23418,,                -21993,,                              0,,                              0,,                  2355,,                              0,                   -930,                 21937,,                 10802,                 11135,                 11135,,,                121573,                              0,                121573,                121573,                132708,,                 11129,                      6,,                132680,                     28,,                              0.07,,                              0.07,,,,,,,,,,,,,,,,,,,,,
3058,2015年第2季,,,,              1396602,                  4162,                 10081,              1382359,              1382359,,              1155703,                226656,                226656,,,                 62346,,                 86528,,                 48435,                197309,                 29347,,,                  7735,,                  1938,,,,,,                  2735,,                              0,                  6938,                 36285,,                  9531,                 26754,                 26754,,,                -42564,                    449,                -42115,                -42115,                -15361,,                 26747,                      7,,                -15360,                     -1,,                              0.16,,                              0.16,,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,,,
3058,2015年01月01日至2015年09月30日,,,,              3999569,                 13111,                 18454,              3968004,              3968004,,              3329417,                638587,                638587,,,                183321,,                257704,,                157291,                598316,                 40271,,,                 47149,,                -11450,,                              0,,                              0,,                  7984,,                              0,                 27715,                 67986,,                 23194,                 44792,                 44792,,,                 49399,                              0,                 49399,                 49399,                 94191,,                 44778,                     14,,                 94167,                     24,,                              0.26,,                              0.26,,,,,,,,,,,,,,,,,,,,,
3058,2015年01月01日至2015年06月30日,,,,              2625355,                  9482,                 11809,              2604064,              2604064,,              2198861,                405203,                405203,,,                126976,,                161793,,                 99030,                387799,                 17404,,,                 23731,,                 10543,,,,,,                  5629,,                              0,                 28645,                 46049,,                 12392,                 33657,                 33657,,,                -72174,                              0,                -72174,                -72174,                -38517,,                 33649,                      8,,                -38513,                     -4,,                              0.20,,                              0.20,,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,,,
3058,2015年01月01日至2015年03月31日,,,,              1228754,                  1728,                  5321,              1221705,              1221705,,              1043158,                178547,                178547,,,                 64630,,                 75265,,                 50595,                190490,                -11943,,,                 15996,,                  8605,,,,,,                  2894,,                              0,                 21707,                  9764,,                  2861,                  6903,                  6903,,,                -29610,                   -449,                -30059,                -30059,                -23156,,                  6902,                      1,,                -23153,                     -3,,                              0.04,,                              0.04,,,,,,,,,,,,,,,,,,,,,
3058,2014年第3季,,,,              1426705,                 10486,                  7508,              1408711,              1408711,,              1176116,                232595,                232595,,,                 78867,,                 93164,,                 46172,                218203,                 14392,,,                 14943,,                 23652,,                              0,,                              0,,                  2309,,                 -3782,                 32504,                 46896,,                  9215,                 37681,                 37681,,,                 62701,                     56,                 62757,                 62757,                100438,,                 37666,                     15,,                100439,                     -1,,                              0.22,,                              0.22,,,,,,,,,,,,,,,,,,,,,
3058,2014年第2季,,,,              1318619,                  3665,                  2775,              1312179,              1312179,,              1118779,                193400,                193400,,,                 69191,,                 87826,,                 47127,                204144,                -10744,,,                 15580,,                -19272,,,,,,                  3097,,                 -4013,                -10802,                -21546,,                    519,                -22065,                -22065,,,                -47035,                    179,                -46856,                -46856,                -68921,,                -22058,                     -7,,                -68912,                     -9,,                             -0.13,,                             -0.13,,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,,,
3058,2014年度,,,,              5415547,                 28236,                 24547,              5362764,              5362764,,              4487483,                875281,                875281,,,                294961,,                353345,,                189896,                838202,                 37079,,,                 69671,,                -39245,,                              0,,                              0,,                  9103,,                -15917,                  5406,                 42485,,                 23906,                 18579,                 18579,,,,,,                107161,                125740,,                 18572,                      7,,                125752,                    -12,,                              0.11,,                              0.11,,,,,,,,,,,,,,,,,,,                110823,                 -4007,                    345
3058,2014年01月01日至2014年09月30日,,,,              4029034,                 27290,                 13996,              3987748,              3987748,,              3341526,                646222,                646222,,,                210291,,                259528,,                139901,                609720,                 36502,,,                 51383,,                 -7579,,                              0,,                              0,,                  7496,,                -10449,                 25859,                 62361,,                 17944,                 44417,                 44417,,,                 23757,                 -3924,                 19833,                 19833,                 64250,,                 44410,                      7,,                 64249,                      1,,                              0.26,,                              0.26,,,,,,,,,,,,,,,,,,,,,
3058,2014年01月01日至2014年06月30日,,,,              2602329,                 16804,                  6488,              2579037,              2579037,,              2165410,                413627,                413627,,,                131424,,                166364,,                 93729,                391517,                 22110,,,                 36440,,                -31231,,,,,,                  5187,,                 -6667,                 -6645,                 15465,,                  8729,                  6736,                  6736,,,                -38944,                 -3980,                -42924,                -42924,                -36188,,                  6744,                     -8,,                -36190,                      2,,                              0.04,,                              0.04,,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,,,
3058,2014年01月01日至2014年03月31日,,,,              1283710,                 13139,                  3713,              1266858,              1266858,,              1046631,                220227,                220227,,,                 62233,,                 78538,,                 46602,                187373,                 32854,,,                 20860,,                -11959,,,,,,                  2090,,                 -2654,                  4157,                 37011,,                  8210,                 28801,                 28801,,,                  8091,                 -4159,                  3932,                  3932,                 32733,,                 28802,                     -1,,                 32722,                     11,,                              0.17,,                              0.17,,,,,,,,,,,,,,,,,,,,,
3058,2013年第3季,,,,              1799413,                  6181,                  1839,              1791393,              1791393,,              1472978,                318415,                318415,,,                 65958,,                119191,,                 55266,                240415,                 78000,,,                  9077,,                 -1772,,                              0,,                              0,,                  1685,,                 -1747,                  3873,                 81873,,                  5275,                 76598,                 76598,,,,,,                -30565,                 46033,,                 76589,                      9,,                 46015,                     18,,                              0.45,,                              0.45,,,,,,,,,,,,,,,,,,,                -30489,                    -76,
3058,2013年第2季,,,,              1589325,                 11805,                  1194,              1576326,              1576326,,              1302503,                273823,                273823,,,                 58072,,                 93065,,                 53844,                204981,                 68842,,,                  9205,,                -11234,,,,,,                  1527,,                 -3817,                 -7373,                 61469,,                 12436,                 49033,                 49033,,,,,,                 45621,                 94654,,                 49033,                              0,,                 94654,                              0,,                              0.29,,                              0.29,,,,,,,,,,,,,,,,,,,                 45703,                    -82,
3058,2013年度,,,,              6231648,                 37894,                  9288,              6184466,              6184466,,              5179385,              1005081,              1005081,,,                269387,,                368627,,                210039,                848053,                157028,,,                 48085,,                -31343,,                              0,,                              0,,                  7610,,                -15070,                 -5938,                151090,,                 28515,                122575,                122575,,,,,,                113229,                235804,,                122572,                      3,,                235812,                     -8,,                              0.73,,                              0.72,,,,,,,,,,,,,,,,,,,                116719,                 -3855,                    365
3058,2013年07月01日至2013年09月30日,,,,              1799413,                  6181,                  1839,              1791393,              1791393,,              1472978,                318415,                318415,,,                 65958,,                119191,,                 55266,                240415,                 78000,,,                  9077,,                 -1772,,                              0,,                              0,,                  1685,,                 -1747,                  3873,                 81873,,                  5275,                 76598,                 76598,,,,,,                -30565,                 46033,,                 76589,                      9,,                 46015,                     18,,                              0.45,,                              0.45,,,,,,,,,,,,,,,,,,,                -30489,                    -76,
3058,2013年04月01日至2013年06月30日,,,,              1589325,                 11805,                  1194,              1576326,              1576326,,              1302503,                273823,                273823,,,                 58072,,                 93065,,                 53844,                204981,                 68842,,,                  9205,,                -11234,,,,,,                  1527,,                 -3817,                 -7373,                 61469,,                 12436,                 49033,                 49033,,,,,,                 45621,                 94654,,                 49033,,,                 94654,,,                              0.29,,                              0.29,,,,,,,,,,,,,,,,,,,                 45703,                    -82,
3058,2013年01月01日至2013年12月31日,,,,              6231648,                 37894,                  9288,              6184466,              6184466,,              5179385,              1005081,              1005081,,,                269387,,                368627,,                210039,                848053,                157028,,,                 48085,,                -31343,,                              0,,                              0,,                  7610,,                -15070,                 -5938,                151090,,                 28515,                122575,                122575,,,,,,                113229,                235804,,                122572,                      3,,                235812,                     -8,,                              0.73,,                              0.72,,,,,,,,,,,,,,,,,,,                116719,                 -3855,                    365
3058,2013年01月01日至2013年09月30日,,,,              4680647,                 29294,                  4019,              4647334,              4647334,,              3850585,                796749,                796749,,,                156912,,                291750,,                154994,                603656,                193093,,,                 31169,,                -28838,,                              0,,                              0,,                  5337,,                 -7388,                -10394,                182699,,                 23551,                159148,                159148,,,,,,                 78651,                237799,,                159139,                      9,,                237781,                     18,,                              0.96,,                              0.94,,,,,,,,,,,,,,,,,,,                 78806,                   -155,
3058,2013年01月01日至2013年06月30日,,,,              2881234,                 23113,                  2180,              2855941,              2855941,,              2377607,                478334,                478334,,,                 90954,,                172559,,                 99728,                363241,                115093,,,                 22092,,                -27066,,,,,,                  3652,,                 -5641,                -14267,                100826,,                 18276,                 82550,                 82550,,,,,,                109216,                191766,,                 82550,                              0,,                191766,                              0,,                              0.51,,                              0.49,,,,,,,,,,,,,,,,,,,                109295,                    -79,
3058,2013年01月01日至2013年03月31日,,,,              1291909,                 11308,                    986,              1279615,              1279615,,              1075104,                204511,                204511,,,                 32881,,                 79494,,                 45884,                158259,                 46252,,,                 12887,,                -15831,,,,,,                  2125,,                 -1824,                 -6893,                 39359,,                  5840,                 33519,                 33519,,,,,,                 63595,                 97114,,                 33519,                              0,,                 97114,                              0,,                              0.21,,                              0.20,,,,,,,,,,,,,,,,,,,                 63592,                      3,
3058,2012年07月01日至2012年09月30日,,,,              2084138,                  8189,                  1871,              2074078,              2074078,,              1698660,                375418,                375418,,,                 85761,,                116183,,                 50533,                252477,                122941,,,                 18413,,                  9715,,                              0,,                              0,,                  2826,,                 -3407,                 21895,                144836,,                  8163,                136673,                136673,,,,,,                -51389,                 85284,,                136673,                              0,,                 85284,                              0,,                              0.94,,                              0.81,,,,,,,,,,,,,,,,,,,                -47650,                 -3739,
3058,2012年04月01日至2012年06月30日,,,,              2118554,                  6235,                  1455,              2110864,              2110864,,              1772576,                338288,                338288,,,                 80084,,                 95334,,                 53888,                229306,                108982,,,                 13256,,                 -3715,,,,,,                  3182,,                 -5656,                    703,                109685,,                  5148,                104537,                104537,,,,,,                 19255,                123792,,                104537,,,                123792,,,                              0.72,,                              0.64,,,,,,,,,,,,,,,,,,,                 19255,                              0,
3058,2012年01月01日至2012年12月31日,,,,              7547167,                 31072,                  8474,              7507621,              7507621,,              6297120,              1210501,              1210501,,,                305420,,                398030,,                191327,                894777,                315724,,,                 96771,,                  8417,,                              0,,                              0,,                 12880,,                -11347,                 80961,                396685,,                 36560,                360125,                360125,,,,,,                -88147,                271978,,                360125,                              0,,                271978,                              0,,                              2.46,,                              2.15,,,,,,,,,,,,,,,,,,,                -80662,                 -7414,                    -71
3058,2012年01月01日至2012年09月30日,,,,              5949449,                 25043,                  7192,              5917214,              5917214,,              4951937,                965277,                965277,,,                237067,,                303632,,                156797,                697496,                267781,,,                 55730,,                 20346,,                              0,,                              0,,                  9620,,                -11997,                 54459,                322240,,                 26990,                295250,                295250,,,,,,                -83390,                211860,,                295250,                              0,,                211860,                              0,,                              2.02,,                              1.76,,,,,,,,,,,,,,,,,,,                -79651,                 -3739,
3058,2012年01月01日至2012年06月30日,,,,              3865311,                 16854,                  5321,              3843136,              3843136,,              3253277,                589859,                589859,,,                151306,,                187449,,                106264,                445019,                144840,,,                 37317,,                 10631,,,,,,                  6794,,                 -8590,                 32564,                177404,,                 18827,                158577,                158577,,,,,,                -32001,                126576,,                158577,,,                126576,,,                              1.09,,                              0.96,,,,,,,,,,,,,,,,,,,                -32001,                              0,
3058,2012年01月01日至2012年03月31日,,,,              1746757,                 10619,                  3866,              1732272,              1732272,,              1480701,                251571,                251571,,,                 71222,,                 92115,,                 52376,                215713,                 35858,,,                 24061,,                 14346,,,,,,                  3612,,                 -2934,                 31861,                 67719,,                 13679,                 54040,                 54040,,,,,,                -51256,                  2784,,                 54040,,,                  2784,,,                              0.37,,                              0.32,,,,,,,,,,,,,,,,,,,                -51256,                              0,
