證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入,　　　　 銷貨收入合計,　　　 銷貨退回,　　　 銷貨收入淨額,　　 勞務收入,　　　 勞務收入,　　　　 勞務收入淨額,　　　 勞務收入合計,　　 營業收入合計,　 營業成本,　　 銷貨成本,　　　 銷貨成本合計,　　 勞務成本,　　　 勞務成本,　　　　 勞務成本合計,　　　 勞務成本合計,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 利息費用,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 確定福利計畫精算利益（損失）,　　 備供出售金融資產未實現評價損益
2459,2015年第3季,,,,              2777932,                 76765,              2701167,,,                165508,                165508,              2866675,,,              2483591,,,                103283,                103283,              2586874,                279801,                279801,,,                 73712,,                 67069,,                 21081,                161862,                117939,,,                  9182,,                 25946,,                  4667,                  4667,                 30461,                148400,,                 24956,                123444,                123444,,,                218196,                     -7,                218189,                218189,                341633,,                112327,                 11117,,                318961,                 22672,,                              1.01,,                              1.01,,,
2459,2015年第2季,,,,              2964001,                 31836,              2932165,,,                180205,                180205,              3112370,,,              2712484,,,                118530,                118530,              2831014,                281356,                281356,,,                 72376,,                 67813,,                 19731,                159920,                121436,,,                 12026,,                 19844,,                  3824,                  3824,                 28046,                149482,,                 27576,                121906,                121906,,,                -70266,                      7,                -70259,                -70259,                 51647,,                112411,                  9495,,                 46699,                  4948,,                              1.00,,                              0.99,,,
2459,2015年01月01日至2015年09月30日,,,,              7973799,                127002,              7846797,,,                500674,                500674,              8347471,,,              7226584,,,                327897,                327897,              7554481,                792990,                792990,,,                218575,,                192577,,                 59915,                471067,                321923,,,                 32409,,                 64281,,                 12747,                 12747,                 83943,                405866,,                 76167,                329699,                329699,,,                 45053,                              0,                 45053,                 45053,                374752,,                302005,                 27694,,                342869,                 31883,,                              2.69,,                              2.68,,,
2459,2015年01月01日至2015年06月30日,,,,              5195867,                 50237,              5145630,,,                335166,                335166,              5480796,,,              4742993,,,                224614,                224614,              4967607,                513189,                513189,,,                144863,,                125508,,                 38834,                309205,                203984,,,                 23227,,                 38335,,                  8080,                  8080,                 53482,                257466,,                 51211,                206255,                206255,,,               -173143,                      7,               -173136,               -173136,                 33119,,                189678,                 16577,,                 23908,                  9211,,                              1.68,,                              1.67,,,
2459,2015年01月01日至2015年03月31日,,,,              2231866,                 18401,              2213465,,,                154961,                154961,              2368426,,,              2030509,,,                106084,                106084,              2136593,                231833,                231833,,,                 72487,,                 57695,,                 19103,                149285,                 82548,,,                 11201,,                 18491,,                  4256,                  4256,                 25436,                107984,,                 23635,                 84349,                 84349,,,               -102877,,               -102877,               -102877,                -18528,,                 77267,                  7082,,                -22791,                  4263,,                              0.68,,                              0.68,,,
2459,2014年第3季,,,,              2825495,                 29637,              2795858,,,                201229,                201229,              2997087,,,              2524305,,,                116641,                116641,              2640946,                356141,                356141,,,                 84279,,                 63554,,                 19800,                167633,                188508,,,                  9886,,                 17380,,                  3975,                  3975,                 23291,                211799,,                 44131,                167668,                167668,,,                113986,                              0,                113986,                113986,                281654,,                152056,                 15612,,                259253,                 22401,,                              1.08,,                              1.08,,,
2459,2014年第2季,,,,              2596740,                 27443,              2569297,,,                187718,                187718,              2757015,,,              2325175,,,                115108,                115108,              2440283,                316732,                316732,,,                 68557,,                 58784,,                 20443,                147784,                168948,,,                 11210,,                 14650,,                  3507,                  3507,                 22353,                191301,,                 54135,                137166,                137166,,,                -90622,                              0,                -90622,                -90622,                 46544,,                129124,                  8042,,                 43680,                  2864,,                              0.90,,                              0.90,,,
2459,2014年度,,,,              9975440,                 96831,              9878609,,,                755079,                755079,             10633688,,,              8918223,,,                465750,                465750,              9383973,              1249715,              1249715,,,                293820,,                286951,,                 77725,                658496,                591219,,,                 42039,,                 68326,,                 16802,                 16802,                 93563,                684782,,                175939,                508843,                508843,,,,,,                189733,                698576,,                468712,                 40131,,                648870,                 49706,,                              3.48,,                              3.47,                185932,                  3801,
2459,2014年01月01日至2014年09月30日,,,,              7403246,                 73653,              7329593,,,                551953,                551953,              7881546,,,              6629689,,,                335349,                335349,              6965038,                916508,                916508,,,                219514,,                189017,,                 59240,                467771,                448737,,,                 33998,,                 60525,,                 12009,                 12009,                 82514,                531251,,                127536,                403715,                403715,,,                 27402,                              0,                 27402,                 27402,                431117,,                374362,                 29353,,                401341,                 29776,,                              2.64,,                              2.64,,,
2459,2014年01月01日至2014年06月30日,,,,              4577751,                 44016,              4533735,,,                350724,                350724,              4884459,,,              4105384,,,                218708,                218708,              4324092,                560367,                560367,,,                135235,,                125463,,                 39440,                300138,                260229,,,                 24112,,                 43145,,                  8034,                  8034,                 59223,                319452,,                 83405,                236047,                236047,,,                -86584,                              0,                -86584,                -86584,                149463,,                222306,                 13741,,                142088,                  7375,,                              1.56,,                              1.56,,,
