證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 未實現銷貨（損）益,　 已實現銷貨（損）益,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 停業單位損益,　　 停業單位損益合計,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅
3050,2015年第3季,,                227220,,                161900,                 65320,                              0,                              0,                 65320,,,                 35953,,                 22394,,                              0,                 58347,                  6973,,,                 20402,,                 15278,,                  2448,,                 -5779,                 27453,                 34426,,                 10382,                 24044,,                              0,                 24044,,,                  1795,                -32509,                    -56,                -30658,                -30658,                 -6614,,                 24044,                              0,,                 -6614,                              0,,                              0.14,,                              0.14,,,,
3050,2015年第2季,,                230773,,                158902,                 71871,                              0,                              0,                 71871,,,                 35830,,                 25229,,                   -396,                 60663,                 11208,,,                  6679,,                 56083,,                  2154,,                -12056,                 48552,                 59760,,                  7978,                 51782,,                              0,                 51782,,,                 -5906,                 50617,,                 44711,                 44711,                 96493,,                 51782,                              0,,                 96493,                              0,,                              0.29,,                              0.29,,,,
3050,2015年01月01日至2015年09月30日,,                712574,,                500852,                211722,                              0,                              0,                211722,,,                110336,,                 65767,,                  1407,                177510,                 34212,,,                 33667,,                 78794,,                  6443,,                -27591,                 78427,                112639,,                 20323,                 92316,,                              0,                 92316,,,                -12835,                115833,                 -2182,                105180,                105180,                197496,,                 92316,                              0,,                197496,                              0,,                              0.53,,                              0.53,,,,
3050,2015年01月01日至2015年06月30日,,                485354,,                338952,                146402,                              0,                              0,                146402,,,                 74383,,                 43373,,                  1407,                119163,                 27239,,,                 13265,,                 63516,,                  3995,,                -21812,                 50974,                 78213,,                  9941,                 68272,,                              0,                 68272,,,                -12504,                148342,,                135838,                135838,                204110,,                 68272,                              0,,                204110,                              0,,                              0.39,,                              0.39,,,,
3050,2015年01月01日至2015年03月31日,,                254581,,                180050,                 74531,                              0,                              0,                 74531,,,                 38553,,                 18144,,                  1803,                 58500,                 16031,,,                  6586,,                  7433,,                  1841,,                 -9756,                  2422,                 18453,,                  1963,                 16490,,                              0,                 16490,,,                 -6598,                 97725,,                 91127,                 91127,                107617,,                 16490,                              0,,                107617,                              0,,                              0.09,,                              0.09,,,,
3050,2014年第3季,,                206340,,                157887,                 48453,                              0,                              0,                 48453,,,                 38293,,                 16833,,                  2046,                 57172,                 -8719,,,                 26962,,                 -3777,,                  1347,,                 -9360,                 12478,                  3759,,                 10555,                 -6796,,                              0,                 -6796,,,                 -5417,                -31493,                   -922,                -35988,                -35988,                -42784,,                 -6796,                              0,,                -42784,                              0,,                             -0.04,,                             -0.04,,,,
3050,2014年第2季,,                201774,,                156102,                 45672,                              0,                              0,                 45672,,,                 34431,,                 18915,,                  2487,                 55833,                -10161,,,                 14099,,                   -702,,                  1633,,                -13115,                 -1351,                -11512,,                    621,                -12133,,                              0,                -12133,,,                  7221,               -126281,,               -119060,               -119060,               -131193,,                -12133,                              0,,               -131193,                              0,,                             -0.07,,                             -0.07,,,,
3050,2014年度,,                834767,,                634825,                199942,                              0,                              0,                199942,,,                145587,,                 69024,,                  8547,                223158,                -23216,,,                 48313,,                -10059,,                  5481,,                -53401,                -20628,                -43844,,                 20498,                -64342,,                              0,                -64342,,,,,,,                -66541,               -130883,,                -64342,                              0,,               -130883,                              0,,                             -0.36,,                             -0.36,                  6979,                -77520,                  4000,
3050,2014年01月01日至2014年09月30日,,                630576,,                477205,                153371,                              0,                              0,                153371,,,                109148,,                 53497,,                  6218,                168863,                -15492,,,                 46161,,                 13466,,                  4244,,                -33775,                 21608,                  6116,,                 11638,                 -5522,,                              0,                 -5522,,,                  6260,                -58367,                  1064,                -53171,                -53171,                -58693,,                 -5522,                              0,,                -58693,                              0,,                             -0.03,,                             -0.03,,,,
3050,2014年01月01日至2014年06月30日,,                424236,,                319318,                104918,                              0,                              0,                104918,,,                 70855,,                 36664,,                  4172,                111691,                 -6773,,,                 19199,,                 17243,,                  2897,,                -24415,                  9130,                  2357,,                  1083,                  1274,,                              0,                  1274,,,                  9691,                -26874,,                -17183,                -17183,                -15909,,                  1274,                              0,,                -15909,                              0,,                              0.01,,                              0.01,,,,
