證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入淨額,　　 其他營業收入,　　　 其他營業收入淨額,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 利息收入,　　　　 利息收入合計,　　　 股利收入,　　　 其他收入－其他,　　　 其他收入合計,　　 其他利益及損失,　　　 外幣兌換利益,　　　 透過損益按公允價值衡量之金融資產（負債）利益,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　　 處分不動產、廠房及設備利益,　　 不重分類至損益之項目,　　　 確定福利計畫之再衡量數,　　　 重估增值,　　　 指定按公允價值衡量之金融負債信用風險變動影響數,　　　 與待出售非流動資產直接相關之權益,　　　 權益工具投資之利益（損失）,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　　 不重分類至損益之其他項目,　　　 與不重分類之項目相關之所得稅,　　　 不重分類至損益之項目總額,　　　 處分投資利益,　　 除列按攤銷後成本衡量金融資產淨損益,　　　 除列按攤銷後成本衡量金融資產淨損益,　 停業單位損益,　　 停業單位損益合計,　　 國外營運機構財務報表換算之兌換差額,　　 確定福利計畫精算利益（損失）,　　 其他綜合損益,　　 繼續營業單位淨利（淨損）,　　 稀釋繼續營業單位淨利（淨損）,　　　 什項支出,　　　 透過損益按公允價值衡量之金融資產（負債）損失
1525,2015年第3季,,,                294469,,                  6132,                300601,,                271457,                 29144,                 29144,,,                    721,,                 18707,,                  4042,                 23470,                  5674,,,,                  2387,                              0,                    767,                  3154,,                  4032,                     16,                  4048,,                    253,,                 87735,                 94684,                100358,,                  5839,                 94519,                 94519,,,                132359,                132359,                132359,                226878,,                 94519,,                226878,,                              1.36,,                              1.36,,,,,,,,,,,,,,,,,,,,,,,,
1525,2015年第2季,,,                319909,,                  2775,                322684,,                284680,                 38004,                 38004,,,                    645,,                 18479,,                  4041,                 23165,                 14839,,,,                  2567,                              0,                    159,                  2726,,                 -1081,                     26,                 -1055,,                    180,,                 94502,                 95993,                110832,,                 24839,                 85993,                 85993,,,                -41428,                -41428,                -41428,                 44565,,                 85993,,                 44565,,                              1.24,,                              1.24,,,,,,,,,,,,,,,,,,,,,,,,
1525,2015年01月01日至2015年09月30日,,,                900890,,                  8987,                909877,,                813277,                 96600,                 96600,,,                  2347,,                 55110,,                 13154,                 70611,                 25989,,,,                  7374,                              0,                    995,                  8369,,                  2174,                     65,                  2239,,                    608,,                268577,                278577,                304566,,                 33191,                271375,                271375,,,                 57145,                 57145,                 57145,                328520,,                271375,,                328520,,                              3.92,,                              3.92,,,,,,,,,,,,,,,,,,,,,,,,
1525,2015年01月01日至2015年06月30日,,,                606421,,                  2855,                609276,,                541820,                 67456,                 67456,,,                  1626,,                 36403,,                  9112,                 47141,                 20315,,,,                  4987,                              0,                    228,                  5215,,                 -1858,                     49,                 -1809,,                    355,,                180842,                183893,                204208,,                 27352,                176856,                176856,,,                -75214,                -75214,                -75214,                101642,,                176856,,                101642,,                              2.55,,                              2.55,,,,,,,,,,,,,,,,,,,,,,,,
1525,2015年01月01日至2015年03月31日,,,                286512,,                     80,                286592,,                257140,                 29452,                 29452,,,                    981,,                 17924,,                  5071,                 23976,                  5476,,,,                  2420,                              0,,                  2420,,                   -777,                     23,                   -685,,                    175,,                 86340,                 87900,                 93376,,                  2513,                 90863,                 90863,,,                -33786,                -33786,                -33786,                 57077,,                 90863,,                 57077,,                              1.31,,                              1.31,                     69,,                              0,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,                              0,,,,,,,,,,,,
1525,2014年第3季,,,                289706,,                  7997,                297703,,                259186,                 38517,                 38517,,,                    783,,                 25910,,                  4492,                 31185,                  7332,,,,                  1088,                    -12,                    110,                  1186,,                  1060,                     51,                  1111,,                     43,,                 76378,                 78632,                 85964,,                  2219,                 83745,                 83745,,,                 60668,                 60668,                 60668,                144413,,                 83745,,                144413,,                              1.21,,                              1.21,,,,,,,,,,,,,,,,,,,,,,,,
1525,2014年第2季,,,                296719,,                    665,                297384,,                265575,                 31809,                 31809,,,                    681,,                 17870,,                  5656,                 24207,                  7602,,,,                  2007,                    -60,                    346,                  2293,,                   -813,                     67,                   -746,,                     60,,                 84969,                 86456,                 94058,,                 17737,                 76321,                 76321,,,                -40484,                -40484,                -40484,                 35837,,                 76321,,                 35837,,                              1.10,,                              1.10,,,,,,,,,,,,,,,,,,,,,,,,
1525,2014年度,,,              1160960,,                 24754,              1185714,,              1052469,                133245,                133245,,,                  3128,,                 87744,,                 19708,                110580,                 22665,,,,                  7394,                  4412,,                 11806,,                  1807,                    227,                  4823,,                    298,,                317308,                333639,                356304,,                 36714,                319590,                319590,,,,,                 98779,                418369,,                319590,,                418369,,                              4.62,,                              4.61,                  2789,,,,,,,,,,,,                              0,,                              0,,                              0,                 98903,                   -149,                     25,                              4.62,                              4.61,,
1525,2014年01月01日至2014年09月30日,,,                823040,,                 16534,                839574,,                752802,                 86772,                 86772,,,                  2412,,                 62055,,                 14756,                 79223,                  7549,,,,                  5137,                  4385,                  2258,                 11780,,                    116,                    212,                    328,,                    103,,                240998,                253003,                260552,,                 27529,                233023,                233023,,,                  9506,                  9506,                  9506,                242529,,                233023,,                242529,,                              3.37,,                              3.36,,,,,,,,,,,,,,,,,,,,,,,,
1525,2014年01月01日至2014年06月30日,,,                533334,,                  8537,                541871,,                493616,                 48255,                 48255,,,                  1629,,                 36145,,                 10264,                 48038,                    217,,,,                  4049,                  4397,                  2148,                 10594,,                   -944,                    161,                   -783,,                     60,,                164620,                174371,                174588,,                 25310,                149278,                149278,,,                -51162,                -51162,                -51162,                 98116,,                149278,,                 98116,,                              2.16,,                              2.15,,,,,,,,,,,,,,,,,,,,,,,,
