證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 備供出售金融資產未實現評價損益,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅
2493,2015年第3季,,                549279,,                374607,                174672,                174672,,,                 40964,,                 19502,,                  9038,                 69504,                105168,,,                  5445,,                 42246,,                     84,                 47607,                152775,,                 25561,                127214,                127214,,,                    380,                    380,                    380,                127594,,                              1.11,                              1.11,,                              1.10,                              1.10,,,
2493,2015年第2季,,                557673,,                414391,                143282,                143282,,,                 46454,,                 31340,,                 10540,                 88334,                 54948,,,                    579,,                 -9125,,                     78,                 -8624,                 46324,,                  6221,                 40103,                 40103,,,                   -620,                   -620,                   -620,                 39483,,                              0.35,                              0.35,,                              0.35,                              0.35,,,
2493,2015年01月01日至2015年09月30日,,              1677815,,              1202748,                475067,                475067,,,                134369,,                 87690,,                 27149,                249208,                225859,,,                  6434,,                 26913,,                    276,                 33071,                258930,,                 41943,                216987,                216987,,,                   -380,                   -380,                   -380,                216607,,                              1.90,                              1.90,,                              1.87,                              1.87,,,
2493,2015年01月01日至2015年06月30日,,              1128536,,                828141,                300395,                300395,,,                 93405,,                 68188,,                 18111,                179704,                120691,,,                    989,,                -15333,,                    192,                -14536,                106155,,                 16382,                 89773,                 89773,,,                   -760,                   -760,                   -760,                 89013,,                              0.78,                              0.78,,                              0.78,                              0.78,,,
2493,2015年01月01日至2015年03月31日,,                570863,,                413750,                157113,                157113,,,                 46951,,                 36848,,                  7571,                 91370,                 65743,,,                    410,,                 -6208,,                    114,                 -5912,                 59831,,                 10161,                 49670,                 49670,,,                   -140,                   -140,                   -140,                 49530,,                              0.43,                              0.43,,                              0.43,                              0.43,,,
2493,2014年第3季,,                624957,,                439465,                185492,                185492,,,                 46217,,                 39935,,                  7403,                 93555,                 91937,,,                  5178,,                   -542,,                    115,                  4521,                 96458,,                 16880,                 79578,                 79578,,,                 -3454,                 -3454,                 -3454,                 76124,,                              0.69,                              0.69,,                              0.69,                              0.69,,,
2493,2014年第2季,,                601745,,                417187,                184558,                184558,,,                 39154,,                 18501,,                  8772,                 66427,                118131,,,                    779,,                 -7264,,                    128,                 -6613,                111518,,                  9374,                102144,                102144,,,                    490,                    490,                    490,                102634,,                              0.89,                              0.89,,                              0.88,                              0.88,,,
2493,2014年度,,              2359316,,              1653097,                706219,                706219,,,                175008,,                103208,,                 32263,                310479,                395740,,,                 12959,,                 26445,,                    521,                 38883,                434623,,                 59625,                374998,                374998,,,,,                -24802,                350196,,                              3.28,                              3.28,,                              3.24,                              3.24,                -11252,                -16325,                 -2775
2493,2014年01月01日至2014年09月30日,,              1755038,,              1221886,                533152,                533152,,,                126117,,                 91795,,                 23071,                240983,                292169,,,                  6618,,                 17317,,                    398,                 23537,                315706,,                 44041,                271665,                271665,,,                 -7487,                 -7487,                 -7487,                264178,,                              2.37,                              2.37,,                              2.35,                              2.35,,,
2493,2014年01月01日至2014年06月30日,,              1130081,,                782421,                347660,                347660,,,                 79900,,                 51860,,                 15668,                147428,                200232,,,                  1440,,                 17859,,                    283,                 19016,                219248,,                 27161,                192087,                192087,,,                 -4033,                 -4033,                 -4033,                188054,,                              1.68,                              1.68,,                              1.66,                              1.66,,,
