證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 銷貨成本,　　　 銷貨成本合計,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 不重分類至損益之項目,　　　 不重分類至損益之其他項目,　　　 不重分類至損益之項目總額,　　 後續可能重分類至損益之項目,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　 銷貨收入淨額,　　　 銷貨收入淨額,　　 國外營運機構財務報表換算之兌換差額,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅
2351,2015年第3季,,              2155871,,,              1788804,              1788804,                367067,                367067,,,                 62321,,                 68529,,                 48086,                178936,                188131,,,                  6734,,                 67335,,                 12481,                 61588,                249719,,                 34497,                215222,                215222,,,                 45113,                 45113,,                  7669,                 -7669,                 37444,                252666,,                198886,                 16336,,                236330,                 16336,,                              1.09,,                              1.09,,,,,
2351,2015年第2季,,              2353218,,,              1932318,              1932318,                420900,                420900,,,                 67884,,                 72368,,                 50070,                190322,                230578,,,                  5370,,                -13383,,                 12357,                -20370,                210208,,                 72340,                137868,                137868,,,                -17950,                -17950,,                 -3052,                  3052,                -14898,                122970,,                120977,                 16891,,                106079,                 16891,,                              0.66,,                              0.66,,,,,
2351,2015年01月01日至2015年09月30日,,              6727892,,,              5545978,              5545978,              1181914,              1181914,,,                192704,,                216014,,                158907,                567625,                614289,,,                 15310,,                 57926,,                 36229,                 37007,                651296,,                142213,                509083,                509083,,,                 -1303,                 -1303,,                   -222,                    222,                 -1081,                508002,,                467967,                 41116,,                466886,                 41116,,                              2.57,,                              2.57,,,,,
2351,2015年01月01日至2015年06月30日,,              4572021,,,              3757174,              3757174,                814847,                814847,,,                130383,,                147485,,                110821,                388689,                426158,,,                  8576,,                 -9409,,                 23748,                -24581,                401577,,                107716,                293861,                293861,,,                -46416,                -46416,,                 -7891,                  7891,                -38525,                255336,,                269081,                 24780,,                230556,                 24780,,                              1.48,,                              1.47,,,,,
2351,2015年01月01日至2015年03月31日,,              2218803,,,              1824856,              1824856,                393947,                393947,,,                 62499,,                 75117,,                 60751,                198367,                195580,,,                  3206,,                  3974,,                 11391,                 -4211,                191369,,                 35376,                155993,                155993,,,                -28466,                -28466,,                 -4839,                  4839,                -23627,                132366,,                148104,                  7889,,                124477,                  7889,,                              0.81,,,,              2218803,,,
2351,2014年第3季,,              2652070,,,              2151474,              2151474,                500596,                500596,,,                 69397,,                 80153,,                 60157,                209707,                290889,,,                  5814,,                 20081,,                 12221,                 13674,                304563,,                 58062,                246501,                246501,,,                 32976,                 32976,,                  5606,                 -5606,                 27370,                273871,,                225998,                 20503,,                253368,                 20503,,                              1.26,,                              1.26,,,,,
2351,2014年第2季,,              2492176,,,              2037859,              2037859,                454317,                454317,,,                 69112,,                 67011,,                 58840,                194963,                259354,,,                  4632,,                -14132,,                 12475,                -21975,                237379,,                 64121,                173258,                173258,,,                -35305,                -35305,,                 -6002,                  6002,                -29303,                143955,,                152170,                 21088,,                122867,                 21088,,                              0.84,,                              0.84,,,,,
2351,2014年度,,              9797857,,,              8050347,              8050347,              1747510,              1747510,,,                286649,,                288331,,                237170,                812150,                935360,,,                 19329,,                 83505,,                 49487,                 53347,                988707,,                207846,                780861,                780861,,,,,,,,                 86887,                867748,,                711747,                 69114,,                798296,                 69452,,                              3.95,,                              3.94,,,                104083,                    600,                 17796
2351,2014年01月01日至2014年09月30日,,              7387360,,,              6088485,              6088485,              1298875,              1298875,,,                201638,,                218087,,                169517,                589242,                709633,,,                 13916,,                 30170,,                 37285,                  6801,                716434,,                153930,                562504,                562504,,,                 20328,                 20328,,                  3456,                 -3456,                 16872,                579376,,                509647,                 52857,,                526519,                 52857,,                              2.83,,                              2.83,,,,,
2351,2014年01月01日至2014年06月30日,,              4735290,,,              3937011,              3937011,                798279,                798279,,,                132241,,                137934,,                109360,                379535,                418744,,,                  8102,,                 10089,,                 25064,                 -6873,                411871,,                 95868,                316003,                316003,,,                -12648,                -12648,,                 -2150,                  2150,                -10498,                305505,,                283649,                 32354,,                273151,                 32354,,                              1.57,,                              1.57,,,,,
