證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入,　　　　 銷貨收入,　　　　 銷貨收入合計,　　　 銷貨收入淨額,　　 營業收入合計,　 營業成本,　　 銷貨成本,　　　 銷貨成本,　　　 銷貨成本合計,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 利息收入,　　　　 銀行存款利息,　　　　 利息收入合計,　　　 股利收入,　　　 其他收入合計,　　 其他利益及損失,　　　 處分不動產、廠房及設備利益,　　　 處分投資利益,　　　 外幣兌換利益,　　　 透過損益按公允價值衡量之金融資產（負債）利益,　　　 減損迴轉利益,　　　　 金融資產減損迴轉利益,　　　　 減損迴轉利益合計,　　　 什項支出,　　　 其他利益及損失淨額,　　 財務成本,　　　 利息費用,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資利益之份額,　　　 採用權益法認列之關聯企業及合資損失之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 本期所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　　 減損損失,　　　　 金融資產減損損失,　　　　 減損損失合計,　　　 銷貨退回,　　　 銷貨折讓,　 其他收益及費損淨額,　　 其他收益及費損淨額,　　　 處分不動產、廠房及設備損失,　　　 處分投資損失,　　　 外幣兌換損失,　　　 透過損益按公允價值衡量之金融資產（負債）損失,　　 當期所得稅費用（利益）,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 與其他綜合損益組成部分相關之所得稅
1711,2014年01月01日至2014年03月31日,,,,              2350861,              2350861,              2342416,              2342416,,,              1771499,              1771499,              1771499,                570917,                570917,,,                161667,,                111871,,                 83037,                356575,                214342,,,,                  1612,                  1612,,                  1612,,                     37,                 11235,                  8342,,,,,                -12016,                 26174,,                 13078,                 13078,,                  8858,,                  8858,                 23566,                237908,,                 39249,                 39249,                198659,                198659,,,                  5537,                144158,,,                149695,                149695,                348354,,                191575,                  7084,,                339256,                  9098,,                              0.39,                              0.39,,                              0.38,                              0.38,,                              0,                              0,                  4237,                  4208,,                              0,                              0,                              0,                              0,                  5456,,,,,,,
1711,2013年第3季,,,,              2222114,              2222114,              2222114,              2222114,,,              1683771,              1683771,              1683771,                538343,                538343,,,                176143,,                116286,,                 85960,                378389,                159954,,,,                  2017,                  2017,                 41134,                 43151,,                    198,                  2845,                  8359,                    659,,,,                -24264,                 36325,,                  9930,                  9930,,                  2316,                              0,                  2316,                 71862,                231816,,,                 36969,                194847,                194847,,,,,,,,                130084,                324931,,                191839,                  3008,,                322411,                  2520,,                              0.39,                              0.39,,                              0.39,                              0.39,,,,,,,,,,,,                 36969,                -14405,                144489,,,,
1711,2013年第2季,,,,              2282312,              2282312,              2282312,              2282312,,,              1725874,              1725874,              1725874,                556438,                556438,,,                195244,,                 86989,,                 88539,                370772,                185666,,,,                  1692,                  1692,,                  1692,,                    127,                 -1080,                 25680,                   -847,,,,                 -4869,                 28749,,                 10383,                 10383,,                  3907,                              0,                  3907,                 23965,                209631,,,                 42522,                167109,                167109,,,,,,,,                -20712,                146397,,                160352,                  6757,,                138716,                  7681,,                              0.32,                              0.32,,                              0.32,                              0.32,,                              0,                              0,,,,,,,,,                 42522,                 18543,                -39255,,,,
1711,2013年度,,,,              8768980,              8768980,              8768980,              8768980,,,              6669666,              6669666,              6669666,              2099314,              2099314,,,                675139,,                448304,,                348378,              1471821,                627493,,,,                  6096,                  6096,                 40852,                 46948,,,                              0,                 65989,                    507,,,,                -43331,                 77703,,                 42409,                 42409,,                  2270,                              0,                  2270,                 84512,                712005,,,                122776,                589229,                589229,,,,,,,,                297037,                886266,,                588161,                  1068,,                867486,                 18780,,                              1.18,                              1.18,,                              1.18,                              1.18,,                 18270,                 18270,,,,,                    512,                 13342,,,                122776,                 63542,                225260,                  6981,,                  2440,                  1186
1711,2013年07月01日至2013年09月30日,,,,              2222114,              2222114,              2222114,              2222114,,,              1683771,              1683771,              1683771,                538343,                538343,,,                176143,,                116286,,                 85960,                378389,                159954,,,,                  2017,                  2017,                 41134,                 43151,,                    198,                -14282,                  8359,                    659,,                 17127,                 17127,                -24264,                 36325,,                  9930,                  9930,,                  2316,                              0,                  2316,                 71862,                231816,,,                 36969,                194847,                194847,,,,,,,,                130084,                324931,,                191839,                  3008,,                322411,                  2520,,                              0.41,                              0.41,,                              0.40,                              0.40,,,,,,,,,,,,                 36969,                -14405,                144489,,,,
1711,2013年04月01日至2013年06月30日,,,,              2282312,              2282312,              2282312,              2282312,,,              1725874,              1725874,              1725874,                556438,                556438,,,                195244,,                 86989,,                 88539,                370772,                185666,,,,                  1692,                  1692,,                  1692,,                    127,                 -1080,                 25680,                   -847,,,,                 -4869,                 28749,,                 10383,                 10383,,                  3907,                              0,                  3907,                 23965,                209631,,,                 42522,                167109,                167109,,,,,,,,                -20712,                146397,,                160352,                  6757,,                138716,                  7681,,                              0.34,                              0.34,,                              0.34,                              0.34,,                              0,                              0,,,,,,,,,                 42522,                 18543,                -39255,,,,
1711,2013年01月01日至2013年12月31日,,,,              8768980,              8768980,              8768980,              8768980,,,              6669666,              6669666,              6669666,              2099314,              2099314,,,                675139,,                448304,,                348378,              1471821,                627493,,,,                  6096,                  6096,                 40852,                 46948,,,                              0,                 65989,                    507,,                              0,                              0,                -43331,                 77703,,                 42409,                 42409,,                  2270,                              0,                  2270,                 84512,                712005,,,                122776,                589229,                589229,,,,,,,,                297037,                886266,,                588161,                  1068,,                867486,                 18780,,                              1.24,                              1.24,,                              1.24,                              1.24,,                 18270,                 18270,,,,,                    512,                 13342,                              0,,                122776,                 63542,                225260,                  6981,,                  2440,                  1186
1711,2013年01月01日至2013年09月30日,,,,              6475094,              6475094,              6475094,              6475094,,,              4946943,              4946943,              4946943,              1528151,              1528151,,,                511748,,                310224,,                254897,              1076869,                451282,,,,                  4354,                  4354,                 41134,                 45488,,                    398,                -15324,                 46762,                   -899,,,,                -37125,                 68062,,                 30351,                 30351,,                  3453,                              0,                  3453,                 86652,                537934,,,                104078,                433856,                433856,,,,,,,,                232317,                666173,,                436528,                 -2672,,                652545,                 13628,,                              0.88,                              0.88,,                              0.88,                              0.88,,,,,,,,,,,,                104078,                 44242,                188075,,,,
1711,2013年01月01日至2013年06月30日,,,,              4252980,              4252980,              4252980,              4252980,,,              3263172,              3263172,              3263172,                989808,                989808,,,                335605,,                193938,,                168937,                698480,                291328,,,,                  2337,                  2337,,                  2337,,                    200,                 -1042,                 38403,                 -1558,,,,                -12861,                 31737,,                 20421,                 20421,,                  1137,                              0,                  1137,                 14790,                306118,,,                 67109,                239009,                239009,,,,,,,,                102233,                341242,,                244689,                 -5680,,                330134,                 11108,,                              0.49,                              0.49,,                              0.49,                              0.49,,                 17127,                 17127,,,,,,,,,                 67109,                 58647,                 43586,,,,
1711,2013年01月01日至2013年03月31日,,,,              1981098,              1981098,              1970668,              1970668,,,              1537298,              1537298,              1537298,                433370,                433370,,,                140361,,                106949,,                 80398,                327708,                105662,,,,                    645,                    645,,                    645,,                     73,                     38,                 12723,                              0,,,,                 -7992,                  2988,,                 10038,                 10038,,                 -2770,,                 -2770,                 -9175,                 96487,,,                 24587,                 71900,                 71900,,,,,,,,                122945,                194845,,                 84337,                -12437,,                191418,                  3427,,                              0.18,                              0.18,,                              0.18,                              0.18,,                 17127,                 17127,                  8219,                  2211,,                              0,                              0,                              0,                              0,                    711,                 24587,                 40104,                 82841,,,,
1711,2012年07月01日至2012年09月30日,,,,              2090279,              2090279,              2090279,              2090279,,,              1609579,              1609579,              1609579,                480700,                480700,,,                135649,,                135841,,                 78315,                349805,                130895,,,,                 -1851,                 -1851,                 58165,                 56314,,                    507,                -24239,                  9434,                   -542,,                              0,                              0,                -13114,                 -1726,,                 11586,                 11586,,                              0,                  2835,                 -2835,                 40167,                171062,,,                 25525,                145537,                145537,,,,,,,,                -80008,                 65529,,                142311,                  3226,,                 64339,                  1190,,                              0.30,                              0.30,,                              0.30,                              0.30,,,,,,,,,,,,                 25525,                -12972,                -67036,,,,
1711,2012年04月01日至2012年06月30日,,,,              2100601,              2100601,              2100601,              2100601,,,              1565978,              1565978,              1565978,                534623,                534623,,,                199599,,                 60179,,                 85509,                345287,                189336,,,,                  4243,                  4243,,                  4243,,                    -98,                  3935,                 -3918,                  2110,,,,                  2817,                   -788,,                 16569,                 16569,,                              0,                  3004,                 -3004,                -16118,                173218,,,                 33301,                139917,                139917,,,,,,,,                -98465,                 41452,,                133805,                  6112,,                 36355,                  5097,,                              0.28,                              0.28,,                              0.28,                              0.28,,                              0,                              0,,,,,,,,,                 33301,                  5795,               -104260,,,,
1711,2012年01月01日至2012年12月31日,,,,              8012043,              8012043,              8012043,              8012043,,,              6213242,              6213242,              6213242,              1798801,              1798801,,,                613276,,                409290,,                322185,              1344751,                454050,,,,                  7761,                  7761,                 58165,                 65926,,,                476489,                 10251,                  1859,,                              0,                              0,                -41775,                295885,,                 45327,                 45327,,                              0,                 14835,                -14835,                301649,                755699,,,                 92979,                662720,                662720,,,,,,,,                -83318,                579402,,                658392,                  4328,,                577899,                  1503,,                              1.39,                              1.39,,                              1.39,                              1.39,,                231039,                231039,,,,,                  3450,                              0,                              0,,                 92979,                -44923,                 22872,                -71901,,                 -1589,                -12223
1711,2012年01月01日至2012年09月30日,,,,              6080996,              6080996,              6080996,              6080996,,,              4683729,              4683729,              4683729,              1397267,              1397267,,,                469626,,                293086,,                235285,                997997,                399270,,,,                  3375,                  3375,                 58165,                 61540,,                   -985,                526171,                  3887,                  1573,,                              0,                              0,                -21562,                552208,,                 36554,                 36554,,                              0,                  9688,                 -9688,                567506,                966776,,,                 67263,                899513,                899513,,,,,,,,               -197808,                701705,,                893702,                  5811,,                696106,                  5599,,                              1.89,                              1.89,,                              1.88,                              1.88,,,,,,,,,,,,                 67263,                -40716,               -157092,,,,
1711,2012年01月01日至2012年06月30日,,,,              3990717,              3990717,              3990717,              3990717,,,              3074150,              3074150,              3074150,                916567,                916567,,,                333977,,                157245,,                156970,                648192,                268375,,,,                  5226,                  5226,,                  5226,,                 -1492,                550410,                 -5547,                  2115,,,,                 -8448,                553934,,                 24968,                 24968,,                              0,                  6853,                 -6853,                527339,                795714,,,                 41738,                753976,                753976,,,,,,,,               -117800,                636176,,                751391,                  2585,,                631767,                  4409,,                              1.59,                              1.59,,                              1.58,                              1.58,,                              0,                              0,,,,,,,,,                 41738,                -27744,                -90056,,,,
1711,2012年01月01日至2012年03月31日,,,,              1899327,              1899327,              1890116,              1890116,,,              1508172,              1508172,              1508172,                381944,                381944,,,                134378,,                 97066,,                 71461,                302905,                 79039,,,,                    983,                    983,,                    983,,                              0,                553560,                              0,                      5,,,,                -11265,                554722,,                  8399,                  8399,,                 -3849,,                 -3849,                543457,                622496,,,                  8437,                614059,                614059,,,,,,,,                -19335,                594724,,                617586,                 -3527,,                595412,                   -688,,                              1.37,                              1.37,,                              1.37,                              1.37,,                              0,                              0,                  7862,                  1349,,                              0,                  1394,                  7085,                  1629,                              0,                  8437,                -33539,                 14204,,,,
