證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　 其他收益及費損淨額,　　 其他收益及費損淨額,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 與其他綜合損益組成部分相關之所得稅
2427,2015年第3季,,                418338,,                257059,                161279,                161279,,,                 98371,,                 28656,,                 27132,                154159,                  7120,,,                  4498,,                  9035,,                  1109,,                  5973,                 18397,                 25517,,                  2854,                 22663,                 22663,,,                  5531,                              0,,                -10306,                 -4775,                 -4775,                 17888,,                 22738,                    -75,,                 17963,                    -75,,                              0.12,                              0.12,,,,,,,,,,
2427,2015年第2季,,                369663,,                225348,                144315,                144315,,,                 93549,,                 27605,,                 25943,                147097,                 -2782,,,                  5736,,                 -3178,,                    940,,                  9304,                 10922,                  8140,,                  2504,                  5636,                  5636,,,                 -2332,                   -958,,                 -8322,                -11612,                -11612,                 -5976,,                  5621,                     15,,                 -5992,                     16,,                              0.03,                              0.03,,                              0.03,,,,,,,,
2427,2015年01月01日至2015年09月30日,,              1244491,,                797849,                446642,                446642,,,                283578,,                 89042,,                 78843,                451463,                 -4821,,,                 13511,,                 -4213,,                  3125,,                 19997,                 26170,                 21349,,                  5924,                 15425,                 15425,,,                  1862,                   -958,,                -15460,                -14556,                -14556,                    869,,                 15512,                    -87,,                    956,                    -87,,                              0.08,                              0.08,,,,,,,,,,
2427,2015年01月01日至2015年06月30日,,                826153,,                540790,                285363,                285363,,,                185207,,                 60385,,                 51712,                297304,                -11941,,,                  9013,,                -13248,,                  2016,,                 14023,                  7772,                 -4169,,                  3069,                 -7238,                 -7238,,,                 -3669,                   -958,,                 -5154,                 -9781,                 -9781,                -17019,,                 -7226,                    -12,,                -17007,                    -12,,                             -0.04,                             -0.04,,                             -0.04,,,,,,,,
2427,2015年01月01日至2015年03月31日,,                456491,,                315443,                141048,                141048,,,                 91658,,                 32780,,                 25769,                150207,                 -9159,,,                  3277,,                -10070,,                  1076,,                  4720,                 -3149,                -12308,,                    566,                -12874,                -12874,,,                 -1337,,,                  3169,                  1832,                  1832,                -11042,,                -12847,                    -27,,                -11015,                    -27,,                             -0.07,                             -0.07,,,,,,,,,,
2427,2014年第3季,,                370730,,                233438,                137292,                137292,,,                 89874,,                 26421,,                 19000,                135295,                  1997,,,                  7744,,                 -8689,,                    133,,                  3375,                  2297,                  4294,,                  1606,                  2688,                  2688,,,                  4325,                              0,,                 -2716,                  1609,                  1609,                  4297,,                  2733,                    -45,,                  4342,                    -45,,                              0.01,                              0.01,,,,,,,,,,
2427,2014年第2季,,                420259,,                280766,                139493,                139493,,,                 87798,,                 24940,,                 26302,                139040,                    453,,,                  4671,,                  2491,,                    244,,                  3432,                 10350,                 10803,,                  2343,                  8460,                  8460,,,                 -3027,                              0,,                  1422,                 -1605,                 -1605,                  6855,,                  8499,                    -39,,                  6894,                    -39,,                              0.05,                              0.05,,                              0.00,,,,,,,,
2427,2014年度,,              1926598,,              1319581,                607017,                607017,,,                389931,,                116440,,                104801,                611172,                 -4155,,,                 29431,,                 -2725,,                    869,,                  7751,                 33588,                 29433,,                  7446,                 21987,                 21987,,,,,,,,                 18750,                 40737,,                 21995,                     -8,,                 40745,                     -8,,                              0.12,                              0.12,,,,                              0,                  6117,                  8162,                   -115,,                  4567,                    -19
2427,2014年01月01日至2014年09月30日,,              1191934,,                781050,                410884,                410884,,,                264181,,                 76386,,                 70189,                410756,                    128,,,                 15875,,                 -1234,,                    377,,                  6367,                 20631,                 20759,,                  6144,                 14615,                 14615,,,                    727,                              0,,                      6,                    733,                    733,                 15348,,                 14695,                    -80,,                 15428,                    -80,,                              0.08,                              0.08,,,,,,,,,,
2427,2014年01月01日至2014年06月30日,,                821205,,                547613,                273592,                273592,,,                174307,,                 49965,,                 51189,                275461,                 -1869,,,                  8131,,                  7455,,                    244,,                  2992,                 18334,                 16465,,                  4538,                 11927,                 11927,,,                 -3597,                              0,,                  2721,                   -876,                   -876,                 11051,,                 11961,                    -34,,                 11086,                    -35,,                              0.06,                              0.06,,                              0.00,,,,,,,,
2427,2014年01月01日至2014年03月31日,,                400946,,                266847,                134099,                134099,,,                 86509,,                 25025,,                 24887,                136421,                 -2322,,,                  3460,,                  4964,,                              0,,                   -440,                  7984,                  5662,,                  2195,                  3467,                  3467,,,                   -570,,,                  1299,                    729,                    729,                  4196,,                  3463,                      4,,                  4192,                      4,,                              0.02,                              0.02,,,,,,,,,,
2427,2013年第3季,,                539381,,                485995,                 53386,                 53386,,,                 89897,,                 25455,,                 20161,                135513,                -82127,,,                 11959,,                 42075,,                     70,,                    539,                 54503,                -27624,,                 -5424,                -22200,                -22200,,,,,,,,                 -3350,                -25550,,                -21752,                   -448,,                -25102,                   -448,,                             -0.12,                             -0.12,,,,,                 -2360,                              0,,,                   -990,
2427,2013年第2季,,                471765,,                332794,                138971,                138971,,,                 88552,,                 33314,,                 20839,                142705,                 -3734,,,                  8088,,                 -2247,,                    536,,                    363,                  5668,                  1934,,                  3879,                 -1945,                 -1945,,,,,,,,                  8365,                  6420,,                    530,                 -2475,,                  8895,                 -2475,,,                              0.00,,,,,                  3598,                  6085,,,                 -1318,
2427,2013年度,,              2229386,,              1704005,                525381,                525381,,,                392056,,                123612,,                 90561,                606229,                -78292,,,                 31807,,                 31017,,                  1005,,                  1224,                 63043,                -15249,,                  3264,                -18513,                -18513,,,,,,,,                 26273,                  7760,,                -13666,                 -4847,,                 12607,                 -4847,,                             -0.07,                             -0.07,,,,                  2556,                 12674,                 19496,                 -2132,,                 -4127,                   -362
2427,2013年07月01日至2013年09月30日,,                539381,,                485995,                 53386,                 53386,,,                 89897,,                 25455,,                 20161,                135513,                -82127,,,                 11959,,                 42075,,                     70,,                    539,                 54503,                -27624,,                 -5424,                -22200,                -22200,,,,,,,,                 -3350,                -25550,,                -21752,                   -448,,                -25102,                   -448,,,                             -0.12,,,,,                 -2360,                              0,,,                   -990,
2427,2013年04月01日至2013年06月30日,,                471765,,                332794,                138971,                138971,,,                 88552,,                 33314,,                 20839,                142705,                 -3734,,,                  8088,,                 -2247,,                    536,,                    363,                  5668,                  1934,,                  3879,                 -1945,                 -1945,,,,,,,,                  8365,                  6420,,                    530,                 -2475,,                  8895,                 -2475,,,                              0.00,,,,,                  3598,                  6085,,,                 -1318,
2427,2013年01月01日至2013年12月31日,,              2229386,,              1704005,                525381,                525381,,,                392056,,                123612,,                 90561,                606229,                -78292,,,                 31807,,                 31017,,                  1005,,                  1224,                 63043,                -15249,,                  3264,                -18513,                -18513,,,,,,,,                 26273,                  7760,,                -13666,                 -4847,,                 12607,                 -4847,,,                             -0.07,,,,                  2556,                 12674,                 19496,                 -2132,,                 -4127,                   -362
2427,2013年01月01日至2013年09月30日,,              1626976,,              1294800,                332176,                332176,,,                268179,,                 91329,,                 62522,                422030,                -89854,,,                 24125,,                 41606,,                  1205,,                  1068,                 65594,                -24260,,                    562,                -24822,                -24822,,,,,,,,                 14373,                -10449,,                -20548,                 -4274,,                 -6175,                 -4274,,                             -0.11,                             -0.11,,,,,                  9492,                  7355,,,                 -2474,
2427,2013年01月01日至2013年06月30日,,              1087595,,                808805,                278790,                278790,,,                178282,,                 65873,,                 42363,                286518,                 -7728,,,                 12166,,                   -469,,                  1136,,                    531,                 11092,                  3364,,                  5986,                 -2622,                 -2622,,,,,,,,                 17722,                 15100,,                  1204,                 -3826,,                 18927,                 -3827,,,                              0.01,,,,,                 11852,                  7355,,,                 -1485,
2427,2013年01月01日至2013年03月31日,,                615830,,                476011,                139819,                139819,,,                 89730,,                 32559,,                 21524,                143813,                 -3994,,,                  4078,,                  1778,,                    599,,                    167,                  5424,                  1430,,                  2107,                   -677,                   -677,,,,,,,,                  9357,                  8680,,                    675,                 -1352,,                 10032,                 -1352,,,                              0.00,,,,,                  8254,                  1270,,,                   -167,
2427,2012年07月01日至2012年09月30日,,                378782,,                269341,                109441,                109441,,,                 90346,,                 34891,,                 21368,                146605,                -37164,,,                  8858,,                    406,,                    208,,                              0,                  9056,                -28108,,                    143,                -28251,                -28251,,,,,,,,                 -2329,                -30580,,                -19072,                 -9179,,                -21401,                 -9179,,,                             -0.10,,,,,                 -2329,                              0,,,                              0,
2427,2012年04月01日至2012年06月30日,,                467110,,                348274,                118836,                118836,,,                 83752,,                 33881,,                 19780,                137413,                -18577,,,                  5383,,                  3296,,                    201,,                              0,                  8478,                -10099,,                    578,                -10677,                -10677,,,,,,,,                -10418,                -21095,,                 -9443,                 -1234,,                -19862,                 -1233,,,                             -0.05,,,,,                  1896,                -12314,,,                              0,
2427,2012年01月01日至2012年12月31日,,              2156159,,              1585418,                570741,                570741,,,                373357,,                138945,,                 91650,                603952,                -33211,,,                 21960,,                  3971,,                    850,,                    182,                 25263,                 -7948,,                  1099,                 -9047,                 -9047,,,,,,,,                -25034,                -34081,,                  4712,                -13759,,                -21018,                -13063,,,                              0.03,,,,                              0,                 -9699,                -15464,                 -3943,,                  3402,                   -670
2427,2012年01月01日至2012年09月30日,,              1360573,,                975543,                385030,                385030,,,                263326,,                 99220,,                 62725,                425271,                -40241,,,                 18035,,                    379,,                    560,,                              0,                 17854,                -22387,,                  4461,                -26848,                -26848,,,,,,,,                -25457,                -52305,,                -15165,                -11683,,                -40622,                -11683,,,                             -0.08,,,,,                -10427,                -15030,,,                              0,
2427,2012年01月01日至2012年06月30日,,                981791,,                706202,                275589,                275589,,,                172980,,                 64329,,                 41357,                278666,                 -3077,,,                  9177,,                    -27,,                    352,,                              0,                  8798,                  5721,,                  4318,                  1403,                  1403,,,,,,,,                -23128,                -21725,,                  3907,                 -2504,,                -19221,                 -2504,,,                              0.02,,,,,                 -8098,                -15030,,,                              0,
2427,2012年01月01日至2012年03月31日,,                514681,,                357928,                156753,                156753,,,                 89227,,                 30447,,                 21579,                141253,                 15500,,,                  3794,,                 -3323,,                    150,,                              0,                    321,                 15821,,                  3742,                 12079,                 12079,,,,,,,,                -12709,                   -630,,                 13350,                 -1271,,                    641,                 -1271,,,                              0.07,,,,,                 -9993,                 -2716,,,                              0,
